ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788350400000,2026-09-02T12:00:00Z,186.21,186.21,184.92,184.92,0.57,105.5791
1788354000000,2026-09-02T13:00:00Z,184.92,191.9,184.68,191.9,17.79,3314.0452
1788357600000,2026-09-02T14:00:00Z,191.9,192.08,187.77,188.07,16.42,3093.7768
1788361200000,2026-09-02T15:00:00Z,188.07,190.06,184.33,186.18,3.85,720.7401
1788364800000,2026-09-02T16:00:00Z,186.18,187.23,184.73,187.23,1.2,223.2394
1788368400000,2026-09-02T17:00:00Z,187.23,188.52,186.29,186.95,0.88,164.917
1788372000000,2026-09-02T18:00:00Z,186.95,188.18,186.55,187.2,4.68,875.9147
1788375600000,2026-09-02T19:00:00Z,187.2,190.74,184.72,186.43,3.2,599.7997
1788379200000,2026-09-02T20:00:00Z,186.43,187.76,186.43,186.67,0.62,115.9261
1788382800000,2026-09-02T21:00:00Z,186.67,188.45,186.05,186.05,0.86,161.0435
1788386400000,2026-09-02T22:00:00Z,186.05,190.12,184.73,188.66,15.94,2995.1625
1788390000000,2026-09-02T23:00:00Z,188.66,188.66,187.17,188.58,1.14,214.3413
1788393600000,2026-09-03T00:00:00Z,188.58,189.72,187.93,189.66,1.99,375.8932
1788397200000,2026-09-03T01:00:00Z,189.66,189.77,187.81,188.71,1.9,358.5433
1788400800000,2026-09-03T02:00:00Z,188.71,189.28,187.37,188.06,0.41,77.113
1788404400000,2026-09-03T03:00:00Z,188.06,189.39,187.48,188,0.62,116.7523
1788408000000,2026-09-03T04:00:00Z,188,189.52,187.46,188.13,1.4,263.6379
1788411600000,2026-09-03T05:00:00Z,188.13,188.47,187.49,187.96,0.72,135.4293
1788415200000,2026-09-03T06:00:00Z,187.96,189.28,187.37,187.37,24.14,4523.4802
1788418800000,2026-09-03T07:00:00Z,187.37,189.34,187.37,187.47,24.9,4712.2523
1788422400000,2026-09-03T08:00:00Z,187.47,189.03,187.4,189.03,24.53,4616.8285
1788426000000,2026-09-03T09:00:00Z,189.03,189.94,188.01,188.01,83.2,15719.0276
1788429600000,2026-09-03T10:00:00Z,188.01,189.89,186.78,189.89,25.87,4866.0967
1788433200000,2026-09-03T11:00:00Z,189.89,191.18,187.65,189.67,83.09,15699.0308
1788436800000,2026-09-03T12:00:00Z,189.67,191.84,189.67,191.75,155.41,29677.3279
1788440400000,2026-09-03T13:00:00Z,191.75,198.54,189.76,196.4,193.1,37293.9138
1788444000000,2026-09-03T14:00:00Z,196.4,198.97,194.71,194.8,124.79,24510.2666
1788447600000,2026-09-03T15:00:00Z,194.8,196.41,194.48,194.72,51.82,10128.6196
1788451200000,2026-09-03T16:00:00Z,194.72,195.55,194.06,194.62,36.62,7141.341
1788454800000,2026-09-03T17:00:00Z,194.62,195.41,193.86,195.38,28.43,5538.3557
1788458400000,2026-09-03T18:00:00Z,195.38,196.35,195.34,196.01,96.44,18895.2636
1788462000000,2026-09-03T19:00:00Z,196.01,196.05,194.06,194.09,164.47,32126.7173
1788465600000,2026-09-03T20:00:00Z,194.09,194.74,193.59,193.99,48.25,9344.1616
1788469200000,2026-09-03T21:00:00Z,193.99,194.65,193.54,194.2,0.55,106.7755
1788472800000,2026-09-03T22:00:00Z,194.2,194.25,193.56,194.25,0.61,118.3039
1788476400000,2026-09-03T23:00:00Z,194.25,194.48,193.05,194.41,24.22,4698.3153
1788480000000,2026-09-04T00:00:00Z,194.41,195.99,194.41,195.69,74.18,14491.4477
1788483600000,2026-09-04T01:00:00Z,195.69,195.69,193.22,195.49,100.79,19511.1886
1788487200000,2026-09-04T02:00:00Z,195.49,196.21,194.77,195.16,24.48,4770.0176
1788490800000,2026-09-04T03:00:00Z,195.16,196.72,195.05,195.88,54.39,10624.8157
1788494400000,2026-09-04T04:00:00Z,195.88,196.16,193.5,195.28,29.3,5732.522
1788498000000,2026-09-04T05:00:00Z,195.28,195.29,194.63,194.79,1.09,212.5111
1788501600000,2026-09-04T06:00:00Z,194.79,194.96,193.92,194.07,40.09,7779.7116
1788505200000,2026-09-04T07:00:00Z,194.07,194.95,194.07,194.31,15.66,3045.8662
1788508800000,2026-09-04T08:00:00Z,194.31,194.31,193.22,193.39,2.35,454.9658
1788512400000,2026-09-04T09:00:00Z,193.39,193.64,192.38,192.38,50.13,9654.6082
1788516000000,2026-09-04T10:00:00Z,192.38,192.9,192.23,192.65,54.76,10539.457
1788519600000,2026-09-04T11:00:00Z,192.65,193.76,191.31,191.74,105.79,20401.3583
1788523200000,2026-09-04T12:00:00Z,191.74,192.05,190.25,191.1,271.03,51694.5171
1788526800000,2026-09-04T13:00:00Z,191.1,191.82,186.73,188.78,265.15,50553.1213
1788530400000,2026-09-04T14:00:00Z,188.78,193.02,188.56,191.82,124.34,23685.0292
1788534000000,2026-09-04T15:00:00Z,191.82,191.94,190.88,191.12,86.81,16624.4949
1788537600000,2026-09-04T16:00:00Z,191.12,191.47,191.12,191.24,29.13,5574.3825
1788541200000,2026-09-04T17:00:00Z,191.24,191.24,189.65,190.05,26.39,5025.371
1788544800000,2026-09-04T18:00:00Z,190.05,190.19,189.31,189.75,68.62,13034.8061
1788548400000,2026-09-04T19:00:00Z,189.75,189.75,188.8,189.45,5.55,1051.5819
1788552000000,2026-09-04T20:00:00Z,189.45,190.85,189,189,17.11,3256.6362
1788555600000,2026-09-04T21:00:00Z,189,190.38,189,190.38,0.53,100.5174
1788559200000,2026-09-04T22:00:00Z,190.38,190.38,189.48,189.48,9.08,1723.701
1788562800000,2026-09-04T23:00:00Z,189.48,189.98,188.58,188.81,0.9,170.2671
1788566400000,2026-09-05T00:00:00Z,188.81,189.22,188.61,188.61,0.54,101.952
1788570000000,2026-09-05T01:00:00Z,188.61,189.03,188.02,189.03,3.32,626.3248
1788573600000,2026-09-05T02:00:00Z,189.03,189.45,187.68,187.76,2.4,453.0387
1788577200000,2026-09-05T03:00:00Z,187.76,189.59,187.76,189.09,2.01,379.7308
1788580800000,2026-09-05T04:00:00Z,189.09,189.33,189,189.33,0.84,158.9174
1788584400000,2026-09-05T05:00:00Z,189.33,189.67,189.33,189.64,0.83,157.3511
1788588000000,2026-09-05T06:00:00Z,189.64,189.95,189.5,189.95,1.28,242.9443
1788591600000,2026-09-05T07:00:00Z,189.95,191.64,189.95,191.17,2.67,509.0457
1788595200000,2026-09-05T08:00:00Z,191.17,192.6,191.17,192.26,0.66,126.9305
