ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784181600000,2026-07-16T06:00:00Z,395.35,395.81,394.68,395.12,96.9,38302.9402
1784185200000,2026-07-16T07:00:00Z,395.12,395.12,393.74,393.97,167.13,65947.786
1784188800000,2026-07-16T08:00:00Z,393.97,395.04,393.29,394.95,338.92,133639.6535
1784192400000,2026-07-16T09:00:00Z,394.95,395.42,394.28,394.44,74.57,29459.9989
1784196000000,2026-07-16T10:00:00Z,394.44,395.49,394.42,394.87,171.25,67662.1843
1784199600000,2026-07-16T11:00:00Z,394.87,394.87,392.53,393.24,316.8,124674.2086
1784203200000,2026-07-16T12:00:00Z,393.24,393.35,392,392,266.77,104789.6509
1784206800000,2026-07-16T13:00:00Z,392,393.33,385.76,387.38,3972.93,1544951.0883
1784210400000,2026-07-16T14:00:00Z,387.38,395.45,387.36,394.69,3924.33,1540116.323
1784214000000,2026-07-16T15:00:00Z,394.69,394.77,392.2,392.82,688.96,271115.3582
1784217600000,2026-07-16T16:00:00Z,392.82,392.89,388.13,389.29,1007.08,392449.5232
1784221200000,2026-07-16T17:00:00Z,389.29,389.58,387.23,389.2,335.01,130097.6958
1784224800000,2026-07-16T18:00:00Z,389.2,391.35,388.91,390.65,259.7,101322.4448
1784228400000,2026-07-16T19:00:00Z,390.65,392.11,389.73,391.31,501.79,196327.2584
1784232000000,2026-07-16T20:00:00Z,391.31,391.35,390.27,390.39,99.92,39031.1319
1784235600000,2026-07-16T21:00:00Z,390.39,391.06,390.39,390.94,56.9,22232.4636
1784239200000,2026-07-16T22:00:00Z,390.94,391.18,389.13,389.66,85.5,33342.1923
1784242800000,2026-07-16T23:00:00Z,389.66,389.87,388.14,388.93,212.38,82543.4684
1784246400000,2026-07-17T00:00:00Z,388.93,389.35,387.26,388.64,186.96,72627.185
1784250000000,2026-07-17T01:00:00Z,388.64,389.25,387.02,387.15,141.67,54991.094
1784253600000,2026-07-17T02:00:00Z,387.15,387.61,386.72,387.4,242.63,93888.0987
1784257200000,2026-07-17T03:00:00Z,387.4,388.73,387.32,387.62,94.8,36803.5022
1784260800000,2026-07-17T04:00:00Z,387.62,387.62,385.37,386.22,215.31,83142.5321
1784264400000,2026-07-17T05:00:00Z,386.22,386.33,384.58,385.15,276.45,106476.987
1784268000000,2026-07-17T06:00:00Z,385.15,386.35,385.11,385.38,290.98,112163.0907
1784271600000,2026-07-17T07:00:00Z,385.38,385.91,384.49,384.53,286.77,110353.2302
1784275200000,2026-07-17T08:00:00Z,384.53,385.1,382.63,383.89,601.52,230909.3523
1784278800000,2026-07-17T09:00:00Z,383.89,385.98,383.52,385.4,237.87,91614.2158
1784282400000,2026-07-17T10:00:00Z,385.4,385.64,383.68,384.58,432.32,166226.7897
1784286000000,2026-07-17T11:00:00Z,384.58,385.52,384.27,384.77,167.57,64481.6973
1784289600000,2026-07-17T12:00:00Z,384.77,384.77,382.9,383.25,425.45,163218.6105
1784293200000,2026-07-17T13:00:00Z,383.25,383.3,377.58,381.73,5110.34,1945055.7356
1784296800000,2026-07-17T14:00:00Z,381.73,383.44,378.89,380.49,2444.11,932557.3991
1784300400000,2026-07-17T15:00:00Z,380.49,383.14,379.21,382.66,2588.88,985400.9945
1784304000000,2026-07-17T16:00:00Z,382.66,385.44,381.96,384.54,1635.12,626774.1947
1784307600000,2026-07-17T17:00:00Z,384.54,385.9,382.14,382.67,1536.67,590408.48
1784311200000,2026-07-17T18:00:00Z,382.67,383.02,380.91,382.08,276.18,105495.8141
1784314800000,2026-07-17T19:00:00Z,382.08,383.34,381.17,381.25,639.16,244257.3004
1784318400000,2026-07-17T20:00:00Z,381.25,381.3,380.08,380.55,163.47,62193.5884
1784322000000,2026-07-17T21:00:00Z,380.55,380.61,380.27,380.36,126.53,48134.8317
1784325600000,2026-07-17T22:00:00Z,380.36,380.91,380.21,380.71,145.06,55207.1765
1784329200000,2026-07-17T23:00:00Z,380.71,380.75,380.48,380.5,187.9,71525.734
1784332800000,2026-07-18T00:00:00Z,380.5,381.37,380.5,381.34,73.85,28142.4731
1784336400000,2026-07-18T01:00:00Z,381.34,381.94,381.34,381.82,286.04,109196.7819
1784340000000,2026-07-18T02:00:00Z,381.82,382.31,381.79,382.19,513.91,196392.2465
1784343600000,2026-07-18T03:00:00Z,382.19,382.45,381.87,382.22,181.1,69217.242
