ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,193.41,193.41,192.86,193.11,1.46,281.9311
1785632400000,2026-08-02T01:00:00Z,193.11,193.3,192.9,192.9,1.2,231.6543
1785636000000,2026-08-02T02:00:00Z,192.9,193.44,192.9,193.34,2.99,577.7377
1785639600000,2026-08-02T03:00:00Z,193.34,193.36,192.99,193.36,0.9,173.8065
1785643200000,2026-08-02T04:00:00Z,193.36,193.45,192.97,193.45,1.33,256.8832
1785646800000,2026-08-02T05:00:00Z,193.45,193.53,193.14,193.3,1.15,222.3572
1785650400000,2026-08-02T06:00:00Z,193.3,193.52,192.91,193.01,1.67,322.7117
1785654000000,2026-08-02T07:00:00Z,193.01,193.25,193.01,193.25,0.72,139.0556
1785657600000,2026-08-02T08:00:00Z,193.25,193.25,192.92,192.95,0.87,167.9607
1785661200000,2026-08-02T09:00:00Z,192.95,193.5,192.91,193.46,2.03,392.15
1785664800000,2026-08-02T10:00:00Z,193.46,193.46,193.19,193.3,1.28,247.4494
1785668400000,2026-08-02T11:00:00Z,193.3,193.53,193.21,193.21,1.13,218.5785
1785672000000,2026-08-02T12:00:00Z,193.21,193.48,193.09,193.09,1.13,218.4141
1785675600000,2026-08-02T13:00:00Z,193.09,194.09,193.09,193.59,5.07,982.3642
1785679200000,2026-08-02T14:00:00Z,193.59,194.25,193.37,193.48,1.93,373.7264
1785682800000,2026-08-02T15:00:00Z,193.48,193.58,193.31,193.56,1.66,321.2004
1785686400000,2026-08-02T16:00:00Z,193.56,194.71,193.48,194.26,29.69,5778.5527
1785690000000,2026-08-02T17:00:00Z,194.26,194.63,194.14,194.41,0.96,186.5704
1785693600000,2026-08-02T18:00:00Z,194.41,194.98,194.4,194.6,1.8,350.3066
1785697200000,2026-08-02T19:00:00Z,194.6,194.69,194.3,194.3,1.01,196.4875
1785700800000,2026-08-02T20:00:00Z,194.3,194.69,194.3,194.64,0.75,145.9398
1785704400000,2026-08-02T21:00:00Z,194.64,195.47,192.85,193.6,12.31,2390.8744
1785708000000,2026-08-02T22:00:00Z,193.6,194.8,192.79,194.4,40.95,7944.222
1785711600000,2026-08-02T23:00:00Z,194.4,194.55,194.4,194.5,0.62,120.5753
1785715200000,2026-08-03T00:00:00Z,194.5,194.5,193.38,193.89,5.58,1081.7402
1785718800000,2026-08-03T01:00:00Z,193.89,195.33,193.56,194.54,11.28,2192.7326
1785722400000,2026-08-03T02:00:00Z,194.54,194.68,193.93,194.68,6.4,1243.664
1785726000000,2026-08-03T03:00:00Z,194.68,195.27,194.68,195.12,2.46,479.9173
1785729600000,2026-08-03T04:00:00Z,195.12,196.33,195.12,196.33,2.93,573.8315
1785733200000,2026-08-03T05:00:00Z,196.33,196.57,196.24,196.57,0.6,117.8145
1785736800000,2026-08-03T06:00:00Z,196.57,196.57,196.33,196.53,1.21,237.7336
1785740400000,2026-08-03T07:00:00Z,196.53,199.53,196.53,199.05,140.64,27911.1123
1785744000000,2026-08-03T08:00:00Z,199.05,199.82,196.49,199.82,66.99,13275.6931
1785747600000,2026-08-03T09:00:00Z,199.82,199.98,199.61,199.91,5.04,1007.3328
1785751200000,2026-08-03T10:00:00Z,199.91,199.97,197.87,199.09,16.02,3180.9566
1785754800000,2026-08-03T11:00:00Z,199.09,199.12,197.54,197.96,7.23,1432.1197
1785758400000,2026-08-03T12:00:00Z,197.96,200.24,197.96,200.2,8.43,1679.9087
1785762000000,2026-08-03T13:00:00Z,200.2,200.28,195.27,198.77,79.96,15851.3709
1785765600000,2026-08-03T14:00:00Z,198.77,199.5,195.7,197.69,126.98,25113.3585
1785769200000,2026-08-03T15:00:00Z,197.69,198.79,196.43,198.67,72.08,14207.1135
1785772800000,2026-08-03T16:00:00Z,198.67,198.81,197.71,198.01,10.02,1987.3726
1785776400000,2026-08-03T17:00:00Z,198.01,199.62,197.84,197.84,30.54,6076.8649
1785780000000,2026-08-03T18:00:00Z,197.84,199.05,197.66,197.96,8.4,1665.3786
1785783600000,2026-08-03T19:00:00Z,197.96,198.48,196.42,196.45,12.67,2507.1011
1785787200000,2026-08-03T20:00:00Z,196.45,198.9,194.33,197.78,59.99,11772.8184
1785790800000,2026-08-03T21:00:00Z,197.78,198.42,197.5,197.83,1.65,326.825
1785794400000,2026-08-03T22:00:00Z,197.83,199.26,195.2,198.91,28.14,5556.2651
1785798000000,2026-08-03T23:00:00Z,198.91,199.25,197.73,199.13,9.34,1854.6892
1785801600000,2026-08-04T00:00:00Z,199.13,199.38,196.91,199.13,13.98,2775.9411
1785805200000,2026-08-04T01:00:00Z,199.13,199.83,199.12,199.8,0.83,165.5919
1785808800000,2026-08-04T02:00:00Z,199.8,199.85,198.42,199.07,2.7,536.7976
