ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786363200000,2026-08-10T12:00:00Z,74.87,75.21,74.87,75.17,7.6,571.2859
1786366800000,2026-08-10T13:00:00Z,75.17,77.69,74.99,77.39,42.3,3266.4955
1786370400000,2026-08-10T14:00:00Z,77.39,77.89,76.12,77.54,105.74,8168.2217
1786374000000,2026-08-10T15:00:00Z,77.54,77.59,77.32,77.56,22.48,1741.7268
1786377600000,2026-08-10T16:00:00Z,77.56,78,77.5,77.98,3.46,269.3473
1786381200000,2026-08-10T17:00:00Z,77.98,77.98,77.03,77.12,24.14,1868.3711
1786384800000,2026-08-10T18:00:00Z,77.12,77.66,77.12,77.6,30.78,2386.5396
1786388400000,2026-08-10T19:00:00Z,77.6,77.82,77.57,77.82,6.82,529.8056
1786392000000,2026-08-10T20:00:00Z,77.82,78.27,77.8,77.8,12.14,947.4068
1786395600000,2026-08-10T21:00:00Z,77.8,78.03,77.8,78.02,3.44,268.2016
1786399200000,2026-08-10T22:00:00Z,78.02,78.07,77.91,77.96,26.51,2067.2094
1786402800000,2026-08-10T23:00:00Z,77.96,78.18,77.96,77.98,6.45,503.4668
1786406400000,2026-08-11T00:00:00Z,77.98,78.59,77.88,78.59,60.12,4711.8536
1786410000000,2026-08-11T01:00:00Z,78.59,78.62,78.03,78.27,24.26,1902.0361
1786413600000,2026-08-11T02:00:00Z,78.27,78.27,78.17,78.19,1.35,105.5487
1786417200000,2026-08-11T03:00:00Z,78.19,78.3,78.17,78.28,6.81,533.0638
1786420800000,2026-08-11T04:00:00Z,78.28,78.42,78.25,78.38,23.84,1868.0298
1786424400000,2026-08-11T05:00:00Z,78.38,78.42,78.27,78.27,29.58,2318.3456
1786428000000,2026-08-11T06:00:00Z,78.27,78.27,78.25,78.26,0.65,50.8671
1786431600000,2026-08-11T07:00:00Z,78.26,78.35,78.05,78.05,75.27,5893.4585
1786435200000,2026-08-11T08:00:00Z,78.05,78.05,77.89,77.89,3.69,287.5603
1786438800000,2026-08-11T09:00:00Z,77.89,78,77.61,77.91,13.17,1023.7444
1786442400000,2026-08-11T10:00:00Z,77.91,78.12,77.91,78.09,50.98,3980.8925
1786446000000,2026-08-11T11:00:00Z,78.09,78.24,77.93,78.05,4.14,323.1937
1786449600000,2026-08-11T12:00:00Z,78.05,78.05,77.5,77.5,39.54,3068.1446
1786453200000,2026-08-11T13:00:00Z,77.5,78.34,77.39,78.33,33.52,2615.4647
1786456800000,2026-08-11T14:00:00Z,78.33,78.93,78.33,78.85,41.62,3270.612
1786460400000,2026-08-11T15:00:00Z,78.85,79,78.33,78.33,1.69,133.3858
1786464000000,2026-08-11T16:00:00Z,78.33,78.33,77.98,78.13,45.59,3557.9997
1786467600000,2026-08-11T17:00:00Z,78.13,78.35,78.08,78.31,14,1094.6041
1786471200000,2026-08-11T18:00:00Z,78.31,78.53,78.31,78.47,85.14,6680.7168
1786474800000,2026-08-11T19:00:00Z,78.47,78.67,78.23,78.25,51.47,4034.2592
1786478400000,2026-08-11T20:00:00Z,78.25,78.6,78.11,78.48,76.27,5984.8469
1786482000000,2026-08-11T21:00:00Z,78.48,78.48,78.33,78.46,2.91,228.1986
1786485600000,2026-08-11T22:00:00Z,78.46,78.49,78.27,78.36,1.79,140.2876
1786489200000,2026-08-11T23:00:00Z,78.36,78.55,78.33,78.55,1.88,147.4925
1786492800000,2026-08-12T00:00:00Z,78.55,78.7,77.91,78.33,16.58,1298.3949
1786496400000,2026-08-12T01:00:00Z,78.33,78.48,78.33,78.36,0.9,70.568
1786500000000,2026-08-12T02:00:00Z,78.36,78.74,78.14,78.52,36.18,2836.5147
1786503600000,2026-08-12T03:00:00Z,78.52,78.52,78.43,78.43,1.03,80.8389
1786507200000,2026-08-12T04:00:00Z,78.43,78.53,78.38,78.38,28.75,2253.9221
1786510800000,2026-08-12T05:00:00Z,78.38,78.52,78.32,78.32,1.62,127.0721
1786514400000,2026-08-12T06:00:00Z,78.32,78.53,78.32,78.53,0.98,76.8988
1786518000000,2026-08-12T07:00:00Z,78.53,78.59,78.39,78.49,4.65,365.0658
1786521600000,2026-08-12T08:00:00Z,78.49,78.63,78.23,78.29,51.06,4004.6525
1786525200000,2026-08-12T09:00:00Z,78.29,78.58,78.09,78.39,2.53,198.1922
1786528800000,2026-08-12T10:00:00Z,78.39,78.42,78.32,78.34,2.1,164.5802
1786532400000,2026-08-12T11:00:00Z,78.34,78.42,78.28,78.32,2.62,205.2728
1786536000000,2026-08-12T12:00:00Z,78.32,78.38,77.8,77.8,4.92,384.0508
1786539600000,2026-08-12T13:00:00Z,77.8,78.55,76.46,76.82,82.11,6400.4379
1786543200000,2026-08-12T14:00:00Z,76.82,77.82,75.26,76.39,283.19,21739.2232
1786546800000,2026-08-12T15:00:00Z,76.39,76.58,75.51,75.51,60.29,4585.1736
1786550400000,2026-08-12T16:00:00Z,75.51,75.51,75.08,75.13,9.68,729.1302
1786554000000,2026-08-12T17:00:00Z,75.13,75.33,74.94,75.31,64.97,4880.5174
1786557600000,2026-08-12T18:00:00Z,75.31,75.58,75.18,75.5,75.24,5667.8513
1786561200000,2026-08-12T19:00:00Z,75.5,75.89,75.5,75.51,16.22,1228.6744
1786564800000,2026-08-12T20:00:00Z,75.51,75.78,75.46,75.46,8.34,630.531
1786568400000,2026-08-12T21:00:00Z,75.46,75.53,75.46,75.51,1.73,130.6096
1786572000000,2026-08-12T22:00:00Z,75.51,75.53,75.48,75.53,1.36,102.6992
1786575600000,2026-08-12T23:00:00Z,75.53,75.63,75.47,75.58,2.25,169.9886
1786579200000,2026-08-13T00:00:00Z,75.58,75.6,75.37,75.49,4.41,333.0187
1786582800000,2026-08-13T01:00:00Z,75.49,75.54,75.4,75.47,2.7,203.7966
1786586400000,2026-08-13T02:00:00Z,75.47,75.56,75.43,75.56,2.34,176.7224
