ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,411,411.46,410.31,411.39,2.06,846.1605
1785632400000,2026-08-02T01:00:00Z,411.39,411.55,410.36,411.5,15.44,6352.2904
1785636000000,2026-08-02T02:00:00Z,411.5,412.32,408.72,410.57,28.14,11558.8784
1785639600000,2026-08-02T03:00:00Z,410.57,411.4,407.4,409.18,75.44,30873.1836
1785643200000,2026-08-02T04:00:00Z,409.18,411.44,409.06,411.44,15.07,6181.7412
1785646800000,2026-08-02T05:00:00Z,411.44,411.49,409.89,409.93,6.58,2701.8199
1785650400000,2026-08-02T06:00:00Z,409.93,411.32,409.93,411.32,0.37,152.0093
1785654000000,2026-08-02T07:00:00Z,411.32,411.36,409.89,410.66,1.59,653.4444
1785657600000,2026-08-02T08:00:00Z,410.66,412.08,409.03,410.82,3.3,1354.953
1785661200000,2026-08-02T09:00:00Z,410.82,411.05,409.12,410.39,0.55,225.4783
1785664800000,2026-08-02T10:00:00Z,410.39,411.41,409.03,409.07,4.36,1786.8246
1785668400000,2026-08-02T11:00:00Z,409.07,410.63,408.71,410.1,2.76,1130.5445
1785672000000,2026-08-02T12:00:00Z,410.1,410.1,407.48,407.48,12.55,5132.6566
1785675600000,2026-08-02T13:00:00Z,407.48,409.23,407.45,409.04,2.95,1206.346
1785679200000,2026-08-02T14:00:00Z,409.04,412.23,408.15,410.08,10.5,4290.9693
1785682800000,2026-08-02T15:00:00Z,410.08,411.41,408.26,408.26,0.96,393.1534
1785686400000,2026-08-02T16:00:00Z,408.26,411.48,408.26,411.18,10.78,4432.3118
1785690000000,2026-08-02T17:00:00Z,411.18,411.18,409.78,410.69,0.77,316.0695
1785693600000,2026-08-02T18:00:00Z,410.69,411.13,409.14,411.13,0.94,385.8164
1785697200000,2026-08-02T19:00:00Z,411.13,411.38,410.72,411.38,0.37,152.0879
1785700800000,2026-08-02T20:00:00Z,411.38,411.38,410.29,410.71,0.36,147.8698
1785704400000,2026-08-02T21:00:00Z,410.71,411.49,410.71,411.28,0.4,164.4334
1785708000000,2026-08-02T22:00:00Z,411.28,412.31,410.89,412.28,0.52,214.1108
1785711600000,2026-08-02T23:00:00Z,412.28,413.03,410.8,413.03,8.05,3316.6795
1785715200000,2026-08-03T00:00:00Z,413.03,413.03,411.73,412.63,0.27,111.3586
1785718800000,2026-08-03T01:00:00Z,412.63,412.63,412.01,412.22,52.74,21751.7675
1785722400000,2026-08-03T02:00:00Z,412.22,415.03,412.06,414.74,11.52,4772.5327
1785726000000,2026-08-03T03:00:00Z,414.74,414.74,410.93,412.4,14.45,5965.6492
1785729600000,2026-08-03T04:00:00Z,412.4,414.65,412.32,412.91,15.68,6480.4337
1785733200000,2026-08-03T05:00:00Z,412.91,413.41,412.41,412.41,2.18,900.1493
1785736800000,2026-08-03T06:00:00Z,412.41,414.68,411.64,413,6.48,2679.0227
1785740400000,2026-08-03T07:00:00Z,413,413.9,411.7,412.68,1.5,619.1851
1785744000000,2026-08-03T08:00:00Z,412.68,415.32,411.24,411.6,57.38,23708.1575
1785747600000,2026-08-03T09:00:00Z,411.6,415.14,410.89,412.47,117.06,48376.3327
1785751200000,2026-08-03T10:00:00Z,412.47,414.67,412.47,414.58,9.54,3950.8003
1785754800000,2026-08-03T11:00:00Z,414.58,416.58,414.12,415.03,8.83,3670.5655
1785758400000,2026-08-03T12:00:00Z,415.03,417.47,415.03,416.7,6.6,2749.7966
1785762000000,2026-08-03T13:00:00Z,416.7,418.98,413.23,414.53,40.76,16915.8894
1785765600000,2026-08-03T14:00:00Z,414.53,416.7,414.2,415.99,26.21,10870.8313
1785769200000,2026-08-03T15:00:00Z,415.99,417.3,415.99,416.11,1.84,766.3165
1785772800000,2026-08-03T16:00:00Z,416.11,416.8,414.73,414.73,4.6,1911.8688
1785776400000,2026-08-03T17:00:00Z,414.73,415.93,414.73,415.7,0.72,299.312
1785780000000,2026-08-03T18:00:00Z,415.7,416.22,415.21,415.26,1.28,532.1737
1785783600000,2026-08-03T19:00:00Z,415.26,417.15,415.25,415.25,3.89,1617.3229
1785787200000,2026-08-03T20:00:00Z,415.25,416.08,414.87,416.05,23.21,9647.9851
1785790800000,2026-08-03T21:00:00Z,416.05,416.65,414.54,415.61,42.88,17824.6509
1785794400000,2026-08-03T22:00:00Z,415.61,415.61,415.09,415.59,29.05,12071.3221
1785798000000,2026-08-03T23:00:00Z,415.59,415.59,415.08,415.08,1.84,764.1168
1785801600000,2026-08-04T00:00:00Z,415.08,415.8,415.07,415.79,0.72,298.99
1785805200000,2026-08-04T01:00:00Z,415.79,416.32,415.27,416.32,0.48,199.3909
1785808800000,2026-08-04T02:00:00Z,416.32,416.53,415.83,416.53,1.01,420.5238
1785812400000,2026-08-04T03:00:00Z,416.53,416.53,415.86,415.87,0.37,153.8933
1785816000000,2026-08-04T04:00:00Z,415.87,416.49,415.57,415.57,49.15,20457.4765
1785819600000,2026-08-04T05:00:00Z,415.57,416.4,415.34,416.4,7.84,3257.1832
1785823200000,2026-08-04T06:00:00Z,416.4,416.4,415.23,416.14,9.11,3786.8803
1785826800000,2026-08-04T07:00:00Z,416.14,416.4,415.37,415.7,11.97,4978.5684
1785830400000,2026-08-04T08:00:00Z,415.7,415.7,414.93,415.62,12.67,5262.9793
1785834000000,2026-08-04T09:00:00Z,415.62,415.92,415.19,415.63,4.27,1773.8596
1785837600000,2026-08-04T10:00:00Z,415.63,416.12,415.19,415.33,5.88,2443.1638
1785841200000,2026-08-04T11:00:00Z,415.33,415.63,414.41,415.26,11.26,4674.0763
1785844800000,2026-08-04T12:00:00Z,415.26,415.56,414.15,415.22,2.71,1124.8721
1785848400000,2026-08-04T13:00:00Z,415.22,416.42,407.15,408.15,33.49,13850.0664
1785852000000,2026-08-04T14:00:00Z,408.15,409.82,407.39,408.39,9.16,3742.3111
