ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,14.98,15.05,14.98,15.03,97.07,1457.6093
1785632400000,2026-08-02T01:00:00Z,15.03,15.06,15.03,15.05,155.44,2339.3
1785636000000,2026-08-02T02:00:00Z,15.05,15.28,15.04,15.26,2495.55,37786.5312
1785639600000,2026-08-02T03:00:00Z,15.26,15.26,15.23,15.25,88.82,1353.6385
1785643200000,2026-08-02T04:00:00Z,15.25,15.26,15.25,15.26,23.82,363.4932
1785646800000,2026-08-02T05:00:00Z,15.26,15.27,15.26,15.27,20.72,316.2489
1785650400000,2026-08-02T06:00:00Z,15.27,15.27,15.26,15.26,25.37,387.2129
1785654000000,2026-08-02T07:00:00Z,15.26,15.27,15.25,15.27,5.7,86.9701
1785657600000,2026-08-02T08:00:00Z,15.27,15.28,15.24,15.26,68.11,1039.2866
1785661200000,2026-08-02T09:00:00Z,15.26,15.29,15.25,15.29,24.69,377.0311
1785664800000,2026-08-02T10:00:00Z,15.29,15.29,15.27,15.27,36.76,561.8546
1785668400000,2026-08-02T11:00:00Z,15.27,15.27,15.2,15.2,154.79,2354.8059
1785672000000,2026-08-02T12:00:00Z,15.2,15.23,15.2,15.23,9.07,138.0505
1785675600000,2026-08-02T13:00:00Z,15.23,15.23,15.22,15.23,12.89,196.2484
1785679200000,2026-08-02T14:00:00Z,15.23,15.24,15.22,15.24,40.05,609.813
1785682800000,2026-08-02T15:00:00Z,15.24,15.28,15.23,15.28,69.68,1063.3155
1785686400000,2026-08-02T16:00:00Z,15.28,15.34,15.27,15.34,599.46,9190.4066
1785690000000,2026-08-02T17:00:00Z,15.34,15.37,15.3,15.3,108.06,1658.2519
1785693600000,2026-08-02T18:00:00Z,15.3,15.34,15.28,15.32,246.54,3775.9801
1785697200000,2026-08-02T19:00:00Z,15.32,15.33,15.32,15.33,35.26,540.5179
1785700800000,2026-08-02T20:00:00Z,15.33,15.33,15.33,15.33,88.53,1357.1649
1785704400000,2026-08-02T21:00:00Z,15.33,15.43,15.32,15.4,553.92,8508.5488
1785708000000,2026-08-02T22:00:00Z,15.4,15.5,15.4,15.45,1627.02,25189.3283
1785711600000,2026-08-02T23:00:00Z,15.45,15.48,15.44,15.48,872.9,13502.9591
1785715200000,2026-08-03T00:00:00Z,15.48,15.5,15.25,15.34,1095.31,16833.3091
1785718800000,2026-08-03T01:00:00Z,15.34,15.34,15.25,15.3,124.96,1909.2615
1785722400000,2026-08-03T02:00:00Z,15.3,15.33,15.24,15.26,254.14,3885.6106
1785726000000,2026-08-03T03:00:00Z,15.26,15.29,15.24,15.29,186.42,2845.6574
1785729600000,2026-08-03T04:00:00Z,15.29,15.3,15.26,15.26,72.73,1111.7612
1785733200000,2026-08-03T05:00:00Z,15.26,15.28,15.24,15.28,71.69,1094.2523
1785736800000,2026-08-03T06:00:00Z,15.28,15.29,15.21,15.24,167.91,2556.5234
1785740400000,2026-08-03T07:00:00Z,15.24,15.25,15.18,15.19,71.08,1079.9513
1785744000000,2026-08-03T08:00:00Z,15.19,15.2,15.03,15.15,622.43,9414.7152
1785747600000,2026-08-03T09:00:00Z,15.15,15.15,15.11,15.12,40.03,605.6475
1785751200000,2026-08-03T10:00:00Z,15.12,15.12,14.98,15.02,608.45,9138.5443
1785754800000,2026-08-03T11:00:00Z,15.02,15.03,14.93,14.95,56.08,839.8493
1785758400000,2026-08-03T12:00:00Z,14.95,14.97,14.88,14.97,319.55,4769.2859
1785762000000,2026-08-03T13:00:00Z,14.97,15.09,14.37,15.08,6450.21,94037.0464
1785765600000,2026-08-03T14:00:00Z,15.08,15.87,15.02,15.78,1432.24,21985.6093
1785769200000,2026-08-03T15:00:00Z,15.78,15.78,15.48,15.71,346.98,5404.1042
1785772800000,2026-08-03T16:00:00Z,15.71,16,15.63,15.83,1318.01,20857.8896
1785776400000,2026-08-03T17:00:00Z,15.83,16.02,15.78,16.02,105.14,1671.3048
1785780000000,2026-08-03T18:00:00Z,16.02,16.07,15.9,15.9,1122.13,17943.3327
1785783600000,2026-08-03T19:00:00Z,15.9,15.96,15.76,15.93,601.66,9519.1056
1785787200000,2026-08-03T20:00:00Z,15.93,16,15.9,16,832.67,13265.7736
1785790800000,2026-08-03T21:00:00Z,16,16.03,15.85,16.03,555.32,8834.8064
1785794400000,2026-08-03T22:00:00Z,16.03,16.22,16.03,16.2,1128.06,18188.0254
1785798000000,2026-08-03T23:00:00Z,16.2,16.2,16.15,16.18,147.15,2380.6133
1785801600000,2026-08-04T00:00:00Z,16.18,16.18,15.95,15.95,612.13,9826.574
1785805200000,2026-08-04T01:00:00Z,15.95,16.19,15.95,16.19,289.56,4661.307
1785808800000,2026-08-04T02:00:00Z,16.19,16.22,16.06,16.06,63.73,1028.4178
1785812400000,2026-08-04T03:00:00Z,16.06,16.14,16.06,16.12,17.18,276.449
