ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,23.731,23.751,23.691,23.726,35.77,848.4853
1785632400000,2026-08-02T01:00:00Z,23.726,23.853,23.582,23.646,1416.4,33528.78206
1785636000000,2026-08-02T02:00:00Z,23.646,23.656,23.405,23.45,728.78,17119.3046
1785639600000,2026-08-02T03:00:00Z,23.45,23.46,23.267,23.426,3305.54,77174.00741
1785643200000,2026-08-02T04:00:00Z,23.426,23.527,23.34,23.351,703.12,16503.11825
1785646800000,2026-08-02T05:00:00Z,23.351,23.527,23.351,23.416,629.86,14780.26744
1785650400000,2026-08-02T06:00:00Z,23.416,23.48,23.355,23.468,45.55,1067.63872
1785654000000,2026-08-02T07:00:00Z,23.468,23.504,23.355,23.355,156.83,3680.40714
1785657600000,2026-08-02T08:00:00Z,23.355,23.462,23.187,23.187,4872.34,113575.95766
1785661200000,2026-08-02T09:00:00Z,23.187,23.293,23.187,23.249,369.05,8577.93524
1785664800000,2026-08-02T10:00:00Z,23.249,23.32,23.244,23.283,31.71,738.39815
1785668400000,2026-08-02T11:00:00Z,23.283,23.283,23.202,23.257,203.5,4726.61489
1785672000000,2026-08-02T12:00:00Z,23.257,23.272,23.208,23.229,63.37,1472.49564
1785675600000,2026-08-02T13:00:00Z,23.229,23.245,23.201,23.213,46.22,1073.217
1785679200000,2026-08-02T14:00:00Z,23.213,23.216,23.149,23.149,201.27,4667.71916
1785682800000,2026-08-02T15:00:00Z,23.149,23.195,23.148,23.149,21.54,498.84761
1785686400000,2026-08-02T16:00:00Z,23.149,23.149,22.921,22.986,1123.28,25873.70858
1785690000000,2026-08-02T17:00:00Z,22.986,23.03,22.956,22.986,267.63,6153.39977
1785693600000,2026-08-02T18:00:00Z,22.986,23.045,22.977,23.028,131.99,3036.81431
1785697200000,2026-08-02T19:00:00Z,23.028,23.06,22.935,23.044,39.94,919.9433
1785700800000,2026-08-02T20:00:00Z,23.044,23.135,22.947,23.113,507.92,11733.12879
1785704400000,2026-08-02T21:00:00Z,23.113,23.13,22.564,22.658,9886.06,225598.31821
1785708000000,2026-08-02T22:00:00Z,22.658,23.045,22.629,23.015,3473.27,79612.75804
1785711600000,2026-08-02T23:00:00Z,23.015,23.046,22.974,23.002,121.98,2809.12592
1785715200000,2026-08-03T00:00:00Z,23.002,23.394,22.884,22.989,5781.17,133995.25542
1785718800000,2026-08-03T01:00:00Z,22.989,23.08,22.953,23.016,253.13,5824.60386
1785722400000,2026-08-03T02:00:00Z,23.016,23.046,22.974,22.998,239.75,5516.80103
1785726000000,2026-08-03T03:00:00Z,22.998,23.014,22.965,22.978,353.92,8141.44076
1785729600000,2026-08-03T04:00:00Z,22.978,23.007,22.919,22.971,630.87,14480.65415
1785733200000,2026-08-03T05:00:00Z,22.971,22.978,22.856,22.933,3051.62,69891.53955
1785736800000,2026-08-03T06:00:00Z,22.933,22.933,22.785,22.815,402.06,9187.94953
1785740400000,2026-08-03T07:00:00Z,22.815,22.991,22.796,22.844,623.91,14276.70544
1785744000000,2026-08-03T08:00:00Z,22.844,22.972,22.844,22.856,551.52,12629.04734
1785747600000,2026-08-03T09:00:00Z,22.856,22.893,22.815,22.857,303.9,6953.42406
1785751200000,2026-08-03T10:00:00Z,22.857,22.891,22.748,22.813,280.72,6410.2209
1785754800000,2026-08-03T11:00:00Z,22.813,22.907,22.744,22.884,185.68,4232.42818
1785758400000,2026-08-03T12:00:00Z,22.884,23.011,22.674,22.696,1410.77,32334.69049
1785762000000,2026-08-03T13:00:00Z,22.696,23,22.64,22.923,442.08,10092.97193
1785765600000,2026-08-03T14:00:00Z,22.923,22.955,22.6,22.839,736.6,16773.55137
1785769200000,2026-08-03T15:00:00Z,22.839,22.859,22.607,22.722,248.89,5652.44698
1785772800000,2026-08-03T16:00:00Z,22.722,22.785,22.62,22.74,266.79,6064.76449
1785776400000,2026-08-03T17:00:00Z,22.74,23.055,22.74,22.866,825.41,18899.53103
1785780000000,2026-08-03T18:00:00Z,22.866,22.945,22.721,22.896,232.29,5303.60307
1785783600000,2026-08-03T19:00:00Z,22.896,22.93,22.796,22.923,108.81,2486.95457
1785787200000,2026-08-03T20:00:00Z,22.923,23.015,22.844,22.87,3142.7,72129.61572
1785790800000,2026-08-03T21:00:00Z,22.87,22.922,22.799,22.911,393.83,9008.30393
1785794400000,2026-08-03T22:00:00Z,22.911,22.911,22.8,22.821,269.37,6162.92773
1785798000000,2026-08-03T23:00:00Z,22.821,22.861,22.786,22.786,34.75,792.83797
1785801600000,2026-08-04T00:00:00Z,22.786,22.859,22.769,22.808,114.92,2620.1164
1785805200000,2026-08-04T01:00:00Z,22.808,22.839,22.682,22.704,270.39,6142.81067
1785808800000,2026-08-04T02:00:00Z,22.704,22.824,22.704,22.773,41.18,937.53362
1785812400000,2026-08-04T03:00:00Z,22.773,22.796,22.683,22.766,78.74,1788.17398
1785816000000,2026-08-04T04:00:00Z,22.766,22.77,22.682,22.738,6.92,157.29437
1785819600000,2026-08-04T05:00:00Z,22.738,22.773,22.722,22.736,4.68,106.4039
1785823200000,2026-08-04T06:00:00Z,22.736,22.736,22.564,22.632,50.18,1136.03854
1785826800000,2026-08-04T07:00:00Z,22.632,22.692,22.607,22.672,106.39,2410.01214
1785830400000,2026-08-04T08:00:00Z,22.672,22.733,22.605,22.689,252.44,5725.35667
1785834000000,2026-08-04T09:00:00Z,22.689,22.73,22.656,22.696,58.05,1318.2031
1785837600000,2026-08-04T10:00:00Z,22.696,22.696,22.369,22.416,1166.84,26171.38935
1785841200000,2026-08-04T11:00:00Z,22.416,22.517,22.404,22.444,186.45,4188.53547
1785844800000,2026-08-04T12:00:00Z,22.444,22.528,22.421,22.457,207.14,4653.83985
1785848400000,2026-08-04T13:00:00Z,22.457,22.8,22.343,22.657,1900.26,42998.11142
1785852000000,2026-08-04T14:00:00Z,22.657,22.893,22.4,22.609,1437.22,32538.39146
1785855600000,2026-08-04T15:00:00Z,22.609,22.81,22.607,22.768,699.9,15922.11056
1785859200000,2026-08-04T16:00:00Z,22.768,22.768,22.452,22.667,680.56,15349.25689
1785862800000,2026-08-04T17:00:00Z,22.667,22.88,22.577,22.761,3594.65,81508.78089
1785866400000,2026-08-04T18:00:00Z,22.761,22.88,22.711,22.742,696.16,15865.53525
1785870000000,2026-08-04T19:00:00Z,22.742,23.12,22.702,23.12,1033.04,23757.49027
1785873600000,2026-08-04T20:00:00Z,23.12,23.238,22.875,23.029,530.58,12212.04779
1785877200000,2026-08-04T21:00:00Z,23.029,23.423,23.029,23.224,5082.36,118167.83491
1785880800000,2026-08-04T22:00:00Z,23.224,23.224,22.933,23.08,914.13,21126.64512
1785884400000,2026-08-04T23:00:00Z,23.08,23.08,22.933,22.974,298.68,6854.10439
1785888000000,2026-08-05T00:00:00Z,22.974,23.001,22.884,22.979,13.86,317.88526
1785891600000,2026-08-05T01:00:00Z,22.979,22.996,22.907,22.983,14.94,342.93411
1785895200000,2026-08-05T02:00:00Z,22.983,22.983,22.844,22.844,20.29,464.71696
1785898800000,2026-08-05T03:00:00Z,22.844,22.896,22.836,22.873,70.45,1610.41291
1785902400000,2026-08-05T04:00:00Z,22.873,22.925,22.865,22.904,20.88,477.74635
1785906000000,2026-08-05T05:00:00Z,22.904,22.904,22.824,22.839,76.86,1754.73815
1785909600000,2026-08-05T06:00:00Z,22.839,23.036,22.839,22.973,197.04,4522.64232
1785913200000,2026-08-05T07:00:00Z,22.973,23.019,22.893,22.92,114.1,2618.45376
