ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1785628800000,2026-08-02T00:00:00Z,683.67,685.49,683.67,684.31,2.12,1450.5026
1785632400000,2026-08-02T01:00:00Z,684.31,685.33,683.78,684.72,0.25,171.1165
1785636000000,2026-08-02T02:00:00Z,684.72,685.11,683.66,684.04,0.29,198.4815
1785639600000,2026-08-02T03:00:00Z,684.04,685.2,683.84,683.84,0.18,123.241
1785643200000,2026-08-02T04:00:00Z,683.84,685.4,683.84,683.99,0.27,184.7552
1785646800000,2026-08-02T05:00:00Z,683.99,685.27,683.71,685.12,2.35,1607.1149
1785650400000,2026-08-02T06:00:00Z,685.12,685.12,683.7,684.72,0.25,171.0471
1785654000000,2026-08-02T07:00:00Z,684.72,685.11,683.62,684.08,0.07,47.8924
1785657600000,2026-08-02T08:00:00Z,684.08,685.16,683.97,685.09,0.22,150.6079
1785661200000,2026-08-02T09:00:00Z,685.09,685.09,683.86,684.87,3.69,2524.4998
1785664800000,2026-08-02T10:00:00Z,684.87,685,683.77,684.76,0.23,157.4339
1785668400000,2026-08-02T11:00:00Z,684.76,685.02,683.87,684.92,0.27,184.7801
1785672000000,2026-08-02T12:00:00Z,684.92,684.98,683.97,684.38,0.29,198.4456
1785675600000,2026-08-02T13:00:00Z,684.38,684.84,683.7,683.89,0.23,157.3559
1785679200000,2026-08-02T14:00:00Z,683.89,684.72,683.73,684.52,0.15,102.6258
1785682800000,2026-08-02T15:00:00Z,684.52,685.35,683.86,683.86,0.22,150.5507
1785686400000,2026-08-02T16:00:00Z,683.86,685.26,683.86,684.4,0.28,191.6264
1785690000000,2026-08-02T17:00:00Z,684.4,684.98,683.79,683.79,0.18,123.1972
1785693600000,2026-08-02T18:00:00Z,683.79,685,683.79,684.16,0.28,191.6299
1785697200000,2026-08-02T19:00:00Z,684.16,685.11,683.67,685.11,0.31,212.1075
1785700800000,2026-08-02T20:00:00Z,685.11,685.33,683.62,685,0.19,130.0937
1785704400000,2026-08-02T21:00:00Z,685,685.4,683.76,685.17,0.25,171.1424
1785708000000,2026-08-02T22:00:00Z,685.17,685.17,683.97,683.97,13.78,9439.7263
1785711600000,2026-08-02T23:00:00Z,683.97,685.55,683.97,684.79,5.98,4098.2426
1785715200000,2026-08-03T00:00:00Z,684.79,687.14,684.79,686.87,0.18,123.5723
1785718800000,2026-08-03T01:00:00Z,686.87,690.84,686.87,689.8,20.98,14451.9037
1785722400000,2026-08-03T02:00:00Z,689.8,690.85,689.8,690.85,5.81,4010.4337
1785726000000,2026-08-03T03:00:00Z,690.85,691.41,688.85,688.92,0.16,110.4088
1785729600000,2026-08-03T04:00:00Z,688.92,691.89,688.92,689.07,0.21,144.9344
1785733200000,2026-08-03T05:00:00Z,689.07,690.96,688.31,690.92,1.54,1061.7211
1785736800000,2026-08-03T06:00:00Z,690.92,691.09,688.78,688.78,0.14,96.5542
1785740400000,2026-08-03T07:00:00Z,688.78,691.27,688.42,689.38,0.22,151.7759
1785744000000,2026-08-03T08:00:00Z,689.38,689.95,688.13,689.95,0.2,137.8241
1785747600000,2026-08-03T09:00:00Z,689.95,691.06,689.29,689.29,0.17,117.3734
1785751200000,2026-08-03T10:00:00Z,689.29,690.96,689.02,690.96,2.24,1546.5995
1785754800000,2026-08-03T11:00:00Z,690.96,691.16,688.59,689.52,0.23,158.705
1785758400000,2026-08-03T12:00:00Z,689.52,691.53,687.55,691.18,0.43,296.6297
1785762000000,2026-08-03T13:00:00Z,691.18,692.5,686.56,692.5,7.29,5026.4771
1785765600000,2026-08-03T14:00:00Z,692.5,694.87,691.91,693.16,5.51,3816.6335
1785769200000,2026-08-03T15:00:00Z,693.16,695.98,693.16,695.98,0.16,111.1508
1785772800000,2026-08-03T16:00:00Z,695.98,698,694.85,696,9.18,6388.241
1785776400000,2026-08-03T17:00:00Z,696,696.57,695,695.1,0.19,132.1256
1785780000000,2026-08-03T18:00:00Z,695.1,697.52,695.1,696.37,7.47,5206.479
1785783600000,2026-08-03T19:00:00Z,696.37,697.14,695.76,696.96,0.13,90.5483
1785787200000,2026-08-03T20:00:00Z,696.96,697.27,695.84,696.66,0.26,181.1371
1785790800000,2026-08-03T21:00:00Z,696.66,697.85,695.81,696.45,0.22,153.2855
1785794400000,2026-08-03T22:00:00Z,696.45,697.59,695.77,696.56,0.22,153.2687
1785798000000,2026-08-03T23:00:00Z,696.56,697.81,695.79,697.81,0.23,160.2954
1785801600000,2026-08-04T00:00:00Z,697.81,697.81,696.46,697.43,0.15,104.5731
1785805200000,2026-08-04T01:00:00Z,697.43,698,696.06,698,0.22,153.3501
1785808800000,2026-08-04T02:00:00Z,698,698.59,696.73,698.59,0.09,62.8071
1785812400000,2026-08-04T03:00:00Z,698.59,699.06,696.63,696.69,0.18,125.6135
1785816000000,2026-08-04T04:00:00Z,696.69,699.27,696.51,699.16,0.13,90.7781
1785819600000,2026-08-04T05:00:00Z,699.16,699.62,697.42,698.84,0.25,174.618
1785823200000,2026-08-04T06:00:00Z,698.84,699.82,697.53,698.03,0.4,279.494
1785826800000,2026-08-04T07:00:00Z,698.03,698.64,696.82,698.64,0.24,167.5319
1785830400000,2026-08-04T08:00:00Z,698.64,699.09,695.99,697.09,0.96,669.177
1785834000000,2026-08-04T09:00:00Z,697.09,698.52,696.76,698.52,0.13,90.6936
1785837600000,2026-08-04T10:00:00Z,698.52,698.71,695.53,696.83,0.34,237.0478
1785841200000,2026-08-04T11:00:00Z,696.83,699.68,696.58,699.68,0.85,593.2787
1785844800000,2026-08-04T12:00:00Z,699.68,699.68,697.18,699.45,0.24,167.638
1785848400000,2026-08-04T13:00:00Z,699.45,704.31,698.87,701.09,18.02,12667.0158
1785852000000,2026-08-04T14:00:00Z,701.09,704,701.09,703.11,11.45,8053.5189
1785855600000,2026-08-04T15:00:00Z,703.11,706.2,703.11,706.2,4.61,3249.9259
1785859200000,2026-08-04T16:00:00Z,706.2,709.61,705.85,706.21,11.06,7812.6668
1785862800000,2026-08-04T17:00:00Z,706.21,711.04,706.21,711.04,0.27,191.4874
1785866400000,2026-08-04T18:00:00Z,711.04,711.04,708.42,710.44,0.88,624.4448
1785870000000,2026-08-04T19:00:00Z,710.44,710.86,708.65,709.23,1.21,858.337
1785873600000,2026-08-04T20:00:00Z,709.23,710.6,709.04,710.36,0.19,134.9068
1785877200000,2026-08-04T21:00:00Z,710.36,711.12,708.25,708.25,2.71,1923.6757
1785880800000,2026-08-04T22:00:00Z,708.25,711.2,708.25,710.66,0.25,177.5307
1785884400000,2026-08-04T23:00:00Z,710.66,710.66,708.37,708.37,0.17,120.6181
1785888000000,2026-08-05T00:00:00Z,708.37,711.25,708.37,711.25,0.31,219.9752
1785891600000,2026-08-05T01:00:00Z,711.25,711.25,709.03,709.03,0.15,106.5056
1785895200000,2026-08-05T02:00:00Z,709.03,710.88,709.03,710.84,0.28,198.9293
1785898800000,2026-08-05T03:00:00Z,710.84,711.17,710.08,711.17,0.2,142.1189
1785902400000,2026-08-05T04:00:00Z,711.17,711.25,709.81,710.84,0.38,270.0839
1785906000000,2026-08-05T05:00:00Z,710.84,713.57,710.2,712.44,4.41,3140.4014
1785909600000,2026-08-05T06:00:00Z,712.44,713.03,710.77,712.59,2.6,1851.3203
1785913200000,2026-08-05T07:00:00Z,712.59,713.19,710.72,713.19,0.29,206.4449
1785916800000,2026-08-05T08:00:00Z,713.19,713.19,709.9,710.86,0.11,78.234
1785920400000,2026-08-05T09:00:00Z,710.86,712.75,709.83,709.83,0.19,135.1165
1785924000000,2026-08-05T10:00:00Z,709.83,712.43,709.83,711.48,0.13,92.5524
1785927600000,2026-08-05T11:00:00Z,711.48,713.09,710.48,713.09,3.05,2172.0395
1785931200000,2026-08-05T12:00:00Z,713.09,713.5,711.23,712.85,0.16,113.9519
1785934800000,2026-08-05T13:00:00Z,712.85,715,709.56,711.5,5.17,3677.9958
1785938400000,2026-08-05T14:00:00Z,711.5,714.31,709.93,710.23,2.4,1712.0198
1785942000000,2026-08-05T15:00:00Z,710.23,713.86,708.27,708.27,1.33,944.6792
1785945600000,2026-08-05T16:00:00Z,708.27,711.8,707.68,711.8,0.06,42.5797
1785949200000,2026-08-05T17:00:00Z,711.8,711.8,707.63,707.91,0.11,78.0061
1785952800000,2026-08-05T18:00:00Z,707.91,710.5,707.91,710.5,0.12,85.2064
1785956400000,2026-08-05T19:00:00Z,710.5,710.52,707.89,709.27,0.27,191.4601
1785960000000,2026-08-05T20:00:00Z,709.27,711.38,708.5,708.5,0.1,70.9184
1785963600000,2026-08-05T21:00:00Z,708.5,709.34,707.58,709.34,0.14,99.1313
1785967200000,2026-08-05T22:00:00Z,709.34,711.01,707.84,710.27,0.16,113.5211
1785970800000,2026-08-05T23:00:00Z,710.27,710.27,708.94,708.94,0.13,92.2142
1785974400000,2026-08-06T00:00:00Z,708.94,710.65,707.99,710.42,0.18,127.7549
1785978000000,2026-08-06T01:00:00Z,710.42,710.42,707.86,708.62,0.18,127.5999
1785981600000,2026-08-06T02:00:00Z,708.62,709.8,708.58,709.8,0.2,141.8658
1785985200000,2026-08-06T03:00:00Z,709.8,709.8,707.97,709.53,0.1,70.8974
1785988800000,2026-08-06T04:00:00Z,709.53,710.71,708.02,708.23,0.22,156.1218
1785992400000,2026-08-06T05:00:00Z,708.23,709.87,708.19,709.87,0.26,184.2752
1785996000000,2026-08-06T06:00:00Z,709.87,709.87,709.14,709.14,0.2,141.8996
1785999600000,2026-08-06T07:00:00Z,709.14,709.57,707.7,709.29,0.18,127.6165
1786003200000,2026-08-06T08:00:00Z,709.29,710.5,707.66,709.09,7.13,5054.5102
1786006800000,2026-08-06T09:00:00Z,709.09,709.8,707.52,709.54,4.38,3103.4484
1786010400000,2026-08-06T10:00:00Z,709.54,709.95,708.85,709.42,1.2,850.7561
1786014000000,2026-08-06T11:00:00Z,709.42,709.43,707.89,709.2,0.16,113.4318
1786017600000,2026-08-06T12:00:00Z,709.2,709.35,708.05,708.05,0.1,70.8887
1786021200000,2026-08-06T13:00:00Z,708.05,709.69,707.96,709.46,0.18,127.6488
1786024800000,2026-08-06T14:00:00Z,709.46,710.64,707.03,707.23,11.78,8330.9635
1786028400000,2026-08-06T15:00:00Z,707.23,708.34,706.47,708.02,0.2,141.5266
1786032000000,2026-08-06T16:00:00Z,708.02,708.02,706.96,706.96,0.17,120.2466
1786035600000,2026-08-06T17:00:00Z,706.96,706.98,705.06,705.06,0.14,98.8872
1786039200000,2026-08-06T18:00:00Z,705.06,707.64,705.06,705.68,0.17,120.0764
1786042800000,2026-08-06T19:00:00Z,705.68,707.83,705.33,707.83,0.2,141.2955
1786046400000,2026-08-06T20:00:00Z,707.83,707.83,705.35,706.87,0.26,183.7299
1786050000000,2026-08-06T21:00:00Z,706.87,707.31,705.54,705.54,0.14,98.8445
1786053600000,2026-08-06T22:00:00Z,705.54,707.28,705.12,707.28,0.22,155.2972
1786057200000,2026-08-06T23:00:00Z,707.28,707.28,705.25,707.09,0.13,91.8206
1786060800000,2026-08-07T00:00:00Z,707.09,707.7,705.11,705.11,0.13,91.7706
1786064400000,2026-08-07T01:00:00Z,705.11,707.58,705.11,707.21,0.14,98.9367
1786068000000,2026-08-07T02:00:00Z,707.21,707.43,705.48,705.48,0.35,247.2936
1786071600000,2026-08-07T03:00:00Z,705.48,707.24,705.12,706.31,0.23,162.4327
1786075200000,2026-08-07T04:00:00Z,706.31,707.79,705.38,706.26,0.21,148.3247
1786078800000,2026-08-07T05:00:00Z,706.26,707.59,705.44,706.21,1.08,762.745
1786082400000,2026-08-07T06:00:00Z,706.21,707.61,705.62,707.61,0.17,120.0265
1786086000000,2026-08-07T07:00:00Z,707.61,707.61,705.21,706.16,0.23,162.472
1786089600000,2026-08-07T08:00:00Z,706.16,708.36,705.81,706.2,0.34,240.4327
1786093200000,2026-08-07T09:00:00Z,706.2,707.97,706.2,706.43,0.11,77.7935
1786096800000,2026-08-07T10:00:00Z,706.43,708.98,706.43,708.98,0.8,567.0891
1786100400000,2026-08-07T11:00:00Z,708.98,709.17,707.3,708.17,1.07,757.537
1786104000000,2026-08-07T12:00:00Z,708.17,710.48,707.04,709.16,1.01,715.5361
