ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788135900000,2026-08-31T00:25:00Z,188.49,188.49,188.49,188.49,10,1884.9
1788137160000,2026-08-31T00:46:00Z,188.71,188.71,188.71,188.71,3,566.13
1788140580000,2026-08-31T01:43:00Z,189.01,189.01,189.01,189.01,7,1323.07
1788140640000,2026-08-31T01:44:00Z,188.69,188.69,188.69,188.69,100,18869
1788143160000,2026-08-31T02:26:00Z,188.69,188.69,188.54,188.54,10,1886.15
1788143700000,2026-08-31T02:35:00Z,188.61,188.61,188.61,188.61,1,188.61
1788144480000,2026-08-31T02:48:00Z,188.62,188.62,188.57,188.57,18,3395.01
1788145620000,2026-08-31T03:07:00Z,188.93,189.02,188.93,189.02,7,1322.78
1788151380000,2026-08-31T04:43:00Z,188.69,188.69,188.69,188.69,18,3396.42
1788151440000,2026-08-31T04:44:00Z,188.61,188.69,188.61,188.69,90,16982.02
1788152220000,2026-08-31T04:57:00Z,188.7,188.7,188.7,188.7,10,1887
1788154320000,2026-08-31T05:32:00Z,188.75,188.75,188.75,188.75,1,188.75
1788157380000,2026-08-31T06:23:00Z,188.81,188.81,188.81,188.81,5,944.05
1788163140000,2026-08-31T07:59:00Z,189.609,189.609,189.609,189.609,0,0
1788163200000,2026-08-31T08:00:00Z,189.463,189.463,188.678,188.678,242.072736,45755.3539877664
1788163260000,2026-08-31T08:01:00Z,188.677,188.677,188.675,188.675,48,9056.4336
1788163320000,2026-08-31T08:02:00Z,188.675,188.675,188.675,188.675,10,1886.75
1788163560000,2026-08-31T08:06:00Z,188.675,188.675,188.675,188.675,20,3773.5
1788164700000,2026-08-31T08:25:00Z,188.675,188.675,188.675,188.675,38,7169.65
1788165000000,2026-08-31T08:30:00Z,188.675,188.675,188.675,188.675,10,1886.75
1788165060000,2026-08-31T08:31:00Z,188.675,188.675,188.675,188.675,141,26603.175
1788165120000,2026-08-31T08:32:00Z,188.675,188.675,188.675,188.675,134,25282.45
1788165600000,2026-08-31T08:40:00Z,188.751,189.126,188.751,189.126,0,0
1788165660000,2026-08-31T08:41:00Z,189.127,189.129,189.127,189.129,0,0
1788166740000,2026-08-31T08:59:00Z,189.13,189.13,189.13,189.13,2.839466,537.02820458
1788167100000,2026-08-31T09:05:00Z,189.054,189.054,188.677,188.677,0,0
1788167160000,2026-08-31T09:06:00Z,188.676,188.676,188.675,188.675,2573,485460.775
1788167220000,2026-08-31T09:07:00Z,188.675,188.675,188.675,188.675,171,32263.425
1788167700000,2026-08-31T09:15:00Z,188.675,188.675,188.675,188.675,0.179634,33.89244495
1788168000000,2026-08-31T09:20:00Z,188.675,188.675,188.675,188.675,4,754.7
1788168120000,2026-08-31T09:22:00Z,188.675,188.675,188.675,188.675,2.6343,497.0265525
1788168600000,2026-08-31T09:30:00Z,188.675,188.675,188.675,188.675,1,188.675
1788169140000,2026-08-31T09:39:00Z,188.675,188.675,188.675,188.675,50,9433.75
1788169440000,2026-08-31T09:44:00Z,188.675,188.675,188.675,188.675,4,754.7
1788169680000,2026-08-31T09:48:00Z,188.675,188.675,188.675,188.675,0,0
1788170040000,2026-08-31T09:54:00Z,188.799,189.17,188.799,189.17,0,0
1788170100000,2026-08-31T09:55:00Z,189.212,189.419,189.212,189.419,0,0
1788170160000,2026-08-31T09:56:00Z,189.42,189.42,189.42,189.42,0,0
1788170520000,2026-08-31T10:02:00Z,189.42,189.42,189.331,189.331,0.105023,19.89345666
1788170580000,2026-08-31T10:03:00Z,189.328,189.328,189.311,189.311,0,0
1788171060000,2026-08-31T10:11:00Z,189.31,189.31,189.31,189.31,10,1893.1
1788171360000,2026-08-31T10:16:00Z,189.31,189.31,189.31,189.31,2,378.62
1788174000000,2026-08-31T11:00:00Z,189.31,189.31,189.31,189.31,256.01576,48466.3435256
1788174240000,2026-08-31T11:04:00Z,189.31,189.31,189.31,189.31,0,0
1788174660000,2026-08-31T11:11:00Z,189.31,189.478,189.31,189.478,323,61147.2269
1788174720000,2026-08-31T11:12:00Z,189.48,189.489,189.48,189.489,0,0
1788174960000,2026-08-31T11:16:00Z,189.49,189.996,189.49,189.996,5.235603,992.1143077614
1788175020000,2026-08-31T11:17:00Z,189.997,190.067,189.997,190.067,0,0
1788175080000,2026-08-31T11:18:00Z,190.078,190.129,190.078,190.129,0,0
1788175140000,2026-08-31T11:19:00Z,189.943,189.943,189.097,189.097,32,6078.176
1788175200000,2026-08-31T11:20:00Z,189.083,189.739,189.083,189.254,2,379.478
1788175260000,2026-08-31T11:21:00Z,189.214,189.214,189.01,189.01,0,0
1788175320000,2026-08-31T11:22:00Z,189.095,189.52,189.095,189.52,0,0
1788175440000,2026-08-31T11:24:00Z,189.52,189.52,189.52,189.52,600,113712
1788175500000,2026-08-31T11:25:00Z,189.52,189.52,189.52,189.52,28,5306.56
1788176220000,2026-08-31T11:37:00Z,189.52,189.52,189.52,189.52,7,1326.64
1788176400000,2026-08-31T11:40:00Z,189.52,189.52,189.52,189.52,2,379.04
1788176520000,2026-08-31T11:42:00Z,189.52,189.52,189.52,189.52,103,19520.56
1788176700000,2026-08-31T11:45:00Z,189.52,189.52,189.52,189.52,1,189.52
1788176820000,2026-08-31T11:47:00Z,189.392,189.392,188.752,188.752,251,47536.8147
1788177060000,2026-08-31T11:51:00Z,188.751,188.751,188.75,188.75,30,5662.506
1788177180000,2026-08-31T11:53:00Z,188.75,189.597,188.75,189.597,25,4718.75
1788177240000,2026-08-31T11:54:00Z,189.601,189.619,189.601,189.619,0,0
1788177300000,2026-08-31T11:55:00Z,189.62,189.62,189.62,189.62,0,0
1788177420000,2026-08-31T11:57:00Z,189.62,189.62,189.62,189.62,1,189.62
1788177480000,2026-08-31T11:58:00Z,189.62,189.62,188.751,188.751,435004,82485371.4792
1788177540000,2026-08-31T11:59:00Z,188.75,188.75,188.75,188.75,0,0
1788177720000,2026-08-31T12:02:00Z,188.75,188.75,188.75,188.75,8,1510
1788177900000,2026-08-31T12:05:00Z,188.75,188.75,188.75,188.75,25,4718.75
1788177960000,2026-08-31T12:06:00Z,188.75,188.75,188.75,188.75,3,566.25
1788178140000,2026-08-31T12:09:00Z,188.75,188.75,188.75,188.75,138,26047.5
1788178260000,2026-08-31T12:11:00Z,188.75,188.75,188.75,188.75,75,14156.25
1788178320000,2026-08-31T12:12:00Z,188.75,188.75,188.75,188.75,1.007447,190.15562125
1788178440000,2026-08-31T12:14:00Z,188.758,188.783,188.758,188.783,0,0
1788178500000,2026-08-31T12:15:00Z,188.786,188.799,188.786,188.799,0,0
1788178560000,2026-08-31T12:16:00Z,188.8,188.8,188.8,188.8,2,377.6
1788178680000,2026-08-31T12:18:00Z,188.8,188.8,188.8,188.8,15,2832
1788178740000,2026-08-31T12:19:00Z,188.8,188.8,188.8,188.8,1,188.8
1788179160000,2026-08-31T12:26:00Z,188.8,188.8,188.8,188.8,4,755.2
1788179580000,2026-08-31T12:33:00Z,188.8,188.8,188.8,188.8,5,944
1788179640000,2026-08-31T12:34:00Z,188.8,188.8,188.8,188.8,8,1510.4
1788179700000,2026-08-31T12:35:00Z,188.8,188.8,188.8,188.8,1,188.8
1788180360000,2026-08-31T12:46:00Z,188.8,188.8,188.8,188.8,5,944
1788180420000,2026-08-31T12:47:00Z,188.8,188.8,188.8,188.8,464,87603.2
1788180540000,2026-08-31T12:49:00Z,188.798,188.798,188.796,188.796,0,0
1788180600000,2026-08-31T12:50:00Z,188.795,188.795,188.795,188.795,0,0
1788180960000,2026-08-31T12:56:00Z,188.795,188.795,188.795,188.795,18,3398.31
1788181440000,2026-08-31T13:04:00Z,188.795,188.795,188.795,188.795,14,2643.13
1788181560000,2026-08-31T13:06:00Z,188.795,188.795,188.795,188.795,5,943.975
1788181680000,2026-08-31T13:08:00Z,188.795,188.795,188.795,188.795,0,0
1788181740000,2026-08-31T13:09:00Z,188.795,188.798,188.795,188.798,6,1132.7712
1788181800000,2026-08-31T13:10:00Z,188.799,188.799,188.799,188.799,0,0
1788182100000,2026-08-31T13:15:00Z,188.8,188.8,188.8,188.8,7,1321.6
1788182220000,2026-08-31T13:17:00Z,188.8,188.8,188.8,188.8,10,1888
