ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788107100000,2026-08-30T16:25:00Z,292.51,292.51,292.51,292.51,0.5942,173.809442
1788134400000,2026-08-31T00:00:00Z,291.46,291.53,291.46,291.53,6,1749.04
1788134460000,2026-08-31T00:01:00Z,291.51,291.53,291.29,291.29,179,52142.85
1788134580000,2026-08-31T00:03:00Z,291.29,291.29,291.29,291.29,2,582.58
1788134880000,2026-08-31T00:08:00Z,291.05,291.05,291.04,291.04,21,6111.99
1788134940000,2026-08-31T00:09:00Z,291.02,291.02,290.86,290.86,33,9602.44
1788135000000,2026-08-31T00:10:00Z,290.97,290.97,290.97,290.97,2,581.94
1788135120000,2026-08-31T00:12:00Z,290.68,290.74,290.68,290.74,103,29946.04
1788135180000,2026-08-31T00:13:00Z,290.85,290.99,290.85,290.99,56,16294.93
1788135240000,2026-08-31T00:14:00Z,291.07,291.13,291.07,291.13,4,1164.34
1788135360000,2026-08-31T00:16:00Z,291.12,291.24,291.12,291.24,81,23584.83
1788135660000,2026-08-31T00:21:00Z,291.3,291.49,291.3,291.48,8,2331.18
1788135720000,2026-08-31T00:22:00Z,291.47,291.55,291.47,291.52,118,34396.5
1788135780000,2026-08-31T00:23:00Z,291.51,291.51,291.51,291.51,23,6704.73
1788135840000,2026-08-31T00:24:00Z,291.5,291.5,291.5,291.5,1,291.5
1788136020000,2026-08-31T00:27:00Z,291.15,291.15,291.15,291.15,110,32026.5
1788136140000,2026-08-31T00:29:00Z,291.51,291.51,291.49,291.5,14,4080.97
1788136200000,2026-08-31T00:30:00Z,291.54,291.54,291.54,291.54,11,3206.94
1788136260000,2026-08-31T00:31:00Z,291.54,291.54,291.54,291.54,3,874.62
1788136380000,2026-08-31T00:33:00Z,291.6,291.6,291.6,291.6,1,291.6
1788136440000,2026-08-31T00:34:00Z,291.64,291.67,291.64,291.64,17,4957.91
1788136500000,2026-08-31T00:35:00Z,291.66,291.66,291.66,291.66,1,291.66
1788136620000,2026-08-31T00:37:00Z,291.62,291.74,291.62,291.74,38,11083.95
1788136800000,2026-08-31T00:40:00Z,291.76,291.76,291.74,291.74,3,875.25
1788136860000,2026-08-31T00:41:00Z,291.63,291.63,291.63,291.63,15,4374.45
1788137040000,2026-08-31T00:44:00Z,291.66,291.75,291.66,291.75,102,29751.84
1788137160000,2026-08-31T00:46:00Z,291.74,291.75,291.74,291.75,32,9335.91
1788137220000,2026-08-31T00:47:00Z,291.75,291.81,291.71,291.81,94,27427.65
1788137280000,2026-08-31T00:48:00Z,291.8,291.81,291.8,291.81,18,5252.48
1788137700000,2026-08-31T00:55:00Z,291.73,291.75,291.73,291.75,41,11961.2
1788137760000,2026-08-31T00:56:00Z,291.18,291.18,291.18,291.18,1,291.18
1788137880000,2026-08-31T00:58:00Z,291.18,291.18,291.18,291.18,2,582.36
1788138000000,2026-08-31T01:00:00Z,291.17,291.18,291.17,291.18,75,21837.76
1788138840000,2026-08-31T01:14:00Z,291.5,291.5,291.5,291.5,4,1166
1788139440000,2026-08-31T01:24:00Z,291.2,291.2,291.18,291.18,51,14851.18
1788140400000,2026-08-31T01:40:00Z,291.19,291.19,291.19,291.19,98,28536.62
1788140460000,2026-08-31T01:41:00Z,291.18,291.18,291.18,291.18,2,582.36
1788140640000,2026-08-31T01:44:00Z,291.29,291.31,291.29,291.29,9,2621.72
1788141900000,2026-08-31T02:05:00Z,291.17,291.17,291.17,291.17,1,291.17
1788142920000,2026-08-31T02:22:00Z,291.04,291.04,290.99,290.99,49,14260.22
1788142980000,2026-08-31T02:23:00Z,291.01,291.01,290.59,290.59,76,22104.52
1788143460000,2026-08-31T02:31:00Z,290.8,290.8,290.8,290.8,558,162266.4
1788143580000,2026-08-31T02:33:00Z,290.66,290.66,290.66,290.66,1,290.66
1788143700000,2026-08-31T02:35:00Z,290.74,290.74,290.66,290.66,29,8430.29
1788143820000,2026-08-31T02:37:00Z,290.7,290.7,290.69,290.69,10,2906.96
1788143880000,2026-08-31T02:38:00Z,290.71,290.71,290.71,290.71,5,1453.55
1788144000000,2026-08-31T02:40:00Z,290.69,290.7,290.69,290.7,53,15406.93
1788144060000,2026-08-31T02:41:00Z,290.68,290.68,290.68,290.68,5,1453.4
1788144120000,2026-08-31T02:42:00Z,290.67,290.67,290.66,290.66,16,4650.69
1788144840000,2026-08-31T02:54:00Z,290.55,290.55,290.55,290.55,1,290.55
1788144900000,2026-08-31T02:55:00Z,290.62,290.66,290.62,290.66,126,36619.16
1788145140000,2026-08-31T02:59:00Z,290.56,290.56,290.48,290.52,102,29633.99
1788145260000,2026-08-31T03:01:00Z,290.6,290.6,290.6,290.6,20,5812
1788145440000,2026-08-31T03:04:00Z,290.6,290.6,290.6,290.6,45,13077
1788145800000,2026-08-31T03:10:00Z,290.59,290.59,290.59,290.59,2,581.18
1788145860000,2026-08-31T03:11:00Z,290.53,290.6,290.48,290.6,197,57234.82
1788146400000,2026-08-31T03:20:00Z,290.59,290.59,290.59,290.59,502,145876.18
1788146460000,2026-08-31T03:21:00Z,290.69,290.91,290.69,290.91,246,71556.46
1788146940000,2026-08-31T03:29:00Z,290.67,290.75,290.67,290.75,30,8722.1
1788147300000,2026-08-31T03:35:00Z,290.75,290.75,290.75,290.75,3,872.25
1788147960000,2026-08-31T03:46:00Z,290.93,290.93,290.93,290.93,1,290.93
1788148200000,2026-08-31T03:50:00Z,290.94,290.94,290.94,290.94,4,1163.76
1788148500000,2026-08-31T03:55:00Z,290.93,290.93,290.93,290.93,20,5818.6
1788148800000,2026-08-31T04:00:00Z,290.96,290.96,290.61,290.61,272,79086.04
1788149400000,2026-08-31T04:10:00Z,290.78,290.78,290.78,290.78,10,2907.8
1788150660000,2026-08-31T04:31:00Z,290.75,290.75,290.75,290.75,1,290.75
1788151260000,2026-08-31T04:41:00Z,290.69,290.69,290.69,290.69,28,8139.32
1788151500000,2026-08-31T04:45:00Z,290.68,290.68,290.58,290.58,110,31973.2
1788151740000,2026-08-31T04:49:00Z,290.57,290.57,290.57,290.57,2,581.14
1788151860000,2026-08-31T04:51:00Z,290.58,290.58,290.58,290.58,1,290.58
1788152100000,2026-08-31T04:55:00Z,290.6,290.6,290.6,290.6,3,871.8
1788153120000,2026-08-31T05:12:00Z,290.5,290.5,290.5,290.5,27,7843.5
1788153360000,2026-08-31T05:16:00Z,290.2,290.2,290.09,290.19,354,102704
1788153420000,2026-08-31T05:17:00Z,290.21,290.21,289.97,290.01,404,117167.62
1788153480000,2026-08-31T05:18:00Z,290.14,290.14,289.88,289.88,95,27552.67
1788154080000,2026-08-31T05:28:00Z,289.55,289.55,289.55,289.55,1,289.55
1788154200000,2026-08-31T05:30:00Z,290,290.07,290,290.07,66,19144.2
1788154260000,2026-08-31T05:31:00Z,290,290.2,290,290.2,95,27555.72
1788154320000,2026-08-31T05:32:00Z,289.99,289.99,289.99,289.99,5,1449.95
1788154380000,2026-08-31T05:33:00Z,290.09,290.09,289.99,289.99,42,12180.16
1788154440000,2026-08-31T05:34:00Z,290.21,290.41,290.21,290.41,5,1451.65
