ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788105840000,2026-08-30T16:04:00Z,465.02,465.26,465.02,465.26,2.153,1001.361228
1788106860000,2026-08-30T16:21:00Z,465.26,465.78,465.26,465.78,6.0029,2794.98739
1788122160000,2026-08-30T20:36:00Z,465.7,465.7,465.7,465.7,0.4094,190.65758
1788122280000,2026-08-30T20:38:00Z,465.7,465.7,465.7,465.7,0.1335,62.17095
1788122880000,2026-08-30T20:48:00Z,465.63,465.63,465.63,465.63,0.2705,125.952915
1788123480000,2026-08-30T20:58:00Z,465.62,465.62,465.58,465.58,0.7809,363.592542
1788123540000,2026-08-30T20:59:00Z,465.58,465.58,465.57,465.57,0.3181,148.099128
1788123720000,2026-08-30T21:02:00Z,465.57,465.57,465.3,465.3,1.5568,724.52871
1788128160000,2026-08-30T22:16:00Z,465.25,465.25,465.12,465.12,1.4254,663.088512
1788128820000,2026-08-30T22:27:00Z,465.12,465.12,464.6,464.6,3.6456,1694.658248
1788129060000,2026-08-30T22:31:00Z,464.67,464.67,464.49,464.49,2.0949,973.214655
1788129360000,2026-08-30T22:36:00Z,464.49,464.49,464.3,464.35,2.137,992.387306
1788129420000,2026-08-30T22:37:00Z,464.35,464.35,463.86,463.86,2.8352,1315.904292
1788129600000,2026-08-30T22:40:00Z,463.86,463.86,463.72,463.72,1.9456,902.325904
1788129780000,2026-08-30T22:43:00Z,463.65,463.65,463.55,463.56,1.4016,649.774
1788130200000,2026-08-30T22:50:00Z,463.35,463.35,463.08,463.08,0.7275,337.044924
1788131940000,2026-08-30T23:19:00Z,463.22,463.22,462.85,462.85,2.8505,1319.926736
1788132300000,2026-08-30T23:25:00Z,462.75,462.75,462.57,462.57,1.9579,905.790411
1788134400000,2026-08-31T00:00:00Z,460,462.13,456.33,459.04,661,303502.06
1788134460000,2026-08-31T00:01:00Z,459.5,460.15,458.26,458.48,88,40344.52
1788134520000,2026-08-31T00:02:00Z,458.18,458.18,457.12,457.12,93,42566.4
1788134580000,2026-08-31T00:03:00Z,457.58,457.58,456.32,456.58,227,103748.77
1788134640000,2026-08-31T00:04:00Z,457.03,457.84,456.65,457.36,87,39783.61
1788134700000,2026-08-31T00:05:00Z,457.37,457.96,457.37,457.96,66,30214.32
1788134760000,2026-08-31T00:06:00Z,457.7,457.7,457.31,457.6,140,64055.4
1788134820000,2026-08-31T00:07:00Z,457.65,458.18,457.65,458.18,229,104860.29
1788134880000,2026-08-31T00:08:00Z,458.36,458.36,458.15,458.15,44,20160.13
1788134940000,2026-08-31T00:09:00Z,458.21,458.38,458.02,458.05,108,49491.72
1788135000000,2026-08-31T00:10:00Z,458.06,458.15,458.01,458.01,43,19696.25
1788135060000,2026-08-31T00:11:00Z,458.18,458.91,458.18,458.64,28,12844.22
1788135120000,2026-08-31T00:12:00Z,458.66,459.27,458.66,459.27,28,12858.17
