ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,37.63,37.63,36.86,36.86,618,22892.1
1788134700000,2026-08-31T00:05:00Z,37.3,37.3,37.3,37.3,21,783.3
1788134940000,2026-08-31T00:09:00Z,37.35,37.35,37.28,37.3,223,8316.21
1788135120000,2026-08-31T00:12:00Z,37.29,37.36,37.29,37.36,267,9961.75
1788135900000,2026-08-31T00:25:00Z,37.45,37.54,37.44,37.44,357,13390.22
1788137100000,2026-08-31T00:45:00Z,37.65,37.86,37.65,37.86,822,31051.28
1788137160000,2026-08-31T00:46:00Z,37.9,38.02,37.9,37.97,3178,120695.06
1788137520000,2026-08-31T00:52:00Z,37.96,37.96,37.96,37.96,100,3796
1788137760000,2026-08-31T00:56:00Z,37.97,37.97,37.97,37.97,3,113.91
1788138000000,2026-08-31T01:00:00Z,37.67,37.67,37.38,37.38,837,31414.23
1788138060000,2026-08-31T01:01:00Z,37.47,37.47,37.47,37.47,1,37.47
1788138120000,2026-08-31T01:02:00Z,37.47,37.49,37.47,37.49,180,6746.2
1788138420000,2026-08-31T01:07:00Z,37.53,37.53,37.22,37.22,492,18335.08
1788138600000,2026-08-31T01:10:00Z,37.33,37.33,37.3,37.3,231,8621.7
1788138780000,2026-08-31T01:13:00Z,37.23,37.28,37.2,37.28,127,4731.87
1788138840000,2026-08-31T01:14:00Z,37.19,37.19,37.19,37.19,500,18595
1788138900000,2026-08-31T01:15:00Z,37.19,37.19,37.01,37.01,570,21118.46
1788139680000,2026-08-31T01:28:00Z,37.18,37.18,37.18,37.18,52,1933.36
1788139920000,2026-08-31T01:32:00Z,37.04,37.09,37.01,37.09,716,26519.94
1788139980000,2026-08-31T01:33:00Z,37.09,37.09,37.02,37.02,59,2184.34
1788140040000,2026-08-31T01:34:00Z,36.9,36.9,36.8,36.81,1193,43943.17
1788140160000,2026-08-31T01:36:00Z,36.81,36.81,36.81,36.81,1,36.81
1788140220000,2026-08-31T01:37:00Z,36.87,36.87,36.87,36.87,9,331.83
1788140280000,2026-08-31T01:38:00Z,36.65,36.65,36.51,36.51,1000,36559.82
1788140400000,2026-08-31T01:40:00Z,36.79,36.79,36.79,36.79,24,882.96
1788140460000,2026-08-31T01:41:00Z,36.79,36.79,36.79,36.79,57,2097.03
1788140520000,2026-08-31T01:42:00Z,36.79,36.8,36.79,36.8,52,1913.34
1788140820000,2026-08-31T01:47:00Z,36.75,36.78,36.69,36.73,529,19410.55
1788140940000,2026-08-31T01:49:00Z,36.6,36.6,36.59,36.59,500,18296.51
1788141000000,2026-08-31T01:50:00Z,36.59,36.61,36.49,36.61,1111,40574.29
1788141060000,2026-08-31T01:51:00Z,36.56,36.56,36.47,36.47,1942,70889.3
1788141360000,2026-08-31T01:56:00Z,36.46,36.46,36.44,36.44,706,25735.15
1788141480000,2026-08-31T01:58:00Z,36.46,36.46,36.46,36.46,500,18230
1788141540000,2026-08-31T01:59:00Z,36.46,36.46,36.46,36.46,20,729.2
1788142020000,2026-08-31T02:07:00Z,36.52,36.52,36.35,36.35,1000,36446.87
1788142080000,2026-08-31T02:08:00Z,36.69,36.74,36.69,36.74,156,5728.84
1788142140000,2026-08-31T02:09:00Z,36.74,36.74,36.71,36.72,312,11458.76
1788142200000,2026-08-31T02:10:00Z,36.72,36.73,36.72,36.73,10,367.26
1788142260000,2026-08-31T02:11:00Z,36.69,36.72,36.69,36.72,13,477.25
1788142320000,2026-08-31T02:12:00Z,36.69,36.73,36.67,36.69,160,5871.02
1788142380000,2026-08-31T02:13:00Z,36.7,36.7,36.67,36.7,164,6018.13
1788142500000,2026-08-31T02:15:00Z,36.62,36.62,36.5,36.51,1445,52760.1
1788142680000,2026-08-31T02:18:00Z,36.46,36.46,36.46,36.46,700,25522
1788142740000,2026-08-31T02:19:00Z,36.43,36.45,36.41,36.43,656,23909.02
1788142800000,2026-08-31T02:20:00Z,36.43,36.43,36.37,36.37,22,800.39
1788142860000,2026-08-31T02:21:00Z,36.36,36.37,36.34,36.36,1618,58824.74
1788142920000,2026-08-31T02:22:00Z,36.3,36.3,36.27,36.29,81,2939.21
1788142980000,2026-08-31T02:23:00Z,36.27,36.28,36.05,36.15,3447,124682.53
1788143040000,2026-08-31T02:24:00Z,36.08,36.08,36.06,36.06,20,721.58
1788143100000,2026-08-31T02:25:00Z,36.08,36.08,36.05,36.05,401,14458.08
1788143160000,2026-08-31T02:26:00Z,36.04,36.08,36.02,36.02,43,1549.76
1788143220000,2026-08-31T02:27:00Z,36.05,36.11,36.05,36.11,1026,37044.06
1788143280000,2026-08-31T02:28:00Z,36.15,36.2,36.15,36.2,233,8423.97
1788143340000,2026-08-31T02:29:00Z,36.22,36.22,36.22,36.22,55,1992.1
1788143460000,2026-08-31T02:31:00Z,36.21,36.21,36.09,36.11,2750,99319.43
1788143520000,2026-08-31T02:32:00Z,36.14,36.14,36.11,36.11,1405,50761.97
1788143700000,2026-08-31T02:35:00Z,36.1,36.12,36.06,36.06,2750,99225.56
1788143760000,2026-08-31T02:36:00Z,36.05,36.05,36.04,36.05,1099,39615.95
1788144180000,2026-08-31T02:43:00Z,36.14,36.15,36.14,36.15,430,15542.5
1788144300000,2026-08-31T02:45:00Z,36.2,36.24,36.2,36.24,38,1376.13
1788144480000,2026-08-31T02:48:00Z,36.32,36.32,36.32,36.32,31,1125.92
1788144540000,2026-08-31T02:49:00Z,36.24,36.24,36.22,36.22,56,2029.24
1788144600000,2026-08-31T02:50:00Z,36.23,36.23,36.23,36.23,161,5833.03
1788144660000,2026-08-31T02:51:00Z,36.21,36.21,36.21,36.21,110,3983.1
1788144720000,2026-08-31T02:52:00Z,36.15,36.18,36.15,36.18,108,3905.24
1788144780000,2026-08-31T02:53:00Z,36.18,36.18,36.06,36.06,501,18068.18
1788144840000,2026-08-31T02:54:00Z,36.06,36.1,36.04,36.1,4500,162231
1788145020000,2026-08-31T02:57:00Z,36.19,36.32,36.19,36.32,364,13211.23
1788145080000,2026-08-31T02:58:00Z,36.32,36.32,36.32,36.32,104,3777.28
1788145140000,2026-08-31T02:59:00Z,36.32,36.36,36.32,36.36,286,10387.59
1788145200000,2026-08-31T03:00:00Z,36.42,36.42,36.42,36.42,13,473.46
1788145320000,2026-08-31T03:02:00Z,36.47,36.47,36.47,36.47,52,1896.44
1788145680000,2026-08-31T03:08:00Z,36.66,36.66,36.66,36.66,1,36.66
1788145800000,2026-08-31T03:10:00Z,36.33,36.33,36.29,36.29,3000,108883
1788146040000,2026-08-31T03:14:00Z,36.55,36.73,36.55,36.73,273,9979.61
1788146100000,2026-08-31T03:15:00Z,36.7,36.7,36.7,36.7,30,1101
1788146220000,2026-08-31T03:17:00Z,36.66,36.67,36.66,36.67,90,3299.78
1788146280000,2026-08-31T03:18:00Z,36.67,36.67,36.67,36.67,1,36.67
1788146400000,2026-08-31T03:20:00Z,36.65,36.65,36.65,36.65,52,1905.8
1788146460000,2026-08-31T03:21:00Z,36.7,36.7,36.7,36.7,1,36.7
1788146580000,2026-08-31T03:23:00Z,36.56,36.56,36.52,36.52,280,10233.6
1788146640000,2026-08-31T03:24:00Z,36.67,36.67,36.67,36.67,4,146.68
1788146880000,2026-08-31T03:28:00Z,36.67,36.67,36.67,36.67,4,146.68
1788146940000,2026-08-31T03:29:00Z,36.53,36.53,36.53,36.53,82,2995.46
1788147720000,2026-08-31T03:42:00Z,36.52,36.52,36.51,36.51,52,1899.03
1788147960000,2026-08-31T03:46:00Z,36.62,36.62,36.62,36.62,1,36.62
1788148080000,2026-08-31T03:48:00Z,36.65,36.65,36.65,36.65,3,109.95
1788148140000,2026-08-31T03:49:00Z,36.71,36.71,36.71,36.71,52,1908.92
1788148200000,2026-08-31T03:50:00Z,36.71,36.71,36.71,36.71,156,5726.76
1788148380000,2026-08-31T03:53:00Z,36.71,36.72,36.71,36.72,156,5727.2
1788148440000,2026-08-31T03:54:00Z,36.72,36.72,36.72,36.72,200,7344
1788148800000,2026-08-31T04:00:00Z,36.72,36.72,36.72,36.72,52,1909.44
