ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788109800000,2026-08-30T17:10:00Z,59.01,59.08,59.01,59.08,6.4843,382.759253
1788133560000,2026-08-30T23:46:00Z,59.04,59.04,58.98,58.98,2.29,135.1377
1788134400000,2026-08-31T00:00:00Z,58.07,58.47,57.21,57.21,427,24685.39
1788134460000,2026-08-31T00:01:00Z,57.25,57.83,57.25,57.39,1379,79317.62
1788134520000,2026-08-31T00:02:00Z,57.8,57.85,56.77,56.85,1601,91419.66
1788134580000,2026-08-31T00:03:00Z,56.8,56.86,56.58,56.6,673,38210.04
1788134640000,2026-08-31T00:04:00Z,56.53,56.55,56.2,56.4,917,51715.84
1788134700000,2026-08-31T00:05:00Z,56.51,57.35,56.49,57.35,6971,395080.29
1788134760000,2026-08-31T00:06:00Z,57.36,57.49,57.01,57.18,1625,93056.18
1788134820000,2026-08-31T00:07:00Z,57.2,57.2,57.19,57.2,52,2974.09
1788134880000,2026-08-31T00:08:00Z,57.36,57.52,57.36,57.52,1359,78113.75
1788134940000,2026-08-31T00:09:00Z,57.56,57.69,57.52,57.58,683,39358.98
1788135000000,2026-08-31T00:10:00Z,57.66,57.66,57.66,57.66,10,576.6
1788135060000,2026-08-31T00:11:00Z,57.72,57.96,57.72,57.96,21,1213.47
1788135120000,2026-08-31T00:12:00Z,58,58.19,57.94,58.19,371,21542.05
1788135180000,2026-08-31T00:13:00Z,58.26,58.26,58.23,58.23,27,1572.81
1788135240000,2026-08-31T00:14:00Z,58.25,58.25,58.21,58.21,367,21366.92
1788135300000,2026-08-31T00:15:00Z,58.18,58.2,57.96,58.2,526,30558.38
1788135360000,2026-08-31T00:16:00Z,58.19,58.32,58.19,58.32,178,10360.15
1788135420000,2026-08-31T00:17:00Z,58.27,58.42,58.27,58.28,620,36164.23
1788135480000,2026-08-31T00:18:00Z,58.28,58.28,58.19,58.19,83,4834.25
1788135540000,2026-08-31T00:19:00Z,58.09,58.1,57.89,57.89,194,11264.55
1788135600000,2026-08-31T00:20:00Z,57.86,58.13,57.86,58.13,234,13553.78
1788135660000,2026-08-31T00:21:00Z,58.22,58.29,58.22,58.29,312,18179.98
1788135720000,2026-08-31T00:22:00Z,58.28,58.28,58.28,58.28,2,116.56
1788135780000,2026-08-31T00:23:00Z,58.25,58.33,58.25,58.3,212,12362
1788135960000,2026-08-31T00:26:00Z,58.3,58.3,58.27,58.28,57,3321.5
1788136020000,2026-08-31T00:27:00Z,58.31,58.31,58.31,58.31,2,116.62
1788136080000,2026-08-31T00:28:00Z,58.19,58.19,58.13,58.13,106,6162.93
1788136200000,2026-08-31T00:30:00Z,58.16,58.44,58.13,58.43,360,20953.93
1788136260000,2026-08-31T00:31:00Z,58.45,58.45,58.45,58.45,102,5961.9
1788136320000,2026-08-31T00:32:00Z,58.49,58.5,58.49,58.5,2,116.99
1788136380000,2026-08-31T00:33:00Z,58.5,58.5,58.5,58.5,1,58.5
1788136440000,2026-08-31T00:34:00Z,58.51,58.51,58.51,58.51,1,58.51
1788136500000,2026-08-31T00:35:00Z,58.48,58.48,58.48,58.48,12,701.76
1788136560000,2026-08-31T00:36:00Z,58.41,58.41,58.26,58.26,1606,93649.49
1788136620000,2026-08-31T00:37:00Z,58.31,58.31,58.31,58.31,20,1166.2
1788136680000,2026-08-31T00:38:00Z,58.33,58.34,58.31,58.31,274,15980.38
1788136740000,2026-08-31T00:39:00Z,58.25,58.25,58.25,58.25,7,407.75
1788136800000,2026-08-31T00:40:00Z,58.27,58.27,58.17,58.17,1007,58674.3
1788136860000,2026-08-31T00:41:00Z,58.16,58.16,58.08,58.13,466,27079.63
1788136920000,2026-08-31T00:42:00Z,58.07,58.2,58.06,58.09,472,27418.16
1788136980000,2026-08-31T00:43:00Z,58.19,58.19,57.99,57.99,582,33788.54
1788137040000,2026-08-31T00:44:00Z,57.91,57.91,57.9,57.9,25,1447.6
1788137100000,2026-08-31T00:45:00Z,57.87,57.87,57.75,57.75,46,2660.86
1788137160000,2026-08-31T00:46:00Z,57.83,57.92,57.8,57.8,650,37603.34
1788137280000,2026-08-31T00:48:00Z,57.82,57.82,57.71,57.71,230,13280.31
1788137340000,2026-08-31T00:49:00Z,57.66,57.71,57.66,57.71,103,5943.63
1788137400000,2026-08-31T00:50:00Z,57.75,57.77,57.65,57.75,704,40644.39
1788137460000,2026-08-31T00:51:00Z,57.75,57.75,57.75,57.75,7,404.25
1788137520000,2026-08-31T00:52:00Z,57.76,57.89,57.76,57.89,406,23475.51
1788137580000,2026-08-31T00:53:00Z,57.85,58.02,57.85,57.86,1249,72391.52
1788137700000,2026-08-31T00:55:00Z,57.91,57.91,57.64,57.78,614,35488.2
1788137760000,2026-08-31T00:56:00Z,57.65,57.65,57.59,57.59,26,1498.14
1788137820000,2026-08-31T00:57:00Z,57.72,57.73,57.72,57.73,10,577.21
1788137880000,2026-08-31T00:58:00Z,57.58,57.58,57.53,57.53,50,2877.35
1788138000000,2026-08-31T01:00:00Z,57.54,57.54,57.28,57.28,1107,63586.82
1788138060000,2026-08-31T01:01:00Z,57.1,57.29,57.02,57.29,579,33143.4
1788138120000,2026-08-31T01:02:00Z,57.28,57.42,57.1,57.1,469,26886.79
1788138180000,2026-08-31T01:03:00Z,57.19,57.37,57.18,57.37,97,5552.46
1788138240000,2026-08-31T01:04:00Z,57.22,57.22,57.22,57.22,40,2288.8
1788138300000,2026-08-31T01:05:00Z,57.2,57.2,56.99,56.99,272,15508.98
1788138360000,2026-08-31T01:06:00Z,57.02,57.03,56.79,57.03,4230,240679.08
1788138420000,2026-08-31T01:07:00Z,57.03,57.03,56.99,56.99,350,19951.2
1788138480000,2026-08-31T01:08:00Z,57.01,57.03,56.89,56.89,274,15621.26
1788138540000,2026-08-31T01:09:00Z,56.87,56.98,56.87,56.98,196,11152.64
1788138600000,2026-08-31T01:10:00Z,56.86,56.87,56.84,56.86,77,4378.36
1788138660000,2026-08-31T01:11:00Z,56.78,56.85,56.77,56.77,1371,77850.12
1788138720000,2026-08-31T01:12:00Z,56.82,56.89,56.74,56.87,255,14495.37
1788138780000,2026-08-31T01:13:00Z,56.82,57.05,56.82,57.05,1414,80560.64
1788138840000,2026-08-31T01:14:00Z,56.98,57,56.94,56.97,1124,64015.12
