ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788107940000,2026-08-30T16:39:00Z,212.92,212.92,212.92,212.92,0.774,164.80008
1788108000000,2026-08-30T16:40:00Z,212.9,212.9,212.9,212.9,2.5004,532.33516
1788108060000,2026-08-30T16:41:00Z,212.9,212.9,212.9,212.9,3.421,728.3309
1788108120000,2026-08-30T16:42:00Z,212.9,212.9,212.9,212.9,1.34,285.286
1788108180000,2026-08-30T16:43:00Z,212.9,212.9,212.9,212.9,0.7305,155.52345
1788108240000,2026-08-30T16:44:00Z,212.9,212.98,212.9,212.98,1.4652,311.959568
1788108300000,2026-08-30T16:45:00Z,212.99,212.99,212.99,212.99,0.1652,35.185948
1788119880000,2026-08-30T19:58:00Z,212.97,212.97,212.97,212.97,0.0939,19.997883
1788122520000,2026-08-30T20:42:00Z,212.83,212.83,212.83,212.83,0.646,137.48818
1788123540000,2026-08-30T20:59:00Z,212.78,212.78,212.78,212.78,0.7046,149.924788
1788127200000,2026-08-30T22:00:00Z,212.78,212.78,212.53,212.53,3.8718,823.519457
1788127380000,2026-08-30T22:03:00Z,212.53,212.53,212.5,212.5,1.1605,246.626926
1788127500000,2026-08-30T22:05:00Z,212.5,212.5,212.5,212.5,0.4216,89.59
1788127620000,2026-08-30T22:07:00Z,212.82,212.87,212.47,212.47,5.0321,1070.605415
1788127680000,2026-08-30T22:08:00Z,212.24,212.34,212.24,212.24,1.3406,284.621386
1788128220000,2026-08-30T22:17:00Z,212.23,212.23,212.23,212.23,1.7241,365.905743
1788128640000,2026-08-30T22:24:00Z,212.19,212.19,211.95,211.95,3.2431,687.805838
1788130800000,2026-08-30T23:00:00Z,211.94,211.94,211.26,211.26,16.4878,3487.911629
1788130860000,2026-08-30T23:01:00Z,211.21,211.29,211.21,211.29,0.922,194.760204
1788132240000,2026-08-30T23:24:00Z,211.12,211.12,210.84,210.84,4.6668,984.70602
1788132540000,2026-08-30T23:29:00Z,210.84,210.84,210.38,210.38,2.8716,604.840041
1788132600000,2026-08-30T23:30:00Z,210.32,210.36,210.31,210.36,1.3211,277.854181
1788133620000,2026-08-30T23:47:00Z,210.29,210.29,209.97,209.97,7.8826,1656.358779
1788133680000,2026-08-30T23:48:00Z,209.95,209.95,209.88,209.88,4.1469,870.480945
1788134400000,2026-08-31T00:00:00Z,210.49,210.49,208.2,208.76,596,124513.31
1788134460000,2026-08-31T00:01:00Z,208.75,208.78,207.39,207.94,2253,468551.13
1788134520000,2026-08-31T00:02:00Z,207.85,208.01,207.61,208.01,771,160210.17
1788134580000,2026-08-31T00:03:00Z,207.74,207.8,207.38,207.76,811,168385.29
1788134640000,2026-08-31T00:04:00Z,207.79,207.88,207.53,207.81,307,63800.01
1788134700000,2026-08-31T00:05:00Z,207.41,207.52,206.99,207.05,1504,311654.07
1788134760000,2026-08-31T00:06:00Z,207,207.02,206.7,207,767,158705.14
1788134820000,2026-08-31T00:07:00Z,206.85,206.89,206.75,206.85,1212,250701.2
1788134880000,2026-08-31T00:08:00Z,206.87,206.97,206.43,206.54,563,116358.57
1788134940000,2026-08-31T00:09:00Z,206.74,207.12,206.74,207.12,635,131315.87
1788135000000,2026-08-31T00:10:00Z,206.91,207.19,206.91,207.08,422,87420.65
1788135060000,2026-08-31T00:11:00Z,207.08,207.34,207.05,207.34,186,38534.89
1788135120000,2026-08-31T00:12:00Z,207.32,207.53,207.3,207.52,1130,234401.85
1788135180000,2026-08-31T00:13:00Z,207.45,207.57,207.44,207.54,139,28836.68
1788135240000,2026-08-31T00:14:00Z,207.66,207.71,207.66,207.7,315,65422.11
1788135300000,2026-08-31T00:15:00Z,207.69,207.71,207.56,207.63,658,136612.31
1788135360000,2026-08-31T00:16:00Z,207.63,207.71,207.63,207.69,1949,404788.77
1788135420000,2026-08-31T00:17:00Z,207.68,208.26,207.61,208.15,3319,689631.43
1788135480000,2026-08-31T00:18:00Z,208.15,208.3,208.01,208.05,952,198184.69
1788135540000,2026-08-31T00:19:00Z,208.05,208.13,207.45,207.45,847,175980.94
1788135600000,2026-08-31T00:20:00Z,207.42,208.17,207.41,208.17,465,96514.91
1788135660000,2026-08-31T00:21:00Z,208.18,208.18,208.17,208.17,160,33307.8
1788135720000,2026-08-31T00:22:00Z,208.4,208.42,208.31,208.39,154,32086.09
1788135780000,2026-08-31T00:23:00Z,208.29,208.32,208.29,208.32,81,16873.29
1788135840000,2026-08-31T00:24:00Z,208.31,208.31,208.16,208.24,160,33313.14
1788135900000,2026-08-31T00:25:00Z,208.17,208.18,208.01,208.01,45,9364.91
1788135960000,2026-08-31T00:26:00Z,208.04,208.06,208,208.05,288,59913.03
1788136020000,2026-08-31T00:27:00Z,208.05,208.18,208.05,208.18,246,51195.83
1788136080000,2026-08-31T00:28:00Z,208.16,208.24,208.16,208.24,8,1665.36
1788136140000,2026-08-31T00:29:00Z,208.24,208.27,208.15,208.27,53,11035.85
1788136200000,2026-08-31T00:30:00Z,208.1,208.29,208.1,208.29,179,37277.02
1788136260000,2026-08-31T00:31:00Z,208.39,208.6,208.39,208.59,389,81117.42
1788136320000,2026-08-31T00:32:00Z,208.56,208.6,208.56,208.6,160,33373.6
1788136380000,2026-08-31T00:33:00Z,208.84,208.88,208.7,208.73,719,150107.14
1788136440000,2026-08-31T00:34:00Z,208.72,208.72,208.55,208.55,48,10011.17
1788136500000,2026-08-31T00:35:00Z,208.53,208.72,208.51,208.61,142,29616.51
1788136560000,2026-08-31T00:36:00Z,208.47,208.52,208.47,208.47,246,51286.12
1788136620000,2026-08-31T00:37:00Z,208.48,208.5,208.35,208.35,140,29185.81
1788136680000,2026-08-31T00:38:00Z,208.48,208.52,208.35,208.35,48,10006.54
1788136740000,2026-08-31T00:39:00Z,208.24,208.25,208.24,208.25,8,1665.93
1788136800000,2026-08-31T00:40:00Z,208.25,208.25,207.99,207.99,247,51420.31
1788136920000,2026-08-31T00:42:00Z,208.02,208.51,208.02,208.5,164,34178.9
1788136980000,2026-08-31T00:43:00Z,208.54,208.54,208.39,208.41,90,18761.71
1788137040000,2026-08-31T00:44:00Z,208.1,208.1,207.99,207.99,31,6448.7
1788137100000,2026-08-31T00:45:00Z,207.83,207.83,207.69,207.69,586,121773.17
1788137160000,2026-08-31T00:46:00Z,207.69,207.79,207.64,207.68,161,33443.94
1788137220000,2026-08-31T00:47:00Z,207.63,207.75,207.58,207.74,110,22846.95
1788137280000,2026-08-31T00:48:00Z,207.85,207.85,207.68,207.68,88,18276.85
1788137340000,2026-08-31T00:49:00Z,207.59,207.59,207.49,207.54,39,8094.09
1788137400000,2026-08-31T00:50:00Z,207.45,207.54,207.38,207.54,537,111376.57
1788137520000,2026-08-31T00:52:00Z,207.63,207.86,207.63,207.72,455,94515.93
1788137580000,2026-08-31T00:53:00Z,207.91,207.96,207.9,207.96,39,8108.84
1788137640000,2026-08-31T00:54:00Z,207.87,207.95,207.81,207.95,105,21829.06
1788137700000,2026-08-31T00:55:00Z,207.88,207.88,207.49,207.51,209,43422.98
1788137760000,2026-08-31T00:56:00Z,207.39,207.39,206.91,207.03,568,117630.96
1788137820000,2026-08-31T00:57:00Z,206.84,207.14,206.8,207.14,397,82157.46
1788138000000,2026-08-31T01:00:00Z,206.82,206.82,206.13,206.4,837,172850.45
1788138060000,2026-08-31T01:01:00Z,206.18,206.38,205.9,206.01,542,111692.65
1788138120000,2026-08-31T01:02:00Z,206.12,206.12,206.04,206.04,3,618.2
1788138180000,2026-08-31T01:03:00Z,206.58,206.75,206.58,206.75,321,66319.72
1788138240000,2026-08-31T01:04:00Z,206.51,206.51,206.48,206.49,36,7434.06
1788138360000,2026-08-31T01:06:00Z,206.15,206.15,205.97,205.97,127,26164.73
1788138420000,2026-08-31T01:07:00Z,206.47,206.8,206.28,206.28,836,172785.78
1788138480000,2026-08-31T01:08:00Z,206.21,206.21,206.1,206.1,100,20610.31
1788138540000,2026-08-31T01:09:00Z,206.48,206.55,206.35,206.35,111,22921.01
1788138600000,2026-08-31T01:10:00Z,206.2,206.2,206.01,206.01,61,12567.13
1788138660000,2026-08-31T01:11:00Z,206.02,206.02,205.42,205.49,1027,211232.52
1788138720000,2026-08-31T01:12:00Z,205.54,206.06,205.45,206.06,541,111427.46
1788138780000,2026-08-31T01:13:00Z,205.55,206.01,205.49,205.49,398,81836.33
1788138840000,2026-08-31T01:14:00Z,205.86,206.04,205.86,206.04,8,1647.06
1788138900000,2026-08-31T01:15:00Z,206.15,206.26,206.15,206.15,20,4123.99
1788138960000,2026-08-31T01:16:00Z,205.7,206.06,205.64,205.66,35,7199.24
1788139020000,2026-08-31T01:17:00Z,206.03,206.07,206.03,206.07,60,12363.1
1788139080000,2026-08-31T01:18:00Z,205.89,205.89,205.75,205.81,152,31281.65
1788139140000,2026-08-31T01:19:00Z,205.83,205.95,205.79,205.89,83,17083.48
1788139200000,2026-08-31T01:20:00Z,205.95,206.18,205.86,206.04,51,10507.92
1788139260000,2026-08-31T01:21:00Z,206.01,206.01,205.44,205.51,238,48949.02
1788139320000,2026-08-31T01:22:00Z,205.7,205.7,205.63,205.66,29,5964.68
1788139380000,2026-08-31T01:23:00Z,205.57,205.57,205.51,205.51,68,13976.79
1788139500000,2026-08-31T01:25:00Z,205.6,205.6,205.51,205.54,44,9043.41
1788139560000,2026-08-31T01:26:00Z,205.57,205.81,205.53,205.81,232,47706.69
1788139620000,2026-08-31T01:27:00Z,205.77,206.21,205.77,206.21,53,10922.78
1788139680000,2026-08-31T01:28:00Z,206.34,206.36,206.17,206.17,29,5983.82
1788139740000,2026-08-31T01:29:00Z,206.29,206.54,206.29,206.31,437,90192.11
1788139800000,2026-08-31T01:30:00Z,206.18,206.18,206,206,67,13805.9
1788139860000,2026-08-31T01:31:00Z,206,206.16,205.99,205.99,10,2060.76
1788139920000,2026-08-31T01:32:00Z,206.27,206.27,206.27,206.27,21,4331.67
1788139980000,2026-08-31T01:33:00Z,206,206,205.52,205.52,954,196212.67
1788140040000,2026-08-31T01:34:00Z,205.52,205.52,205.36,205.36,98,20133.59
1788140100000,2026-08-31T01:35:00Z,205.72,205.72,205.72,205.72,4,822.88
1788140160000,2026-08-31T01:36:00Z,205.54,205.54,205.25,205.25,327,67157.12
1788140220000,2026-08-31T01:37:00Z,205.25,205.79,205.25,205.77,639,131244.43
1788140280000,2026-08-31T01:38:00Z,205.77,205.77,205.42,205.42,371,76275.72
1788140340000,2026-08-31T01:39:00Z,205.6,206.05,205.6,206.01,960,197677.87
1788140400000,2026-08-31T01:40:00Z,206.01,206.01,206.01,206.01,112,23073.12
1788140460000,2026-08-31T01:41:00Z,206,206.01,205.94,206.01,120,24720.13
1788140520000,2026-08-31T01:42:00Z,206,206,206,206,1,206
1788140580000,2026-08-31T01:43:00Z,206.01,206.01,206.01,206.01,20,4120.2
1788140640000,2026-08-31T01:44:00Z,205.89,205.89,205.71,205.71,150,30872.95
1788140700000,2026-08-31T01:45:00Z,205.39,205.51,205.32,205.49,103,21151
1788140760000,2026-08-31T01:46:00Z,205.78,205.8,205.55,205.55,852,175265.22
1788140820000,2026-08-31T01:47:00Z,205.54,205.6,205.36,205.36,11,2260.64
1788140880000,2026-08-31T01:48:00Z,205.61,205.61,205.56,205.56,85,17474.35
1788140940000,2026-08-31T01:49:00Z,205.65,205.7,205.65,205.7,142,29206.96
1788141000000,2026-08-31T01:50:00Z,205.68,205.68,205.5,205.5,18,3699.68
1788141060000,2026-08-31T01:51:00Z,205.59,205.6,205.56,205.6,252,51804.77
1788141120000,2026-08-31T01:52:00Z,205.49,205.51,205.42,205.42,80,16435.39
1788141180000,2026-08-31T01:53:00Z,205.41,205.47,205.37,205.47,342,70266.55
1788141300000,2026-08-31T01:55:00Z,205.55,205.55,205.55,205.55,15,3083.25
1788141360000,2026-08-31T01:56:00Z,205.57,205.57,205.57,205.57,2,411.14
1788141540000,2026-08-31T01:59:00Z,205.59,205.59,205.45,205.45,105,21581.89
1788141600000,2026-08-31T02:00:00Z,205.51,205.68,205.51,205.68,91,18712.78
1788141660000,2026-08-31T02:01:00Z,205.87,205.87,205.87,205.87,50,10293.5
1788141720000,2026-08-31T02:02:00Z,205.86,205.86,205.86,205.86,13,2676.18
1788141780000,2026-08-31T02:03:00Z,205.85,205.85,205.67,205.67,51,10492.65
1788141840000,2026-08-31T02:04:00Z,206.07,206.2,206.06,206.2,99,20405.91
1788141900000,2026-08-31T02:05:00Z,206.06,206.22,206.06,206.22,2,412.28
1788141960000,2026-08-31T02:06:00Z,206.47,206.49,206.42,206.42,53,10943.11
1788142020000,2026-08-31T02:07:00Z,206.41,206.41,206.41,206.41,25,5160.25
1788142080000,2026-08-31T02:08:00Z,206.43,206.58,206.43,206.58,677,139850.3
1788142140000,2026-08-31T02:09:00Z,206.7,206.72,206.7,206.72,112,23150.54
1788142200000,2026-08-31T02:10:00Z,206.72,206.72,206.41,206.41,72,14866.03
1788142320000,2026-08-31T02:12:00Z,206.43,206.46,206.42,206.46,40,8257.72
1788142440000,2026-08-31T02:14:00Z,206.49,206.49,206.49,206.49,2,412.98
1788142500000,2026-08-31T02:15:00Z,206.5,206.55,206.45,206.45,82,16932.32
1788142560000,2026-08-31T02:16:00Z,206.46,206.46,206.46,206.46,2,412.92
1788142620000,2026-08-31T02:17:00Z,206.51,206.51,206.3,206.3,255,52607.55
1788142680000,2026-08-31T02:18:00Z,206.07,206.14,206,206.05,277,57063.39
1788142740000,2026-08-31T02:19:00Z,205.76,206.12,205.76,206.12,5,1029.52
1788142800000,2026-08-31T02:20:00Z,206.1,206.1,206.1,206.1,2,412.2
1788143100000,2026-08-31T02:25:00Z,205.82,205.82,205.77,205.77,71,14610.95
1788143160000,2026-08-31T02:26:00Z,205.75,205.75,205.55,205.71,26,5348.4
1788143280000,2026-08-31T02:28:00Z,205.86,205.86,205.86,205.86,1,205.86
1788143340000,2026-08-31T02:29:00Z,206.09,206.09,206.09,206.09,11,2266.99
1788143400000,2026-08-31T02:30:00Z,206.09,206.32,206.09,206.32,1010,208314.8
1788143520000,2026-08-31T02:32:00Z,206,206.01,205.84,205.84,27,5560.62
1788143580000,2026-08-31T02:33:00Z,205.85,205.85,205.54,205.54,31,6379.86
1788143640000,2026-08-31T02:34:00Z,205.55,205.55,205.5,205.5,99,20345.4
1788143700000,2026-08-31T02:35:00Z,205.3,205.31,205.21,205.21,265,54402.46
1788143760000,2026-08-31T02:36:00Z,205.41,205.73,205.41,205.69,335,68882.23
1788143820000,2026-08-31T02:37:00Z,205.68,205.7,205.52,205.52,103,21185.3
1788144000000,2026-08-31T02:40:00Z,205.54,205.54,205.49,205.49,337,69254.28
1788144120000,2026-08-31T02:42:00Z,205.48,205.48,205.48,205.48,42,8630.16
1788144180000,2026-08-31T02:43:00Z,205.46,205.63,205.46,205.63,171,35156.39
1788144240000,2026-08-31T02:44:00Z,205.64,205.64,205.64,205.64,1,205.64
1788144300000,2026-08-31T02:45:00Z,205.63,205.68,205.63,205.68,17,3496.06
1788144360000,2026-08-31T02:46:00Z,205.77,206.01,205.77,205.81,172,35419.25
1788144420000,2026-08-31T02:47:00Z,205.81,206.01,205.81,206.01,9,1852.69
