ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134760000,2026-08-31T00:06:00Z,90.85,90.85,90.85,90.85,1,90.85
1788139980000,2026-08-31T01:33:00Z,90.77,90.78,90.77,90.78,114,10347.92
1788146460000,2026-08-31T03:21:00Z,90.69,90.69,90.69,90.69,2,181.38
1788151200000,2026-08-31T04:40:00Z,90.71,90.71,90.71,90.71,20,1814.2
1788157140000,2026-08-31T06:19:00Z,90.71,90.71,90.71,90.71,1,90.71
1788157800000,2026-08-31T06:30:00Z,90.5,90.5,90.5,90.5,1,90.5
1788158340000,2026-08-31T06:39:00Z,90.49,90.49,90.49,90.49,1,90.49
1788159600000,2026-08-31T07:00:00Z,91.02,91.02,91.02,91.02,1,91.02
1788163140000,2026-08-31T07:59:00Z,90.82,90.82,90.82,90.82,0,0
1788163200000,2026-08-31T08:00:00Z,90.82,90.82,90.456,90.456,24.01106,2172.897682442
1788163260000,2026-08-31T08:01:00Z,90.455,90.455,90.455,90.455,5,452.275
1788163560000,2026-08-31T08:06:00Z,90.5,90.723,90.5,90.723,0,0
1788163620000,2026-08-31T08:07:00Z,90.724,90.724,90.724,90.724,0,0
1788164700000,2026-08-31T08:25:00Z,90.657,90.657,90.316,90.316,0,0
1788164820000,2026-08-31T08:27:00Z,90.315,90.315,90.315,90.315,0,0
1788165000000,2026-08-31T08:30:00Z,90.293,90.293,90.258,90.258,0,0
1788165060000,2026-08-31T08:31:00Z,90.245,90.245,90.18,90.18,0,0
1788165120000,2026-08-31T08:32:00Z,90.179,90.179,90.176,90.176,0,0
1788165180000,2026-08-31T08:33:00Z,90.175,90.175,90.175,90.175,0,0
1788166380000,2026-08-31T08:53:00Z,90.144,90.144,89.991,89.991,0,0
1788167040000,2026-08-31T09:04:00Z,90.017,90.154,90.017,90.154,2,180.034
1788167100000,2026-08-31T09:05:00Z,90.155,90.155,90.155,90.155,0,0
1788167640000,2026-08-31T09:14:00Z,90.169,90.238,90.169,90.238,0,0
1788167700000,2026-08-31T09:15:00Z,90.239,90.239,90.239,90.239,0,0
1788168360000,2026-08-31T09:26:00Z,90.247,90.278,90.247,90.278,0,0
1788168420000,2026-08-31T09:27:00Z,90.28,90.28,90.28,90.28,0,0
1788168780000,2026-08-31T09:33:00Z,90.281,90.284,90.281,90.284,0,0
1788170100000,2026-08-31T09:55:00Z,90.337,90.591,90.337,90.591,0,0
1788170160000,2026-08-31T09:56:00Z,90.592,90.594,90.592,90.594,0,0
1788170700000,2026-08-31T10:05:00Z,90.595,90.595,90.595,90.595,0.015116,1.36943402
1788170760000,2026-08-31T10:06:00Z,90.528,90.528,90.195,90.195,0.023476,2.125235328
1788170820000,2026-08-31T10:07:00Z,90.194,90.194,90.19,90.19,0,0
1788174120000,2026-08-31T11:02:00Z,90.19,90.19,90.19,90.19,0.059359,5.35358821
1788175920000,2026-08-31T11:32:00Z,90.19,90.19,90.19,90.19,5,450.95
1788176040000,2026-08-31T11:34:00Z,90.19,90.19,90.19,90.19,7,631.33
1788176100000,2026-08-31T11:35:00Z,90.19,90.19,90.19,90.19,0.607,54.74533
1788176160000,2026-08-31T11:36:00Z,90.19,90.19,90.19,90.19,0.906,81.71214
1788176220000,2026-08-31T11:37:00Z,90.19,90.19,90.19,90.19,2.3903,215.581157
1788176280000,2026-08-31T11:38:00Z,90.19,90.19,90.19,90.19,5,450.95
1788176460000,2026-08-31T11:41:00Z,90.19,90.19,90.19,90.19,5,450.95
1788176520000,2026-08-31T11:42:00Z,90.19,90.19,90.19,90.19,18,1623.42
1788176640000,2026-08-31T11:44:00Z,90.19,90.19,90.19,90.19,5,450.95
1788176700000,2026-08-31T11:45:00Z,90.19,90.19,90.19,90.19,10,901.9
1788176820000,2026-08-31T11:47:00Z,90.19,90.19,90.19,90.19,5,450.95
1788177900000,2026-08-31T12:05:00Z,90.19,90.19,90.19,90.19,0.48979,44.1741601
1788178140000,2026-08-31T12:09:00Z,90.19,90.19,90.19,90.19,140,12626.6
1788179100000,2026-08-31T12:25:00Z,90.19,90.28,90.19,90.28,352,31750.1888
1788179160000,2026-08-31T12:26:00Z,90.285,90.309,90.285,90.309,0,0
1788179400000,2026-08-31T12:30:00Z,90.314,90.334,90.314,90.334,0,0
1788180060000,2026-08-31T12:41:00Z,90.335,90.335,90.335,90.335,0,0
1788181200000,2026-08-31T13:00:00Z,90.335,90.335,90.335,90.335,1,90.335
1788182400000,2026-08-31T13:20:00Z,90.335,90.335,90.335,90.335,5,451.675
1788182940000,2026-08-31T13:29:00Z,90.397,90.397,90.397,90.397,60,5423.82
1788183000000,2026-08-31T13:30:00Z,90.35,90.491,90.34,90.435,40430.536021,3658001.2631432
1788183060000,2026-08-31T13:31:00Z,90.432,90.435,90.26,90.315,5802.416609,524348.1421888248
1788183120000,2026-08-31T13:32:00Z,90.21,90.315,89.955,90.02,20712.216255,1867117.23285835
1788183180000,2026-08-31T13:33:00Z,89.98,90.135,89.92,90,34242.014873,3081031.4384442813
1788183240000,2026-08-31T13:34:00Z,90.01,90.049,89.945,89.95,24498.554494,2205014.44593151
1788183300000,2026-08-31T13:35:00Z,89.97,90.03,89.929,90.015,29152.050002,2622815.76908994
1788183360000,2026-08-31T13:36:00Z,90.03,90.195,90.011,90.137,8672.35547,781449.473926307
1788183420000,2026-08-31T13:37:00Z,90.14,90.3,90.137,90.22,17545,1582502.856
1788183480000,2026-08-31T13:38:00Z,90.22,90.46,90.194,90.43,14999.0097,1353566.13166389
1788183540000,2026-08-31T13:39:00Z,90.4,90.475,90.345,90.475,7276,657767.1348
1788183600000,2026-08-31T13:40:00Z,90.35,90.439,90.251,90.38,20965.412658,1894713.52776523
1788183660000,2026-08-31T13:41:00Z,90.225,90.278,90.215,90.275,6450,582048.645
1788183720000,2026-08-31T13:42:00Z,90.279,90.28,90.21,90.214,30886.54241,2787930.509479276
1788183780000,2026-08-31T13:43:00Z,90.15,90.224,90.13,90.15,8676.95254,782511.00782906
1788183840000,2026-08-31T13:44:00Z,90.145,90.28,90.097,90.28,42757.246221,3857674.19862342
1788183900000,2026-08-31T13:45:00Z,90.24,90.28,90.185,90.185,14424.0415,1301197.11092745
1788183960000,2026-08-31T13:46:00Z,90.14,90.199,89.886,89.93,65170.0121,5874907.14878354
1788184020000,2026-08-31T13:47:00Z,89.9,89.918,89.856,89.9,7319.627077,657961.27795153
1788184080000,2026-08-31T13:48:00Z,89.9,90.004,89.85,89.995,5307.86066,477271.15325375
1788184140000,2026-08-31T13:49:00Z,89.968,90.059,89.938,90.014,30857.4383,2776277.66703313
1788184200000,2026-08-31T13:50:00Z,90.012,90.016,89.98,90.016,5990.001088,539080.3309164096
1788184260000,2026-08-31T13:51:00Z,90.018,90.045,89.96,89.966,4853.72397,436801.666604607
1788184320000,2026-08-31T13:52:00Z,89.964,90.055,89.954,90.055,10234.227334,920750.9179398452
1788184380000,2026-08-31T13:53:00Z,90.055,90.064,90.007,90.007,2010.8094,181057.09891386
1788184440000,2026-08-31T13:54:00Z,90.006,90.006,89.94,89.96,7078,636826.7706
1788184500000,2026-08-31T13:55:00Z,89.957,89.97,89.93,89.95,5165.18411,464667.710311765
1788184560000,2026-08-31T13:56:00Z,89.956,90.05,89.956,90.022,6738.011105,606299.0414489995
1788184620000,2026-08-31T13:57:00Z,90.022,90.022,89.955,90.006,9168.410931,825001.120804173
1788184680000,2026-08-31T13:58:00Z,90.005,90.018,89.99,89.994,5588.066606,502975.1695261328
