ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134520000,2026-08-31T00:02:00Z,27.05,27.05,27.05,27.05,8,216.4
1788136440000,2026-08-31T00:34:00Z,27.07,27.07,27.07,27.07,20,541.4
1788137520000,2026-08-31T00:52:00Z,27.06,27.06,27.06,27.06,5,135.3
1788140340000,2026-08-31T01:39:00Z,27.06,27.06,27.06,27.06,1,27.06
1788141240000,2026-08-31T01:54:00Z,27.06,27.08,27.04,27.08,300,8119.79
1788144000000,2026-08-31T02:40:00Z,27.09,27.09,27.09,27.09,553,14980.77
1788152400000,2026-08-31T05:00:00Z,27.07,27.07,27.07,27.07,1,27.07
1788154200000,2026-08-31T05:30:00Z,27.05,27.05,27.04,27.04,1133,30637.32
1788154260000,2026-08-31T05:31:00Z,27.04,27.04,27.04,27.04,12,324.48
1788154560000,2026-08-31T05:36:00Z,27.05,27.05,27.05,27.05,9,243.45
1788154620000,2026-08-31T05:37:00Z,27.05,27.05,27.05,27.05,3,81.15
1788154800000,2026-08-31T05:40:00Z,27.05,27.05,27.05,27.05,9,243.45
1788154860000,2026-08-31T05:41:00Z,27.05,27.05,27.05,27.05,6,162.3
1788155040000,2026-08-31T05:44:00Z,27.06,27.06,27.06,27.06,2000,54120
1788155880000,2026-08-31T05:58:00Z,27.05,27.05,27.05,27.05,36,973.8
1788155940000,2026-08-31T05:59:00Z,27.05,27.05,27.05,27.05,3,81.15
1788156000000,2026-08-31T06:00:00Z,27.05,27.05,27.05,27.05,32,865.6
1788156240000,2026-08-31T06:04:00Z,27.03,27.03,27.02,27.02,6,162.15
1788156420000,2026-08-31T06:07:00Z,27.03,27.03,27.03,27.03,36,973.08
1788157200000,2026-08-31T06:20:00Z,27.02,27.02,27.02,27.02,6,162.12
1788159000000,2026-08-31T06:50:00Z,27.02,27.02,27.02,27.02,5,135.1
1788159600000,2026-08-31T07:00:00Z,27.02,27.02,27.02,27.02,2,54.04
1788162420000,2026-08-31T07:47:00Z,27.02,27.02,27.02,27.02,5,135.1
1788162720000,2026-08-31T07:52:00Z,27.02,27.02,27.02,27.02,3,81.06
1788163140000,2026-08-31T07:59:00Z,26.99,26.99,26.99,26.99,0,0
1788163200000,2026-08-31T08:00:00Z,26.99,27.07,26.99,27.07,163.727782,4423.760941858
1788163260000,2026-08-31T08:01:00Z,27.02,27.07,27.02,27.02,4766,129015.1434
1788163380000,2026-08-31T08:03:00Z,27.047,27.047,27.032,27.032,0,0
1788163500000,2026-08-31T08:05:00Z,27.031,27.031,27.03,27.03,138,3730.14
1788163560000,2026-08-31T08:06:00Z,27.03,27.03,27.03,27.03,0,0
1788163680000,2026-08-31T08:08:00Z,27.032,27.034,27.032,27.034,0,0
1788163740000,2026-08-31T08:09:00Z,27.035,27.035,27.035,27.035,0,0
1788164340000,2026-08-31T08:19:00Z,27.035,27.035,27.035,27.035,34,919.19
1788164400000,2026-08-31T08:20:00Z,27.035,27.035,27.035,27.035,747,20195.145
1788165000000,2026-08-31T08:30:00Z,27.035,27.035,27.035,27.035,45,1216.575
1788165600000,2026-08-31T08:40:00Z,27.035,27.035,27.035,27.035,5,135.175
1788165900000,2026-08-31T08:45:00Z,27.035,27.035,27.035,27.035,5,135.175
1788166200000,2026-08-31T08:50:00Z,27.035,27.035,27.035,27.035,1,27.035
1788166500000,2026-08-31T08:55:00Z,27.035,27.035,27.035,27.035,110,2973.85
1788166560000,2026-08-31T08:56:00Z,27.035,27.035,27.035,27.035,3,81.105
1788166740000,2026-08-31T08:59:00Z,27.035,27.035,27.035,27.035,0,0
1788169380000,2026-08-31T09:43:00Z,27.035,27.035,27.035,27.035,40,1081.4
