ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,947.62,947.62,947.59,947.59,10,9476.05
1788134460000,2026-08-31T00:01:00Z,947.49,947.49,947.49,947.49,47,44532.03
1788134760000,2026-08-31T00:06:00Z,947.07,947.07,947.05,947.07,62,58717.93
1788134820000,2026-08-31T00:07:00Z,946.83,946.83,946.81,946.81,6,5680.92
1788135180000,2026-08-31T00:13:00Z,946.82,946.82,946.78,946.78,22,20829.96
1788135300000,2026-08-31T00:15:00Z,946.52,946.92,946.52,946.92,17,16093.64
1788135900000,2026-08-31T00:25:00Z,946.98,946.98,946.98,946.98,1,946.98
1788136200000,2026-08-31T00:30:00Z,946.91,946.91,946.51,946.51,24,22720.76
1788136560000,2026-08-31T00:36:00Z,946.73,947.06,946.73,947.06,30,28410.75
1788136680000,2026-08-31T00:38:00Z,946.58,946.58,946.58,946.58,1,946.58
1788136920000,2026-08-31T00:42:00Z,947,947.18,947,947.18,16,15153
1788137520000,2026-08-31T00:52:00Z,947.16,947.16,947.14,947.14,5,4735.72
1788137580000,2026-08-31T00:53:00Z,947.13,947.13,947.13,947.13,1,947.13
1788138420000,2026-08-31T01:07:00Z,947.11,947.11,947.11,947.11,1,947.11
1788139140000,2026-08-31T01:19:00Z,947.24,947.61,947.24,947.61,4,3789.7
1788139500000,2026-08-31T01:25:00Z,947.72,948.04,947.72,948.04,28,26537.82
1788140280000,2026-08-31T01:38:00Z,948.59,948.59,948.59,948.59,10,9485.9
1788140940000,2026-08-31T01:49:00Z,948.2,948.29,948.13,948.13,4,3792.91
1788141000000,2026-08-31T01:50:00Z,948.24,948.4,948.24,948.4,2,1896.64
1788141900000,2026-08-31T02:05:00Z,947.96,947.96,947.89,947.89,34,32229.77
1788142200000,2026-08-31T02:10:00Z,947.63,947.63,947.63,947.63,1,947.63
1788144240000,2026-08-31T02:44:00Z,948.03,948.03,948.03,948.03,20,18960.6
1788144300000,2026-08-31T02:45:00Z,947.72,948.03,947.61,948.03,6,5686.19
1788144360000,2026-08-31T02:46:00Z,947.62,947.62,947.6,947.6,5,4738.02
1788144900000,2026-08-31T02:55:00Z,948.03,948.03,948.03,948.03,1,948.03
1788145440000,2026-08-31T03:04:00Z,947.56,947.56,947.56,947.56,1,947.56
1788146220000,2026-08-31T03:17:00Z,947.71,947.87,947.71,947.87,25,23695.92
1788146580000,2026-08-31T03:23:00Z,947.84,947.84,947.84,947.84,1,947.84
1788146940000,2026-08-31T03:29:00Z,947.94,947.97,947.9,947.9,4,3791.76
1788147240000,2026-08-31T03:34:00Z,947.86,947.86,947.86,947.86,1,947.86
1788147360000,2026-08-31T03:36:00Z,947.61,947.61,947.61,947.61,1,947.61
1788147420000,2026-08-31T03:37:00Z,947.61,947.61,947.42,947.42,23,21791.37
1788147600000,2026-08-31T03:40:00Z,947.57,947.57,947.57,947.57,20,18951.4
1788147660000,2026-08-31T03:41:00Z,947.43,947.43,947.42,947.42,20,18948.5
1788148260000,2026-08-31T03:51:00Z,947.28,947.28,947.28,947.28,1,947.28
1788148620000,2026-08-31T03:57:00Z,947.15,947.15,947.14,947.14,20,18942.81
1788148680000,2026-08-31T03:58:00Z,947.21,947.43,947.21,947.43,23,21786.47
1788149520000,2026-08-31T04:12:00Z,947.93,947.93,947.93,947.93,3,2843.79
1788149640000,2026-08-31T04:14:00Z,947.5,947.5,947.5,947.5,5,4737.5
1788150240000,2026-08-31T04:24:00Z,947.5,947.5,947.5,947.5,1,947.5
1788151980000,2026-08-31T04:53:00Z,947.56,947.56,947.43,947.43,27,25583.93
1788152340000,2026-08-31T04:59:00Z,947.27,947.42,947.27,947.42,42,39790.38
1788152940000,2026-08-31T05:09:00Z,946.72,946.72,946.72,946.72,3,2840.16
1788153180000,2026-08-31T05:13:00Z,946.68,946.68,946.49,946.49,16,15145.61
1788153960000,2026-08-31T05:26:00Z,946.51,946.51,946.51,946.51,19,17983.69
1788154200000,2026-08-31T05:30:00Z,946.1,946.1,946,946,2,1892.1
1788154260000,2026-08-31T05:31:00Z,946.32,946.32,945.77,945.77,5,4729.64
1788154800000,2026-08-31T05:40:00Z,945.81,945.81,945.71,945.79,42,39721.68
1788155820000,2026-08-31T05:57:00Z,946.24,946.24,945.99,945.99,5,4730.2
1788156000000,2026-08-31T06:00:00Z,946.18,946.18,946.09,946.09,5,4730.54
1788156240000,2026-08-31T06:04:00Z,946.32,946.32,945.98,945.98,5,4730.24
1788156600000,2026-08-31T06:10:00Z,946.15,946.15,945.99,945.99,5,4730.11
1788156840000,2026-08-31T06:14:00Z,945.98,945.98,945.98,945.98,7,6621.86
1788157020000,2026-08-31T06:17:00Z,945.91,945.91,945.57,945.57,5,4728.43
1788157080000,2026-08-31T06:18:00Z,945.57,945.57,945.57,945.57,2,1891.14
1788157380000,2026-08-31T06:23:00Z,945.48,945.48,945.48,945.48,12,11345.76
1788157560000,2026-08-31T06:26:00Z,945.55,945.55,945.08,945.08,11,10398.94
1788157800000,2026-08-31T06:30:00Z,945.14,945.14,945.05,945.05,5,4725.34
1788158460000,2026-08-31T06:41:00Z,945.11,945.11,945.11,945.11,5,4725.55
1788158820000,2026-08-31T06:47:00Z,945.28,945.28,945.28,945.28,5,4726.4
1788159000000,2026-08-31T06:50:00Z,945.19,945.19,944.66,944.66,20,18898.73
1788159240000,2026-08-31T06:54:00Z,944.85,944.85,944.84,944.84,8,7558.76
1788159540000,2026-08-31T06:59:00Z,944.95,944.95,944.21,944.61,26,24555.47
1788159600000,2026-08-31T07:00:00Z,944.71,944.71,944.71,944.71,1,944.71
1788160920000,2026-08-31T07:22:00Z,944.81,944.81,943.77,943.77,46,43445.27
1788160980000,2026-08-31T07:23:00Z,944.94,945.15,944.93,944.97,39,36853.2
1788162240000,2026-08-31T07:44:00Z,944.62,944.62,944.62,944.62,1,944.62
1788162540000,2026-08-31T07:49:00Z,944.49,944.49,944.41,944.41,10,9444.66
1788162660000,2026-08-31T07:51:00Z,943.99,943.99,943.99,943.99,4,3775.96
1788162840000,2026-08-31T07:54:00Z,943.73,944.01,943.73,944.01,28,26426.05
1788163140000,2026-08-31T07:59:00Z,943.75,945.555,943.63,943.63,3,2831.01
1788163200000,2026-08-31T08:00:00Z,945.127,945.127,943.022,943.679,95.292724,89925.7139037788
1788163260000,2026-08-31T08:01:00Z,943.679,943.68,943.679,943.68,691,652082.6036
1788163500000,2026-08-31T08:05:00Z,943.68,943.68,943.68,943.68,16,15098.88
1788163980000,2026-08-31T08:13:00Z,943.68,943.68,943.68,943.68,1,943.68
1788164040000,2026-08-31T08:14:00Z,943.68,943.68,943.68,943.68,69,65113.92
1788164520000,2026-08-31T08:22:00Z,943.68,943.68,943.68,943.68,2,1887.36
1788165360000,2026-08-31T08:36:00Z,943.68,943.68,943.68,943.68,0,0
1788166860000,2026-08-31T09:01:00Z,943.68,943.68,943.68,943.68,2,1887.36
1788167280000,2026-08-31T09:08:00Z,943.68,943.68,943.68,943.68,2,1887.36
1788168060000,2026-08-31T09:21:00Z,943.68,943.68,943.68,943.68,2,1887.36
1788168240000,2026-08-31T09:24:00Z,943.68,944.352,943.68,944.352,11.03,10408.93379
1788168300000,2026-08-31T09:25:00Z,944.385,944.55,944.385,944.55,2,1889.078
1788168360000,2026-08-31T09:26:00Z,944.557,944.585,944.557,944.585,0,0
1788168420000,2026-08-31T09:27:00Z,944.586,944.59,944.586,944.59,0,0
1788168840000,2026-08-31T09:34:00Z,944.59,944.59,944.59,944.59,4,3778.36
1788168900000,2026-08-31T09:35:00Z,944.59,944.59,944.59,944.59,0.844,797.23396
1788168960000,2026-08-31T09:36:00Z,944.667,945.049,944.667,945.049,0,0
1788169740000,2026-08-31T09:49:00Z,945.05,945.05,945.05,945.05,0,0
1788170400000,2026-08-31T10:00:00Z,945.05,945.05,945.05,945.05,5,4725.25
1788170820000,2026-08-31T10:07:00Z,945.05,945.05,945.05,945.05,1,945.05
1788171180000,2026-08-31T10:13:00Z,945.05,945.05,945.05,945.05,5,4725.25
1788171780000,2026-08-31T10:23:00Z,945.05,945.05,945.05,945.05,7,6615.35
1788173220000,2026-08-31T10:47:00Z,945.05,945.05,945.05,945.05,3,2835.15
1788173460000,2026-08-31T10:51:00Z,945.05,945.05,945.05,945.05,1,945.05
1788173880000,2026-08-31T10:58:00Z,945.05,945.05,945.05,945.05,2,1890.1
1788173940000,2026-08-31T10:59:00Z,945.05,945.05,945.05,945.05,2,1890.1
1788174000000,2026-08-31T11:00:00Z,945.05,945.05,945.05,945.05,87.029917,82247.62306085
1788174060000,2026-08-31T11:01:00Z,945.05,945.05,945.05,945.05,1.015871,960.04888855
