ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788127200000,2026-08-30T22:00:00Z,216.75,216.75,216.75,216.75,0.69,149.5575
1788134400000,2026-08-31T00:00:00Z,217.32,217.44,217.24,217.38,75,16300.97
1788134460000,2026-08-31T00:01:00Z,216.91,216.93,216.88,216.88,84,18218.31
1788134580000,2026-08-31T00:03:00Z,216.48,216.64,216.48,216.64,18,3898.24
1788134640000,2026-08-31T00:04:00Z,216.63,216.65,216.35,216.37,971,210237.91
1788134700000,2026-08-31T00:05:00Z,216.37,216.37,216.08,216.13,98,21181
1788134760000,2026-08-31T00:06:00Z,216.12,216.12,215.92,215.92,74,15985.34
1788134820000,2026-08-31T00:07:00Z,215.94,215.94,215.91,215.91,40,8636.52
1788134940000,2026-08-31T00:09:00Z,215.94,215.94,215.92,215.92,9,1943.34
1788135120000,2026-08-31T00:12:00Z,216.14,216.45,216.12,216.45,756,163595.04
1788135240000,2026-08-31T00:14:00Z,216.69,216.69,216.6,216.6,7,1516.29
1788135300000,2026-08-31T00:15:00Z,216.82,216.85,216.61,216.61,130,28182.58
1788135420000,2026-08-31T00:17:00Z,216.8,216.96,216.76,216.93,130,28190.26
1788135540000,2026-08-31T00:19:00Z,216.87,216.87,216.82,216.82,37,8022.4
1788135660000,2026-08-31T00:21:00Z,216.78,216.96,216.74,216.96,108,23428.1
1788135720000,2026-08-31T00:22:00Z,217,217.17,216.99,217.17,180,39076.23
1788135780000,2026-08-31T00:23:00Z,217.16,217.16,217.16,217.16,5,1085.8
1788135960000,2026-08-31T00:26:00Z,216.93,216.93,216.93,216.93,1,216.93
1788136020000,2026-08-31T00:27:00Z,217.03,217.03,217.03,217.03,5,1085.15
1788136080000,2026-08-31T00:28:00Z,217.05,217.05,217.05,217.05,67,14542.35
1788136200000,2026-08-31T00:30:00Z,217.16,217.16,217.16,217.16,1,217.16
1788136260000,2026-08-31T00:31:00Z,217.17,217.17,217.17,217.17,2,434.34
1788136320000,2026-08-31T00:32:00Z,217.3,217.3,217.17,217.17,41,8909.17
1788136380000,2026-08-31T00:33:00Z,217.17,217.31,217.17,217.31,53,11514.01
