ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788127200000,2026-08-30T22:00:00Z,109.97,109.97,109.97,109.97,0.7274,79.992178
1788134400000,2026-08-31T00:00:00Z,109.61,109.8,109.49,109.8,64,7017.78
1788134460000,2026-08-31T00:01:00Z,109.46,109.46,109.46,109.46,1,109.46
1788134580000,2026-08-31T00:03:00Z,109.3,109.39,109.3,109.31,30,3279.59
1788134640000,2026-08-31T00:04:00Z,109.31,109.44,109.31,109.44,54,5908.2
1788134700000,2026-08-31T00:05:00Z,109.43,109.43,109.43,109.43,25,2735.75
1788134820000,2026-08-31T00:07:00Z,109.36,109.52,109.36,109.52,146,15976.28
1788134940000,2026-08-31T00:09:00Z,109.35,109.41,109.35,109.41,7,765.69
1788135060000,2026-08-31T00:11:00Z,109.4,109.4,109.4,109.4,25,2735
1788135180000,2026-08-31T00:13:00Z,109.5,109.51,109.5,109.51,144,15769
1788135780000,2026-08-31T00:23:00Z,109.51,109.51,109.51,109.51,11,1204.61
1788136320000,2026-08-31T00:32:00Z,109.62,109.62,109.6,109.6,55,6028.18
1788136380000,2026-08-31T00:33:00Z,109.79,109.8,109.79,109.8,202,22178.1
1788136680000,2026-08-31T00:38:00Z,109.8,109.84,109.8,109.84,856,94018.86
1788136920000,2026-08-31T00:42:00Z,109.81,109.81,109.81,109.81,1,109.81
1788136980000,2026-08-31T00:43:00Z,109.85,109.85,109.85,109.85,18,1977.3
1788137460000,2026-08-31T00:51:00Z,109.75,109.75,109.75,109.75,5,548.75
1788137520000,2026-08-31T00:52:00Z,109.75,109.75,109.75,109.75,20,2195
1788137580000,2026-08-31T00:53:00Z,109.77,109.82,109.75,109.75,81,8892.22
1788137640000,2026-08-31T00:54:00Z,109.76,109.76,109.75,109.75,119,13060.39
1788137700000,2026-08-31T00:55:00Z,109.75,109.75,109.75,109.75,50,5487.5
1788137760000,2026-08-31T00:56:00Z,109.74,109.74,109.72,109.72,218,23922.96
1788137820000,2026-08-31T00:57:00Z,109.72,109.72,109.72,109.72,9,987.48
1788138000000,2026-08-31T01:00:00Z,109.7,109.7,109.67,109.67,183,20070.64
1788138060000,2026-08-31T01:01:00Z,109.64,109.64,109.64,109.64,10,1096.4
1788138120000,2026-08-31T01:02:00Z,109.66,109.66,109.66,109.66,78,8553.48
1788140460000,2026-08-31T01:41:00Z,109.72,109.72,109.72,109.72,31,3401.32
1788141120000,2026-08-31T01:52:00Z,109.68,109.68,109.68,109.68,4,438.72
1788141600000,2026-08-31T02:00:00Z,109.71,109.71,109.71,109.71,1,109.71
1788141720000,2026-08-31T02:02:00Z,109.7,109.7,109.7,109.7,18,1974.6
1788142140000,2026-08-31T02:09:00Z,109.71,109.71,109.71,109.71,11,1206.81
1788142680000,2026-08-31T02:18:00Z,109.7,109.7,109.66,109.66,228,25009.08
1788143160000,2026-08-31T02:26:00Z,109.66,109.66,109.61,109.61,2325,254881.15
1788143400000,2026-08-31T02:30:00Z,109.63,109.64,109.63,109.64,12,1315.66
1788143460000,2026-08-31T02:31:00Z,109.62,109.62,109.55,109.55,529,57955.08
1788143640000,2026-08-31T02:34:00Z,109.55,109.55,109.54,109.54,715,78328.15
1788143760000,2026-08-31T02:36:00Z,109.51,109.51,109.51,109.51,154,16864.54
1788144420000,2026-08-31T02:47:00Z,109.46,109.46,109.46,109.46,32,3502.72
1788144720000,2026-08-31T02:52:00Z,109.48,109.51,109.48,109.49,213,23323.18
1788144780000,2026-08-31T02:53:00Z,109.48,109.48,109.48,109.48,18,1970.64
1788144900000,2026-08-31T02:55:00Z,109.5,109.52,109.5,109.52,13,1423.58
1788144960000,2026-08-31T02:56:00Z,109.54,109.61,109.54,109.61,75,8217.62
1788145380000,2026-08-31T03:03:00Z,109.62,109.62,109.62,109.62,10,1096.2
1788146100000,2026-08-31T03:15:00Z,109.69,109.72,109.69,109.72,18,1974.69
1788146160000,2026-08-31T03:16:00Z,109.68,109.68,109.68,109.68,7,767.76
1788146280000,2026-08-31T03:18:00Z,109.7,109.73,109.7,109.73,18,1974.87
1788146340000,2026-08-31T03:19:00Z,109.65,109.65,109.65,109.65,9,986.85
1788146400000,2026-08-31T03:20:00Z,109.69,109.69,109.67,109.68,66,7238.79
1788146820000,2026-08-31T03:27:00Z,109.64,109.64,109.64,109.64,1,109.64
1788147420000,2026-08-31T03:37:00Z,109.71,109.71,109.71,109.71,7,767.97
1788148380000,2026-08-31T03:53:00Z,109.66,109.66,109.66,109.66,7,767.62
1788148560000,2026-08-31T03:56:00Z,109.65,109.65,109.65,109.65,10,1096.5
1788148740000,2026-08-31T03:59:00Z,109.64,109.64,109.62,109.62,40,4385.3
1788148800000,2026-08-31T04:00:00Z,109.61,109.61,109.6,109.6,103,11289.31
1788149160000,2026-08-31T04:06:00Z,109.57,109.57,109.56,109.56,12,1314.74
1788149580000,2026-08-31T04:13:00Z,109.57,109.57,109.57,109.57,4,438.28
1788150960000,2026-08-31T04:36:00Z,109.58,109.58,109.58,109.58,2,219.16
1788151020000,2026-08-31T04:37:00Z,109.58,109.61,109.58,109.61,6,657.58
1788151320000,2026-08-31T04:42:00Z,109.6,109.6,109.6,109.6,1,109.6
1788151500000,2026-08-31T04:45:00Z,109.65,109.65,109.65,109.65,9,986.85
1788151680000,2026-08-31T04:48:00Z,109.68,109.68,109.68,109.68,1,109.68
