ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134640000,2026-08-31T00:04:00Z,94.77,94.77,94.77,94.77,49,4643.73
1788138240000,2026-08-31T01:04:00Z,95.13,95.13,95.13,95.13,149,14174.37
1788138720000,2026-08-31T01:12:00Z,95.13,95.13,95.13,95.13,13,1236.69
1788140700000,2026-08-31T01:45:00Z,95.34,95.35,95.34,95.35,70,6674.3
1788142500000,2026-08-31T02:15:00Z,95.59,95.59,95.59,95.59,22,2102.98
1788143520000,2026-08-31T02:32:00Z,95.62,95.62,95.62,95.62,52,4972.24
1788143700000,2026-08-31T02:35:00Z,95.64,95.64,95.59,95.59,63,6022.48
1788144840000,2026-08-31T02:54:00Z,95.59,95.59,95.59,95.59,2,191.18
1788150780000,2026-08-31T04:33:00Z,96.04,96.05,96.04,96.05,81,7779.35
1788150900000,2026-08-31T04:35:00Z,96.06,96.06,96.06,96.06,116,11142.96
1788155460000,2026-08-31T05:51:00Z,96.4,96.4,96.4,96.4,1,96.4
1788156300000,2026-08-31T06:05:00Z,96.41,96.41,96.4,96.4,47,4531
1788157680000,2026-08-31T06:28:00Z,96.41,96.41,96.41,96.41,5,482.05
1788157740000,2026-08-31T06:29:00Z,96.35,96.35,96.35,96.35,60,5781
1788157800000,2026-08-31T06:30:00Z,96.35,96.35,96.35,96.35,20,1927
1788157860000,2026-08-31T06:31:00Z,96.41,96.49,96.41,96.48,120,11576.7
1788158340000,2026-08-31T06:39:00Z,96.5,96.51,96.49,96.51,260,25089.1
1788158520000,2026-08-31T06:42:00Z,96.5,96.5,96.5,96.5,20,1930
1788158640000,2026-08-31T06:44:00Z,96.5,96.5,96.5,96.5,20,1930
1788160080000,2026-08-31T07:08:00Z,96.54,96.54,96.54,96.54,100,9654
1788160140000,2026-08-31T07:09:00Z,96.68,96.69,96.68,96.68,233,22527.59
1788163140000,2026-08-31T07:59:00Z,95.779,95.779,95.779,95.779,0,0
1788163200000,2026-08-31T08:00:00Z,95.779,96.489,95.779,96.473,363,34948.8414
1788163260000,2026-08-31T08:01:00Z,96.472,96.593,96.471,96.578,1045,100879.911
1788163320000,2026-08-31T08:02:00Z,96.575,96.575,96.556,96.556,0,0
1788163380000,2026-08-31T08:03:00Z,96.548,96.548,96.512,96.512,530,51163.709
1788163440000,2026-08-31T08:04:00Z,96.511,96.511,96.51,96.51,530,51150.3
1788163500000,2026-08-31T08:05:00Z,96.519,96.564,96.519,96.557,0,0
1788163560000,2026-08-31T08:06:00Z,96.556,96.556,96.553,96.553,0,0
1788163620000,2026-08-31T08:07:00Z,96.552,96.552,96.551,96.551,0,0
1788165300000,2026-08-31T08:35:00Z,96.533,96.533,96.454,96.454,1,96.533
1788165360000,2026-08-31T08:36:00Z,96.453,96.453,96.451,96.451,0,0
1788165420000,2026-08-31T08:37:00Z,96.453,96.464,96.453,96.464,0,0
1788165480000,2026-08-31T08:38:00Z,96.465,96.465,96.465,96.465,0,0
1788165600000,2026-08-31T08:40:00Z,96.466,96.469,96.466,96.469,0,0
1788166200000,2026-08-31T08:50:00Z,96.472,96.484,96.472,96.484,0,0
1788166260000,2026-08-31T08:51:00Z,96.485,96.485,96.485,96.485,0,0
1788166440000,2026-08-31T08:54:00Z,96.485,96.485,96.485,96.485,4,385.94
1788166980000,2026-08-31T09:03:00Z,96.468,96.468,96.386,96.386,13,1254.084
1788167040000,2026-08-31T09:04:00Z,96.387,96.389,96.387,96.389,0,0
1788167100000,2026-08-31T09:05:00Z,96.391,96.424,96.391,96.424,0,0
1788167220000,2026-08-31T09:07:00Z,96.425,96.433,96.425,96.433,0,0
1788167280000,2026-08-31T09:08:00Z,96.434,96.434,96.434,96.434,0,0
1788168300000,2026-08-31T09:25:00Z,96.446,96.504,96.446,96.504,30,2893.629
1788168360000,2026-08-31T09:26:00Z,96.505,96.505,96.451,96.451,490,47273.191
1788168420000,2026-08-31T09:27:00Z,96.45,96.45,96.45,96.45,0,0
1788170100000,2026-08-31T09:55:00Z,96.423,96.423,96.291,96.291,0.125,12.052875
1788170160000,2026-08-31T09:56:00Z,96.29,96.29,96.29,96.29,0,0
1788170640000,2026-08-31T10:04:00Z,96.29,96.29,96.29,96.29,1,96.29
1788170820000,2026-08-31T10:07:00Z,96.292,96.294,96.292,96.294,0,0
1788170880000,2026-08-31T10:08:00Z,96.295,96.295,96.295,96.295,0,0
1788171240000,2026-08-31T10:14:00Z,96.295,96.295,96.291,96.291,2,192.59
1788171360000,2026-08-31T10:16:00Z,96.29,96.29,96.29,96.29,0,0
1788171960000,2026-08-31T10:26:00Z,96.301,96.364,96.301,96.364,20,1926.02
1788172020000,2026-08-31T10:27:00Z,96.365,96.365,96.365,96.365,0,0
1788173520000,2026-08-31T10:52:00Z,96.366,96.393,96.366,96.393,0,0
1788173580000,2026-08-31T10:53:00Z,96.394,96.394,96.394,96.394,0,0
1788174240000,2026-08-31T11:04:00Z,96.397,96.409,96.397,96.409,1,96.397
1788174300000,2026-08-31T11:05:00Z,96.41,96.41,96.41,96.41,0,0
1788174360000,2026-08-31T11:06:00Z,96.412,96.443,96.412,96.443,0,0
1788174420000,2026-08-31T11:07:00Z,96.444,96.444,96.426,96.426,0,0
1788174540000,2026-08-31T11:09:00Z,96.421,96.421,96.402,96.402,0,0
1788174600000,2026-08-31T11:10:00Z,96.401,96.401,96.401,96.401,0,0
1788176160000,2026-08-31T11:36:00Z,96.4,96.4,96.4,96.4,0.281,27.0884
1788176220000,2026-08-31T11:37:00Z,96.4,96.4,96.4,96.4,0.198,19.0872
1788176580000,2026-08-31T11:43:00Z,96.398,96.398,96.396,96.396,0,0
1788176640000,2026-08-31T11:44:00Z,96.395,96.395,96.395,96.395,0,0
1788176760000,2026-08-31T11:46:00Z,96.395,96.395,96.387,96.387,52,5012.54
1788176880000,2026-08-31T11:48:00Z,96.386,96.386,96.386,96.386,0,0
1788177600000,2026-08-31T12:00:00Z,96.392,96.433,96.392,96.433,100,9639.2
1788177660000,2026-08-31T12:01:00Z,96.434,96.437,96.434,96.437,225,21698.19
1788177720000,2026-08-31T12:02:00Z,96.439,96.439,96.439,96.439,0,0
1788177780000,2026-08-31T12:03:00Z,96.44,96.44,96.44,96.44,0,0
1788177900000,2026-08-31T12:05:00Z,96.44,96.44,96.44,96.44,3,289.32
1788178020000,2026-08-31T12:07:00Z,96.44,96.44,96.44,96.44,2,192.88
1788178080000,2026-08-31T12:08:00Z,96.463,96.552,96.463,96.552,6,578.778
1788178140000,2026-08-31T12:09:00Z,96.553,96.559,96.553,96.559,0,0
1788178260000,2026-08-31T12:11:00Z,96.557,96.557,96.546,96.546,0,0
1788178320000,2026-08-31T12:12:00Z,96.545,96.545,96.545,96.545,0,0
1788178560000,2026-08-31T12:16:00Z,96.556,96.572,96.556,96.572,400,38622.4
1788178620000,2026-08-31T12:17:00Z,96.579,96.623,96.579,96.623,0,0
1788178680000,2026-08-31T12:18:00Z,96.627,96.64,96.627,96.64,0,0
1788178860000,2026-08-31T12:21:00Z,96.64,96.64,96.567,96.567,45,4348.296
1788178920000,2026-08-31T12:22:00Z,96.566,96.566,96.566,96.566,0,0
1788179220000,2026-08-31T12:27:00Z,96.557,96.557,96.55,96.55,120,11586.84
1788179280000,2026-08-31T12:28:00Z,96.544,96.544,96.501,96.501,0,0
