ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,910.3,911.83,910.3,910.81,44,40092.17
1788134460000,2026-08-31T00:01:00Z,911.06,911.06,910.84,910.84,15,13662.94
1788134520000,2026-08-31T00:02:00Z,911.06,911.06,910.71,910.92,48,43718.22
1788134580000,2026-08-31T00:03:00Z,910.99,911.85,910.86,911.2,237,215949.43
1788134640000,2026-08-31T00:04:00Z,911.1,911.79,911,911.3,77,70185.72
1788134700000,2026-08-31T00:05:00Z,911.3,911.3,911.3,911.3,1,911.3
1788134760000,2026-08-31T00:06:00Z,910.91,911.25,910.91,911.25,25,22779.43
1788134820000,2026-08-31T00:07:00Z,911.01,911.01,910.98,911.01,25,22775.22
1788134880000,2026-08-31T00:08:00Z,911.1,911.18,911.1,911.18,4,3644.64
1788134940000,2026-08-31T00:09:00Z,910.96,910.96,910.96,910.96,9,8198.64
1788135000000,2026-08-31T00:10:00Z,910.97,911.02,907.1,908,435,395622.74
1788135060000,2026-08-31T00:11:00Z,908.82,908.82,908.65,908.65,14,12723.21
1788135120000,2026-08-31T00:12:00Z,907.57,907.57,907.57,907.57,2,1815.14
1788135180000,2026-08-31T00:13:00Z,907.7,908.03,907.7,907.77,86,78076.19
1788135240000,2026-08-31T00:14:00Z,908.69,909.01,908.69,908.74,182,165423.62
1788135780000,2026-08-31T00:23:00Z,910.56,910.58,910.56,910.58,6,5463.46
1788135900000,2026-08-31T00:25:00Z,910.27,910.27,910.27,910.27,3,2730.81
1788135960000,2026-08-31T00:26:00Z,910.27,910.27,910.27,910.27,2,1820.54
1788136020000,2026-08-31T00:27:00Z,910.52,910.52,910.52,910.52,1,910.52
1788136080000,2026-08-31T00:28:00Z,910.52,910.52,910.32,910.32,10,9104.98
1788136680000,2026-08-31T00:38:00Z,910.62,910.62,910.62,910.62,4,3642.48
1788136740000,2026-08-31T00:39:00Z,910.83,910.83,910.66,910.83,39,35520.23
1788136800000,2026-08-31T00:40:00Z,910.83,910.83,910.83,910.83,1,910.83
1788136920000,2026-08-31T00:42:00Z,910.77,910.89,910.71,910.85,29,26413
1788136980000,2026-08-31T00:43:00Z,910.77,910.85,910.71,910.71,68,61930.32
1788137040000,2026-08-31T00:44:00Z,910.63,910.63,908.96,909.01,193,175479.22
1788137280000,2026-08-31T00:48:00Z,908.75,908.98,908.75,908.79,19,17268.52
1788137340000,2026-08-31T00:49:00Z,911.06,911.06,911.06,911.06,1,911.06
1788137400000,2026-08-31T00:50:00Z,909.01,909.01,909.01,909.01,20,18180.2
1788137580000,2026-08-31T00:53:00Z,910.5,910.5,910.5,910.5,10,9105
1788137640000,2026-08-31T00:54:00Z,910.5,910.5,910.5,910.5,5,4552.5
1788137700000,2026-08-31T00:55:00Z,910.5,910.5,910.5,910.5,15,13657.5
1788137760000,2026-08-31T00:56:00Z,909.56,909.56,909.5,909.5,31,28195.7
1788137820000,2026-08-31T00:57:00Z,909.1,909.1,909.1,909.1,7,6363.7
1788137880000,2026-08-31T00:58:00Z,909.1,909.1,909.01,909.01,18,16363.37
