ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788135660000,2026-08-31T00:21:00Z,1025.81,1025.86,1025.81,1025.86,2,2051.67
1788136080000,2026-08-31T00:28:00Z,1025.87,1025.87,1025.41,1025.41,10,10254.56
1788139200000,2026-08-31T01:20:00Z,1026.32,1026.32,1026.32,1026.32,1,1026.32
1788139440000,2026-08-31T01:24:00Z,1026.42,1026.42,1026.01,1026.01,5,5130.46
1788139620000,2026-08-31T01:27:00Z,1026.5,1026.5,1025.89,1025.89,5,5130.46
1788142680000,2026-08-31T02:18:00Z,1025.9,1025.9,1025.9,1025.9,5,5129.5
1788142980000,2026-08-31T02:23:00Z,1025.9,1025.9,1025.9,1025.9,5,5129.5
1788143160000,2026-08-31T02:26:00Z,1026.13,1026.13,1025.9,1025.9,5,5129.73
1788148740000,2026-08-31T03:59:00Z,1028.21,1028.21,1028.2,1028.2,25,25705.2
1788150720000,2026-08-31T04:32:00Z,1028.2,1028.2,1028,1028,115,118223
1788150960000,2026-08-31T04:36:00Z,1029.3,1029.37,1029.3,1029.37,6,6176.15
1788152520000,2026-08-31T05:02:00Z,1028.99,1028.99,1028.99,1028.99,80,82319.2
1788153000000,2026-08-31T05:10:00Z,1027.51,1027.51,1027.51,1027.51,1,1027.51
1788154380000,2026-08-31T05:33:00Z,1027.51,1027.51,1027,1027,5,5135.51
1788158100000,2026-08-31T06:35:00Z,1027.4,1027.4,1027,1027,2,2054.4
1788159540000,2026-08-31T06:59:00Z,1028.9,1028.9,1028.9,1028.9,10,10289
1788159720000,2026-08-31T07:02:00Z,1028.51,1028.51,1028.51,1028.51,1,1028.51
1788159840000,2026-08-31T07:04:00Z,1029.96,1029.96,1029.83,1029.83,32,32956.15
1788160620000,2026-08-31T07:17:00Z,1030.31,1030.31,1030.31,1030.31,5,5151.55
1788160680000,2026-08-31T07:18:00Z,1030.57,1030.76,1030.57,1030.76,10,10307.41
1788160740000,2026-08-31T07:19:00Z,1030.68,1030.78,1030.68,1030.78,25,25769.4
1788161340000,2026-08-31T07:29:00Z,1030.78,1030.79,1030.78,1030.79,27,27831.19
1788162120000,2026-08-31T07:42:00Z,1030.29,1030.78,1030.29,1030.78,19,19582.53
1788163140000,2026-08-31T07:59:00Z,1033.995,1033.995,1033.995,1033.995,0,0
1788163200000,2026-08-31T08:00:00Z,1033.995,1036.511,1033.995,1035.851,421.565061,436706.1603569004
1788163260000,2026-08-31T08:01:00Z,1035.851,1035.851,1035.85,1035.85,304,314898.552
1788163380000,2026-08-31T08:03:00Z,1035.85,1035.85,1035.85,1035.85,1,1035.85
1788163560000,2026-08-31T08:06:00Z,1035.85,1035.85,1035.85,1035.85,5,5179.25
1788163860000,2026-08-31T08:11:00Z,1035.85,1035.85,1035.85,1035.85,2,2071.7
1788163920000,2026-08-31T08:12:00Z,1035.85,1035.85,1035.85,1035.85,5,5179.25
1788164820000,2026-08-31T08:27:00Z,1035.85,1035.85,1035.85,1035.85,1,1035.85
1788165360000,2026-08-31T08:36:00Z,1035.85,1035.85,1035.85,1035.85,0,0
1788166920000,2026-08-31T09:02:00Z,1035.85,1035.85,1035.85,1035.85,7,7250.95
1788167280000,2026-08-31T09:08:00Z,1035.85,1035.85,1035.85,1035.85,1,1035.85
1788167340000,2026-08-31T09:09:00Z,1035.85,1035.85,1035.85,1035.85,11,11394.35
1788168180000,2026-08-31T09:23:00Z,1035.042,1035.042,1031.025,1031.025,2.058175,2122.083391925
1788168240000,2026-08-31T09:24:00Z,1031.02,1031.02,1031.001,1031.001,35.100395,36188.542345395
1788168300000,2026-08-31T09:25:00Z,1031,1031,1031,1031,15,15465
1788168420000,2026-08-31T09:27:00Z,1031,1031,1031,1031,2,2062
1788168540000,2026-08-31T09:29:00Z,1031,1031,1031,1031,5,5155
1788168600000,2026-08-31T09:30:00Z,1031,1031,1031,1031,10,10310
1788169260000,2026-08-31T09:41:00Z,1031,1031,1031,1031,1,1031
1788169680000,2026-08-31T09:48:00Z,1031,1031,1031,1031,0,0
1788170460000,2026-08-31T10:01:00Z,1031,1031,1031,1031,0,0
1788170520000,2026-08-31T10:02:00Z,1030.833,1030.833,1030.01,1030.01,40,41233.32
1788170580000,2026-08-31T10:03:00Z,1030.009,1030.009,1030,1030,0,0
1788171960000,2026-08-31T10:26:00Z,1030,1030,1030,1030,18,18540
1788172080000,2026-08-31T10:28:00Z,1030,1030,1030,1030,60,61800
1788172260000,2026-08-31T10:31:00Z,1030,1030,1030,1030,1,1030
1788173520000,2026-08-31T10:52:00Z,1030,1030,1030,1030,6,6180
1788173760000,2026-08-31T10:56:00Z,1030,1030,1030,1030,0.001655,1.70465
1788174000000,2026-08-31T11:00:00Z,1030.025,1031.499,1030.025,1031.499,27.046,27858.4050434
