ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,44.7,44.7,44.7,44.7,12,536.4
1788136980000,2026-08-31T00:43:00Z,44.72,44.72,44.72,44.72,13,581.36
1788137460000,2026-08-31T00:51:00Z,44.72,44.72,44.72,44.72,2,89.44
1788138240000,2026-08-31T01:04:00Z,44.71,44.71,44.71,44.71,36,1609.56
1788139320000,2026-08-31T01:22:00Z,44.69,44.69,44.69,44.69,50,2234.5
1788143520000,2026-08-31T02:32:00Z,44.67,44.67,44.67,44.67,29,1295.43
1788148320000,2026-08-31T03:52:00Z,44.68,44.68,44.68,44.68,50,2234
1788148680000,2026-08-31T03:58:00Z,44.68,44.68,44.68,44.68,1,44.68
1788154200000,2026-08-31T05:30:00Z,44.61,44.61,44.23,44.32,218,9652.8
1788163140000,2026-08-31T07:59:00Z,44.86,44.86,44.86,44.86,0,0
1788163200000,2026-08-31T08:00:00Z,44.86,44.86,44.607,44.702,960.1396,43069.27007908
1788163260000,2026-08-31T08:01:00Z,44.701,44.701,44.7,44.7,469,20964.3
1788163560000,2026-08-31T08:06:00Z,44.7,44.7,44.7,44.7,49,2190.3
1788164580000,2026-08-31T08:23:00Z,44.7,44.7,44.7,44.7,8,357.6
1788164940000,2026-08-31T08:29:00Z,44.7,44.7,44.7,44.7,0,0
1788167880000,2026-08-31T09:18:00Z,44.7,44.7,44.7,44.7,555,24808.5
1788168420000,2026-08-31T09:27:00Z,44.7,44.7,44.7,44.7,0,0
1788170520000,2026-08-31T10:02:00Z,44.672,44.672,44.53,44.53,65,2903.68
1788170700000,2026-08-31T10:05:00Z,44.534,44.553,44.534,44.553,0,0
1788171060000,2026-08-31T10:11:00Z,44.554,44.555,44.554,44.555,424,18891.32
1788171240000,2026-08-31T10:14:00Z,44.556,44.558,44.556,44.558,0,0
1788171420000,2026-08-31T10:17:00Z,44.559,44.559,44.559,44.559,0,0
1788171600000,2026-08-31T10:20:00Z,44.561,44.563,44.561,44.563,0,0
1788172200000,2026-08-31T10:30:00Z,44.564,44.564,44.564,44.564,0,0
1788172320000,2026-08-31T10:32:00Z,44.565,44.565,44.565,44.565,2,89.13
1788172920000,2026-08-31T10:42:00Z,44.565,44.565,44.565,44.565,100,4456.5
1788173100000,2026-08-31T10:45:00Z,44.565,44.565,44.565,44.565,0,0
1788173940000,2026-08-31T10:59:00Z,44.565,44.565,44.565,44.565,33,1470.645
1788174000000,2026-08-31T11:00:00Z,44.565,44.759,44.565,44.759,165,7360.2705
1788174060000,2026-08-31T11:01:00Z,44.76,44.76,44.76,44.76,0,0
1788174180000,2026-08-31T11:03:00Z,44.76,44.76,44.76,44.76,30,1342.8
1788174900000,2026-08-31T11:15:00Z,44.76,44.76,44.687,44.687,223,9981.48
1788175020000,2026-08-31T11:17:00Z,44.686,44.686,44.686,44.686,5,223.43
1788175320000,2026-08-31T11:22:00Z,44.686,44.686,44.686,44.686,277,12378.022
1788175740000,2026-08-31T11:29:00Z,44.685,44.685,44.685,44.685,18,804.33
1788175860000,2026-08-31T11:31:00Z,44.61,44.685,44.467,44.51,6334,282778.263
1788176040000,2026-08-31T11:34:00Z,44.466,44.466,44.466,44.466,2,88.932
1788176100000,2026-08-31T11:35:00Z,44.466,44.466,44.466,44.466,2,88.932
1788176160000,2026-08-31T11:36:00Z,44.431,44.431,44.263,44.263,1,44.266
1788176220000,2026-08-31T11:37:00Z,44.261,44.261,44.231,44.231,300,13276.8
1788176280000,2026-08-31T11:38:00Z,44.239,44.256,44.239,44.256,100,4423.9
1788176340000,2026-08-31T11:39:00Z,44.26,44.278,44.26,44.278,0,0
1788176520000,2026-08-31T11:42:00Z,44.279,44.279,44.279,44.279,34,1505.486
1788176700000,2026-08-31T11:45:00Z,44.309,44.453,44.309,44.453,1,44.309
1788176940000,2026-08-31T11:49:00Z,44.454,44.454,44.454,44.454,0,0
1788177240000,2026-08-31T11:54:00Z,44.455,44.455,44.455,44.455,70,3111.85
1788177300000,2026-08-31T11:55:00Z,44.455,44.455,44.455,44.455,150,6668.25
1788177540000,2026-08-31T11:59:00Z,44.455,44.455,44.301,44.301,90,4000.95
1788177720000,2026-08-31T12:02:00Z,44.3,44.454,44.3,44.454,8370,371176.02
1788177780000,2026-08-31T12:03:00Z,44.454,44.454,44.454,44.454,40,1778.16
1788177960000,2026-08-31T12:06:00Z,44.455,44.455,44.455,44.455,100,4445.5
1788178020000,2026-08-31T12:07:00Z,44.455,44.455,44.455,44.455,70,3111.85
1788178320000,2026-08-31T12:12:00Z,44.455,44.455,44.401,44.401,48.06857,2134.76845541
1788178800000,2026-08-31T12:20:00Z,44.401,44.401,44.401,44.401,1,44.401
1788179040000,2026-08-31T12:24:00Z,44.4,44.4,44.4,44.4,216,9590.4
1788179100000,2026-08-31T12:25:00Z,44.372,44.372,44.253,44.253,432,19168.704
1788179160000,2026-08-31T12:26:00Z,44.251,44.251,44.251,44.251,0,0
1788179220000,2026-08-31T12:27:00Z,44.251,44.251,44.251,44.251,221,9779.471
1788179700000,2026-08-31T12:35:00Z,44.25,44.25,44.25,44.25,50,2212.5
1788179820000,2026-08-31T12:37:00Z,44.25,44.378,44.25,44.378,10,442.5
1788180120000,2026-08-31T12:42:00Z,44.379,44.379,44.379,44.379,0,0
1788180300000,2026-08-31T12:45:00Z,44.366,44.366,44.318,44.318,23,1020.418
1788180360000,2026-08-31T12:46:00Z,44.315,44.315,44.301,44.301,0,0
1788180420000,2026-08-31T12:47:00Z,44.301,44.301,44.301,44.301,0,0
1788180780000,2026-08-31T12:53:00Z,44.301,44.301,44.301,44.301,0,0
1788181080000,2026-08-31T12:58:00Z,44.301,44.301,44.301,44.301,0,0
1788181380000,2026-08-31T13:03:00Z,44.31,44.354,44.31,44.354,0,0
1788181500000,2026-08-31T13:05:00Z,44.354,44.354,44.354,44.354,50,2217.7
1788181560000,2026-08-31T13:06:00Z,44.354,44.354,44.354,44.354,1,44.354
1788181860000,2026-08-31T13:11:00Z,44.355,44.355,44.355,44.355,100,4435.5
1788181980000,2026-08-31T13:13:00Z,44.355,44.355,44.355,44.355,1,44.355
1788182100000,2026-08-31T13:15:00Z,44.355,44.355,44.355,44.355,298,13217.79
1788182400000,2026-08-31T13:20:00Z,44.355,44.355,44.355,44.355,350,15524.25
1788182460000,2026-08-31T13:21:00Z,44.355,44.355,44.355,44.355,80,3548.4
1788182520000,2026-08-31T13:22:00Z,44.355,44.355,44.355,44.355,25,1108.875
1788182580000,2026-08-31T13:23:00Z,44.355,44.355,44.355,44.355,62,2750.01
1788182640000,2026-08-31T13:24:00Z,44.355,44.355,44.355,44.355,500,22177.5
1788182700000,2026-08-31T13:25:00Z,44.385,44.535,44.385,44.535,1263,56125.9518
1788182760000,2026-08-31T13:26:00Z,44.535,44.869,44.535,44.869,317,14186.5425
1788182820000,2026-08-31T13:27:00Z,44.87,44.87,44.87,44.87,177,7941.99
1788182880000,2026-08-31T13:28:00Z,44.87,44.87,44.87,44.87,500,22435
1788183000000,2026-08-31T13:30:00Z,44.75,45.162,44.75,44.88,55457.648618,2488606.52408413
1788183060000,2026-08-31T13:31:00Z,45.179,45.648,45.179,45.648,41550.155922,1887233.01207079
1788183120000,2026-08-31T13:32:00Z,45.73,45.73,45.01,45.025,123463.6142,5604408.53210344
1788183180000,2026-08-31T13:33:00Z,45.065,45.257,45.065,45.235,9795.527047,442310.16693835
1788183240000,2026-08-31T13:34:00Z,45.17,45.257,45.14,45.15,5399.526983,244062.39930049
1788183300000,2026-08-31T13:35:00Z,45.06,45.152,44.896,45.06,9123.783518,410729.92452157
1788183360000,2026-08-31T13:36:00Z,45.005,45.065,44.96,45.065,13687.49037,615960.33538363
1788183420000,2026-08-31T13:37:00Z,45.05,45.112,45.01,45.03,22793.93523,1026798.40030581
1788183480000,2026-08-31T13:38:00Z,45.09,45.18,45.057,45.09,25675.988114,1157943.41476161
1788183540000,2026-08-31T13:39:00Z,45.11,45.19,45.071,45.17,13150.389502,593181.19446147
1788183600000,2026-08-31T13:40:00Z,45.12,45.225,45.12,45.12,10418.522947,470760.9593602
1788183660000,2026-08-31T13:41:00Z,45.1,45.143,44.974,44.98,32816.764626,1478539.64016565
1788183720000,2026-08-31T13:42:00Z,45,45.22,44.971,45.1,7147.71429,322134.61716458
1788183780000,2026-08-31T13:43:00Z,45.23,45.346,45.211,45.31,12158.103292,550554.17556131
1788183840000,2026-08-31T13:44:00Z,45.39,45.444,45.315,45.315,6286,285184.5052
1788183900000,2026-08-31T13:45:00Z,45.265,45.341,45.265,45.32,17947.570477,813339.02509145
1788183960000,2026-08-31T13:46:00Z,45.18,45.307,45.146,45.18,9367.383025,423892.8166473
1788184020000,2026-08-31T13:47:00Z,45.11,45.144,45.06,45.1,9742.2008,439409.30222296
1788184080000,2026-08-31T13:48:00Z,45.04,45.089,44.973,45,24227.963259,1091002.14512705
1788184140000,2026-08-31T13:49:00Z,44.97,45.199,44.97,45.18,20576,927115.4656
1788184200000,2026-08-31T13:50:00Z,45.145,45.203,45.031,45.07,8049.910903,363095.25623527
1788184260000,2026-08-31T13:51:00Z,45.059,45.137,45.059,45.114,6608.043627,298123.2098408304
1788184320000,2026-08-31T13:52:00Z,45.11,45.114,44.98,45.02,44169.6228,1988759.3513814
1788184380000,2026-08-31T13:53:00Z,45.03,45.053,44.946,44.967,11976.161208,539120.0705554488
1788184440000,2026-08-31T13:54:00Z,44.99,45.11,44.969,45.04,28104.04735,1266494.84180408
1788184500000,2026-08-31T13:55:00Z,45.05,45.14,45.02,45.14,14736,664102.8912
1788184560000,2026-08-31T13:56:00Z,45.13,45.214,45.13,45.2,34758.02214,1569109.19988373
1788184620000,2026-08-31T13:57:00Z,45.22,45.229,45.086,45.14,16266.954,735292.3479264
1788184680000,2026-08-31T13:58:00Z,45.04,45.088,44.94,45.01,18533.248125,834307.5241935
1788184740000,2026-08-31T13:59:00Z,44.993,44.993,44.943,44.957,7924,356269.3792
1788184800000,2026-08-31T14:00:00Z,44.959,44.994,44.941,44.966,10813.306753,486199.7928658143
1788184860000,2026-08-31T14:01:00Z,44.964,45.033,44.959,45.033,5111.105433,229998.2111533701
1788184920000,2026-08-31T14:02:00Z,45.036,45.078,45.01,45.032,6427.934261,289536.6568853535
1788184980000,2026-08-31T14:03:00Z,45.035,45.11,45.035,45.11,2979,134222.4198
1788185040000,2026-08-31T14:04:00Z,45.112,45.179,45.112,45.132,12412,560499.8548
1788185100000,2026-08-31T14:05:00Z,45.124,45.2,45.094,45.193,10298.529,464926.0618521
1788185160000,2026-08-31T14:06:00Z,45.193,45.203,45.1,45.11,7158.80315,323383.898814635
1788185220000,2026-08-31T14:07:00Z,45.109,45.109,45.032,45.034,10899.2496,491304.38429424
1788185280000,2026-08-31T14:08:00Z,45.033,45.11,45.02,45.11,11691.835777,526793.1986864005
1788185340000,2026-08-31T14:09:00Z,45.11,45.11,45.033,45.081,7372.367,332267.4200331
1788185400000,2026-08-31T14:10:00Z,45.08,45.09,45.041,45.057,6799.039161,306408.2184452904
1788185460000,2026-08-31T14:11:00Z,45.057,45.09,45.052,45.052,10095.190283,454976.0927884138
1788185520000,2026-08-31T14:12:00Z,45.048,45.085,44.99,45.071,6399.475917,288169.0404901017
1788185580000,2026-08-31T14:13:00Z,45.066,45.088,45.055,45.067,5736.33,258570.81108
1788185640000,2026-08-31T14:14:00Z,45.065,45.112,45.045,45.094,6845.041584,308557.36200276
1788185700000,2026-08-31T14:15:00Z,45.093,45.096,45.068,45.078,3328.36555,150040.389138115
1788185760000,2026-08-31T14:16:00Z,45.079,45.083,45.03,45.071,10317.805219,464863.5552394355
1788185820000,2026-08-31T14:17:00Z,45.13,45.155,45.074,45.11,18255.02215,823551.59276846
1788185880000,2026-08-31T14:18:00Z,45.19,45.24,45.132,45.195,6677,301643.4905
1788185940000,2026-08-31T14:19:00Z,45.2,45.2,45.14,45.15,19115.890049,863493.4273484
1788186000000,2026-08-31T14:20:00Z,45.14,45.167,45.134,45.14,2852,128750.9732
1788186060000,2026-08-31T14:21:00Z,45.147,45.159,45.147,45.158,3194.084493,144221.2194786318
1788186120000,2026-08-31T14:22:00Z,45.19,45.218,45.159,45.165,4690.818,211987.447056
1788186180000,2026-08-31T14:23:00Z,45.22,45.231,45.14,45.14,3454,156132.1982
1788186240000,2026-08-31T14:24:00Z,45.13,45.184,45.12,45.12,7436.771523,335826.75372702
1788186300000,2026-08-31T14:25:00Z,45.163,45.164,45.098,45.098,6364,287266.5052
1788186360000,2026-08-31T14:26:00Z,45.097,45.149,45.096,45.147,2912.761575,131384.7712589
1788186420000,2026-08-31T14:27:00Z,45.13,45.21,45.13,45.165,6115.02215,276134.83222312
1788186480000,2026-08-31T14:28:00Z,45.22,45.22,45.174,45.22,3926.345,177452.3401785
1788186540000,2026-08-31T14:29:00Z,45.187,45.187,45.155,45.182,5705,257697.132
1788186600000,2026-08-31T14:30:00Z,45.181,45.222,45.167,45.222,3907.98,176597.317422
1788186660000,2026-08-31T14:31:00Z,45.225,45.236,45.205,45.205,7129.421843,322435.9452137
1788186720000,2026-08-31T14:32:00Z,45.27,45.275,45.23,45.26,5215,236029.3355
1788186780000,2026-08-31T14:33:00Z,45.29,45.29,45.246,45.25,3984.009,180337.7609886
1788186840000,2026-08-31T14:34:00Z,45.19,45.244,45.137,45.145,12317.062,556608.03178
1788186900000,2026-08-31T14:35:00Z,45.136,45.205,45.13,45.2,6256,282416.4848
1788186960000,2026-08-31T14:36:00Z,45.192,45.219,45.192,45.211,1985.316,89740.253832
1788187020000,2026-08-31T14:37:00Z,45.18,45.235,45.18,45.18,2551.14903,115346.88689771
1788187080000,2026-08-31T14:38:00Z,45.24,45.268,45.235,45.24,2511.40448,113641.05272
1788187140000,2026-08-31T14:39:00Z,45.3,45.313,45.25,45.25,12530.074467,567429.43426788
1788187200000,2026-08-31T14:40:00Z,45.25,45.294,45.23,45.25,7431.538,336387.0812624
1788187260000,2026-08-31T14:41:00Z,45.25,45.301,45.23,45.27,6202.847456,280786.77692973
1788187320000,2026-08-31T14:42:00Z,45.32,45.32,45.302,45.31,5686.0221,257639.3473731
1788187380000,2026-08-31T14:43:00Z,45.32,45.35,45.31,45.31,7587.102212,343990.10976943
1788187440000,2026-08-31T14:44:00Z,45.23,45.321,45.196,45.23,6837,309343.4835
1788187500000,2026-08-31T14:45:00Z,45.28,45.28,45.233,45.27,6309.14917,285491.52360217
1788187560000,2026-08-31T14:46:00Z,45.215,45.31,45.215,45.31,5947.668044,269185.5080034
1788187620000,2026-08-31T14:47:00Z,45.29,45.292,45.244,45.27,5829.104,263912.6836
1788187680000,2026-08-31T14:48:00Z,45.265,45.297,45.26,45.28,6068,274777.244
1788187740000,2026-08-31T14:49:00Z,45.225,45.272,45.21,45.21,7098.810183,321227.54970991
1788187800000,2026-08-31T14:50:00Z,45.215,45.22,45.18,45.21,6297.35401,284659.92304943
