ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788117600000,2026-08-30T19:20:00Z,36.15,36.15,36.15,36.15,4.81,173.8815
1788133860000,2026-08-30T23:51:00Z,36.13,36.13,36.11,36.11,39.0974,1412.200503
1788134040000,2026-08-30T23:54:00Z,36.11,36.11,36.11,36.11,1.67,60.3037
1788134160000,2026-08-30T23:56:00Z,36.11,36.11,36.11,36.11,1.63,58.8593
1788134400000,2026-08-31T00:00:00Z,35.35,35.6,34.96,34.97,10690,376041.27
1788134460000,2026-08-31T00:01:00Z,34.94,35.07,34.84,35.02,5527,193320.98
1788134520000,2026-08-31T00:02:00Z,35.02,35.09,34.95,34.97,11257,394210.6
1788134580000,2026-08-31T00:03:00Z,34.95,35,34.89,34.98,4661,162851.19
1788134640000,2026-08-31T00:04:00Z,34.96,35,34.88,34.95,5953,207989.56
1788134700000,2026-08-31T00:05:00Z,34.95,34.95,34.85,34.92,6425,224193.08
1788134760000,2026-08-31T00:06:00Z,34.9,34.97,34.87,34.95,3679,128482.35
1788134820000,2026-08-31T00:07:00Z,34.95,35.02,34.94,35.02,2786,97456.81
1788134880000,2026-08-31T00:08:00Z,35.02,35.05,34.95,34.95,5662,198265.22
1788134940000,2026-08-31T00:09:00Z,35,35.04,34.96,34.99,3185,111479.36
1788135000000,2026-08-31T00:10:00Z,35.01,35.03,34.99,35,1154,40415.93
1788135060000,2026-08-31T00:11:00Z,35.04,35.15,35.03,35.09,2359,82793.83
1788135120000,2026-08-31T00:12:00Z,35.1,35.18,35.06,35.15,2644,92825.63
1788135180000,2026-08-31T00:13:00Z,35.18,35.24,35.17,35.21,1843,64890.06
1788135240000,2026-08-31T00:14:00Z,35.22,35.28,35.2,35.22,1221,43016.07
1788135300000,2026-08-31T00:15:00Z,35.24,35.27,35.19,35.19,3965,139705.11
1788135360000,2026-08-31T00:16:00Z,35.22,35.26,35.21,35.26,3633,128044.3
1788135420000,2026-08-31T00:17:00Z,35.25,35.28,35.18,35.2,13376,470809.12
1788135480000,2026-08-31T00:18:00Z,35.2,35.2,35.15,35.16,3320,116792.41
1788135540000,2026-08-31T00:19:00Z,35.17,35.17,35.1,35.12,952,33449.54
1788135600000,2026-08-31T00:20:00Z,35.11,35.25,35.11,35.25,2217,78015.51
1788135660000,2026-08-31T00:21:00Z,35.23,35.28,35.23,35.25,1690,59576.04
1788135720000,2026-08-31T00:22:00Z,35.25,35.25,35.24,35.24,524,18467.55
1788135780000,2026-08-31T00:23:00Z,35.23,35.26,35.22,35.25,2307,81294.12
1788135840000,2026-08-31T00:24:00Z,35.25,35.29,35.25,35.27,1274,44932.63
1788135900000,2026-08-31T00:25:00Z,35.27,35.31,35.24,35.31,2181,76945.42
1788135960000,2026-08-31T00:26:00Z,35.28,35.28,35.18,35.22,3466,122085.1
1788136020000,2026-08-31T00:27:00Z,35.22,35.3,35.22,35.24,1047,36934.35
1788136080000,2026-08-31T00:28:00Z,35.25,35.25,35.22,35.24,676,23822.51
1788136200000,2026-08-31T00:30:00Z,35.25,35.3,35.24,35.27,2518,88832.13
1788136260000,2026-08-31T00:31:00Z,35.29,35.32,35.26,35.32,1822,64325.24
1788136320000,2026-08-31T00:32:00Z,35.34,35.36,35.3,35.35,4865,171860.55
1788136380000,2026-08-31T00:33:00Z,35.35,35.36,35.32,35.35,2247,79395.56
1788136440000,2026-08-31T00:34:00Z,35.34,35.37,35.33,35.33,969,34254.99
1788136500000,2026-08-31T00:35:00Z,35.35,35.4,35.34,35.38,1273,45035.18
1788136560000,2026-08-31T00:36:00Z,35.38,35.39,35.34,35.36,3309,117034.71
1788136620000,2026-08-31T00:37:00Z,35.34,35.41,35.32,35.35,8579,303546.51
1788136680000,2026-08-31T00:38:00Z,35.41,35.41,35.34,35.37,5316,188106.36
1788136740000,2026-08-31T00:39:00Z,35.38,35.39,35.35,35.39,2165,76568.82
1788136800000,2026-08-31T00:40:00Z,35.38,35.4,35.31,35.35,4264,150775.57
1788136860000,2026-08-31T00:41:00Z,35.36,35.37,35.32,35.35,1689,59700.17
1788136920000,2026-08-31T00:42:00Z,35.35,35.42,35.32,35.42,2868,101338.24
1788136980000,2026-08-31T00:43:00Z,35.4,35.42,35.39,35.39,4286,151742.63
1788137040000,2026-08-31T00:44:00Z,35.38,35.4,35.34,35.37,3514,124269.1
1788137100000,2026-08-31T00:45:00Z,35.39,35.4,35.31,35.38,15512,548364.2
1788137160000,2026-08-31T00:46:00Z,35.36,35.39,35.33,35.36,3780,133689.25
1788137220000,2026-08-31T00:47:00Z,35.32,35.35,35.27,35.29,2296,81052.64
