ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788135000000,2026-08-31T00:10:00Z,22.54,22.54,22.54,22.54,5,112.7
1788135240000,2026-08-31T00:14:00Z,22.53,22.53,22.53,22.53,3,67.59
1788136440000,2026-08-31T00:34:00Z,22.53,22.53,22.53,22.53,1,22.53
1788140700000,2026-08-31T01:45:00Z,21.96,21.96,21.96,21.96,1,21.96
1788150120000,2026-08-31T04:22:00Z,21.98,21.98,21.98,21.98,1,21.98
1788158400000,2026-08-31T06:40:00Z,22.38,22.38,22.38,22.38,6,134.28
1788163140000,2026-08-31T07:59:00Z,22.51,22.51,22.51,22.51,0,0
1788163200000,2026-08-31T08:00:00Z,22.51,22.51,22.321,22.321,84,1888.152
1788163260000,2026-08-31T08:01:00Z,22.321,22.321,22.32,22.32,18,401.7726
1788164940000,2026-08-31T08:29:00Z,22.32,22.32,22.32,22.32,0,0
1788169080000,2026-08-31T09:38:00Z,22.278,22.278,22.067,22.067,0,0
1788173880000,2026-08-31T10:58:00Z,22.066,22.066,22.066,22.066,0,0
1788174000000,2026-08-31T11:00:00Z,22.098,22.259,22.098,22.259,211,4665.6531
1788174060000,2026-08-31T11:01:00Z,22.26,22.26,22.26,22.26,0,0
1788174180000,2026-08-31T11:03:00Z,22.26,22.26,22.26,22.26,1,22.26
1788174600000,2026-08-31T11:10:00Z,22.279,22.371,22.279,22.371,4,89.2872
1788174660000,2026-08-31T11:11:00Z,22.372,22.374,22.372,22.374,0,0
1788174780000,2026-08-31T11:13:00Z,22.374,22.374,22.374,22.374,13,290.862
1788175080000,2026-08-31T11:18:00Z,22.375,22.375,22.375,22.375,30,671.25
1788175380000,2026-08-31T11:23:00Z,22.375,22.375,22.375,22.375,220,4922.5
1788175440000,2026-08-31T11:24:00Z,22.375,22.375,22.375,22.375,1,22.375
1788175500000,2026-08-31T11:25:00Z,22.391,22.469,22.391,22.469,10,223.91
1788175620000,2026-08-31T11:27:00Z,22.469,22.469,22.469,22.469,5,112.345
1788175740000,2026-08-31T11:29:00Z,22.469,22.469,22.469,22.469,2,44.938
1788175800000,2026-08-31T11:30:00Z,22.47,22.47,22.47,22.47,21,471.87
1788175860000,2026-08-31T11:31:00Z,22.47,22.47,22.47,22.47,14,314.58
1788175920000,2026-08-31T11:32:00Z,22.47,22.47,22.47,22.47,100,2247
