ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788429540000,2026-09-03T09:59:00Z,48.22,48.22,48.21,48.21,200,9643
1788429840000,2026-09-03T10:04:00Z,48.3742,48.3742,48.3742,48.3742,156,7545.486
1788430200000,2026-09-03T10:10:00Z,48.4,48.4,48.3,48.3,1001.19755,48426.92429595
1788430320000,2026-09-03T10:12:00Z,48.2,48.2,48.2,48.2,445,21449
1788430800000,2026-09-03T10:20:00Z,48.2,48.2,48.2,48.2,160,7711.856
1788431160000,2026-09-03T10:26:00Z,48.4,48.4,48.4,48.4,200,9680
1788432600000,2026-09-03T10:50:00Z,48.3,48.3,48.3,48.3,228,11009.094
1788433260000,2026-09-03T11:01:00Z,48.29,48.29,48.29,48.29,504,24336.7992
1788433380000,2026-09-03T11:03:00Z,48.3799,48.3799,48.3,48.3,832,40228.1152
1788433440000,2026-09-03T11:04:00Z,48.27,48.27,48.27,48.27,510,24618.006
1788433560000,2026-09-03T11:06:00Z,48.32,48.32,48.32,48.32,410,19811.528
1788433620000,2026-09-03T11:07:00Z,48.3799,48.3799,48.3799,48.3799,202,9772.6388
1788433740000,2026-09-03T11:09:00Z,48.4,48.4,48.4,48.4,160,7739.696
1788433800000,2026-09-03T11:10:00Z,48.3836,48.3836,48.3836,48.3836,302,14611.8472
1788433920000,2026-09-03T11:12:00Z,48.398,48.398,48.398,48.398,105,5081.6325
1788434040000,2026-09-03T11:14:00Z,48.29,48.29,48.29,48.29,102,4925.784
1788434340000,2026-09-03T11:19:00Z,48.3999,48.3999,48.3999,48.3999,210,10163.769
1788434640000,2026-09-03T11:24:00Z,48.363,48.43,48.363,48.43,4230,204710.427
1788434700000,2026-09-03T11:25:00Z,48.27,48.5,48.27,48.5,1010,48844.509
1788434940000,2026-09-03T11:29:00Z,48.4,48.4,48.4,48.4,1105,53485.6465
1788435060000,2026-09-03T11:31:00Z,48.27,48.27,48.27,48.27,242,11689.6406
1788435180000,2026-09-03T11:33:00Z,48.2465,48.2465,48.2465,48.2465,167,8064.096
1788435780000,2026-09-03T11:43:00Z,48.5,48.5,48.5,48.5,829,40205.8368
1788435840000,2026-09-03T11:44:00Z,48.5,48.5,48.5,48.5,861,41757.9834
1788435900000,2026-09-03T11:45:00Z,48.45,48.5,48.31,48.31,1166,56433.3506
1788435960000,2026-09-03T11:46:00Z,48.46,48.46,48.46,48.46,161,7795.5556
1788436140000,2026-09-03T11:49:00Z,48.38,48.38,48.38,48.38,102,4934.9538
1788436200000,2026-09-03T11:50:00Z,48.4542,48.4542,48.4542,48.4542,100,4845.42
1788436380000,2026-09-03T11:53:00Z,48.469,48.469,48.469,48.469,331,16043.3383
1788436500000,2026-09-03T11:55:00Z,48.32,48.49,48.31,48.32,660,31949.478
1788436620000,2026-09-03T11:57:00Z,48.4833,48.5,48.4833,48.5,1088,52755.3792
1788436680000,2026-09-03T11:58:00Z,48.5,48.5,48.5,48.5,210,10182.501
1788436740000,2026-09-03T11:59:00Z,48.4867,48.4867,48.45,48.45,1334,64667.9178
1788436920000,2026-09-03T12:02:00Z,48.48,48.48,48.48,48.48,108,5235.8832
1788437100000,2026-09-03T12:05:00Z,48.5,48.55,48.5,48.55,949,46050.0352
1788437160000,2026-09-03T12:06:00Z,48.6757,48.7,48.6757,48.7,1300,63285.69
1788437220000,2026-09-03T12:07:00Z,48.61,48.61,48.6,48.6,360.05797,17504.7943043
1788437280000,2026-09-03T12:08:00Z,48.25,48.25,48.25,48.25,209,10085.0233
1788437400000,2026-09-03T12:10:00Z,48.62,48.62,48.62,48.62,100,4862
1788437460000,2026-09-03T12:11:00Z,48.57,48.58,48.57,48.58,229,11119.8507
1788437520000,2026-09-03T12:12:00Z,48.5,48.5,48.5,48.5,100,4850
1788437700000,2026-09-03T12:15:00Z,48.56,48.6,48.56,48.6,1176,57135.372
1788437820000,2026-09-03T12:17:00Z,48.58,48.58,48.58,48.58,260,12629.006
1788437880000,2026-09-03T12:18:00Z,48.56,48.56,48.56,48.56,150,7283.505
1788438000000,2026-09-03T12:20:00Z,48.3511,48.55,48.3511,48.55,571,27683.2791
1788438060000,2026-09-03T12:21:00Z,48.5,48.5,48.5,48.5,244,11834.3904
1788438180000,2026-09-03T12:23:00Z,48.62,48.62,48.62,48.62,329,15995.5194
1788438240000,2026-09-03T12:24:00Z,48.7,48.71,48.62,48.71,1826,88875.8024
1788438360000,2026-09-03T12:26:00Z,48.7894,48.7894,48.64,48.64,1160,56573.2
1788438480000,2026-09-03T12:28:00Z,48.75,48.75,48.7283,48.7283,350,17055.675
1788438540000,2026-09-03T12:29:00Z,48.7293,48.7293,48.7293,48.7293,383,18661.675
1788438600000,2026-09-03T12:30:00Z,48.75,48.97,48.75,48.97,3180,155321.058
1788438660000,2026-09-03T12:31:00Z,48.94,49.0817,48.94,49.0817,4321,211782.5804
1788438720000,2026-09-03T12:32:00Z,49.0189,49.1,49.0189,49.1,1117,54835.9874
1788438840000,2026-09-03T12:34:00Z,48.94,48.95,48.94,48.94,1227,60059.4414
1788438900000,2026-09-03T12:35:00Z,48.9,48.9,48.9,48.9,450.317,22040.0450578
1788439020000,2026-09-03T12:37:00Z,48.8,48.8,48.8,48.8,10158,495712.4316
1788439080000,2026-09-03T12:38:00Z,48.72,48.93,48.72,48.93,520.028005,25418.34485079
1788439200000,2026-09-03T12:40:00Z,48.861,48.861,48.861,48.861,1041,50866.0707
1788439320000,2026-09-03T12:42:00Z,48.8882,48.8882,48.8882,48.8882,1292,63160.066
1788439380000,2026-09-03T12:43:00Z,48.85,48.85,48.85,48.85,121.062436,5917.65293412
1788439440000,2026-09-03T12:44:00Z,48.8851,48.8851,48.6747,48.6747,322,15721.489
1788439560000,2026-09-03T12:46:00Z,48.85,48.9416,48.85,48.9416,1668,81604.398
1788439620000,2026-09-03T12:47:00Z,48.95,48.95,48.95,48.95,476,23302.0088
1788439800000,2026-09-03T12:50:00Z,49.03,49.03,49.03,49.03,411,20147.5899
1788439860000,2026-09-03T12:51:00Z,49.07,49.07,49.07,49.07,410.056823,20115.09141817
1788439920000,2026-09-03T12:52:00Z,49.08,49.1,49.05,49.05,1326,65081.5386
1788439980000,2026-09-03T12:53:00Z,49.1,49.1,49.09,49.1,853,41906.5252
1788440040000,2026-09-03T12:54:00Z,49.25,49.26,49.25,49.26,724,35657.2896
1788440100000,2026-09-03T12:55:00Z,49,49.21,49,49.21,405,19885.014
1788440160000,2026-09-03T12:56:00Z,49.24,49.25,49.24,49.25,2118,104309.8056
1788440220000,2026-09-03T12:57:00Z,49.25,49.3,49.25,49.25,1691,83328.9289
1788440340000,2026-09-03T12:59:00Z,49.23,49.23,49.2,49.2,202,9941.3896
1788440400000,2026-09-03T13:00:00Z,49.0521,49.0521,49.046,49.046,573,28115.391
1788440460000,2026-09-03T13:01:00Z,49.0459,49.1,49.0459,49.1,1212,59490.2928
1788440520000,2026-09-03T13:02:00Z,49.0461,49.06,49,49,1330,65206.708
1788440580000,2026-09-03T13:03:00Z,49.1,49.1,49.0794,49.0794,346,16981.68
1788440640000,2026-09-03T13:04:00Z,49.1181,49.1181,49.0453,49.0453,300,14728.26
1788440700000,2026-09-03T13:05:00Z,49.1588,49.1588,49.1588,49.1588,431,21168.4357
1788440820000,2026-09-03T13:07:00Z,49.03,49.03,49,49,1589,77896.1169
1788440940000,2026-09-03T13:09:00Z,49.0396,49.0396,49.0396,49.0396,345,16923.216
1788441000000,2026-09-03T13:10:00Z,49,49.07,49,49.01,1004,49220.8992
1788441060000,2026-09-03T13:11:00Z,49.01,49.1,48.95,49.01,4996,244810.4948
1788441120000,2026-09-03T13:12:00Z,48.9,48.9,48.9,48.9,1608,78632.6472
1788441180000,2026-09-03T13:13:00Z,48.9,48.9,48.9,48.9,534.570636,26168.94325824
1788441300000,2026-09-03T13:15:00Z,49.01,49.01,48.95,48.95,2712,132788.1984
1788441360000,2026-09-03T13:16:00Z,49.0199,49.0199,49.0199,49.0199,335,16430.5775
1788441420000,2026-09-03T13:17:00Z,49.1,49.1,49.1,49.1,196,9607.0576
1788441480000,2026-09-03T13:18:00Z,49.02,49.0887,49.02,49.0887,855,41940.144
1788441600000,2026-09-03T13:20:00Z,49.01,49.01,48.96,48.96,2582,126459.6468
1788441720000,2026-09-03T13:22:00Z,48.8365,49,48.8365,49,486,23782.0698
1788441840000,2026-09-03T13:24:00Z,48.91,48.91,48.79,48.79,1136,55517.9104
1788441900000,2026-09-03T13:25:00Z,48.7946,48.7946,48.7946,48.7946,135.811735,6668.24753911
1788441960000,2026-09-03T13:26:00Z,49.1,49.1,49.09,49.1,465,22825.5015
1788442140000,2026-09-03T13:29:00Z,48.92,48.92,48.9,48.9,651,31829.1477
1788442200000,2026-09-03T13:30:00Z,48.76,49.16,48.56,48.76,58927.23888,2873740.01480429
1788442260000,2026-09-03T13:31:00Z,48.7,48.815,48.51,48.815,17434.123985,847120.59760635
1788442320000,2026-09-03T13:32:00Z,48.815,48.815,48.35,48.52,7394.681004,359066.48338363
1788442380000,2026-09-03T13:33:00Z,48.525,48.67,48.51,48.525,4055.672548,197010.78309518
1788442440000,2026-09-03T13:34:00Z,48.96,48.97,48.6501,48.885,10158.962472,495511.52174178
1788442500000,2026-09-03T13:35:00Z,48.79,48.9899,48.76,48.885,9403.213138,459706.16453317
1788442560000,2026-09-03T13:36:00Z,48.61,48.65,48.385,48.51,10678.597001,517727.21482038
1788442620000,2026-09-03T13:37:00Z,48.35,48.59,48.27,48.41,14882.52266,719861.66805514
1788442680000,2026-09-03T13:38:00Z,48.8,48.8,48.39,48.68,20142.731996,979857.29785782
1788442740000,2026-09-03T13:39:00Z,48.26,48.4561,47.94,48.26,19657.769496,945578.02829659
1788442800000,2026-09-03T13:40:00Z,47.95,48.2199,47.9,48.11,10375.871602,498257.65502532
1788442860000,2026-09-03T13:41:00Z,48.15,48.22,48.06,48.15,8532.782043,410828.71030253
1788442920000,2026-09-03T13:42:00Z,48.12,48.32,48.02,48.06,15473.910496,744849.06085336
1788442980000,2026-09-03T13:43:00Z,48.29,48.57,48.28,48.285,6520.129471,315629.03548396
1788443040000,2026-09-03T13:44:00Z,48.15,48.195,48,48.07,17779.827943,854578.54016632
1788443100000,2026-09-03T13:45:00Z,48.36,48.47,48.1,48.37,10039.151528,484319.79108046
1788443160000,2026-09-03T13:46:00Z,48.67,48.75,48.47,48.68,8720.672854,424219.74718469
1788443220000,2026-09-03T13:47:00Z,48.65,48.72,48.6,48.61,9594.627236,466864.96667652
1788443280000,2026-09-03T13:48:00Z,48.64,48.74,48.575,48.6353,6601.726231,321237.35770997
1788443340000,2026-09-03T13:49:00Z,48.64,48.68,48.2234,48.33,14759.133719,715663.01446745
1788443400000,2026-09-03T13:50:00Z,48.22,48.43,48.22,48.3102,5827.448291,281743.72173878
1788443460000,2026-09-03T13:51:00Z,48.37,48.445,48.3,48.38,5657.315648,273672.644472
1788443520000,2026-09-03T13:52:00Z,48.385,48.55,48.385,48.5,3872.066891,187733.29114324
1788443580000,2026-09-03T13:53:00Z,48.425,48.425,48.34,48.36,3242.461665,156948.76292499
1788443640000,2026-09-03T13:54:00Z,48.27,48.33,48.25,48.27,3724.843536,179948.68116157
1788443700000,2026-09-03T13:55:00Z,48.32,48.32,48.265,48.305,11022.070232,532380.3208969
1788443760000,2026-09-03T13:56:00Z,48.31,48.35,48.2755,48.31,1690.380243,81709.43114811
1788443820000,2026-09-03T13:57:00Z,48.3,48.375,48.29,48.365,5110.266689,247005.76246615
1788443880000,2026-09-03T13:58:00Z,48.27,48.27,48.06,48.09,9881.733521,475750.13132843
1788443940000,2026-09-03T13:59:00Z,48.17,48.2,48.11,48.17,2701.928798,130120.29763272
1788444000000,2026-09-03T14:00:00Z,48.11,48.15,48.02,48.02,5670.407262,272643.95493076
