ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,483.01,483.01,483.01,483.01,5,2415.05
1788134580000,2026-08-31T00:03:00Z,483.97,483.97,483.97,483.97,1,483.97
1788137100000,2026-08-31T00:45:00Z,485.88,485.88,485.88,485.88,2,971.76
1788138120000,2026-08-31T01:02:00Z,487.41,487.41,487.41,487.41,2,974.82
1788138360000,2026-08-31T01:06:00Z,487.41,487.41,487.41,487.41,1,487.41
1788138840000,2026-08-31T01:14:00Z,487.41,487.41,487.41,487.41,1,487.41
1788145020000,2026-08-31T02:57:00Z,489.27,489.27,489.27,489.27,1,489.27
1788146580000,2026-08-31T03:23:00Z,489.03,489.03,489.03,489.03,1,489.03
1788148740000,2026-08-31T03:59:00Z,489.14,489.14,489.14,489.14,1,489.14
1788151980000,2026-08-31T04:53:00Z,489.03,489.03,488.43,488.87,72,35191.22
1788153000000,2026-08-31T05:10:00Z,488.5,488.5,488.5,488.5,1,488.5
1788156180000,2026-08-31T06:03:00Z,488.5,488.5,488.5,488.5,48,23448
1788157200000,2026-08-31T06:20:00Z,487.75,487.75,487.75,487.75,5,2438.75
1788159000000,2026-08-31T06:50:00Z,487.75,487.75,487.73,487.73,24,11705.94
1788159060000,2026-08-31T06:51:00Z,487.76,487.76,487.75,487.75,137,66823.09
1788159120000,2026-08-31T06:52:00Z,487.75,487.75,487.75,487.75,8,3902
1788159180000,2026-08-31T06:53:00Z,487.65,487.65,487.65,487.65,5,2438.25
1788159540000,2026-08-31T06:59:00Z,487.63,487.63,487.63,487.63,5,2438.15
1788159600000,2026-08-31T07:00:00Z,487.63,487.63,487.44,487.44,5,2437.86
1788159720000,2026-08-31T07:02:00Z,487.63,487.63,487.43,487.43,5,2437.55
1788160800000,2026-08-31T07:20:00Z,489.06,489.21,489.06,489.09,76,37172.5
1788161400000,2026-08-31T07:30:00Z,489.1,489.1,489.1,489.1,20,9782
1788162120000,2026-08-31T07:42:00Z,488.9,488.9,488.9,488.9,39,19067.1
1788162540000,2026-08-31T07:49:00Z,488.83,488.83,488.83,488.83,4,1955.32
1788162900000,2026-08-31T07:55:00Z,488.88,488.88,488.88,488.88,2,977.76
1788163140000,2026-08-31T07:59:00Z,485.999,485.999,485.999,485.999,0,0
1788163200000,2026-08-31T08:00:00Z,485.999,489.574,485.999,489.367,143.062388,69780.9115202528
1788163260000,2026-08-31T08:01:00Z,489.334,489.334,489.17,489.17,470,229914.365
1788165780000,2026-08-31T08:43:00Z,489.251,489.64,489.251,489.64,1,489.251
1788165840000,2026-08-31T08:44:00Z,489.642,489.655,489.642,489.655,0,0
1788166140000,2026-08-31T08:49:00Z,489.665,489.713,489.665,489.703,0,0
1788166200000,2026-08-31T08:50:00Z,489.702,489.702,489.7,489.7,0,0
1788166260000,2026-08-31T08:51:00Z,489.7,489.754,489.7,489.754,32,15670.5088
1788166500000,2026-08-31T08:55:00Z,489.984,491.128,489.984,491.128,0,0
1788166560000,2026-08-31T08:56:00Z,491.129,491.129,491.129,491.129,0,0
1788166620000,2026-08-31T08:57:00Z,490.894,490.894,489.716,489.716,30,14726.82
1788166740000,2026-08-31T08:59:00Z,489.747,489.892,489.747,489.892,0,0
1788166800000,2026-08-31T09:00:00Z,489.895,489.91,489.895,489.91,0,0
1788167220000,2026-08-31T09:07:00Z,489.91,489.91,489.91,489.91,93,45561.63
1788167340000,2026-08-31T09:09:00Z,489.91,489.91,489.91,489.91,1.042044,510.50777604
1788167700000,2026-08-31T09:15:00Z,489.969,490.209,489.969,490.209,106,51961.624
