ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,1172.57,1172.99,1172.49,1172.54,38,44566.74
1788134460000,2026-08-31T00:01:00Z,1172.6,1172.6,1172.48,1172.48,6,7035.24
1788134520000,2026-08-31T00:02:00Z,1172.2,1172.25,1171.14,1172.25,8,9372.37
1788134640000,2026-08-31T00:04:00Z,1171.21,1171.21,1171.21,1171.21,1,1171.21
1788134820000,2026-08-31T00:07:00Z,1171.06,1171.06,1169.65,1169.65,8,9360.77
1788134880000,2026-08-31T00:08:00Z,1169.62,1169.62,1169.41,1169.42,14,16372.4
1788134940000,2026-08-31T00:09:00Z,1170.08,1170.08,1170.08,1170.08,2,2340.16
1788135000000,2026-08-31T00:10:00Z,1170.01,1170.01,1169.68,1170,19,22225.59
1788135120000,2026-08-31T00:12:00Z,1169.65,1169.65,1169.4,1169.4,34,39767.8
1788135180000,2026-08-31T00:13:00Z,1169.38,1169.42,1169.38,1169.42,117,136818.83
1788135240000,2026-08-31T00:14:00Z,1170.6,1170.6,1170.6,1170.6,1,1170.6
1788135300000,2026-08-31T00:15:00Z,1170.67,1171.21,1170.67,1171.21,48,56205.32
1788135360000,2026-08-31T00:16:00Z,1171.99,1172.22,1171.99,1172.22,59,69149.48
1788136020000,2026-08-31T00:27:00Z,1173.02,1173.6,1173.01,1173.6,4,4692.64
1788136080000,2026-08-31T00:28:00Z,1173.51,1173.51,1173.51,1173.51,1,1173.51
1788136140000,2026-08-31T00:29:00Z,1173.63,1173.63,1173.63,1173.63,3,3520.89
1788136200000,2026-08-31T00:30:00Z,1173.51,1173.51,1173.51,1173.51,4,4694.04
1788136260000,2026-08-31T00:31:00Z,1173.91,1173.91,1173.91,1173.91,1,1173.91
1788136860000,2026-08-31T00:41:00Z,1174.3,1174.4,1174.3,1174.4,17,19963.47
1788136920000,2026-08-31T00:42:00Z,1174.4,1174.4,1174.4,1174.4,23,27011.2
1788137100000,2026-08-31T00:45:00Z,1174.43,1174.43,1174.43,1174.43,35,41105.05
1788137220000,2026-08-31T00:47:00Z,1174.44,1174.44,1174.2,1174.2,113,132710.02
1788137280000,2026-08-31T00:48:00Z,1174.26,1174.26,1174.26,1174.26,1,1174.26
1788137400000,2026-08-31T00:50:00Z,1174.32,1174.32,1174.32,1174.32,2,2348.64
1788137520000,2026-08-31T00:52:00Z,1174.32,1174.32,1174.32,1174.32,1,1174.32
1788137580000,2026-08-31T00:53:00Z,1174.32,1174.32,1174.32,1174.32,1,1174.32
1788137760000,2026-08-31T00:56:00Z,1174.29,1174.29,1172.82,1172.82,19,22305.57
1788138060000,2026-08-31T01:01:00Z,1172.88,1172.88,1172.88,1172.88,1,1172.88
1788138420000,2026-08-31T01:07:00Z,1172.91,1172.91,1172.62,1172.87,30,35182.43
1788138480000,2026-08-31T01:08:00Z,1172.23,1172.48,1172.23,1172.48,22,25789.99
1788138600000,2026-08-31T01:10:00Z,1172.24,1172.24,1172.24,1172.24,1,1172.24
1788138780000,2026-08-31T01:13:00Z,1172.89,1172.97,1172.59,1172.71,20,23457.74
1788138900000,2026-08-31T01:15:00Z,1172.79,1174.01,1172.79,1174.01,149,174908.05
1788139500000,2026-08-31T01:25:00Z,1174.6,1174.78,1174.6,1174.78,143,167985.3
1788139560000,2026-08-31T01:26:00Z,1174.52,1175.03,1174.52,1174.99,238,279642.33
1788139980000,2026-08-31T01:33:00Z,1174.7,1175.43,1174.7,1175.43,35,41125.37
1788140100000,2026-08-31T01:35:00Z,1175.37,1175.37,1175.37,1175.37,1,1175.37
1788140400000,2026-08-31T01:40:00Z,1175.37,1175.37,1175.37,1175.37,1,1175.37
1788140520000,2026-08-31T01:42:00Z,1175.39,1175.39,1175.39,1175.39,1,1175.39
1788141180000,2026-08-31T01:53:00Z,1175.59,1175.59,1175.54,1175.54,47,55252.38
1788141480000,2026-08-31T01:58:00Z,1176.01,1176.01,1176.01,1176.01,2,2352.02
1788141540000,2026-08-31T01:59:00Z,1178.88,1178.88,1178.88,1178.88,5,5894.4
1788142320000,2026-08-31T02:12:00Z,1176.01,1176.01,1176.01,1176.01,3,3528.03
1788142560000,2026-08-31T02:16:00Z,1176.05,1178.48,1176.05,1178.48,6,7058.73
1788142680000,2026-08-31T02:18:00Z,1176.1,1176.1,1176.1,1176.1,6,7056.6
1788142980000,2026-08-31T02:23:00Z,1176.11,1176.11,1176.11,1176.11,2,2352.22
1788143040000,2026-08-31T02:24:00Z,1176.1,1176.1,1176.1,1176.1,5,5880.5
1788143100000,2026-08-31T02:25:00Z,1176.11,1176.11,1176.11,1176.11,2,2352.22
1788143160000,2026-08-31T02:26:00Z,1176.11,1176.11,1176.11,1176.11,5,5880.55
