ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134460000,2026-08-31T00:01:00Z,265.24,265.24,265.24,265.24,20,5304.8
1788134640000,2026-08-31T00:04:00Z,265.25,265.3,265.25,265.26,9,2387.43
1788134700000,2026-08-31T00:05:00Z,265.3,265.51,265.3,265.51,70,18577.33
1788134760000,2026-08-31T00:06:00Z,265.25,265.26,265.2,265.2,3,795.71
1788134820000,2026-08-31T00:07:00Z,265.14,265.14,265.14,265.14,2,530.28
1788134880000,2026-08-31T00:08:00Z,265.16,265.16,265.16,265.16,1,265.16
1788135060000,2026-08-31T00:11:00Z,265.15,265.25,265.15,265.25,97,25723.74
1788135180000,2026-08-31T00:13:00Z,265.2,265.2,265.2,265.2,2,530.4
1788135420000,2026-08-31T00:17:00Z,265.35,265.35,265.35,265.35,1,265.35
1788135540000,2026-08-31T00:19:00Z,265.3,265.3,265.3,265.3,1,265.3
1788135600000,2026-08-31T00:20:00Z,265.21,265.21,265.21,265.21,1,265.21
1788135660000,2026-08-31T00:21:00Z,265.21,265.21,265.21,265.21,10,2652.1
1788135720000,2026-08-31T00:22:00Z,265.2,265.61,265.16,265.61,1953,518717.27
1788136260000,2026-08-31T00:31:00Z,265.18,265.18,265.11,265.11,53,14051.39
1788136320000,2026-08-31T00:32:00Z,265.1,265.1,265.09,265.09,11,2916.09
1788136440000,2026-08-31T00:34:00Z,265.03,265.03,265.01,265.01,125,33127.45
1788136620000,2026-08-31T00:37:00Z,265.01,265.01,265.01,265.01,20,5300.2
1788136980000,2026-08-31T00:43:00Z,265.01,265.02,265,265,54,14310.23
1788137040000,2026-08-31T00:44:00Z,265,265,265,265,16,4240
1788137160000,2026-08-31T00:46:00Z,264.99,264.99,264.9,264.9,18,4768.47
1788137220000,2026-08-31T00:47:00Z,264.9,264.9,264.9,264.9,7,1854.3
1788137520000,2026-08-31T00:52:00Z,264.92,264.92,264.9,264.9,20,5298.06
1788137580000,2026-08-31T00:53:00Z,265,265,264.94,264.96,21,5564.27
1788137760000,2026-08-31T00:56:00Z,264.95,264.95,264.91,264.91,5,1324.67
1788138060000,2026-08-31T01:01:00Z,265.09,265.1,265.09,265.1,29,7687.62
1788138240000,2026-08-31T01:04:00Z,265.24,265.24,265.1,265.1,3,795.58
1788138300000,2026-08-31T01:05:00Z,265.15,265.15,265.15,265.15,2,530.3
1788138660000,2026-08-31T01:11:00Z,265.13,265.14,265.13,265.14,56,14847.56
1788138720000,2026-08-31T01:12:00Z,265.08,265.15,265.02,265.15,358,94890.86
1788139200000,2026-08-31T01:20:00Z,265.09,265.09,265.09,265.09,18,4771.62
1788139260000,2026-08-31T01:21:00Z,265.08,265.09,265.08,265.09,27,7157.23
1788139680000,2026-08-31T01:28:00Z,265.22,265.22,265.22,265.22,3,795.66
1788139800000,2026-08-31T01:30:00Z,265.19,265.19,265.19,265.19,1,265.19
1788140280000,2026-08-31T01:38:00Z,265.12,265.12,265.12,265.12,2,530.24
1788140520000,2026-08-31T01:42:00Z,265.1,265.1,265.09,265.09,3,795.29
1788140580000,2026-08-31T01:43:00Z,265.05,265.05,265.05,265.05,47,12457.35
1788140700000,2026-08-31T01:45:00Z,265.03,265.03,265.03,265.03,3,795.09
1788140820000,2026-08-31T01:47:00Z,265.05,265.05,265.05,265.05,2,530.1
1788141120000,2026-08-31T01:52:00Z,265.05,265.05,265.05,265.05,14,3710.7
1788141240000,2026-08-31T01:54:00Z,265.05,265.05,265,265,61,16165.2
1788141540000,2026-08-31T01:59:00Z,265.01,265.01,264.99,264.99,33,8744.96
1788141600000,2026-08-31T02:00:00Z,265,265,265,265,6,1590
1788141660000,2026-08-31T02:01:00Z,265,265,265,265,6,1590
1788142140000,2026-08-31T02:09:00Z,264.98,264.98,264.9,264.9,105,27815.14
1788142200000,2026-08-31T02:10:00Z,264.89,264.89,264.89,264.89,30,7946.7
1788142320000,2026-08-31T02:12:00Z,264.92,264.92,264.92,264.92,1,264.92
1788142380000,2026-08-31T02:13:00Z,264.9,264.9,264.9,264.9,1,264.9
1788142440000,2026-08-31T02:14:00Z,265.08,265.08,265.08,265.08,28,7422.24
1788142500000,2026-08-31T02:15:00Z,265.01,265.01,265.01,265.01,10,2650.1
1788142560000,2026-08-31T02:16:00Z,265.07,265.07,265.07,265.07,4,1060.28
1788142680000,2026-08-31T02:18:00Z,264.9,264.9,264.9,264.9,8,2119.2
1788142980000,2026-08-31T02:23:00Z,264.9,264.9,264.9,264.9,5,1324.5
1788143100000,2026-08-31T02:25:00Z,264.9,264.9,264.9,264.9,4,1059.6
1788143160000,2026-08-31T02:26:00Z,264.9,264.9,264.9,264.9,5,1324.5
1788143460000,2026-08-31T02:31:00Z,265.05,265.07,265.05,265.07,4,1060.22
1788144300000,2026-08-31T02:45:00Z,264.97,264.97,264.97,264.97,20,5299.4
1788144660000,2026-08-31T02:51:00Z,264.97,264.97,264.97,264.97,3,794.91
1788145320000,2026-08-31T03:02:00Z,264.96,264.96,264.96,264.96,17,4504.32
1788145380000,2026-08-31T03:03:00Z,264.99,265.08,264.99,265.06,34,9011.13
1788145440000,2026-08-31T03:04:00Z,265.07,265.08,265.07,265.08,51,13518.58
1788145560000,2026-08-31T03:06:00Z,265.07,265.07,265.07,265.07,1,265.07
1788145740000,2026-08-31T03:09:00Z,265.07,265.07,265.07,265.07,4,1060.28
1788145980000,2026-08-31T03:13:00Z,265.07,265.07,265.07,265.07,6,1590.42
1788146460000,2026-08-31T03:21:00Z,265.06,265.06,265.06,265.06,35,9277.1
1788146520000,2026-08-31T03:22:00Z,265.05,265.05,265.05,265.05,30,7951.5
1788146820000,2026-08-31T03:27:00Z,265.04,265.04,265.04,265.04,5,1325.2
1788147060000,2026-08-31T03:31:00Z,265.08,265.08,265.08,265.08,1,265.08
1788147480000,2026-08-31T03:38:00Z,265.04,265.04,265.04,265.04,3,795.12
1788148080000,2026-08-31T03:48:00Z,265.06,265.07,265.06,265.07,208,55134.5
1788148140000,2026-08-31T03:49:00Z,265.09,265.09,265.09,265.09,50,13254.5
1788148560000,2026-08-31T03:56:00Z,265.17,265.17,265.08,265.08,26,6892.26
1788148740000,2026-08-31T03:59:00Z,265.08,265.08,265.08,265.08,6,1590.48
1788148980000,2026-08-31T04:03:00Z,265.12,265.12,265.12,265.12,25,6628
1788149040000,2026-08-31T04:04:00Z,265.11,265.11,265.11,265.11,7,1855.77
1788149280000,2026-08-31T04:08:00Z,265.23,265.23,265.23,265.23,1,265.23
1788149700000,2026-08-31T04:15:00Z,265.12,265.12,265.07,265.07,5,1325.5
1788149820000,2026-08-31T04:17:00Z,265.09,265.09,265.08,265.08,2,530.17
1788150840000,2026-08-31T04:34:00Z,265.1,265.11,265.1,265.11,34,9013.46
1788151080000,2026-08-31T04:38:00Z,265.11,265.11,265.11,265.11,25,6627.75
1788151140000,2026-08-31T04:39:00Z,265.1,265.1,265.1,265.1,1,265.1
