ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788105540000,2026-08-30T15:59:00Z,514.55,514.55,514.55,514.55,0.0485,24.955675
1788105600000,2026-08-30T16:00:00Z,514.62,514.62,514.62,514.62,0.1165,59.95323
1788105660000,2026-08-30T16:01:00Z,514.64,514.69,514.64,514.69,1.12,576.4023
1788106980000,2026-08-30T16:23:00Z,514.71,514.84,514.39,514.57,0.918,472.428269
1788107040000,2026-08-30T16:24:00Z,514.86,514.95,514.86,514.95,0.64,329.5446
1788107100000,2026-08-30T16:25:00Z,515.03,515.03,515.03,515.03,0.39,200.8617
1788107880000,2026-08-30T16:38:00Z,515.06,515.06,514.64,514.64,0.0776,39.95236
1788116400000,2026-08-30T19:00:00Z,515.06,515.06,515.06,515.06,0.0388,19.984328
1788124560000,2026-08-30T21:16:00Z,514.91,514.91,514.91,514.91,0.2912,149.941792
1788124980000,2026-08-30T21:23:00Z,515.06,515.06,515.06,515.06,0.4288,220.857728
1788127260000,2026-08-30T22:01:00Z,514.91,514.91,514.91,514.91,0.2917,150.199247
1788127320000,2026-08-30T22:02:00Z,514.91,514.91,514.64,514.64,0.5553,285.871095
1788127380000,2026-08-30T22:03:00Z,514.64,514.64,514.64,514.64,0.0329,16.931656
1788127440000,2026-08-30T22:04:00Z,514.64,514.64,513.34,513.34,11.5214,5923.839797
1788130620000,2026-08-30T22:57:00Z,513.72,513.75,513.72,513.75,1.2003,616.619784
1788130680000,2026-08-30T22:58:00Z,513.87,513.91,513.87,513.91,2.38,1223.0523
1788134400000,2026-08-31T00:00:00Z,512.12,512.29,510.13,511.01,96,49073.36
1788134460000,2026-08-31T00:01:00Z,511.34,511.38,510.15,510.15,295,150684.83
1788134520000,2026-08-31T00:02:00Z,510.24,510.33,510.2,510.33,57,29085.76
1788134580000,2026-08-31T00:03:00Z,510.28,510.28,509.72,509.72,155,79058.75
1788134640000,2026-08-31T00:04:00Z,509.99,510.46,509.98,510.16,101,51528.16
1788134700000,2026-08-31T00:05:00Z,510.14,510.46,509.8,510.43,735,375086.45
1788134760000,2026-08-31T00:06:00Z,510.5,510.5,509.99,509.99,510,260211.4
1788134820000,2026-08-31T00:07:00Z,510.05,510.39,509.99,510.25,389,198430.7
1788134880000,2026-08-31T00:08:00Z,510.33,510.33,509.94,509.94,492,250950.02
1788134940000,2026-08-31T00:09:00Z,510.04,510.22,509.62,510,936,477417.79
1788135000000,2026-08-31T00:10:00Z,510.04,510.04,509.51,509.69,433,220762.52
1788135060000,2026-08-31T00:11:00Z,509.32,509.59,509.32,509.41,26,13243.86
1788135120000,2026-08-31T00:12:00Z,509.43,509.7,509.43,509.44,103,52489.82
1788135180000,2026-08-31T00:13:00Z,509.61,510.01,509.61,510.01,804,409986.62
1788135240000,2026-08-31T00:14:00Z,509.99,510.66,509.99,510.59,1051,536575.67
1788135300000,2026-08-31T00:15:00Z,510.49,510.57,510.46,510.46,170,86788.63
1788135360000,2026-08-31T00:16:00Z,510.54,511.01,510.54,511,310,158340.92
1788135420000,2026-08-31T00:17:00Z,511.18,511.29,510.94,510.99,1002,512269.54
1788135480000,2026-08-31T00:18:00Z,510.73,510.73,510.62,510.62,27,13789.41
1788135540000,2026-08-31T00:19:00Z,510.67,510.67,510.58,510.58,178,90892.61
1788135600000,2026-08-31T00:20:00Z,510.26,510.26,510.26,510.26,5,2551.3
1788135660000,2026-08-31T00:21:00Z,510.41,510.41,510.41,510.41,7,3572.87
1788135720000,2026-08-31T00:22:00Z,510.5,510.65,510.5,510.62,406,207305.91
1788135780000,2026-08-31T00:23:00Z,510.69,510.69,510.69,510.69,5,2553.45
1788135840000,2026-08-31T00:24:00Z,510.67,510.67,510.35,510.35,176,89855.68
1788135900000,2026-08-31T00:25:00Z,510.45,510.45,510.33,510.33,5,2551.77
1788135960000,2026-08-31T00:26:00Z,510.41,510.41,510.31,510.33,46,23475.19
1788136020000,2026-08-31T00:27:00Z,510.83,510.85,510.56,510.6,84,42909.54
1788136080000,2026-08-31T00:28:00Z,510.54,510.61,510.4,510.61,29,14805.73
1788136140000,2026-08-31T00:29:00Z,510.66,510.73,510.64,510.64,9,4596.04
1788136200000,2026-08-31T00:30:00Z,510.73,510.73,510.72,510.72,4,2042.89
1788136260000,2026-08-31T00:31:00Z,510.67,510.67,510.54,510.54,25,12764.81
1788136320000,2026-08-31T00:32:00Z,510.47,510.78,510.47,510.78,113,57707.62
1788136380000,2026-08-31T00:33:00Z,510.76,510.76,510.53,510.53,85,43396.72
1788136440000,2026-08-31T00:34:00Z,510.55,510.55,510.54,510.54,21,10721.44
1788136500000,2026-08-31T00:35:00Z,510.67,510.67,510.56,510.56,5,2552.91
1788136560000,2026-08-31T00:36:00Z,510.67,510.67,510.48,510.48,16,8168.65
1788136620000,2026-08-31T00:37:00Z,510.49,510.63,510.45,510.49,279,142441.25
1788136680000,2026-08-31T00:38:00Z,510.54,510.55,510.52,510.52,25,12763.49
1788136740000,2026-08-31T00:39:00Z,510.46,510.46,510.45,510.45,27,13782.41
1788136800000,2026-08-31T00:40:00Z,510.51,510.55,510.51,510.55,112,57179.78
1788136860000,2026-08-31T00:41:00Z,510.55,510.56,510.55,510.56,52,26548.74
1788136920000,2026-08-31T00:42:00Z,510.62,510.62,510.46,510.56,229,116915.82
1788136980000,2026-08-31T00:43:00Z,510.44,510.51,510.35,510.51,35,17863.94
1788137040000,2026-08-31T00:44:00Z,510.41,510.41,510.41,510.41,1,510.41
1788137100000,2026-08-31T00:45:00Z,510.41,510.41,510.36,510.38,74,37766.78
1788137160000,2026-08-31T00:46:00Z,510.42,510.42,510.36,510.36,17,8676.18
1788137280000,2026-08-31T00:48:00Z,510.36,510.36,510.08,510.08,203,103572.51
1788137340000,2026-08-31T00:49:00Z,510.02,510.08,509.99,510.08,304,155041.99
1788137400000,2026-08-31T00:50:00Z,510.07,510.07,510.07,510.07,1,510.07
1788137460000,2026-08-31T00:51:00Z,510.13,510.13,510,510.08,62,31621.46
1788137520000,2026-08-31T00:52:00Z,510.07,510.07,509.88,509.93,119,60681.48
1788137580000,2026-08-31T00:53:00Z,509.91,509.91,509.8,509.8,78,39765.97
1788137640000,2026-08-31T00:54:00Z,509.8,509.8,509.8,509.8,1,509.8
1788137700000,2026-08-31T00:55:00Z,509.89,509.89,509.8,509.8,7,3568.79
1788137760000,2026-08-31T00:56:00Z,509.78,509.78,509.78,509.78,32,16312.96
1788137820000,2026-08-31T00:57:00Z,509.83,509.83,509.77,509.77,15,7646.61
1788137880000,2026-08-31T00:58:00Z,509.88,509.89,509.77,509.89,182,92778.7
1788137940000,2026-08-31T00:59:00Z,509.83,509.88,509.77,509.77,72,36703.76
1788138000000,2026-08-31T01:00:00Z,509.78,509.78,509.5,509.55,1178,600487.51
1788138060000,2026-08-31T01:01:00Z,509.62,509.66,509.24,509.47,166,84550.54
1788138120000,2026-08-31T01:02:00Z,509.64,509.79,509.64,509.79,130,66270.89
1788138180000,2026-08-31T01:03:00Z,509.79,509.97,509.77,509.81,42,21415.68
1788138240000,2026-08-31T01:04:00Z,509.95,510.06,509.95,510.06,342,174416.19
1788138300000,2026-08-31T01:05:00Z,510.05,510.05,510.05,510.05,10,5100.5
1788138360000,2026-08-31T01:06:00Z,509.88,509.88,509.79,509.79,51,25999.38
