ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788136500000,2026-08-31T00:35:00Z,186.47,186.47,186.09,186.09,32,5963.2
1788137460000,2026-08-31T00:51:00Z,186.18,186.19,186.18,186.19,28,5213.25
1788142500000,2026-08-31T02:15:00Z,186,186.1,186,186.1,11,2046.4
1788144900000,2026-08-31T02:55:00Z,185.99,185.99,185.99,185.99,18,3347.82
1788155220000,2026-08-31T05:47:00Z,187,187,187,187,26,4862
1788163140000,2026-08-31T07:59:00Z,186.845,186.845,186.845,186.845,0,0
1788163200000,2026-08-31T08:00:00Z,186.845,188.469,186.845,188.469,195,36496.7265
1788163260000,2026-08-31T08:01:00Z,188.469,188.47,188.469,188.47,37,6973.3789
1788163800000,2026-08-31T08:10:00Z,188.47,188.484,188.47,188.484,251,47306.1708
1788163920000,2026-08-31T08:12:00Z,188.484,188.484,188.484,188.484,0,0
1788164340000,2026-08-31T08:19:00Z,188.485,188.485,188.485,188.485,0,0
1788164940000,2026-08-31T08:29:00Z,188.485,188.485,188.485,188.485,50,9424.25
1788165180000,2026-08-31T08:33:00Z,188.485,188.485,188.485,188.485,12,2261.82
1788166380000,2026-08-31T08:53:00Z,188.437,188.437,188.292,188.292,0,0
1788166440000,2026-08-31T08:54:00Z,188.276,188.276,188.196,188.196,0,0
1788166920000,2026-08-31T09:02:00Z,188.195,188.195,188.195,188.195,0,0
1788168660000,2026-08-31T09:31:00Z,188.403,189.023,188.403,189.023,5,942.015
1788168720000,2026-08-31T09:32:00Z,189.093,189.439,189.093,189.439,0,0
1788170220000,2026-08-31T09:57:00Z,189.439,189.439,189.439,189.439,2.982424,564.98742014
1788171420000,2026-08-31T10:17:00Z,189.44,189.44,189.44,189.44,15,2841.6
1788172020000,2026-08-31T10:27:00Z,189.322,189.322,188.736,188.736,0,0
1788172320000,2026-08-31T10:32:00Z,188.735,188.735,188.735,188.735,0,0
1788174000000,2026-08-31T11:00:00Z,188.739,188.758,188.739,188.758,0,0
1788174060000,2026-08-31T11:01:00Z,188.759,188.759,188.759,188.759,0,0
1788174240000,2026-08-31T11:04:00Z,188.76,188.76,188.76,188.76,1,188.76
1788175320000,2026-08-31T11:22:00Z,188.76,188.76,188.76,188.76,5,943.8
1788175740000,2026-08-31T11:29:00Z,188.76,188.76,188.76,188.76,62,11703.12
1788176460000,2026-08-31T11:41:00Z,188.76,188.76,188.76,188.76,5,943.8
1788176640000,2026-08-31T11:44:00Z,188.76,188.76,188.76,188.76,30,5662.8
1788177420000,2026-08-31T11:57:00Z,188.76,188.76,188.76,188.76,1,188.76
1788178140000,2026-08-31T12:09:00Z,188.76,188.76,188.76,188.76,14,2642.64
1788178200000,2026-08-31T12:10:00Z,188.76,188.76,188.76,188.76,1,188.76
1788178320000,2026-08-31T12:12:00Z,188.76,188.76,188.76,188.76,13,2453.88
1788179100000,2026-08-31T12:25:00Z,188.76,188.76,188.76,188.76,5,943.8
1788179160000,2026-08-31T12:26:00Z,188.76,188.76,188.76,188.76,8,1510.08
1788179460000,2026-08-31T12:31:00Z,188.76,188.76,188.76,188.76,1,188.76
1788179700000,2026-08-31T12:35:00Z,188.76,188.76,188.76,188.76,0,0
1788180660000,2026-08-31T12:51:00Z,188.76,188.76,188.76,188.76,12,2265.12
1788180720000,2026-08-31T12:52:00Z,188.76,188.76,188.76,188.76,15,2831.4
1788182340000,2026-08-31T13:19:00Z,188.759,188.759,188.757,188.757,100,18875.9
1788182400000,2026-08-31T13:20:00Z,188.756,188.756,188.756,188.756,0,0
1788182580000,2026-08-31T13:23:00Z,188.755,188.755,188.755,188.755,22,4152.61
1788182700000,2026-08-31T13:25:00Z,188.755,188.755,188.75,188.75,4,755.02
1788182880000,2026-08-31T13:28:00Z,188.71,188.71,188.51,188.51,0,0
1788182940000,2026-08-31T13:29:00Z,188.51,188.51,188.51,188.51,53,9991.03
1788183000000,2026-08-31T13:30:00Z,188.67,189.586,188.51,189.475,24490.685263,4622474.79741672
1788183060000,2026-08-31T13:31:00Z,190.19,190.909,189.13,190.19,3182.340922,602844.84315452
1788183120000,2026-08-31T13:32:00Z,191.01,191.443,190.925,191.01,4597.7775,878558.9571435
1788183180000,2026-08-31T13:33:00Z,191.053,191.053,190.485,190.485,482.124952,91884.337602064
1788183240000,2026-08-31T13:34:00Z,190.45,190.485,189.101,189.99,2043.003772,388855.12294362
1788183300000,2026-08-31T13:35:00Z,189.259,189.259,188.718,188.781,1323.151907,250288.737880027
