ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,33.75,33.75,33.32,33.32,4170,139590.39
1788134460000,2026-08-31T00:01:00Z,33.33,33.4,33.22,33.28,4078,135721.28
1788134520000,2026-08-31T00:02:00Z,33.26,33.29,33.24,33.26,1083,36018.24
1788134580000,2026-08-31T00:03:00Z,33.32,33.32,33.31,33.32,2297,76533.87
1788134640000,2026-08-31T00:04:00Z,33.33,33.33,33.31,33.33,454,15124.42
1788134700000,2026-08-31T00:05:00Z,33.33,33.35,33.33,33.35,2361,78716.28
1788134760000,2026-08-31T00:06:00Z,33.35,33.35,33.35,33.35,230,7670.5
1788134820000,2026-08-31T00:07:00Z,33.4,33.44,33.39,33.44,203,6782.2
1788134880000,2026-08-31T00:08:00Z,33.44,33.45,33.39,33.39,665,22217.29
1788134940000,2026-08-31T00:09:00Z,33.35,33.36,33.35,33.36,38,1267.48
1788135060000,2026-08-31T00:11:00Z,33.45,33.52,33.45,33.52,1383,46287.63
1788135120000,2026-08-31T00:12:00Z,33.52,33.52,33.48,33.48,220,7367.8
1788135180000,2026-08-31T00:13:00Z,33.58,33.66,33.56,33.64,643,21604.86
1788135240000,2026-08-31T00:14:00Z,33.66,33.66,33.63,33.63,550,18511.5
1788135300000,2026-08-31T00:15:00Z,33.62,33.67,33.6,33.67,1484,49895.42
1788135420000,2026-08-31T00:17:00Z,33.71,33.71,33.64,33.64,1512,50930.15
1788135480000,2026-08-31T00:18:00Z,33.65,33.65,33.65,33.65,1800,60570
1788135540000,2026-08-31T00:19:00Z,33.61,33.61,33.61,33.61,20,672.2
1788135600000,2026-08-31T00:20:00Z,33.61,33.61,33.6,33.6,531,17841.76
1788135660000,2026-08-31T00:21:00Z,33.64,33.65,33.64,33.65,123,4138.72
1788135720000,2026-08-31T00:22:00Z,33.65,33.65,33.64,33.64,570,19175
1788135840000,2026-08-31T00:24:00Z,33.61,33.63,33.59,33.59,630,21176.3
1788135900000,2026-08-31T00:25:00Z,33.6,33.6,33.6,33.6,1387,46603.2
1788135960000,2026-08-31T00:26:00Z,33.58,33.61,33.58,33.61,89,2988.89
1788136080000,2026-08-31T00:28:00Z,33.61,33.63,33.61,33.63,52,1748.72
1788136140000,2026-08-31T00:29:00Z,33.63,33.64,33.63,33.64,282,9485.48
1788136200000,2026-08-31T00:30:00Z,33.63,33.63,33.63,33.63,150,5044.5
1788136260000,2026-08-31T00:31:00Z,33.62,33.67,33.62,33.67,1041,35025.32
1788136380000,2026-08-31T00:33:00Z,33.67,33.67,33.67,33.67,50,1683.5
1788136440000,2026-08-31T00:34:00Z,33.68,33.68,33.68,33.68,49,1650.32
1788136500000,2026-08-31T00:35:00Z,33.69,33.72,33.69,33.72,1821,61392.52
1788136560000,2026-08-31T00:36:00Z,33.72,33.75,33.72,33.75,450,15180.22
1788136620000,2026-08-31T00:37:00Z,33.78,33.8,33.78,33.79,1096,37038.5
1788136680000,2026-08-31T00:38:00Z,33.8,33.8,33.78,33.78,290,9800.2
1788136740000,2026-08-31T00:39:00Z,33.77,33.8,33.77,33.8,42,1418.7
1788136800000,2026-08-31T00:40:00Z,33.8,33.8,33.76,33.76,591,19973.72
1788136860000,2026-08-31T00:41:00Z,33.76,33.76,33.74,33.74,366,12349.04
1788136920000,2026-08-31T00:42:00Z,33.75,33.76,33.75,33.76,502,16943.52
1788136980000,2026-08-31T00:43:00Z,33.78,33.78,33.78,33.78,85,2871.3
1788137040000,2026-08-31T00:44:00Z,33.79,33.79,33.78,33.78,261,8818.19
1788137100000,2026-08-31T00:45:00Z,33.79,33.79,33.74,33.74,555,18728.66
1788137160000,2026-08-31T00:46:00Z,33.76,33.8,33.76,33.8,1463,49404.9
1788137220000,2026-08-31T00:47:00Z,33.81,33.81,33.81,33.81,680,22990.8
1788137280000,2026-08-31T00:48:00Z,33.81,33.84,33.8,33.82,1330,44973.75
1788137340000,2026-08-31T00:49:00Z,33.84,33.85,33.84,33.84,874,29583.4
1788137400000,2026-08-31T00:50:00Z,33.86,33.87,33.86,33.86,359,12158.24
1788137460000,2026-08-31T00:51:00Z,33.86,33.99,33.86,33.99,1623,55019.5
1788137520000,2026-08-31T00:52:00Z,33.96,33.96,33.94,33.94,505,17142.85
