ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788153000000,2026-08-31T05:10:00Z,429.51,429.51,429.4,429.4,4,1717.71
1788163140000,2026-08-31T07:59:00Z,431.055,431.055,431.055,431.055,0,0
1788163200000,2026-08-31T08:00:00Z,431.093,436.235,431.093,433.181,2.0027,870.0810258
1788163260000,2026-08-31T08:01:00Z,433.181,433.181,433.181,433.181,0,0
1788165000000,2026-08-31T08:30:00Z,433.18,433.18,433.18,433.18,40,17327.2
1788166320000,2026-08-31T08:52:00Z,433.18,433.18,433.18,433.18,1,433.18
1788167640000,2026-08-31T09:14:00Z,433.18,433.18,433.18,433.18,0,0
1788171120000,2026-08-31T10:12:00Z,433.18,433.18,433.18,433.18,0,0
1788174000000,2026-08-31T11:00:00Z,433.367,434.298,433.367,434.298,2,866.734
1788174060000,2026-08-31T11:01:00Z,434.299,434.299,434.299,434.299,0,0
1788174180000,2026-08-31T11:03:00Z,433.989,433.989,432.556,432.556,3,1301.967
1788174240000,2026-08-31T11:04:00Z,432.536,432.536,432.437,432.437,0,0
1788174420000,2026-08-31T11:07:00Z,432.436,432.436,432.436,432.436,2,864.872
1788175740000,2026-08-31T11:29:00Z,432.436,432.436,432.436,432.436,2,864.872
1788176160000,2026-08-31T11:36:00Z,432.436,432.436,432.436,432.436,0.38,164.32568
1788176220000,2026-08-31T11:37:00Z,432.435,432.435,432.435,432.435,1.05,454.05675
1788176340000,2026-08-31T11:39:00Z,432.435,432.435,432.435,432.435,2,864.87
1788176640000,2026-08-31T11:44:00Z,432.435,432.435,432.435,432.435,2,864.87
1788176700000,2026-08-31T11:45:00Z,432.435,432.435,432.435,432.435,5,2162.175
1788177300000,2026-08-31T11:55:00Z,432.435,432.435,432.435,432.435,1,432.435
1788178140000,2026-08-31T12:09:00Z,432.435,432.435,432.435,432.435,15,6486.525
1788178200000,2026-08-31T12:10:00Z,432.303,432.303,431.647,431.647,0,0
1788178860000,2026-08-31T12:21:00Z,431.646,431.646,431.646,431.646,10,4316.46
1788181500000,2026-08-31T13:05:00Z,431.645,431.645,431.645,431.645,13,5611.385
1788182880000,2026-08-31T13:28:00Z,431.645,431.645,431.645,431.645,11,4748.095
1788183000000,2026-08-31T13:30:00Z,431.645,431.645,428.578,430.535,7276.998106,3140837.5234274402
1788183060000,2026-08-31T13:31:00Z,427.545,430.538,427.536,427.545,1461.000107,625235.87239071
1788183120000,2026-08-31T13:32:00Z,427.535,428.211,427.535,427.67,135.126315,57789.173858157
1788183180000,2026-08-31T13:33:00Z,427.755,427.755,427.22,427.43,1286.717932,550270.71385049
1788183240000,2026-08-31T13:34:00Z,428,428.186,426.82,426.82,5065.031019,2165538.31057729
1788183300000,2026-08-31T13:35:00Z,426.845,427.304,426.845,426.845,1533.066273,654538.65928504
1788183360000,2026-08-31T13:36:00Z,426.64,426.879,426.64,426.64,811.750922,346425.74577604
1788183420000,2026-08-31T13:37:00Z,425.495,426.509,425.495,425.64,3530.653126,1503023.75031008
1788183480000,2026-08-31T13:38:00Z,425.01,425.641,425.01,425.27,5323.187166,2263718.34610193
1788183540000,2026-08-31T13:39:00Z,425.197,425.21,424.71,424.744,1840.665448,782579.162537128
1788183600000,2026-08-31T13:40:00Z,424.01,424.719,423.717,424.48,2223.094166,942983.85788547
1788183660000,2026-08-31T13:41:00Z,424.492,424.492,424.48,424.489,423.083196,179594.374328442
1788183720000,2026-08-31T13:42:00Z,424.49,424.495,424.485,424.495,516.366621,219192.983314911
1788183780000,2026-08-31T13:43:00Z,424.495,424.6,424.495,424.537,363.17308,154169.442036944
1788183840000,2026-08-31T13:44:00Z,424.538,425.455,424.538,425.45,1513.84857,642842.776152798
1788183900000,2026-08-31T13:45:00Z,425.453,427.015,425.453,425.785,3345.29964,1426027.974469884
1788183960000,2026-08-31T13:46:00Z,425.784,425.8,425.776,425.785,695.060863,295944.4738759523
1788184020000,2026-08-31T13:47:00Z,425.786,427.111,425.786,427.111,3236.747962,1380486.9238092366
1788184080000,2026-08-31T13:48:00Z,427.17,427.17,426.465,426.605,2526.40168,1078872.299665688
1788184140000,2026-08-31T13:49:00Z,426.581,426.93,426.456,426.458,7657.048637,3265411.9447523371
1788184200000,2026-08-31T13:50:00Z,426.459,426.56,426.459,426.528,1847.063664,787741.8067328112
1788184260000,2026-08-31T13:51:00Z,426.527,426.534,426.515,426.534,655.698879,279672.9479137935
1788184320000,2026-08-31T13:52:00Z,426.535,426.544,426.525,426.542,543.3206,231746.50175838
1788184380000,2026-08-31T13:53:00Z,426.541,426.56,426.54,426.549,593.274011,253056.1052177587
1788184440000,2026-08-31T13:54:00Z,426.55,426.55,426.53,426.534,1430.907364,610349.5295735808
1788184500000,2026-08-31T13:55:00Z,426.534,426.55,426.346,426.346,2548.00322,1086729.233737406
1788184560000,2026-08-31T13:56:00Z,426.346,426.595,426.345,426.543,1219.699286,520025.8648419588
1788184620000,2026-08-31T13:57:00Z,426.539,426.539,425.99,426.066,1465.503805,624714.668894639
1788184680000,2026-08-31T13:58:00Z,426.074,426.209,426.017,426.017,1751.9899,746635.0237436
1788184740000,2026-08-31T13:59:00Z,425.635,426.014,425.635,425.905,2769.003497,1178895.20873761
1788184800000,2026-08-31T14:00:00Z,425.794,425.841,425.025,425.025,2651.037101,1128487.6408720578
1788184860000,2026-08-31T14:01:00Z,425.35,425.73,425.08,425.6,2668.494338,1135236.46511007
1788184920000,2026-08-31T14:02:00Z,425.608,425.63,424.955,424.986,2003,852305.7438
1788184980000,2026-08-31T14:03:00Z,424.983,425,424.945,424.959,632.373316,268735.1350126448
1788185040000,2026-08-31T14:04:00Z,424.959,424.96,424.947,424.947,639.743229,271862.2758026637
1788185100000,2026-08-31T14:05:00Z,425.42,425.615,424.94,425.44,1004.74146,427076.81162564
1788185160000,2026-08-31T14:06:00Z,425.615,425.62,425.415,425.415,1939.92168,825619.02747792
1788185220000,2026-08-31T14:07:00Z,425.37,425.684,425.37,425.65,2287.71781,973683.58412644
1788185280000,2026-08-31T14:08:00Z,425.045,425.682,424.994,425.21,5037.154927,2142208.80308695
1788185340000,2026-08-31T14:09:00Z,424.855,425.232,424.833,424.855,2797.301541,1189089.52690521
1788185400000,2026-08-31T14:10:00Z,424.885,424.885,424.834,424.885,535.092028,227343.69378912
1788185460000,2026-08-31T14:11:00Z,424.875,424.89,424.875,424.882,976.61135,414946.243849995
1788185520000,2026-08-31T14:12:00Z,424.881,424.91,424.881,424.91,288.2356,122473.69879548
1788185580000,2026-08-31T14:13:00Z,424.91,424.943,424.689,424.721,1691.453695,718633.723183612
1788185640000,2026-08-31T14:14:00Z,424.775,425.01,424.728,424.965,986.32484,419019.88861478
1788185700000,2026-08-31T14:15:00Z,424.76,424.989,424.511,424.92,2590.796932,1100663.54632346
1788185760000,2026-08-31T14:16:00Z,424.899,424.937,424.786,424.892,798.434965,339229.46670962
1788185820000,2026-08-31T14:17:00Z,424.17,424.949,424.17,424.175,6918.1315,2936428.587701
1788185880000,2026-08-31T14:18:00Z,424.31,424.31,424.157,424.21,1024.096897,434417.39768105
1788185940000,2026-08-31T14:19:00Z,424.226,424.239,424.226,424.239,241.145786,102303.0612735964
1788186000000,2026-08-31T14:20:00Z,424.65,425.001,424.239,424.535,4291.446136,1822872.42545336
1788186060000,2026-08-31T14:21:00Z,424.56,424.712,424.525,424.56,443.001692,188081.28565738
1788186120000,2026-08-31T14:22:00Z,424.58,424.631,424.556,424.58,617.073881,261991.11936356
1788186180000,2026-08-31T14:23:00Z,424.562,424.58,424.561,424.575,1558.920913,661865.4399171232
