ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,558.01,558.01,558.01,558.01,5,2790.05
1788147720000,2026-08-31T03:42:00Z,553.31,553.31,553.31,553.31,1,553.31
1788150300000,2026-08-31T04:25:00Z,557,557,557,557,2,1114
1788150360000,2026-08-31T04:26:00Z,557,557,557,557,1,557
1788150420000,2026-08-31T04:27:00Z,557,557,557,557,2,1114
1788151440000,2026-08-31T04:44:00Z,553.01,553.01,553.01,553.01,29,16037.29
1788152460000,2026-08-31T05:01:00Z,553.3,553.3,553.3,553.3,1,553.3
1788157080000,2026-08-31T06:18:00Z,555.01,555.01,555.01,555.01,2,1110.02
1788163140000,2026-08-31T07:59:00Z,560.995,560.995,560.995,560.995,0,0
1788163200000,2026-08-31T08:00:00Z,560.995,560.995,560.995,560.995,49.461671,27747.750122645
1788163260000,2026-08-31T08:01:00Z,560.937,560.937,560.651,560.651,14,7850.4888
1788163320000,2026-08-31T08:02:00Z,560.65,560.65,560.65,560.65,0,0
1788163560000,2026-08-31T08:06:00Z,560.65,560.65,560.65,560.65,22,12334.3
1788164580000,2026-08-31T08:23:00Z,560.65,560.65,560.65,560.65,5,2803.25
1788165840000,2026-08-31T08:44:00Z,560.718,561.053,560.718,561.053,23,12903.4439
1788165900000,2026-08-31T08:45:00Z,561.054,561.059,561.054,561.059,0,0
1788166260000,2026-08-31T08:51:00Z,561.06,561.06,561.06,561.06,10,5610.6
1788166740000,2026-08-31T08:59:00Z,561.06,561.06,561.06,561.06,5,2805.3
1788167400000,2026-08-31T09:10:00Z,561.06,561.06,561.06,561.06,0.190229,106.72988274
1788168120000,2026-08-31T09:22:00Z,561.06,561.06,561.06,561.06,3,1683.18
1788168300000,2026-08-31T09:25:00Z,561.06,561.06,561.06,561.06,20,11221.2
1788169080000,2026-08-31T09:38:00Z,561.06,561.06,561.06,561.06,107,60033.42
1788169140000,2026-08-31T09:39:00Z,561.06,561.06,561.06,561.06,11,6171.66
1788169200000,2026-08-31T09:40:00Z,561.06,561.06,561.06,561.06,358,200859.48
1788169260000,2026-08-31T09:41:00Z,566,566,561.06,566,287,161024.22
1788169380000,2026-08-31T09:43:00Z,561.06,561.06,561.06,561.06,361,202542.66
1788169440000,2026-08-31T09:44:00Z,561.06,561.06,561.06,561.06,37,20759.22
1788169560000,2026-08-31T09:46:00Z,561.219,561.963,561.219,561.963,276,154896.7752
1788169620000,2026-08-31T09:47:00Z,561.972,562.014,561.972,562.014,0,0
1788169860000,2026-08-31T09:51:00Z,562.015,562.015,562.015,562.015,0,0
1788170520000,2026-08-31T10:02:00Z,562.015,562.015,562.015,562.015,5,2810.075
1788170580000,2026-08-31T10:03:00Z,562.015,562.015,562.015,562.015,0,0
1788170760000,2026-08-31T10:06:00Z,562.015,562.015,562.015,562.015,0,0
1788171540000,2026-08-31T10:19:00Z,562.015,562.015,562.015,562.015,20,11240.3
1788171600000,2026-08-31T10:20:00Z,562.015,562.015,562.015,562.015,2,1124.03
1788172260000,2026-08-31T10:31:00Z,562.015,562.015,562.015,562.015,1,562.015
1788172320000,2026-08-31T10:32:00Z,562.015,562.015,562.015,562.015,41,23042.615
1788172380000,2026-08-31T10:33:00Z,562.015,562.015,562.015,562.015,2,1124.03
1788173700000,2026-08-31T10:55:00Z,562.015,562.015,562.015,562.015,41,23042.615
1788174000000,2026-08-31T11:00:00Z,562.015,562.015,562.015,562.015,35,19670.525
1788174120000,2026-08-31T11:02:00Z,562.015,562.015,562.015,562.015,88,49457.32
1788174180000,2026-08-31T11:03:00Z,562.015,562.015,562.015,562.015,5,2810.075
1788174240000,2026-08-31T11:04:00Z,562.015,562.015,562.015,562.015,0,0
1788174720000,2026-08-31T11:12:00Z,562.015,562.015,562.015,562.015,0,0
1788174780000,2026-08-31T11:13:00Z,562.015,562.015,562.015,562.015,3,1686.045
1788174900000,2026-08-31T11:15:00Z,562.015,562.015,562.015,562.015,0.090557,50.89439236
1788175800000,2026-08-31T11:30:00Z,562.015,562.015,562.015,562.015,3,1686.045
1788175860000,2026-08-31T11:31:00Z,562.015,562.015,562.015,562.015,10,5620.15
1788176100000,2026-08-31T11:35:00Z,562.015,562.015,562.015,562.015,2,1124.03
1788176280000,2026-08-31T11:38:00Z,562.102,564.788,562.102,564.788,2,1124.204
1788176340000,2026-08-31T11:39:00Z,564.789,564.794,564.789,564.794,0,0
1788176760000,2026-08-31T11:46:00Z,564.16,564.16,560.991,560.991,55,31028.8
1788177360000,2026-08-31T11:56:00Z,560.991,560.991,560.991,560.991,1,560.991
1788178380000,2026-08-31T12:13:00Z,560.99,560.99,560.99,560.99,2,1121.98
1788178920000,2026-08-31T12:22:00Z,561.624,562.153,561.624,562.153,2,1123.248
1788178980000,2026-08-31T12:23:00Z,562.593,564.794,562.593,564.794,0,0
1788179340000,2026-08-31T12:29:00Z,564.795,564.795,564.795,564.795,0,0
1788180540000,2026-08-31T12:49:00Z,564.795,564.795,564.795,564.795,5,2823.975
1788180600000,2026-08-31T12:50:00Z,564.346,564.346,562.102,562.102,0,0
1788180720000,2026-08-31T12:52:00Z,562.101,562.101,562.1,562.1,5,2810.5
1788180780000,2026-08-31T12:53:00Z,562.1,562.1,562.1,562.1,117,65765.7
1788180900000,2026-08-31T12:55:00Z,562.1,562.1,562.1,562.1,2,1124.2
1788180960000,2026-08-31T12:56:00Z,562.1,562.1,562.1,562.1,110.445831,62081.6016051
1788181020000,2026-08-31T12:57:00Z,562.1,562.1,562.023,562.023,28,15738.3996
1788181080000,2026-08-31T12:58:00Z,562.02,562.02,562.006,562.006,0,0
1788181260000,2026-08-31T13:01:00Z,562.005,562.005,562.005,562.005,0,0
1788181380000,2026-08-31T13:03:00Z,562.005,562.005,562.005,562.005,0,0
1788182520000,2026-08-31T13:22:00Z,562.005,562.005,562.005,562.005,1,562.005
1788182700000,2026-08-31T13:25:00Z,562.005,562.005,560.637,560.637,16,8990.6768
1788182760000,2026-08-31T13:26:00Z,560.631,560.631,560.602,560.602,0,0
1788182820000,2026-08-31T13:27:00Z,560.601,560.601,560.6,560.6,127,71196.2
1788183000000,2026-08-31T13:30:00Z,560.6,573.813,560.6,573.813,5090.590117,2857850.6739166479
1788183060000,2026-08-31T13:31:00Z,573.814,573.814,568.633,568.633,333.167622,190136.6962361436
1788183120000,2026-08-31T13:32:00Z,568.528,570.888,568.18,570.888,1346.599479,766703.3805220854
1788183180000,2026-08-31T13:33:00Z,570.889,570.89,570.889,570.89,242.074172,138197.6998456628
1788183240000,2026-08-31T13:34:00Z,570.89,572.883,570.89,572.883,25.25,14450.385625
1788183300000,2026-08-31T13:35:00Z,572.743,572.743,569.225,569.225,291.017,166165.6433042
1788183360000,2026-08-31T13:36:00Z,566.645,569.971,563.921,566.645,809.882332,459619.39978618
1788183420000,2026-08-31T13:37:00Z,569.993,570.103,565.802,565.852,126.13115,71589.808218645
1788183480000,2026-08-31T13:38:00Z,565.857,565.876,565.762,565.762,211.015,119390.725489
1788183540000,2026-08-31T13:39:00Z,565.761,565.761,563.711,563.711,414.368799,234232.6957866441
1788183600000,2026-08-31T13:40:00Z,563.71,563.713,563.71,563.713,268,151074.5748
1788183660000,2026-08-31T13:41:00Z,563.714,565.537,563.714,564.001,312,175924.788
1788183720000,2026-08-31T13:42:00Z,564,564,563.836,563.836,158.348,89289.0485528
1788183780000,2026-08-31T13:43:00Z,563.835,563.835,562.453,562.453,148.537291,83685.2858927778
1788183840000,2026-08-31T13:44:00Z,562.452,562.452,562.34,562.34,434.973725,244646.79587849
1788183900000,2026-08-31T13:45:00Z,562.338,562.624,562.336,562.624,452.080067,254317.4156508165
1788183960000,2026-08-31T13:46:00Z,562.624,562.883,562.16,562.299,164.585104,92629.072579064
1788184020000,2026-08-31T13:47:00Z,562.255,564.471,562.086,564.471,291.414565,164023.0667491845
1788184080000,2026-08-31T13:48:00Z,564.493,568.13,564.493,567.755,517.79884,292460.914273788
1788184140000,2026-08-31T13:49:00Z,565.86,567.443,564.025,565.86,1969,1114083.6311
1788184200000,2026-08-31T13:50:00Z,564.019,564.184,563.541,563.541,123,69350.7333
1788184260000,2026-08-31T13:51:00Z,563.478,563.478,563.084,563.1,1072.001,603655.3407108
1788184320000,2026-08-31T13:52:00Z,563.1,563.632,563.1,563.632,464,261280.256
1788184380000,2026-08-31T13:53:00Z,563.677,563.9,563.677,563.9,168,94735.0656
1788184440000,2026-08-31T13:54:00Z,563.9,563.9,563.9,563.9,212.528218,119844.6621302
1788184500000,2026-08-31T13:55:00Z,563.9,563.937,563.9,563.937,107,60338.7659
1788184560000,2026-08-31T13:56:00Z,563.938,563.939,562.841,563.887,392.907262,221427.8381316012
1788184620000,2026-08-31T13:57:00Z,563.888,563.889,562.191,562.388,338.867035,190716.0955198785
1788184680000,2026-08-31T13:58:00Z,563.58,564.048,562.396,563.62,1893,1065733.8231
1788184740000,2026-08-31T13:59:00Z,563.476,563.476,562.389,562.389,144.002,81022.7829008
1788184800000,2026-08-31T14:00:00Z,562.36,563.043,562.285,562.36,1276,717579.7816
1788184860000,2026-08-31T14:01:00Z,563.044,565.586,562.938,565.586,1329.17487,749710.45202454
1788184920000,2026-08-31T14:02:00Z,565.612,565.612,563.944,563.944,297.134352,167849.53149243
1788184980000,2026-08-31T14:03:00Z,563.871,563.871,561.245,561.783,238.708865,134361.0801362035
1788185040000,2026-08-31T14:04:00Z,562.28,562.28,560.923,562.28,335.615984,188480.32565768
1788185100000,2026-08-31T14:05:00Z,561.711,563.685,561.284,563.685,626,352072.9168
1788185160000,2026-08-31T14:06:00Z,563.845,564.291,563.091,563.091,145.6717,82125.72762259
1788185220000,2026-08-31T14:07:00Z,562.94,563.842,562.93,562.94,753,424425.8898
1788185280000,2026-08-31T14:08:00Z,563.795,563.9,562.321,563.9,53.031614,29847.862855041
1788185340000,2026-08-31T14:09:00Z,563.903,563.914,562.31,562.31,623.002867,350348.154268918
1788185400000,2026-08-31T14:10:00Z,562.31,563.403,561.554,563.403,659.46214,371085.413229688
1788185460000,2026-08-31T14:11:00Z,563.431,564.807,563.077,564.45,607.531839,342778.9410604884
1788185520000,2026-08-31T14:12:00Z,564.153,564.153,562.294,562.754,556.047749,312823.9004520654
1788185580000,2026-08-31T14:13:00Z,562.707,562.707,561.623,561.623,212,119194.0108
1788185640000,2026-08-31T14:14:00Z,561.572,562.411,561.31,562.411,251.672471,141393.117622394
1788185700000,2026-08-31T14:15:00Z,562.429,562.79,562.045,562.045,396.176171,222852.66177304
1788185760000,2026-08-31T14:16:00Z,562.039,562.784,561.586,562.784,79.92209,44891.174989203
1788185820000,2026-08-31T14:17:00Z,562.868,563.37,562.724,562.724,116.176639,65439.5008917001
1788185880000,2026-08-31T14:18:00Z,562.652,563.45,562.318,563.45,102,57430.5084
1788185940000,2026-08-31T14:19:00Z,563.438,563.438,562.452,562.452,466,262202.7288
1788186000000,2026-08-31T14:20:00Z,562.436,562.436,561.831,561.873,89,50019.78
1788186060000,2026-08-31T14:21:00Z,561.889,564.013,561.889,564.013,822.005313,462347.1633632625
1788186120000,2026-08-31T14:22:00Z,564.019,564.07,564.019,564.07,338,190653.0236
1788186180000,2026-08-31T14:23:00Z,564.07,564.07,562.015,562.073,569.330955,320242.171814613
1788186240000,2026-08-31T14:24:00Z,562.074,563.455,562.074,563.455,61.208665,34404.264357064
1788186300000,2026-08-31T14:25:00Z,563.544,563.989,561.177,561.177,863,485640.9091
1788186360000,2026-08-31T14:26:00Z,561.146,563.781,560.996,563.77,311.5,175171.4643
