ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788106920000,2026-08-30T16:22:00Z,49.32,49.32,49.32,49.32,1.9,93.708
1788113520000,2026-08-30T18:12:00Z,49.32,49.32,49.32,49.32,0.72,35.5104
1788113820000,2026-08-30T18:17:00Z,49.31,49.31,49.31,49.31,0.4356,21.479436
1788116580000,2026-08-30T19:03:00Z,49.3,49.3,49.3,49.3,1.565,77.1545
1788117840000,2026-08-30T19:24:00Z,49.3,49.3,49.3,49.3,1.645,81.0985
1788124920000,2026-08-30T21:22:00Z,49.34,49.37,49.34,49.37,6.195,305.73893
1788127200000,2026-08-30T22:00:00Z,49.31,49.31,49.3,49.3,1.95,96.1495
1788127260000,2026-08-30T22:01:00Z,49.29,49.29,49.29,49.29,0.9,44.361
1788127380000,2026-08-30T22:03:00Z,49.33,49.34,49.33,49.34,3.1464,155.221198
1788127920000,2026-08-30T22:12:00Z,49.39,49.39,49.37,49.37,1.7852,88.151324
1788128340000,2026-08-30T22:19:00Z,49.36,49.36,49.36,49.36,0.8,39.488
1788130140000,2026-08-30T22:49:00Z,49.41,49.44,49.41,49.44,4.0407,199.721208
1788130200000,2026-08-30T22:50:00Z,49.44,49.48,49.44,49.48,6.8959,341.044305
1788130800000,2026-08-30T23:00:00Z,49.48,49.61,49.48,49.61,15.656,775.651256
1788130860000,2026-08-30T23:01:00Z,49.62,49.62,49.62,49.62,0.63,31.2606
1788131100000,2026-08-30T23:05:00Z,49.62,49.69,49.62,49.69,3.7706,187.275077
1788131220000,2026-08-30T23:07:00Z,49.69,49.71,49.69,49.71,1.1076,55.05793
1788131460000,2026-08-30T23:11:00Z,49.75,49.75,49.75,49.75,0.47,23.3825
1788131520000,2026-08-30T23:12:00Z,49.78,49.8,49.78,49.8,2.838,141.29764
1788131580000,2026-08-30T23:13:00Z,49.82,49.9,49.82,49.9,12.6351,629.888733
1788132180000,2026-08-30T23:23:00Z,49.93,49.99,49.93,49.99,17.9306,895.865759
1788132240000,2026-08-30T23:24:00Z,50.01,50.01,50.01,50.01,1.24,62.0124
1788132600000,2026-08-30T23:30:00Z,50.02,50.04,50.02,50.04,9.27,463.7548
1788133200000,2026-08-30T23:40:00Z,50.05,50.12,50.05,50.12,7.1244,356.896165
1788133260000,2026-08-30T23:41:00Z,50.14,50.14,50.14,50.14,6.9282,347.379948
1788133380000,2026-08-30T23:43:00Z,50.15,50.19,50.15,50.19,9.52,477.495732
1788133500000,2026-08-30T23:45:00Z,50.2,50.29,50.2,50.29,17.8447,896.451604
1788133560000,2026-08-30T23:46:00Z,50.31,50.33,50.31,50.33,3.8473,193.609663
1788133620000,2026-08-30T23:47:00Z,50.34,50.47,50.34,50.47,13.2759,669.077862
1788133680000,2026-08-30T23:48:00Z,50.48,50.54,50.48,50.54,10.6904,540.019717
1788134040000,2026-08-30T23:54:00Z,50.55,50.55,50.55,50.55,1.5,75.825
1788134100000,2026-08-30T23:55:00Z,50.6,50.64,50.6,50.64,3.9231,198.620408
1788134160000,2026-08-30T23:56:00Z,50.66,50.71,50.66,50.71,3.401,172.367794
