ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788102000000,2026-08-30T15:00:00Z,510.16,510.51,510.16,510.51,0.2272,115.942617
1788107580000,2026-08-30T16:33:00Z,510.14,510.15,510.14,510.15,0.5992,305.68088
1788107640000,2026-08-30T16:34:00Z,510.18,510.18,510.18,510.18,0.5424,276.721632
1788111000000,2026-08-30T17:30:00Z,510.58,510.58,510.58,510.58,0.0489,24.967362
1788116400000,2026-08-30T19:00:00Z,510.62,510.62,510.62,510.62,0.0391,19.965242
1788119880000,2026-08-30T19:58:00Z,510.62,510.62,510.62,510.62,0.0391,19.965242
1788133320000,2026-08-30T23:42:00Z,510.07,510.07,509.36,509.36,1.0686,544.880912
1788134160000,2026-08-30T23:56:00Z,509.35,509.35,509.3,509.3,1.1416,581.45031
1788134400000,2026-08-31T00:00:00Z,506,506,502.04,502.04,370,186534.99
1788134460000,2026-08-31T00:01:00Z,502.66,502.66,502.15,502.29,81,40698.61
1788134520000,2026-08-31T00:02:00Z,502.63,503.31,502.63,503.29,6372,3206344.42
1788134580000,2026-08-31T00:03:00Z,503.4,503.44,503.24,503.44,3350,1686371.32
1788134640000,2026-08-31T00:04:00Z,503.44,503.5,502.82,503.27,447,224923.44
1788134700000,2026-08-31T00:05:00Z,503.15,503.69,502.99,503.69,215,108248.12
1788134760000,2026-08-31T00:06:00Z,503.43,503.84,503.01,503.71,371,186836.79
1788134820000,2026-08-31T00:07:00Z,503.65,503.83,503.33,503.69,55,27700.55
1788134880000,2026-08-31T00:08:00Z,503.91,503.91,503.69,503.87,91,45841.67
1788134940000,2026-08-31T00:09:00Z,503.93,503.99,503.7,503.93,172,86665.45
1788135000000,2026-08-31T00:10:00Z,504.08,504.12,504.08,504.09,94,47387.04
1788135120000,2026-08-31T00:12:00Z,504.76,504.81,504.76,504.81,81,40889.15
1788135180000,2026-08-31T00:13:00Z,505.33,505.49,505,505.49,3039,1535870.47
