ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,195.98,195.99,195.98,195.99,41,8035.19
1788134460000,2026-08-31T00:01:00Z,195.4,195.4,195.4,195.4,3,586.2
1788134580000,2026-08-31T00:03:00Z,196.29,196.29,196.29,196.29,12,2355.48
1788134640000,2026-08-31T00:04:00Z,196.98,196.98,196.88,196.88,6,1181.58
1788134700000,2026-08-31T00:05:00Z,196.85,197.25,196.77,197.24,89,17542.08
1788134760000,2026-08-31T00:06:00Z,197.04,197.04,197.04,197.04,10,1970.4
1788134820000,2026-08-31T00:07:00Z,197.49,197.97,197.45,197.97,195,38553.06
1788134880000,2026-08-31T00:08:00Z,197.98,198.14,197.95,198.14,51,10101.51
1788135000000,2026-08-31T00:10:00Z,198.28,198.96,198.28,198.61,101,20058.61
1788135060000,2026-08-31T00:11:00Z,198.96,199.47,198.96,199.47,103,20507.27
1788135240000,2026-08-31T00:14:00Z,198.27,198.27,198.27,198.27,8,1586.16
1788135300000,2026-08-31T00:15:00Z,198.25,198.27,198.25,198.26,45,8921.88
1788135360000,2026-08-31T00:16:00Z,198.38,198.42,198.38,198.41,168,33331.87
1788135420000,2026-08-31T00:17:00Z,198.49,198.5,198.49,198.5,44,8733.6
1788135540000,2026-08-31T00:19:00Z,198.52,198.52,198.51,198.51,41,8139.31
1788135720000,2026-08-31T00:22:00Z,197.24,197.24,197.24,197.24,5,986.2
1788136680000,2026-08-31T00:38:00Z,197.99,197.99,197.99,197.99,2,395.98
1788136980000,2026-08-31T00:43:00Z,198.05,198.05,198.05,198.05,5,990.25
1788137100000,2026-08-31T00:45:00Z,198.04,198.04,198.04,198.04,20,3960.8
1788137160000,2026-08-31T00:46:00Z,198.04,198.04,198.04,198.04,1,198.04
1788137220000,2026-08-31T00:47:00Z,198.57,198.57,198.57,198.57,5,992.85
1788137340000,2026-08-31T00:49:00Z,197.85,197.85,197.85,197.85,1,197.85
1788138600000,2026-08-31T01:10:00Z,197.83,197.83,197.83,197.83,1,197.83
1788138840000,2026-08-31T01:14:00Z,197.99,197.99,197.99,197.99,50,9899.5
1788140220000,2026-08-31T01:37:00Z,197.99,197.99,197.99,197.99,17,3365.83
1788140820000,2026-08-31T01:47:00Z,196.94,197,196.94,197,138,27179.96
1788141060000,2026-08-31T01:51:00Z,197.31,197.31,197.31,197.31,39,7695.09
1788142680000,2026-08-31T02:18:00Z,197.91,198.03,197.91,198.03,140,27718.34
1788142800000,2026-08-31T02:20:00Z,198.07,198.22,198.07,198.22,101,20020.07
1788142980000,2026-08-31T02:23:00Z,198.31,198.31,198.31,198.31,10,1983.1
1788143040000,2026-08-31T02:24:00Z,198.31,198.31,198.31,198.31,1,198.31
1788143280000,2026-08-31T02:28:00Z,198.67,198.67,198.67,198.67,25,4966.75
1788143460000,2026-08-31T02:31:00Z,198.29,198.29,198.29,198.29,1,198.29
1788147000000,2026-08-31T03:30:00Z,198.3,198.71,198.3,198.71,224,44483.92
1788147240000,2026-08-31T03:34:00Z,198.45,198.45,198.45,198.45,44,8731.8
1788147420000,2026-08-31T03:37:00Z,198.69,198.73,198.69,198.73,120,23847.3
1788148020000,2026-08-31T03:47:00Z,198.07,198.07,198.07,198.07,100,19807
1788148320000,2026-08-31T03:52:00Z,198.81,198.81,198.18,198.18,11,2180.61
1788148860000,2026-08-31T04:01:00Z,198.17,198.17,198.17,198.17,1,198.17
1788149820000,2026-08-31T04:17:00Z,198.36,198.36,198.36,198.36,1,198.36
1788150120000,2026-08-31T04:22:00Z,198.36,198.36,198.36,198.36,7,1388.52
1788151320000,2026-08-31T04:42:00Z,198.5,198.5,198.5,198.5,4,794
1788151380000,2026-08-31T04:43:00Z,198.36,198.36,198.36,198.36,45,8926.2
1788153420000,2026-08-31T05:17:00Z,198.62,198.62,198.61,198.61,25,4965.35
1788154440000,2026-08-31T05:34:00Z,198.58,198.64,198.58,198.63,72,14298.86
1788154920000,2026-08-31T05:42:00Z,198.71,198.71,198.71,198.71,1,198.71
1788155700000,2026-08-31T05:55:00Z,198.39,198.39,198.21,198.21,2,396.6
1788156180000,2026-08-31T06:03:00Z,198.1,198.1,198.1,198.1,2,396.2
1788156300000,2026-08-31T06:05:00Z,198.09,198.09,198.09,198.09,4,792.36
1788158160000,2026-08-31T06:36:00Z,197.49,197.49,197.48,197.48,102,20143.46
1788159240000,2026-08-31T06:54:00Z,197.28,197.28,197.25,197.25,32,6312.36
1788160980000,2026-08-31T07:23:00Z,196.02,196.02,196.02,196.02,1,196.02
1788163140000,2026-08-31T07:59:00Z,193.74,193.74,193.74,193.74,0,0
1788163200000,2026-08-31T08:00:00Z,194.12,196.02,194.12,196.02,238.185638,46385.938443586
1788163260000,2026-08-31T08:01:00Z,196.02,196.02,196.02,196.02,241.015171,47243.79381942
1788163320000,2026-08-31T08:02:00Z,196.02,196.02,196.02,196.02,2,392.04
1788163380000,2026-08-31T08:03:00Z,196.02,196.02,196.02,196.02,0,0
1788163920000,2026-08-31T08:12:00Z,196.02,196.02,196.02,196.02,0,0
1788163980000,2026-08-31T08:13:00Z,196.02,196.02,196.02,196.02,0,0
1788165240000,2026-08-31T08:34:00Z,196.02,196.02,196.02,196.02,34,6664.68
1788166740000,2026-08-31T08:59:00Z,196.02,196.02,196.02,196.02,6,1176.12
1788166920000,2026-08-31T09:02:00Z,196.02,196.02,196.02,196.02,231,45280.62
1788167220000,2026-08-31T09:07:00Z,196.02,196.02,196.02,196.02,10,1960.2
