ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,103.08,103.33,103.04,103.09,318,32788.09
1788134460000,2026-08-31T00:01:00Z,103.1,103.1,103.06,103.07,373,38447.23
1788134520000,2026-08-31T00:02:00Z,103.07,103.09,103.05,103.05,161,16592.75
1788134580000,2026-08-31T00:03:00Z,103.05,103.05,103.05,103.05,67,6904.35
1788134640000,2026-08-31T00:04:00Z,103.06,103.06,103.02,103.02,447,46056.52
1788134700000,2026-08-31T00:05:00Z,103,103.03,102.99,103.03,372,38319.47
1788134760000,2026-08-31T00:06:00Z,103.03,103.07,103.02,103.05,339,34931.67
1788134820000,2026-08-31T00:07:00Z,103.02,103.02,103,103.01,153,15759.23
1788134880000,2026-08-31T00:08:00Z,102.99,102.99,102.92,102.92,763,78545.07
1788134940000,2026-08-31T00:09:00Z,102.92,102.95,102.92,102.94,315,32423.69
1788135000000,2026-08-31T00:10:00Z,102.95,102.95,102.93,102.94,340,34998.42
1788135060000,2026-08-31T00:11:00Z,102.98,102.98,102.97,102.97,4,411.9
1788135120000,2026-08-31T00:12:00Z,102.99,102.99,102.96,102.96,102,10504.24
1788135180000,2026-08-31T00:13:00Z,102.97,103,102.97,103,110,11326.98
1788135300000,2026-08-31T00:15:00Z,103.02,103.02,103.02,103.02,9,927.18
1788135360000,2026-08-31T00:16:00Z,103.01,103.01,103.01,103.01,9,927.09
1788135420000,2026-08-31T00:17:00Z,103.02,103.02,103.02,103.02,10,1030.2
1788135480000,2026-08-31T00:18:00Z,103.01,103.01,103,103,53,5459.01
1788135540000,2026-08-31T00:19:00Z,103,103.06,103,103.06,410,42247.77
1788135720000,2026-08-31T00:22:00Z,103.07,103.07,103.06,103.06,155,15975.82
1788135840000,2026-08-31T00:24:00Z,103.07,103.08,103.07,103.08,102,10514.14
1788135960000,2026-08-31T00:26:00Z,103.07,103.07,103.07,103.07,9,927.63
1788136020000,2026-08-31T00:27:00Z,103.05,103.09,103.05,103.07,194,19995.58
1788136260000,2026-08-31T00:31:00Z,103.07,103.07,103.07,103.07,10,1030.7
1788136320000,2026-08-31T00:32:00Z,103.08,103.09,103.08,103.08,297,30614.93
1788136380000,2026-08-31T00:33:00Z,103.09,103.09,103.09,103.09,7,721.63
1788136440000,2026-08-31T00:34:00Z,103.09,103.09,103.09,103.09,52,5360.68
1788136500000,2026-08-31T00:35:00Z,103.09,103.09,103.09,103.09,121,12473.89
1788136560000,2026-08-31T00:36:00Z,103.07,103.07,103.07,103.07,2,206.14
1788136680000,2026-08-31T00:38:00Z,103.1,103.1,103.1,103.1,1,103.1
1788136740000,2026-08-31T00:39:00Z,103.1,103.1,103.1,103.1,3,309.3
1788136860000,2026-08-31T00:41:00Z,103.1,103.11,103.1,103.11,99,10206.93
1788137040000,2026-08-31T00:44:00Z,103.11,103.11,103.11,103.11,1,103.11
1788137100000,2026-08-31T00:45:00Z,103.13,103.13,103.13,103.13,1,103.13
1788137160000,2026-08-31T00:46:00Z,103.12,103.12,103.12,103.12,100,10312
1788137220000,2026-08-31T00:47:00Z,103.14,103.15,103.14,103.15,109,11242.35
1788137280000,2026-08-31T00:48:00Z,103.19,103.19,103.19,103.19,10,1031.9
1788137400000,2026-08-31T00:50:00Z,103.26,103.26,103.26,103.26,9,929.34
1788137520000,2026-08-31T00:52:00Z,103.22,103.23,103.21,103.21,213,21984.95
1788137580000,2026-08-31T00:53:00Z,103.19,103.19,103.17,103.17,5,515.87
1788137640000,2026-08-31T00:54:00Z,103.19,103.19,103.11,103.16,174,17946.11
1788137700000,2026-08-31T00:55:00Z,103.14,103.17,103.14,103.15,212,21865.77
1788137760000,2026-08-31T00:56:00Z,103.15,103.15,103.15,103.15,4,412.6
1788138240000,2026-08-31T01:04:00Z,103.16,103.16,103.16,103.16,2,206.32
1788138360000,2026-08-31T01:06:00Z,103.17,103.17,103.16,103.16,14,1444.33
1788138480000,2026-08-31T01:08:00Z,103.18,103.18,103.15,103.15,210,21666.54
1788138540000,2026-08-31T01:09:00Z,103.16,103.16,103.16,103.16,37,3816.92
1788138600000,2026-08-31T01:10:00Z,103.16,103.16,103.16,103.16,2,206.32
1788138660000,2026-08-31T01:11:00Z,103.17,103.17,103.14,103.14,141,14543.01
1788138780000,2026-08-31T01:13:00Z,103.15,103.15,103.13,103.14,143,14748.85
1788138840000,2026-08-31T01:14:00Z,103.14,103.18,103.14,103.16,334,34455.42
1788139020000,2026-08-31T01:17:00Z,103.17,103.17,103.13,103.13,30,3094.43
1788139080000,2026-08-31T01:18:00Z,103.12,103.12,103.12,103.12,1,103.12
1788139140000,2026-08-31T01:19:00Z,103.12,103.12,103.11,103.11,130,13405.3
1788139260000,2026-08-31T01:21:00Z,103.12,103.12,103.12,103.12,349,35988.88
1788139380000,2026-08-31T01:23:00Z,103.12,103.12,103.12,103.12,120,12374.4
1788139440000,2026-08-31T01:24:00Z,103.12,103.12,103.12,103.12,2,206.24
1788139620000,2026-08-31T01:27:00Z,103.11,103.11,103.11,103.11,119,12270.09
1788139680000,2026-08-31T01:28:00Z,103.12,103.12,103.12,103.12,22,2268.64
1788139740000,2026-08-31T01:29:00Z,103.11,103.11,103.11,103.11,3,309.33
1788139920000,2026-08-31T01:32:00Z,103.11,103.11,103.11,103.11,30,3093.3
1788139980000,2026-08-31T01:33:00Z,103.11,103.11,103.11,103.11,29,2990.19
1788140040000,2026-08-31T01:34:00Z,103.12,103.12,103.12,103.12,2,206.24
1788140100000,2026-08-31T01:35:00Z,103.15,103.15,103.14,103.14,37,3816.19
1788140280000,2026-08-31T01:38:00Z,103.16,103.16,103.16,103.16,22,2269.52
1788140340000,2026-08-31T01:39:00Z,103.19,103.19,103.17,103.17,60,6191
1788140400000,2026-08-31T01:40:00Z,103.15,103.15,103.15,103.15,2,206.3
1788140460000,2026-08-31T01:41:00Z,103.18,103.18,103.18,103.18,6,619.08
1788140520000,2026-08-31T01:42:00Z,103.16,103.16,103.16,103.16,4,412.64
1788140580000,2026-08-31T01:43:00Z,103.16,103.16,103.16,103.16,1,103.16
1788140640000,2026-08-31T01:44:00Z,103.15,103.15,103.14,103.14,44,4538.43
1788140880000,2026-08-31T01:48:00Z,103.13,103.13,103.13,103.13,50,5156.5
1788140940000,2026-08-31T01:49:00Z,103.12,103.12,103.1,103.1,129,13300.3
1788141000000,2026-08-31T01:50:00Z,103.08,103.08,103.08,103.08,20,2061.6
1788141600000,2026-08-31T02:00:00Z,103.09,103.09,103.09,103.09,22,2267.98
1788141780000,2026-08-31T02:03:00Z,103.1,103.1,103.09,103.09,2,206.19
1788141900000,2026-08-31T02:05:00Z,103.07,103.07,103.07,103.07,141,14532.87
1788141960000,2026-08-31T02:06:00Z,103.04,103.04,103,103,521,53673.53
1788142080000,2026-08-31T02:08:00Z,103.03,103.03,103.03,103.03,48,4945.44
1788142140000,2026-08-31T02:09:00Z,103.02,103.02,103.02,103.02,5,515.1
1788142440000,2026-08-31T02:14:00Z,103,103.06,103,103.06,121,12463.78
1788142500000,2026-08-31T02:15:00Z,103.08,103.08,103.08,103.08,18,1855.44
1788142560000,2026-08-31T02:16:00Z,103.08,103.08,103.06,103.06,19,1958.34
1788142620000,2026-08-31T02:17:00Z,103.04,103.04,103.04,103.04,24,2472.96
1788142860000,2026-08-31T02:21:00Z,103.05,103.05,103.05,103.05,105,10820.25
1788142980000,2026-08-31T02:23:00Z,103.07,103.08,103.07,103.08,88,9070.96
1788143100000,2026-08-31T02:25:00Z,103.09,103.09,103.09,103.09,5,515.45
1788143520000,2026-08-31T02:32:00Z,103.08,103.08,103.05,103.07,180,18553.5
1788143820000,2026-08-31T02:37:00Z,103.07,103.08,103.07,103.08,72,7421.06
1788144060000,2026-08-31T02:41:00Z,103.13,103.13,103.13,103.13,1,103.13
1788144240000,2026-08-31T02:44:00Z,103.15,103.15,103.13,103.13,4,412.56
1788144300000,2026-08-31T02:45:00Z,103.15,103.15,103.13,103.13,2,206.28
1788144420000,2026-08-31T02:47:00Z,103.15,103.15,103.13,103.13,41,4228.51
1788144480000,2026-08-31T02:48:00Z,103.1,103.1,103.08,103.08,125,12887
1788144540000,2026-08-31T02:49:00Z,103.08,103.09,103.08,103.09,354,36493.81
1788144600000,2026-08-31T02:50:00Z,103.07,103.07,103.07,103.07,86,8864.02
1788144660000,2026-08-31T02:51:00Z,103.08,103.08,103.08,103.08,12,1236.96
1788144720000,2026-08-31T02:52:00Z,103.1,103.1,103.09,103.09,105,10825.45
1788144780000,2026-08-31T02:53:00Z,103.08,103.08,103.08,103.08,10,1030.8
1788144960000,2026-08-31T02:56:00Z,103.09,103.09,103.09,103.09,1,103.09
1788145320000,2026-08-31T03:02:00Z,103.09,103.09,103.08,103.08,14,1443.23
1788145380000,2026-08-31T03:03:00Z,103.08,103.08,103.08,103.08,12,1236.96
1788145440000,2026-08-31T03:04:00Z,103.08,103.08,103.07,103.07,6,618.46
1788145620000,2026-08-31T03:07:00Z,103.09,103.09,103.04,103.04,106,10923.44
1788145680000,2026-08-31T03:08:00Z,103.07,103.07,103.07,103.07,4,412.28
1788145800000,2026-08-31T03:10:00Z,103.06,103.06,103.06,103.06,3,309.18
1788145860000,2026-08-31T03:11:00Z,103.06,103.06,103.06,103.06,39,4019.34
1788146040000,2026-08-31T03:14:00Z,103.06,103.06,103.06,103.06,9,927.54
1788146100000,2026-08-31T03:15:00Z,103.07,103.07,103.07,103.07,1,103.07
1788146220000,2026-08-31T03:17:00Z,103.07,103.07,103.07,103.07,38,3916.66
1788146280000,2026-08-31T03:18:00Z,103.08,103.09,103.08,103.09,73,7524.87
1788146460000,2026-08-31T03:21:00Z,103.08,103.08,103.08,103.08,5,515.4
1788146520000,2026-08-31T03:22:00Z,103.08,103.08,103.08,103.08,4,412.32
1788146580000,2026-08-31T03:23:00Z,103.09,103.09,103.09,103.09,7,721.63
1788147000000,2026-08-31T03:30:00Z,103.04,103.08,103.04,103.08,101,10411.04
1788147780000,2026-08-31T03:43:00Z,103.07,103.07,103.07,103.07,11,1133.77
1788147840000,2026-08-31T03:44:00Z,103.07,103.07,103.07,103.07,1,103.07
1788148200000,2026-08-31T03:50:00Z,103.11,103.11,103.11,103.11,15,1546.65
1788148740000,2026-08-31T03:59:00Z,103.11,103.11,103.11,103.11,42,4330.62
1788148800000,2026-08-31T04:00:00Z,103.1,103.1,103.1,103.1,34,3505.4
1788148860000,2026-08-31T04:01:00Z,103.1,103.1,103.1,103.1,14,1443.4
1788149040000,2026-08-31T04:04:00Z,103.08,103.08,103.07,103.08,136,14018.84
1788149160000,2026-08-31T04:06:00Z,103.08,103.08,103.08,103.08,10,1030.8
1788149220000,2026-08-31T04:07:00Z,103.08,103.08,103.08,103.08,83,8555.64
1788149700000,2026-08-31T04:15:00Z,103.05,103.05,103.05,103.05,5,515.25
1788149760000,2026-08-31T04:16:00Z,103.07,103.07,103.07,103.07,1,103.07
1788150000000,2026-08-31T04:20:00Z,103.08,103.08,103.08,103.08,9,927.72
1788150360000,2026-08-31T04:26:00Z,103.09,103.09,103.09,103.09,10,1030.9
1788150480000,2026-08-31T04:28:00Z,103.09,103.09,103.07,103.07,19,1958.53
1788150600000,2026-08-31T04:30:00Z,103.07,103.07,103.07,103.07,1,103.07
1788150660000,2026-08-31T04:31:00Z,103.05,103.05,103.05,103.05,3,309.15
1788150780000,2026-08-31T04:33:00Z,103.05,103.05,103.05,103.05,20,2061
1788150960000,2026-08-31T04:36:00Z,103.05,103.06,103.04,103.06,134,13808.94
1788151020000,2026-08-31T04:37:00Z,103.06,103.06,103.06,103.06,9,927.54
1788151080000,2026-08-31T04:38:00Z,103.08,103.08,103.08,103.08,70,7215.6
1788151260000,2026-08-31T04:41:00Z,103.07,103.08,103.07,103.08,150,15461.3
1788151620000,2026-08-31T04:47:00Z,103.09,103.09,103.07,103.07,2,206.16
1788151800000,2026-08-31T04:50:00Z,103.09,103.09,103.09,103.09,1,103.09
1788151920000,2026-08-31T04:52:00Z,103.08,103.08,103.08,103.08,88,9071.04
1788152040000,2026-08-31T04:54:00Z,103.1,103.1,103.07,103.07,83,8555.09
1788152160000,2026-08-31T04:56:00Z,103.09,103.09,103.07,103.07,370,38136.78
1788152340000,2026-08-31T04:59:00Z,103.08,103.08,103.08,103.08,1,103.08
1788152400000,2026-08-31T05:00:00Z,103.08,103.08,103.08,103.08,4,412.32
1788152520000,2026-08-31T05:02:00Z,103.09,103.09,103.07,103.07,4,412.32
1788152580000,2026-08-31T05:03:00Z,103.07,103.07,103.03,103.03,40,4121.87
1788152640000,2026-08-31T05:04:00Z,103.03,103.03,103.03,103.03,52,5357.56
1788152700000,2026-08-31T05:05:00Z,103.03,103.03,103.03,103.03,12,1236.36
1788152820000,2026-08-31T05:07:00Z,103.03,103.03,103.02,103.02,12,1236.31
1788152880000,2026-08-31T05:08:00Z,103.02,103.02,103.02,103.02,10,1030.2
1788152940000,2026-08-31T05:09:00Z,103.02,103.02,103.01,103.01,29,2987.41
1788153000000,2026-08-31T05:10:00Z,103.03,103.03,103.01,103.01,50,5150.61
1788153120000,2026-08-31T05:12:00Z,103.02,103.02,103.02,103.02,1,103.02
1788153180000,2026-08-31T05:13:00Z,103.02,103.03,103.01,103.03,177,18233.56
1788153360000,2026-08-31T05:16:00Z,103.02,103.05,102.95,102.95,116,11946.69
