ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788134400000,2026-08-31T00:00:00Z,157.01,157.11,156.96,157.11,447,70192.46
1788134460000,2026-08-31T00:01:00Z,157.31,157.31,157.29,157.29,6,943.84
1788134520000,2026-08-31T00:02:00Z,157.31,157.45,157.31,157.45,21,3306.16
1788134580000,2026-08-31T00:03:00Z,157.46,157.61,157.46,157.61,78,12291.48
1788134640000,2026-08-31T00:04:00Z,157.62,157.62,157.62,157.62,119,18756.78
1788134700000,2026-08-31T00:05:00Z,157.68,157.68,157.62,157.62,10,1576.38
1788134760000,2026-08-31T00:06:00Z,157.62,157.62,157.62,157.62,2,315.24
1788134820000,2026-08-31T00:07:00Z,157.61,157.61,157.49,157.49,34,5357.54
1788134880000,2026-08-31T00:08:00Z,157.5,157.5,157.5,157.5,10,1575
1788135060000,2026-08-31T00:11:00Z,157.68,157.86,157.68,157.86,27,4260.78
1788135120000,2026-08-31T00:12:00Z,157.88,157.9,157.88,157.9,113,17841.12
1788135180000,2026-08-31T00:13:00Z,157.9,157.9,157.9,157.9,128,20211.2
1788135240000,2026-08-31T00:14:00Z,157.93,157.93,157.9,157.9,62,9791.42
1788135360000,2026-08-31T00:16:00Z,157.93,157.93,157.81,157.81,175,27619.96
1788135420000,2026-08-31T00:17:00Z,157.8,157.95,157.8,157.95,148,23363.1
1788135480000,2026-08-31T00:18:00Z,157.96,158.14,157.96,158.14,73,11532.59
1788135840000,2026-08-31T00:24:00Z,158.08,158.08,158.06,158.06,3,474.22
1788135960000,2026-08-31T00:26:00Z,158.02,158.14,158.02,158.14,442,69856.84
1788136020000,2026-08-31T00:27:00Z,158.08,158.08,158.08,158.08,1,158.08
1788136080000,2026-08-31T00:28:00Z,158.18,158.18,157.88,157.88,480,75838.79
1788136140000,2026-08-31T00:29:00Z,157.97,157.97,157.97,157.97,2,315.94
1788136200000,2026-08-31T00:30:00Z,158.04,158.04,158,158,155,24491.92
1788136320000,2026-08-31T00:32:00Z,157.89,158,157.86,158,338,53378.26
1788136380000,2026-08-31T00:33:00Z,157.86,157.86,157.86,157.86,6,947.16
1788136620000,2026-08-31T00:37:00Z,158.07,158.07,158.07,158.07,2,316.14
1788136680000,2026-08-31T00:38:00Z,158,158,157.89,157.89,171,27006.32
1788136740000,2026-08-31T00:39:00Z,157.89,157.9,157.89,157.89,56,8841.94
1788137340000,2026-08-31T00:49:00Z,157.99,158.01,157.99,158,17,2686.1
1788137520000,2026-08-31T00:52:00Z,158.06,158.13,158.02,158.09,28,4425.4
1788137580000,2026-08-31T00:53:00Z,158.03,158.03,157.97,157.98,64,10111.12
1788137640000,2026-08-31T00:54:00Z,158.03,158.03,158.03,158.03,1,158.03
1788137880000,2026-08-31T00:58:00Z,158.13,158.14,158.13,158.14,230,36370.48
1788137940000,2026-08-31T00:59:00Z,158.13,158.14,158.13,158.14,100,15813.88
1788138000000,2026-08-31T01:00:00Z,158.03,158.03,158.03,158.03,1,158.03
1788138060000,2026-08-31T01:01:00Z,158.15,158.19,158.15,158.19,254,40172.08
1788138120000,2026-08-31T01:02:00Z,158.3,158.3,158.3,158.3,5,791.5
1788138300000,2026-08-31T01:05:00Z,158.24,158.4,158.24,158.4,157,24866.37
1788138360000,2026-08-31T01:06:00Z,158.33,158.39,158.33,158.39,45,7127.19
1788138480000,2026-08-31T01:08:00Z,158.31,158.37,158.31,158.37,100,15836.64
1788138540000,2026-08-31T01:09:00Z,158.37,158.37,158.37,158.37,14,2217.18
1788138660000,2026-08-31T01:11:00Z,158.24,158.24,158.24,158.24,1,158.24
1788138780000,2026-08-31T01:13:00Z,158.35,158.41,158.35,158.41,51,8078.53
1788139140000,2026-08-31T01:19:00Z,158.38,158.44,158.34,158.34,53,8392.2
1788139320000,2026-08-31T01:22:00Z,158.35,158.35,158.3,158.3,208,32930.14
1788139500000,2026-08-31T01:25:00Z,158.38,158.69,158.38,158.69,599,94960.19
1788139560000,2026-08-31T01:26:00Z,158.53,158.53,158.53,158.53,3,475.59
1788139680000,2026-08-31T01:28:00Z,158.55,158.55,158.52,158.52,62,9829.83
1788139740000,2026-08-31T01:29:00Z,158.49,158.49,158.49,158.49,1,158.49
1788139860000,2026-08-31T01:31:00Z,158.47,158.52,158.47,158.52,11,1743.67
1788139920000,2026-08-31T01:32:00Z,158.47,158.52,158.47,158.52,20,3170.1
1788139980000,2026-08-31T01:33:00Z,158.47,158.47,158.47,158.47,4,633.88
1788140100000,2026-08-31T01:35:00Z,158.47,158.51,158.47,158.51,95,15058.21
1788140160000,2026-08-31T01:36:00Z,158.47,158.47,158.38,158.43,160,25353.05
1788140220000,2026-08-31T01:37:00Z,158.54,158.54,158.54,158.54,10,1585.4
1788140340000,2026-08-31T01:39:00Z,158.54,158.6,158.54,158.6,12,1902.8
1788140520000,2026-08-31T01:42:00Z,158.52,158.66,158.52,158.66,26,4123.6
1788140580000,2026-08-31T01:43:00Z,158.6,158.68,158.6,158.68,50,7932.85
1788140640000,2026-08-31T01:44:00Z,158.69,159.39,158.69,158.92,692,109968.68
1788140760000,2026-08-31T01:46:00Z,159.03,159.03,158.92,158.92,14,2225.87
1788140820000,2026-08-31T01:47:00Z,158.52,158.52,158.52,158.52,8,1268.16
1788140880000,2026-08-31T01:48:00Z,158.74,158.74,158.74,158.74,10,1587.4
1788141120000,2026-08-31T01:52:00Z,158.83,158.83,158.81,158.81,5,794.09
1788141600000,2026-08-31T02:00:00Z,159,159,159,159,22,3498
1788141780000,2026-08-31T02:03:00Z,159,159,159,159,2,318
1788141840000,2026-08-31T02:04:00Z,158.94,158.95,158.94,158.95,100,15894.94
1788141900000,2026-08-31T02:05:00Z,158.94,158.99,158.94,158.99,100,15898.7
1788142020000,2026-08-31T02:07:00Z,158.94,158.99,158.87,158.9,317,50379.44
1788142080000,2026-08-31T02:08:00Z,158.82,158.82,158.8,158.81,122,19375.69
1788142200000,2026-08-31T02:10:00Z,158.81,158.84,158.81,158.84,11,1747.09
1788142260000,2026-08-31T02:11:00Z,158.86,158.94,158.86,158.94,183,29077.94
1788142320000,2026-08-31T02:12:00Z,158.93,158.98,158.93,158.98,19,3020.32
1788142380000,2026-08-31T02:13:00Z,158.95,158.97,158.95,158.97,10,1589.58
1788142560000,2026-08-31T02:16:00Z,158.92,158.93,158.92,158.93,18,2860.68
1788142620000,2026-08-31T02:17:00Z,158.92,158.92,158.82,158.82,44,6992.28
1788142680000,2026-08-31T02:18:00Z,158.82,158.82,158.82,158.82,50,7941
1788142800000,2026-08-31T02:20:00Z,158.9,158.96,158.9,158.96,182,28929.36
1788143040000,2026-08-31T02:24:00Z,158.9,158.9,158.8,158.8,272,43193.92
1788143100000,2026-08-31T02:25:00Z,158.87,158.91,158.76,158.76,276,43829.68
1788143160000,2026-08-31T02:26:00Z,158.76,158.76,158.47,158.56,40,6342.39
1788143220000,2026-08-31T02:27:00Z,158.58,158.58,158.57,158.57,381,60415.48
1788143400000,2026-08-31T02:30:00Z,158.55,158.55,158.55,158.55,33,5232.15
1788143460000,2026-08-31T02:31:00Z,158.76,158.87,158.76,158.87,118,18743.25
1788143520000,2026-08-31T02:32:00Z,158.84,158.84,158.84,158.84,5,794.2
1788143760000,2026-08-31T02:36:00Z,158.8,158.87,158.8,158.87,81,12867.85
1788143820000,2026-08-31T02:37:00Z,158.83,158.87,158.83,158.87,69,10961.79
1788143880000,2026-08-31T02:38:00Z,158.84,158.88,158.84,158.88,69,10962.48
1788143940000,2026-08-31T02:39:00Z,158.82,158.86,158.82,158.86,100,15885.76
1788144060000,2026-08-31T02:41:00Z,158.78,158.85,158.78,158.85,12,1905.78
1788144120000,2026-08-31T02:42:00Z,158.78,158.85,158.78,158.85,12,1905.78
1788144180000,2026-08-31T02:43:00Z,158.78,158.85,158.78,158.85,14,2223.48
1788144240000,2026-08-31T02:44:00Z,158.86,158.86,158.86,158.86,41,6513.26
1788144300000,2026-08-31T02:45:00Z,158.9,158.9,158.9,158.9,1,158.9
