ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,129,129.6,128.65,129.6,16.56,2136.4921
1786549500000,2026-08-12T15:45:00Z,129.6,129.71,129.56,129.68,12.77,1655.2887
1786549800000,2026-08-12T15:50:00Z,129.68,130.03,129.29,129.47,22.91,2976.3247
1786550100000,2026-08-12T15:55:00Z,129.47,130.4,129.31,130.12,86.14,11201.6235
1786550400000,2026-08-12T16:00:00Z,130.12,131.45,130.12,131.39,97.3,12680.6915
1786550700000,2026-08-12T16:05:00Z,131.39,132.04,131.12,131.12,18.62,2449.9134
1786551000000,2026-08-12T16:10:00Z,131.12,131.59,130.51,130.68,3.11,408.2853
1786551300000,2026-08-12T16:15:00Z,130.68,131.34,130.68,131.34,25.26,3313.2126
1786551600000,2026-08-12T16:20:00Z,131.34,132.15,131.34,132.15,0.22,29.073
1786551900000,2026-08-12T16:25:00Z,132.15,132.2,131.58,131.58,18.06,2385.8555
1786552200000,2026-08-12T16:30:00Z,131.58,132.23,130.22,131.3,36.86,4841.6878
1786552500000,2026-08-12T16:35:00Z,131.3,131.43,129.14,130.39,140.18,18254.9574
1786552800000,2026-08-12T16:40:00Z,130.39,131.29,130.34,130.88,49.85,6505.1058
1786553100000,2026-08-12T16:45:00Z,130.88,130.88,130.42,130.42,0.41,53.4722
1786553400000,2026-08-12T16:50:00Z,130.42,130.56,130.42,130.56,0.34,44.3904
1786553700000,2026-08-12T16:55:00Z,130.56,131.96,130.51,130.51,66.6,8782.2618
1786554000000,2026-08-12T17:00:00Z,130.51,130.9,130.51,130.9,0.81,105.889
1786554300000,2026-08-12T17:05:00Z,130.9,130.9,130.4,130.4,2.97,387.8314
1786554600000,2026-08-12T17:10:00Z,130.4,130.47,130.06,130.06,0.45,58.5475
1786554900000,2026-08-12T17:15:00Z,130.06,130.06,129.8,129.8,0.6,77.88
1786555200000,2026-08-12T17:20:00Z,129.8,130.43,129.8,130.43,3.33,433.3916
1786555500000,2026-08-12T17:25:00Z,130.43,130.43,129.9,129.9,0.67,87.0526
1786555800000,2026-08-12T17:30:00Z,129.9,130.32,129.75,130.32,8.69,1131.3717
1786556100000,2026-08-12T17:35:00Z,130.32,130.83,130.32,130.56,1.88,245.6148
1786556400000,2026-08-12T17:40:00Z,130.56,130.99,130.56,130.99,1.28,167.273
1786556700000,2026-08-12T17:45:00Z,130.99,131.22,130.99,131.22,0.07,9.1854
1786557000000,2026-08-12T17:50:00Z,131.22,131.72,131.22,131.72,1.26,165.6925
1786557300000,2026-08-12T17:55:00Z,131.72,132.28,131.72,132.28,1.42,187.1824
1786557600000,2026-08-12T18:00:00Z,132.28,132.73,132.28,132.73,0.91,120.7843
1786557900000,2026-08-12T18:05:00Z,132.73,132.73,132.36,132.36,0.01,1.3236
1786558200000,2026-08-12T18:10:00Z,132.36,132.39,131.44,131.44,30.76,4059.9669
1786558500000,2026-08-12T18:15:00Z,131.44,131.49,131.44,131.49,0.65,85.4685
1786558800000,2026-08-12T18:20:00Z,131.49,131.68,131.11,131.11,0.16,21.018
1786559100000,2026-08-12T18:25:00Z,131.11,131.11,131.11,131.11,0,0
1786559400000,2026-08-12T18:30:00Z,131.11,131.11,130.66,130.66,5.16,674.4504
1786559700000,2026-08-12T18:35:00Z,130.66,130.78,130.66,130.78,2.88,376.6464
1786560000000,2026-08-12T18:40:00Z,130.78,130.78,130.78,130.78,0,0
1786560300000,2026-08-12T18:45:00Z,130.78,130.78,130.28,130.28,4,521.2451
1786560600000,2026-08-12T18:50:00Z,130.28,130.88,130.28,130.88,4.08,533.3496
1786560900000,2026-08-12T18:55:00Z,130.88,130.88,130.88,130.88,0,0
1786561200000,2026-08-12T19:00:00Z,130.88,130.88,130.59,130.59,0.42,54.8919
1786561500000,2026-08-12T19:05:00Z,130.59,130.92,130.59,130.92,0.37,48.4404
1786561800000,2026-08-12T19:10:00Z,130.92,130.92,130.13,130.46,18.12,2368.4174
1786562100000,2026-08-12T19:15:00Z,130.46,130.91,130.46,130.91,1.92,250.7059
1786562400000,2026-08-12T19:20:00Z,130.91,130.91,129.06,129.61,187,24283.6651
1786562700000,2026-08-12T19:25:00Z,129.61,129.67,129.39,129.67,18.78,2433.2052
1786563000000,2026-08-12T19:30:00Z,129.67,129.71,128.76,129.04,5.53,712.5598
