ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,334.47,334.47,333.64,333.64,9.44,3149.5706
1786549500000,2026-08-12T15:45:00Z,333.64,333.64,333.64,333.64,0,0
1786549800000,2026-08-12T15:50:00Z,333.64,335.63,333.64,334.75,0.18,60.3342
1786550100000,2026-08-12T15:55:00Z,334.75,334.91,334.75,334.91,0.03,10.0473
1786550400000,2026-08-12T16:00:00Z,334.91,334.91,334.91,334.91,0,0
1786550700000,2026-08-12T16:05:00Z,334.91,334.91,334.91,334.91,0,0
1786551000000,2026-08-12T16:10:00Z,334.91,336.54,334.91,336.54,0.22,73.9807
1786551300000,2026-08-12T16:15:00Z,336.54,336.54,336.54,336.54,0,0
1786551600000,2026-08-12T16:20:00Z,336.54,336.54,335.15,335.15,0.6,201.09
1786551900000,2026-08-12T16:25:00Z,335.15,335.15,335.15,335.15,0,0
1786552200000,2026-08-12T16:30:00Z,335.15,335.15,335.15,335.15,0,0
1786552500000,2026-08-12T16:35:00Z,335.15,335.15,335.15,335.15,0,0
1786552800000,2026-08-12T16:40:00Z,335.15,335.15,335.15,335.15,0,0
1786553100000,2026-08-12T16:45:00Z,335.15,335.15,333.49,333.49,1.86,620.3692
1786553400000,2026-08-12T16:50:00Z,333.49,333.8,332.99,333.8,0.22,73.3469
1786553700000,2026-08-12T16:55:00Z,333.8,333.8,332.74,332.74,0.03,9.9822
1786554000000,2026-08-12T17:00:00Z,332.74,332.74,332.56,332.56,0.02,6.6512
1786554300000,2026-08-12T17:05:00Z,332.56,333.01,331.79,333.01,0.08,26.592
1786554600000,2026-08-12T17:10:00Z,333.01,333.01,333.01,333.01,0,0
1786554900000,2026-08-12T17:15:00Z,333.01,333.01,330.81,330.81,0.22,72.8118
1786555200000,2026-08-12T17:20:00Z,330.81,330.81,330.81,330.81,0,0
1786555500000,2026-08-12T17:25:00Z,330.81,330.81,330.81,330.81,0,0
1786555800000,2026-08-12T17:30:00Z,330.81,332.99,330.81,332.99,0.11,36.6289
1786556100000,2026-08-12T17:35:00Z,332.99,332.99,331.95,331.95,0.06,19.917
1786556400000,2026-08-12T17:40:00Z,331.95,331.95,331.95,331.95,0,0
1786556700000,2026-08-12T17:45:00Z,331.95,334.82,331.95,334.82,0.14,46.8748
1786557000000,2026-08-12T17:50:00Z,334.82,334.82,334.82,334.82,0,0
1786557300000,2026-08-12T17:55:00Z,334.82,334.82,334.82,334.82,0,0
1786557600000,2026-08-12T18:00:00Z,334.82,335.13,334.82,335.13,0.05,16.7565
1786557900000,2026-08-12T18:05:00Z,335.13,335.13,334.51,334.51,0.06,20.0706
1786558200000,2026-08-12T18:10:00Z,334.51,334.51,333.58,333.58,0.2,66.797
1786558500000,2026-08-12T18:15:00Z,333.58,333.58,333.58,333.58,0,0
1786558800000,2026-08-12T18:20:00Z,333.58,333.59,333.58,333.58,3.9,1300.9635
1786559100000,2026-08-12T18:25:00Z,333.58,333.58,332.52,332.52,1.85,615.1861
1786559400000,2026-08-12T18:30:00Z,332.52,332.52,332.52,332.52,0,0
1786559700000,2026-08-12T18:35:00Z,332.52,333.81,332.25,332.25,0.16,53.255
1786560000000,2026-08-12T18:40:00Z,332.25,332.25,332.25,332.25,0,0
1786560300000,2026-08-12T18:45:00Z,332.25,332.25,332.2,332.2,0.11,36.542
1786560600000,2026-08-12T18:50:00Z,332.2,332.2,332.2,332.2,0,0
1786560900000,2026-08-12T18:55:00Z,332.2,332.2,332.2,332.2,0,0
1786561200000,2026-08-12T19:00:00Z,332.2,332.2,330.16,330.16,0.22,72.6863
1786561500000,2026-08-12T19:05:00Z,330.16,330.55,330.16,330.55,0.09,29.7495
1786561800000,2026-08-12T19:10:00Z,330.55,330.55,329.41,329.41,0.35,115.4219
1786562100000,2026-08-12T19:15:00Z,329.41,329.41,329.41,329.41,0,0
1786562400000,2026-08-12T19:20:00Z,329.41,329.41,329.25,329.25,0.04,13.17
1786562700000,2026-08-12T19:25:00Z,329.25,329.25,329.25,329.25,0,0
1786563000000,2026-08-12T19:30:00Z,329.25,329.25,327.85,328.09,0.64,209.9287
1786563300000,2026-08-12T19:35:00Z,328.09,328.09,328.09,328.09,0,0
1786563600000,2026-08-12T19:40:00Z,328.09,328.09,327.28,327.28,0.03,9.8184
1786563900000,2026-08-12T19:45:00Z,327.28,328.62,327.28,328.62,0.14,45.9263
1786564200000,2026-08-12T19:50:00Z,328.62,328.62,326.76,326.76,0.3,98.1885
1786564500000,2026-08-12T19:55:00Z,326.76,326.76,319.28,319.55,114.18,36895.0122
1786564800000,2026-08-12T20:00:00Z,319.55,320.48,317.14,319.63,6.33,2023.2062
1786565100000,2026-08-12T20:05:00Z,319.63,319.93,319.63,319.93,0.15,47.9895
1786565400000,2026-08-12T20:10:00Z,319.93,319.93,319.93,319.93,0,0
1786565700000,2026-08-12T20:15:00Z,319.93,319.93,318.05,318.05,0.05,15.9025
1786566000000,2026-08-12T20:20:00Z,318.05,320.13,317.71,318.49,0.5,159.3385
1786566300000,2026-08-12T20:25:00Z,318.49,318.49,318.49,318.49,0,0
1786566600000,2026-08-12T20:30:00Z,318.49,318.62,318.49,318.62,0.15,47.793
1786566900000,2026-08-12T20:35:00Z,318.62,318.62,318.62,318.62,0,0
1786567200000,2026-08-12T20:40:00Z,318.62,318.62,318.62,318.62,0,0
1786567500000,2026-08-12T20:45:00Z,318.62,318.62,318.62,318.62,0,0
1786567800000,2026-08-12T20:50:00Z,318.62,319.3,318.62,319.3,0.06,19.158
1786568100000,2026-08-12T20:55:00Z,319.3,319.3,319.09,319.09,0.05,15.9545
1786568400000,2026-08-12T21:00:00Z,319.09,319.15,317.23,317.23,0.24,76.3656
1786568700000,2026-08-12T21:05:00Z,317.23,318.55,317.23,318.55,0.06,19.113
1786569000000,2026-08-12T21:10:00Z,318.55,318.55,318.55,318.55,0,0
1786569300000,2026-08-12T21:15:00Z,318.55,318.55,318.55,318.55,0,0
1786569600000,2026-08-12T21:20:00Z,318.55,319.66,318.55,318.57,0.2,63.823
1786569900000,2026-08-12T21:25:00Z,318.57,318.57,318.57,318.57,0,0
1786570200000,2026-08-12T21:30:00Z,318.57,320.09,318.57,320.09,1.24,396.9116
1786570500000,2026-08-12T21:35:00Z,320.09,320.09,319.18,319.18,21.2,6782.3728
1786570800000,2026-08-12T21:40:00Z,319.18,319.33,319.18,319.33,4.91,1567.5443
1786571100000,2026-08-12T21:45:00Z,319.33,319.33,319.33,319.33,0,0
1786571400000,2026-08-12T21:50:00Z,319.33,319.33,319.33,319.33,0,0
1786571700000,2026-08-12T21:55:00Z,319.33,321.16,319.33,321.16,0.12,38.5392
