ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786548600000,2026-08-12T15:30:00Z,56.64,56.66,56.53,56.53,60.29,3408.2496
1786548900000,2026-08-12T15:35:00Z,56.53,56.53,56.53,56.53,0,0
1786549200000,2026-08-12T15:40:00Z,56.53,56.53,56.53,56.53,0,0
1786549500000,2026-08-12T15:45:00Z,56.53,56.53,56.53,56.53,0,0
1786549800000,2026-08-12T15:50:00Z,56.53,56.53,56.4,56.4,2.88,162.442
1786550100000,2026-08-12T15:55:00Z,56.4,56.47,56.4,56.47,0.87,49.1289
1786550400000,2026-08-12T16:00:00Z,56.47,56.47,56.47,56.47,0,0
1786550700000,2026-08-12T16:05:00Z,56.47,56.8,56.47,56.8,1.41,80.062
1786551000000,2026-08-12T16:10:00Z,56.8,56.8,56.8,56.8,0,0
1786551300000,2026-08-12T16:15:00Z,56.8,56.86,56.8,56.86,23.88,1357.4298
1786551600000,2026-08-12T16:20:00Z,56.86,57.02,56.86,57.02,61.46,3504.0193
1786551900000,2026-08-12T16:25:00Z,57.02,57.02,57.02,57.02,0,0
1786552200000,2026-08-12T16:30:00Z,57.02,57.02,57.02,57.02,0,0
1786552500000,2026-08-12T16:35:00Z,57.02,57.02,56.78,56.85,3.57,202.8036
1786552800000,2026-08-12T16:40:00Z,56.85,56.85,56.85,56.85,0,0
1786553100000,2026-08-12T16:45:00Z,56.85,56.89,56.85,56.89,0.89,50.6321
1786553400000,2026-08-12T16:50:00Z,56.89,56.9,56.85,56.85,2.68,152.4381
1786553700000,2026-08-12T16:55:00Z,56.85,56.85,56.85,56.85,0,0
1786554000000,2026-08-12T17:00:00Z,56.85,56.92,56.85,56.92,0.35,19.922
1786554300000,2026-08-12T17:05:00Z,56.92,56.92,56.89,56.89,2.66,151.3627
1786554600000,2026-08-12T17:10:00Z,56.89,56.89,56.89,56.89,0,0
1786554900000,2026-08-12T17:15:00Z,56.89,56.89,56.89,56.89,0,0
1786555200000,2026-08-12T17:20:00Z,56.89,56.89,56.89,56.89,0,0
1786555500000,2026-08-12T17:25:00Z,56.89,56.89,56.89,56.89,0,0
1786555800000,2026-08-12T17:30:00Z,56.89,56.89,56.89,56.89,0,0
1786556100000,2026-08-12T17:35:00Z,56.89,57.03,56.89,57.03,1.71,97.5213
1786556400000,2026-08-12T17:40:00Z,57.03,57.03,57.01,57.01,1.86,106.0386
1786556700000,2026-08-12T17:45:00Z,57.01,57.01,56.9,56.9,4.61,262.431
1786557000000,2026-08-12T17:50:00Z,56.9,56.9,56.73,56.73,0.34,19.2882
1786557300000,2026-08-12T17:55:00Z,56.73,56.73,56.68,56.68,1.87,105.9916
1786557600000,2026-08-12T18:00:00Z,56.68,56.68,56.55,56.57,3.26,184.4677
1786557900000,2026-08-12T18:05:00Z,56.57,56.58,56.52,56.52,2.65,149.8747
1786558200000,2026-08-12T18:10:00Z,56.52,56.67,56.52,56.67,0.16,9.0672
