ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,8.566,8.571,8.566,8.571,222.5,1906.7671
1786549500000,2026-08-12T15:45:00Z,8.571,8.571,8.571,8.571,0,0
1786549800000,2026-08-12T15:50:00Z,8.571,8.571,8.571,8.571,0,0
1786550100000,2026-08-12T15:55:00Z,8.571,8.571,8.571,8.571,0,0
1786550400000,2026-08-12T16:00:00Z,8.571,8.571,8.557,8.568,4.71,40.30391
1786550700000,2026-08-12T16:05:00Z,8.568,8.568,8.568,8.568,0,0
1786551000000,2026-08-12T16:10:00Z,8.568,8.568,8.568,8.568,0,0
1786551300000,2026-08-12T16:15:00Z,8.568,8.568,8.568,8.568,0,0
1786551600000,2026-08-12T16:20:00Z,8.568,8.568,8.568,8.568,0,0
1786551900000,2026-08-12T16:25:00Z,8.568,8.568,8.568,8.568,0,0
1786552200000,2026-08-12T16:30:00Z,8.568,8.575,8.568,8.575,4.25,36.44375
1786552500000,2026-08-12T16:35:00Z,8.575,8.575,8.575,8.575,0,0
1786552800000,2026-08-12T16:40:00Z,8.575,8.575,8.575,8.575,0,0
1786553100000,2026-08-12T16:45:00Z,8.575,8.575,8.575,8.575,0,0
1786553400000,2026-08-12T16:50:00Z,8.575,8.575,8.575,8.575,0,0
1786553700000,2026-08-12T16:55:00Z,8.575,8.575,8.574,8.574,3.72,31.89528
1786554000000,2026-08-12T17:00:00Z,8.574,8.574,8.574,8.574,0,0
1786554300000,2026-08-12T17:05:00Z,8.574,8.574,8.574,8.574,0,0
1786554600000,2026-08-12T17:10:00Z,8.574,8.574,8.574,8.574,0,0
1786554900000,2026-08-12T17:15:00Z,8.574,8.579,8.574,8.579,3.13,26.85227
1786555200000,2026-08-12T17:20:00Z,8.579,8.579,8.568,8.568,1.7,14.5656
1786555500000,2026-08-12T17:25:00Z,8.568,8.568,8.568,8.568,0,0
1786555800000,2026-08-12T17:30:00Z,8.568,8.568,8.568,8.568,0,0
1786556100000,2026-08-12T17:35:00Z,8.568,8.578,8.568,8.578,2.81,24.10418
