ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,255.83,257.19,255.46,257.19,204.13,52397.834
1786549500000,2026-08-12T15:45:00Z,257.19,257.72,256.52,257.32,47.15,12112.2698
1786549800000,2026-08-12T15:50:00Z,257.32,257.32,256.68,256.83,5.76,1479.1506
1786550100000,2026-08-12T15:55:00Z,256.83,258.7,256.83,257.99,51.3,13236.517
1786550400000,2026-08-12T16:00:00Z,257.99,260.24,257.89,260.2,249.21,64413.9295
1786550700000,2026-08-12T16:05:00Z,260.2,263.13,260.2,261.17,120.38,31470.9942
1786551000000,2026-08-12T16:10:00Z,261.17,261.44,258.73,258.78,77.14,20052.871
1786551300000,2026-08-12T16:15:00Z,258.78,260.72,258.54,260.72,74.47,19292.2157
1786551600000,2026-08-12T16:20:00Z,260.72,260.95,260.02,260.35,36.97,9628.5453
1786551900000,2026-08-12T16:25:00Z,260.35,261.19,259.53,259.53,29.25,7630.1267
1786552200000,2026-08-12T16:30:00Z,259.53,260.05,259.3,259.63,66.79,17346.1985
1786552500000,2026-08-12T16:35:00Z,259.63,259.64,258.61,259.02,134.08,34729.9712
1786552800000,2026-08-12T16:40:00Z,259.02,259.18,258.81,258.95,24.54,6353.4936
1786553100000,2026-08-12T16:45:00Z,258.95,259.68,258.57,258.57,16.93,4385.3398
1786553400000,2026-08-12T16:50:00Z,258.57,259.09,257.69,258.81,42.71,11042.162
1786553700000,2026-08-12T16:55:00Z,258.81,260.98,258.47,260.05,110.16,28613.6852
1786554000000,2026-08-12T17:00:00Z,260.05,260.37,259.53,259.77,54,14028.7989
1786554300000,2026-08-12T17:05:00Z,259.77,259.88,259.53,259.79,1.82,472.7607
1786554600000,2026-08-12T17:10:00Z,259.79,259.79,258.15,258.84,35.06,9065.8098
1786554900000,2026-08-12T17:15:00Z,258.84,259.24,257.59,259.24,122.29,31612.9831
1786555200000,2026-08-12T17:20:00Z,259.24,261.45,258.17,261.43,1094.64,285025.8039
1786555500000,2026-08-12T17:25:00Z,261.43,261.5,260.22,261.38,1313.34,343238.8558
1786555800000,2026-08-12T17:30:00Z,261.38,262.7,261.38,261.58,643.7,168825.9122
1786556100000,2026-08-12T17:35:00Z,261.58,262.81,260.92,262.79,265.26,69688.7893
1786556400000,2026-08-12T17:40:00Z,262.79,265.13,262.37,264.64,636.22,167701.4028
1786556700000,2026-08-12T17:45:00Z,264.64,265.42,264.09,264.3,31.22,8262.8422
1786557000000,2026-08-12T17:50:00Z,264.3,264.37,263.16,263.56,159.85,42113.6309
1786557300000,2026-08-12T17:55:00Z,263.56,264.33,262.29,263.03,239.33,63034.2489
1786557600000,2026-08-12T18:00:00Z,263.03,263.27,262.51,262.92,21.34,5610.3561
1786557900000,2026-08-12T18:05:00Z,262.92,263.62,262.04,262.96,409.73,107714.3276
1786558200000,2026-08-12T18:10:00Z,262.96,263.52,261.72,261.8,157.8,41568.1899
1786558500000,2026-08-12T18:15:00Z,261.8,262.41,261.43,261.58,1945.5,509017.9892
1786558800000,2026-08-12T18:20:00Z,261.58,263.44,261.55,262.98,1218.05,319663.6131
1786559100000,2026-08-12T18:25:00Z,262.98,263.6,262.83,262.95,1125.64,296033.4152
1786559400000,2026-08-12T18:30:00Z,262.95,263.5,262.53,262.53,1067.08,280765.1293
1786559700000,2026-08-12T18:35:00Z,262.53,263.35,262.27,262.47,365.61,96212.5321
1786560000000,2026-08-12T18:40:00Z,262.47,263.74,262.47,263.36,505.63,133260.2394
1786560300000,2026-08-12T18:45:00Z,263.36,263.49,262.79,262.88,1142.26,300503.2973
1786560600000,2026-08-12T18:50:00Z,262.88,263.5,262.88,263.15,5.42,1426.663
1786560900000,2026-08-12T18:55:00Z,263.15,263.15,262.06,262.62,42.18,11069.0766
1786561200000,2026-08-12T19:00:00Z,262.62,262.83,259.8,261.3,94.01,24557.6881
1786561500000,2026-08-12T19:05:00Z,261.3,262.65,261.18,262.16,97.84,25656.7937
1786561800000,2026-08-12T19:10:00Z,262.16,262.16,260.79,261.54,18.42,4813.1078
1786562100000,2026-08-12T19:15:00Z,261.54,261.95,261.43,261.69,405.95,106242.4722
1786562400000,2026-08-12T19:20:00Z,261.69,261.83,261.41,261.68,2.06,538.749
1786562700000,2026-08-12T19:25:00Z,261.68,262.25,259.24,260.13,626.3,163386.6209
1786563000000,2026-08-12T19:30:00Z,260.13,261.59,260.13,261.07,66.97,17489.5793
1786563300000,2026-08-12T19:35:00Z,261.07,263.58,260.79,263.37,1123.71,294726.5755
1786563600000,2026-08-12T19:40:00Z,263.37,264.29,262.91,263.5,900.62,237313.6006
1786563900000,2026-08-12T19:45:00Z,263.5,264.74,263.22,264.44,498.84,131765.4318
