ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,69.44,69.83,69.34,69.66,1069.3,74317.3835
1786549500000,2026-08-12T15:45:00Z,69.66,69.7,69.32,69.4,862.3,59966.6155
1786549800000,2026-08-12T15:50:00Z,69.4,69.57,69.39,69.46,481.81,33474.3017
1786550100000,2026-08-12T15:55:00Z,69.46,69.55,69.43,69.51,176.92,12294.846
1786550400000,2026-08-12T16:00:00Z,69.51,69.91,69.51,69.9,1139.9,79561.5325
1786550700000,2026-08-12T16:05:00Z,69.9,69.96,69.67,69.72,794.44,55483.8745
1786551000000,2026-08-12T16:10:00Z,69.72,69.78,69.59,69.67,776.36,54084.0557
1786551300000,2026-08-12T16:15:00Z,69.67,69.76,69.57,69.76,285.35,19876.6918
1786551600000,2026-08-12T16:20:00Z,69.76,69.92,69.75,69.84,143.2,10000.3775
1786551900000,2026-08-12T16:25:00Z,69.84,69.9,69.62,69.73,1033.94,72098.8393
1786552200000,2026-08-12T16:30:00Z,69.73,69.89,69.73,69.76,138.29,9653.9303
1786552500000,2026-08-12T16:35:00Z,69.76,70.02,69.72,69.72,248.28,17349.6493
1786552800000,2026-08-12T16:40:00Z,69.72,69.76,69.63,69.68,156.44,10903.3991
1786553100000,2026-08-12T16:45:00Z,69.68,69.96,69.67,69.93,540.45,37749.9636
1786553400000,2026-08-12T16:50:00Z,69.93,70.04,69.84,69.94,315.3,22046.8765
1786553700000,2026-08-12T16:55:00Z,69.94,70.17,69.94,70.13,434.06,30422.8477
1786554000000,2026-08-12T17:00:00Z,70.13,70.22,70.08,70.13,121.25,8503.7131
1786554300000,2026-08-12T17:05:00Z,70.13,70.17,70.07,70.09,164.91,11562.6908
1786554600000,2026-08-12T17:10:00Z,70.09,70.34,70.09,70.29,815.43,57318.7589
1786554900000,2026-08-12T17:15:00Z,70.29,70.64,70.26,70.56,892.33,62869.5863
1786555200000,2026-08-12T17:20:00Z,70.56,70.68,70.51,70.63,593.79,41911.5503
1786555500000,2026-08-12T17:25:00Z,70.63,70.63,70.46,70.5,172.04,12136.0302
1786555800000,2026-08-12T17:30:00Z,70.5,70.88,70.5,70.81,926.91,65566.4591
1786556100000,2026-08-12T17:35:00Z,70.81,70.85,70.65,70.65,409.9,29012.2779
1786556400000,2026-08-12T17:40:00Z,70.65,70.74,70.55,70.59,505.17,35677.63
1786556700000,2026-08-12T17:45:00Z,70.59,70.8,70.54,70.8,592.17,41845.3244
1786557000000,2026-08-12T17:50:00Z,70.8,70.82,70.68,70.71,256.03,18117.1058
1786557300000,2026-08-12T17:55:00Z,70.71,70.82,70.63,70.81,152.88,10809.6757
1786557600000,2026-08-12T18:00:00Z,70.81,70.84,70.66,70.79,216.71,15344.0106
1786557900000,2026-08-12T18:05:00Z,70.79,70.88,70.74,70.81,93.45,6615.2322
1786558200000,2026-08-12T18:10:00Z,70.81,70.98,70.78,70.81,229.44,16263.2963
1786558500000,2026-08-12T18:15:00Z,70.81,70.84,70.63,70.63,239.39,16920.0339
1786558800000,2026-08-12T18:20:00Z,70.63,70.71,70.55,70.59,413.95,29218.9852
1786559100000,2026-08-12T18:25:00Z,70.59,70.76,70.59,70.74,167.19,11819.369
1786559400000,2026-08-12T18:30:00Z,70.74,70.99,70.74,70.98,384.76,27285.1641
1786559700000,2026-08-12T18:35:00Z,70.98,71.17,70.92,70.95,1770.62,125765.3684
1786560000000,2026-08-12T18:40:00Z,70.95,71.11,70.95,71.1,228.11,16196.2653
