ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,192.73,192.8,192.73,192.8,0.23,44.344
1786549500000,2026-08-12T15:45:00Z,192.8,192.8,192.8,192.8,0,0
1786549800000,2026-08-12T15:50:00Z,192.8,192.84,192.7,192.7,0.46,88.6742
1786550100000,2026-08-12T15:55:00Z,192.7,192.8,192.7,192.8,0.23,44.344
1786550400000,2026-08-12T16:00:00Z,192.8,192.8,192.8,192.8,0,0
1786550700000,2026-08-12T16:05:00Z,192.8,192.8,192.74,192.75,1,192.745
1786551000000,2026-08-12T16:10:00Z,192.75,192.75,192.75,192.75,0,0
1786551300000,2026-08-12T16:15:00Z,192.75,193.66,192.75,193.66,1.19,230.2942
1786551600000,2026-08-12T16:20:00Z,193.66,193.66,193.01,193.01,0.03,5.7903
1786551900000,2026-08-12T16:25:00Z,193.01,193.01,193.01,193.01,0,0
1786552200000,2026-08-12T16:30:00Z,193.01,193.22,193.01,193.22,0.1,19.322
1786552500000,2026-08-12T16:35:00Z,193.22,193.25,193.22,193.25,0.14,27.055
1786552800000,2026-08-12T16:40:00Z,193.25,193.31,193.15,193.15,0.14,27.0538
1786553100000,2026-08-12T16:45:00Z,193.15,193.44,193.15,193.44,0.14,27.0816
1786553400000,2026-08-12T16:50:00Z,193.44,193.44,193.44,193.44,0,0
1786553700000,2026-08-12T16:55:00Z,193.44,193.44,193.44,193.44,0,0
1786554000000,2026-08-12T17:00:00Z,193.44,193.44,192.88,192.88,0.29,55.9398
1786554300000,2026-08-12T17:05:00Z,192.88,192.88,192.81,192.81,0.23,44.3463
1786554600000,2026-08-12T17:10:00Z,192.81,192.81,192.67,192.67,0.17,32.7539
1786554900000,2026-08-12T17:15:00Z,192.67,192.67,192.67,192.67,0,0
1786555200000,2026-08-12T17:20:00Z,192.67,192.9,192.67,192.9,0.34,65.5752
1786555500000,2026-08-12T17:25:00Z,192.9,192.9,192.88,192.88,0.1,19.288
1786555800000,2026-08-12T17:30:00Z,192.88,192.88,192.88,192.88,0,0
1786556100000,2026-08-12T17:35:00Z,192.88,192.88,192.88,192.88,0,0
1786556400000,2026-08-12T17:40:00Z,192.88,192.88,192.53,192.53,0.06,11.5518
1786556700000,2026-08-12T17:45:00Z,192.53,192.53,192.31,192.41,0.16,30.7816
1786557000000,2026-08-12T17:50:00Z,192.41,192.41,192.39,192.39,0.23,44.2497
1786557300000,2026-08-12T17:55:00Z,192.39,192.39,192.39,192.39,0,0
1786557600000,2026-08-12T18:00:00Z,192.39,192.58,192.3,192.3,0.93,178.9493
1786557900000,2026-08-12T18:05:00Z,192.3,192.3,192,192,0.06,11.52
1786558200000,2026-08-12T18:10:00Z,192,192.39,192,192.39,0.23,44.2497
1786558500000,2026-08-12T18:15:00Z,192.39,192.39,192.39,192.39,0,0
1786558800000,2026-08-12T18:20:00Z,192.39,192.39,192.39,192.39,0,0
1786559100000,2026-08-12T18:25:00Z,192.39,192.39,192.39,192.39,0,0
1786559400000,2026-08-12T18:30:00Z,192.39,192.39,192.39,192.39,0,0
1786559700000,2026-08-12T18:35:00Z,192.39,192.39,192.34,192.34,0.06,11.5404
1786560000000,2026-08-12T18:40:00Z,192.34,192.34,192.29,192.34,0.26,50.0069
1786560300000,2026-08-12T18:45:00Z,192.34,192.34,192.34,192.34,0,0
1786560600000,2026-08-12T18:50:00Z,192.34,192.34,192.34,192.34,0,0
1786560900000,2026-08-12T18:55:00Z,192.34,192.34,192.34,192.34,0,0
1786561200000,2026-08-12T19:00:00Z,192.34,192.34,192.34,192.34,0,0
1786561500000,2026-08-12T19:05:00Z,192.34,192.67,192.28,192.67,0.2,38.495
1786561800000,2026-08-12T19:10:00Z,192.67,192.85,192.67,192.72,0.73,140.7506
1786562100000,2026-08-12T19:15:00Z,192.72,192.72,192.72,192.72,0,0
1786562400000,2026-08-12T19:20:00Z,192.72,192.72,192.43,192.47,7.35,1414.5752
1786562700000,2026-08-12T19:25:00Z,192.47,192.88,192.47,192.88,0.1,19.288
1786563000000,2026-08-12T19:30:00Z,192.88,192.88,192.88,192.88,0,0
1786563300000,2026-08-12T19:35:00Z,192.88,192.88,192.88,192.88,0,0
1786563600000,2026-08-12T19:40:00Z,192.88,192.92,192.88,192.92,0.1,19.292
1786563900000,2026-08-12T19:45:00Z,192.92,193.12,192.92,193.12,0.37,71.4289
1786564200000,2026-08-12T19:50:00Z,193.12,193.46,193.12,193.46,0.16,30.9536
1786564500000,2026-08-12T19:55:00Z,193.46,193.56,193.46,193.56,0.07,13.5492
1786564800000,2026-08-12T20:00:00Z,193.56,193.56,193.12,193.12,0.91,175.8895
1786565100000,2026-08-12T20:05:00Z,193.12,193.12,192.98,192.98,0.36,69.4806
1786565400000,2026-08-12T20:10:00Z,192.98,193.22,192.98,193.22,0.23,44.4406
1786565700000,2026-08-12T20:15:00Z,193.22,193.31,193.22,193.31,0.05,9.6655
1786566000000,2026-08-12T20:20:00Z,193.31,193.31,193.31,193.31,0,0
1786566300000,2026-08-12T20:25:00Z,193.31,193.31,193.31,193.31,0,0
1786566600000,2026-08-12T20:30:00Z,193.31,193.31,193.31,193.31,0,0
1786566900000,2026-08-12T20:35:00Z,193.31,193.34,193.31,193.34,0.09,17.4006
1786567200000,2026-08-12T20:40:00Z,193.34,193.34,193.34,193.34,0,0
1786567500000,2026-08-12T20:45:00Z,193.34,193.34,193.34,193.34,0,0
1786567800000,2026-08-12T20:50:00Z,193.34,193.34,193.33,193.33,0.15,28.9995
1786568100000,2026-08-12T20:55:00Z,193.33,193.33,193.33,193.33,0,0
1786568400000,2026-08-12T21:00:00Z,193.33,193.45,193.33,193.45,0.23,44.4935
1786568700000,2026-08-12T21:05:00Z,193.45,193.45,193.45,193.45,0,0
1786569000000,2026-08-12T21:10:00Z,193.45,193.45,193.45,193.45,0,0
1786569300000,2026-08-12T21:15:00Z,193.45,193.45,193.38,193.38,0.12,23.2056
1786569600000,2026-08-12T21:20:00Z,193.38,193.38,193.38,193.38,0,0
1786569900000,2026-08-12T21:25:00Z,193.38,193.38,193.38,193.38,0,0
1786570200000,2026-08-12T21:30:00Z,193.38,193.38,193.38,193.38,0,0
1786570500000,2026-08-12T21:35:00Z,193.38,193.72,193.38,193.72,0.07,13.5604
1786570800000,2026-08-12T21:40:00Z,193.72,193.96,193.72,193.96,0.07,13.5772
1786571100000,2026-08-12T21:45:00Z,193.96,193.96,193.39,193.39,0.1,19.339
1786571400000,2026-08-12T21:50:00Z,193.39,193.73,193.39,193.73,0.05,9.6865
1786571700000,2026-08-12T21:55:00Z,193.73,193.73,193.73,193.73,0,0
1786572000000,2026-08-12T22:00:00Z,193.73,193.73,193.73,193.73,0,0
1786572300000,2026-08-12T22:05:00Z,193.73,193.73,193.73,193.73,0,0
1786572600000,2026-08-12T22:10:00Z,193.73,193.86,193.73,193.86,0.15,29.079
