ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,242.79,242.89,242.3,242.89,0.39,94.6176
1786549500000,2026-08-12T15:45:00Z,242.89,244.74,242.89,243.97,9.39,2290.5218
1786549800000,2026-08-12T15:50:00Z,243.97,244.76,243.58,243.86,1.03,251.31
1786550100000,2026-08-12T15:55:00Z,243.86,243.86,243.86,243.86,0,0
1786550400000,2026-08-12T16:00:00Z,243.86,243.86,243.86,243.86,0,0
1786550700000,2026-08-12T16:05:00Z,243.86,245.23,243.86,245.23,1.93,472.0488
1786551000000,2026-08-12T16:10:00Z,245.23,245.56,245.23,245.46,0.21,51.556
1786551300000,2026-08-12T16:15:00Z,245.46,245.46,245.46,245.46,0,0
1786551600000,2026-08-12T16:20:00Z,245.46,245.46,244.69,244.69,0.26,63.6464
1786551900000,2026-08-12T16:25:00Z,244.69,244.69,244.14,244.18,0.66,161.1555
1786552200000,2026-08-12T16:30:00Z,244.18,244.73,244.09,244.42,0.64,156.3838
1786552500000,2026-08-12T16:35:00Z,244.42,244.63,244.24,244.63,0.28,68.4394
1786552800000,2026-08-12T16:40:00Z,244.63,244.87,244.63,244.87,0.08,19.5896
1786553100000,2026-08-12T16:45:00Z,244.87,244.87,244.25,244.25,0.08,19.54
1786553400000,2026-08-12T16:50:00Z,244.25,244.4,242.3,242.3,0.47,114.61
1786553700000,2026-08-12T16:55:00Z,242.3,242.3,241.61,241.96,0.17,41.1003
1786554000000,2026-08-12T17:00:00Z,241.96,242.79,241.96,242.79,0.01,2.4279
1786554300000,2026-08-12T17:05:00Z,242.79,242.79,242.67,242.67,0.03,7.2801
1786554600000,2026-08-12T17:10:00Z,242.67,242.67,241.82,241.82,1.85,447.6102
1786554900000,2026-08-12T17:15:00Z,241.82,241.82,240.85,240.85,0.1,24.1346
1786555200000,2026-08-12T17:20:00Z,240.85,240.85,240.85,240.85,0,0
1786555500000,2026-08-12T17:25:00Z,240.85,241.82,240.85,241.82,0.81,195.5926
1786555800000,2026-08-12T17:30:00Z,241.82,242.63,241.82,242.63,0.21,50.9405
1786556100000,2026-08-12T17:35:00Z,242.63,242.63,242.63,242.63,0,0
1786556400000,2026-08-12T17:40:00Z,242.63,242.79,242.57,242.79,0.15,36.3965
1786556700000,2026-08-12T17:45:00Z,242.79,242.95,242.75,242.75,0.19,46.1411
1786557000000,2026-08-12T17:50:00Z,242.75,242.75,242.75,242.75,0,0
1786557300000,2026-08-12T17:55:00Z,242.75,242.75,242.75,242.75,0,0
1786557600000,2026-08-12T18:00:00Z,242.75,242.75,242.43,242.43,5.69,1379.6624
