ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,34.008,34.008,33.956,33.956,11.74,398.64344
1786549500000,2026-08-12T15:45:00Z,33.956,33.956,33.956,33.956,0,0
1786549800000,2026-08-12T15:50:00Z,33.956,33.956,33.939,33.939,1.03,34.95717
1786550100000,2026-08-12T15:55:00Z,33.939,33.939,33.911,33.911,0.9,30.5199
1786550400000,2026-08-12T16:00:00Z,33.911,33.958,33.911,33.958,3.2,108.6656
1786550700000,2026-08-12T16:05:00Z,33.958,33.958,33.958,33.958,0,0
1786551000000,2026-08-12T16:10:00Z,33.958,33.962,33.958,33.962,1.02,34.64124
1786551300000,2026-08-12T16:15:00Z,33.962,34.004,33.962,34.004,0.78,26.52312
1786551600000,2026-08-12T16:20:00Z,34.004,34.056,34.004,34.056,0.76,25.88256
1786551900000,2026-08-12T16:25:00Z,34.056,34.056,34.056,34.056,0,0
1786552200000,2026-08-12T16:30:00Z,34.056,34.056,34.056,34.056,0,0
1786552500000,2026-08-12T16:35:00Z,34.056,34.056,34.056,34.056,0,0
1786552800000,2026-08-12T16:40:00Z,34.056,34.056,34.053,34.053,0.31,10.55643
1786553100000,2026-08-12T16:45:00Z,34.053,34.053,34.053,34.053,0,0
1786553400000,2026-08-12T16:50:00Z,34.053,34.053,34.053,34.053,0,0
1786553700000,2026-08-12T16:55:00Z,34.053,34.071,34.053,34.071,1.01,34.41171
1786554000000,2026-08-12T17:00:00Z,34.071,34.071,34.026,34.026,0.36,12.24936
1786554300000,2026-08-12T17:05:00Z,34.026,34.035,34.026,34.035,0.9,30.6315
1786554600000,2026-08-12T17:10:00Z,34.035,34.042,34.035,34.042,0.77,26.21234
1786554900000,2026-08-12T17:15:00Z,34.042,34.042,34.042,34.042,0,0
1786555200000,2026-08-12T17:20:00Z,34.042,34.042,34.042,34.042,0,0
1786555500000,2026-08-12T17:25:00Z,34.042,34.042,34.035,34.035,0.51,17.35785
1786555800000,2026-08-12T17:30:00Z,34.035,34.035,34.035,34.035,0,0
1786556100000,2026-08-12T17:35:00Z,34.035,34.035,34.035,34.035,0,0
1786556400000,2026-08-12T17:40:00Z,34.035,34.035,34.035,34.035,0,0
1786556700000,2026-08-12T17:45:00Z,34.035,34.038,34.035,34.038,0.99,33.69762
1786557000000,2026-08-12T17:50:00Z,34.038,34.062,34.038,34.062,0.3,10.2186
1786557300000,2026-08-12T17:55:00Z,34.062,34.062,34.053,34.053,0.99,33.71247
1786557600000,2026-08-12T18:00:00Z,34.053,34.053,34.034,34.034,0.75,25.5255
1786557900000,2026-08-12T18:05:00Z,34.034,34.039,34.034,34.039,0.89,30.29471
1786558200000,2026-08-12T18:10:00Z,34.039,34.039,34.039,34.039,0,0
1786558500000,2026-08-12T18:15:00Z,34.039,34.039,33.979,33.979,0.54,18.34866
1786558800000,2026-08-12T18:20:00Z,33.979,33.979,33.979,33.979,0,0
1786559100000,2026-08-12T18:25:00Z,33.979,33.979,33.972,33.972,1.1,37.3692
1786559400000,2026-08-12T18:30:00Z,33.972,33.972,33.972,33.972,0,0
