ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788954900000,2026-09-09T11:55:00Z,76.39,76.76,76.39,76.76,0.27,20.6734
1788955200000,2026-09-09T12:00:00Z,76.76,76.76,76.76,76.76,0,0
1788955500000,2026-09-09T12:05:00Z,76.76,76.76,76.44,76.44,0.13,9.9372
1788955800000,2026-09-09T12:10:00Z,76.44,76.56,76.44,76.56,1.95,149.292
1788956100000,2026-09-09T12:15:00Z,76.56,76.56,76.56,76.56,0,0
1788956400000,2026-09-09T12:20:00Z,76.56,76.56,76.19,76.19,0.32,24.3808
1788956700000,2026-09-09T12:25:00Z,76.19,76.19,76.19,76.19,0,0
1788957000000,2026-09-09T12:30:00Z,76.19,76.44,76.05,76.44,0.21,16.0223
1788957300000,2026-09-09T12:35:00Z,76.44,76.6,76.16,76.27,4.61,352.1295
1788957600000,2026-09-09T12:40:00Z,76.27,76.68,76.27,76.53,0.21,16.0909
1788957900000,2026-09-09T12:45:00Z,76.53,76.86,76.28,76.86,3.64,279.5121
1788958200000,2026-09-09T12:50:00Z,76.86,76.86,76.86,76.86,0,0
1788958500000,2026-09-09T12:55:00Z,76.86,76.86,76.45,76.45,5.64,431.178
1788958800000,2026-09-09T13:00:00Z,76.45,77.19,76.2,76.2,0.32,24.5401
1788959100000,2026-09-09T13:05:00Z,76.2,76.42,76.2,76.42,0.94,71.8348
1788959400000,2026-09-09T13:10:00Z,76.42,76.72,76.42,76.72,0.09,6.9048
1788959700000,2026-09-09T13:15:00Z,76.72,78.42,76.1,76.79,7.07,543.3358
1788960000000,2026-09-09T13:20:00Z,76.79,77.78,76.79,77.59,6.56,506.7554
1788960300000,2026-09-09T13:25:00Z,77.59,77.8,75.91,77.3,24.44,1885.6238
1788960600000,2026-09-09T13:30:00Z,77.3,80.2,76.14,76.68,13.78,1074.967
1788960900000,2026-09-09T13:35:00Z,76.68,77.72,75.72,77.18,12.77,977.5692
1788961200000,2026-09-09T13:40:00Z,77.18,77.28,75.91,76.5,4.02,307.4822
1788961500000,2026-09-09T13:45:00Z,76.5,77.42,76.26,77.16,2.3,176.0954
1788961800000,2026-09-09T13:50:00Z,77.16,77.16,76.08,77.14,4.53,347.7439
1788962100000,2026-09-09T13:55:00Z,77.14,77.14,75.88,77.12,1.41,108.4814
1788962400000,2026-09-09T14:00:00Z,77.12,77.35,76.23,77.35,1.14,87.58
1788962700000,2026-09-09T14:05:00Z,77.35,77.44,76.02,76.23,2.77,212.678
1788963000000,2026-09-09T14:10:00Z,76.23,77.35,76.16,76.63,8.53,657.0334
1788963300000,2026-09-09T14:15:00Z,76.63,77.2,75.96,76.23,6.93,531.3454
1788963600000,2026-09-09T14:20:00Z,76.23,77,76.14,76.43,3.51,268.4159
1788963900000,2026-09-09T14:25:00Z,76.43,77.56,76.11,76.83,5.76,442.4181
1788964200000,2026-09-09T14:30:00Z,76.83,77.6,76.83,77.52,1,77.3224
1788964500000,2026-09-09T14:35:00Z,77.52,77.6,76.83,76.83,1.33,102.6338
1788964800000,2026-09-09T14:40:00Z,76.83,76.83,76.77,76.77,1.19,91.3563
1788965100000,2026-09-09T14:45:00Z,76.77,76.77,76.77,76.77,0,0
1788965400000,2026-09-09T14:50:00Z,76.77,76.77,76.43,76.43,0.26,19.9078
1788965700000,2026-09-09T14:55:00Z,76.43,76.43,76.43,76.43,0,0
1788966000000,2026-09-09T15:00:00Z,76.43,76.62,76.43,76.62,1.03,78.9186
