ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,26.77,26.78,26.77,26.78,0.38,10.1764
1786549500000,2026-08-12T15:45:00Z,26.78,26.78,26.78,26.78,0,0
1786549800000,2026-08-12T15:50:00Z,26.78,26.78,26.47,26.47,1.09,28.8523
1786550100000,2026-08-12T15:55:00Z,26.47,26.62,26.47,26.62,49.96,1328.4475
1786550400000,2026-08-12T16:00:00Z,26.62,26.76,26.62,26.76,58.95,1577.502
1786550700000,2026-08-12T16:05:00Z,26.76,26.76,26.76,26.76,0,0
1786551000000,2026-08-12T16:10:00Z,26.76,26.77,26.7,26.7,8.67,231.5291
1786551300000,2026-08-12T16:15:00Z,26.7,26.7,26.7,26.7,0,0
1786551600000,2026-08-12T16:20:00Z,26.7,26.7,26.62,26.62,62.05,1652.1679
1786551900000,2026-08-12T16:25:00Z,26.62,26.62,26.37,26.41,534.84,14130.6516
1786552200000,2026-08-12T16:30:00Z,26.41,26.41,26.41,26.41,0,0
1786552500000,2026-08-12T16:35:00Z,26.41,26.41,26.41,26.41,0.61,16.1101
1786552800000,2026-08-12T16:40:00Z,26.41,26.41,26.36,26.36,160.97,4243.2034
1786553100000,2026-08-12T16:45:00Z,26.36,26.4,26.25,26.38,310.85,8187.9222
1786553400000,2026-08-12T16:50:00Z,26.38,26.38,26.38,26.38,0,0
1786553700000,2026-08-12T16:55:00Z,26.38,26.61,26.38,26.53,72.86,1938.14
1786554000000,2026-08-12T17:00:00Z,26.53,26.53,26.46,26.5,3.75,99.2262
1786554300000,2026-08-12T17:05:00Z,26.5,26.61,26.39,26.39,207.23,5498.9018
1786554600000,2026-08-12T17:10:00Z,26.39,26.39,26.39,26.39,0,0
1786554900000,2026-08-12T17:15:00Z,26.39,26.43,26.32,26.32,212.93,5611.2311
1786555200000,2026-08-12T17:20:00Z,26.32,26.35,26.22,26.22,1191.58,31256.9113
1786555500000,2026-08-12T17:25:00Z,26.22,26.22,26.22,26.22,0,0
