ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,56.38,56.38,56.22,56.22,13.24,744.4528
1786549500000,2026-08-12T15:45:00Z,56.22,56.22,56.22,56.22,0,0
1786549800000,2026-08-12T15:50:00Z,56.22,56.22,56.22,56.22,1.78,100.0716
1786550100000,2026-08-12T15:55:00Z,56.22,56.22,56.22,56.22,0,0
1786550400000,2026-08-12T16:00:00Z,56.22,56.39,56.22,56.39,0.17,9.5863
1786550700000,2026-08-12T16:05:00Z,56.39,56.42,56.39,56.42,0.36,20.3112
1786551000000,2026-08-12T16:10:00Z,56.42,56.42,56.31,56.31,20,1126.2
1786551300000,2026-08-12T16:15:00Z,56.31,56.31,56.31,56.31,0,0
1786551600000,2026-08-12T16:20:00Z,56.31,56.71,56.31,56.71,12.97,735.4612
1786551900000,2026-08-12T16:25:00Z,56.71,56.71,56.71,56.71,0,0
1786552200000,2026-08-12T16:30:00Z,56.71,56.87,56.71,56.87,0.51,29.0037
1786552500000,2026-08-12T16:35:00Z,56.87,56.87,56.87,56.87,0,0
1786552800000,2026-08-12T16:40:00Z,56.87,56.87,56.73,56.73,20.35,1154.4555
1786553100000,2026-08-12T16:45:00Z,56.73,56.73,56.73,56.73,0,0
1786553400000,2026-08-12T16:50:00Z,56.73,56.9,56.73,56.9,0.7,39.83
1786553700000,2026-08-12T16:55:00Z,56.9,56.9,56.9,56.9,0,0
1786554000000,2026-08-12T17:00:00Z,56.9,56.9,56.81,56.81,0.56,31.8136
1786554300000,2026-08-12T17:05:00Z,56.81,56.87,56.8,56.81,220.5,12526.135
1786554600000,2026-08-12T17:10:00Z,56.81,56.81,56.77,56.77,830,47119.1
1786554900000,2026-08-12T17:15:00Z,56.77,56.77,56.77,56.77,330,18734.1
1786555200000,2026-08-12T17:20:00Z,56.77,56.77,56.77,56.77,0,0
1786555500000,2026-08-12T17:25:00Z,56.77,57.07,56.77,57.07,31.27,1784.0857
1786555800000,2026-08-12T17:30:00Z,57.07,57.07,57.07,57.07,0.35,19.9745
1786556100000,2026-08-12T17:35:00Z,57.07,57.07,57.07,57.07,0,0
1786556400000,2026-08-12T17:40:00Z,57.07,57.07,57.07,57.07,0,0
1786556700000,2026-08-12T17:45:00Z,57.07,57.16,57.07,57.16,0.37,21.1492
1786557000000,2026-08-12T17:50:00Z,57.16,57.32,57.16,57.24,16.24,929.5872
1786557300000,2026-08-12T17:55:00Z,57.24,57.24,57.24,57.24,0,0
1786557600000,2026-08-12T18:00:00Z,57.24,57.35,57.22,57.22,31.66,1811.8543
1786557900000,2026-08-12T18:05:00Z,57.22,57.22,57.22,57.22,0,0
1786558200000,2026-08-12T18:10:00Z,57.22,57.41,57.22,57.41,16.42,942.5114
1786558500000,2026-08-12T18:15:00Z,57.41,57.49,57.41,57.49,0.67,38.5183
1786558800000,2026-08-12T18:20:00Z,57.49,57.5,57.49,57.5,32,1840
1786559100000,2026-08-12T18:25:00Z,57.5,57.56,57.4,57.4,0.77,44.2626
1786559400000,2026-08-12T18:30:00Z,57.4,57.4,57.4,57.4,0,0
1786559700000,2026-08-12T18:35:00Z,57.4,57.4,57.36,57.39,98.7,5662.0242
1786560000000,2026-08-12T18:40:00Z,57.39,57.5,57.39,57.5,6.58,378.35
