ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786548900000,2026-08-12T15:35:00Z,49.91,49.92,49.91,49.92,0.7,34.944
1786549200000,2026-08-12T15:40:00Z,49.92,49.92,49.92,49.92,0,0
1786549500000,2026-08-12T15:45:00Z,49.92,49.93,49.92,49.93,0.57,28.4601
1786549800000,2026-08-12T15:50:00Z,49.93,49.94,49.81,49.81,0.7,34.9125
1786550100000,2026-08-12T15:55:00Z,49.81,49.81,49.81,49.81,0,0
1786550400000,2026-08-12T16:00:00Z,49.81,49.81,49.81,49.81,0,0
1786550700000,2026-08-12T16:05:00Z,49.81,49.81,49.81,49.81,0,0
1786551000000,2026-08-12T16:10:00Z,49.81,49.96,49.81,49.96,0.62,30.9752
1786551300000,2026-08-12T16:15:00Z,49.96,49.96,49.93,49.93,0.47,23.4671
1786551600000,2026-08-12T16:20:00Z,49.93,49.93,49.93,49.93,0.28,13.9804
1786551900000,2026-08-12T16:25:00Z,49.93,49.93,49.93,49.93,0,0
1786552200000,2026-08-12T16:30:00Z,49.93,49.93,49.93,49.93,0,0
1786552500000,2026-08-12T16:35:00Z,49.93,49.93,49.93,49.93,0,0
1786552800000,2026-08-12T16:40:00Z,49.93,49.93,49.92,49.92,0.74,36.9408
1786553100000,2026-08-12T16:45:00Z,49.92,49.92,49.9,49.9,0.64,31.936
1786553400000,2026-08-12T16:50:00Z,49.9,49.9,49.9,49.9,0,0
1786553700000,2026-08-12T16:55:00Z,49.9,49.9,49.9,49.9,0,0
1786554000000,2026-08-12T17:00:00Z,49.9,49.9,49.9,49.9,0.58,28.942
1786554300000,2026-08-12T17:05:00Z,49.9,49.91,49.9,49.91,0.59,29.4469
1786554600000,2026-08-12T17:10:00Z,49.91,49.91,49.91,49.91,0.37,18.4667
1786554900000,2026-08-12T17:15:00Z,49.91,49.93,49.91,49.93,0.29,14.4797
1786555200000,2026-08-12T17:20:00Z,49.93,49.93,49.93,49.93,0,0
1786555500000,2026-08-12T17:25:00Z,49.93,49.93,49.93,49.93,0,0
1786555800000,2026-08-12T17:30:00Z,49.93,49.93,49.93,49.93,0,0
1786556100000,2026-08-12T17:35:00Z,49.93,49.96,49.93,49.96,0.38,18.9848
1786556400000,2026-08-12T17:40:00Z,49.96,49.96,49.96,49.96,0.29,14.4884
1786556700000,2026-08-12T17:45:00Z,49.96,49.97,49.96,49.97,0.32,15.9904
1786557000000,2026-08-12T17:50:00Z,49.97,49.97,49.96,49.96,0.46,22.9816
1786557300000,2026-08-12T17:55:00Z,49.96,49.96,49.93,49.93,0.56,27.9608
1786557600000,2026-08-12T18:00:00Z,49.93,49.93,49.93,49.93,0.21,10.4853
1786557900000,2026-08-12T18:05:00Z,49.93,49.93,49.93,49.93,0,0
1786558200000,2026-08-12T18:10:00Z,49.93,49.93,49.93,49.93,0,0
1786558500000,2026-08-12T18:15:00Z,49.93,49.93,49.93,49.93,0,0
1786558800000,2026-08-12T18:20:00Z,49.93,49.93,49.91,49.91,0.48,23.9568
1786559100000,2026-08-12T18:25:00Z,49.91,49.94,49.91,49.94,0.43,21.4742
1786559400000,2026-08-12T18:30:00Z,49.94,49.94,49.94,49.94,0.54,26.9676
1786559700000,2026-08-12T18:35:00Z,49.94,49.94,49.94,49.94,0,0
1786560000000,2026-08-12T18:40:00Z,49.94,49.94,49.94,49.94,0,0
1786560300000,2026-08-12T18:45:00Z,49.94,49.94,49.91,49.91,0.35,17.4685
1786560600000,2026-08-12T18:50:00Z,49.91,49.95,49.91,49.95,0.43,21.4785
1786560900000,2026-08-12T18:55:00Z,49.95,49.95,49.94,49.94,0.62,30.9628
1786561200000,2026-08-12T19:00:00Z,49.94,49.96,49.94,49.96,0.69,34.4724
1786561500000,2026-08-12T19:05:00Z,49.96,49.96,49.96,49.96,0,0
1786561800000,2026-08-12T19:10:00Z,49.96,49.96,49.96,49.96,0,0
1786562100000,2026-08-12T19:15:00Z,49.96,49.96,49.94,49.94,0.59,29.4646
1786562400000,2026-08-12T19:20:00Z,49.94,49.94,49.94,49.94,0,0
1786562700000,2026-08-12T19:25:00Z,49.94,49.94,49.94,49.94,0,0
1786563000000,2026-08-12T19:30:00Z,49.94,49.94,49.94,49.94,0,0
1786563300000,2026-08-12T19:35:00Z,49.94,49.98,49.85,49.98,1.6,79.878
1786563600000,2026-08-12T19:40:00Z,49.98,49.98,49.98,49.98,0,0
1786563900000,2026-08-12T19:45:00Z,49.98,49.98,49.98,49.98,0,0
1786564200000,2026-08-12T19:50:00Z,49.98,49.98,49.98,49.98,0,0
1786564500000,2026-08-12T19:55:00Z,49.98,49.98,49.96,49.96,0.66,32.9736
1786564800000,2026-08-12T20:00:00Z,49.96,50.01,49.96,50.01,0.19,9.5019
1786565100000,2026-08-12T20:05:00Z,50.01,50.03,49.8,50.03,0.91,45.4382
1786565400000,2026-08-12T20:10:00Z,50.03,50.03,50.03,50.03,0,0
1786565700000,2026-08-12T20:15:00Z,50.03,50.03,50.03,50.03,0,0
1786566000000,2026-08-12T20:20:00Z,50.03,50.03,50.03,50.03,0,0
1786566300000,2026-08-12T20:25:00Z,50.03,50.03,50.03,50.03,0,0
1786566600000,2026-08-12T20:30:00Z,50.03,50.03,50.03,50.03,0,0
1786566900000,2026-08-12T20:35:00Z,50.03,50.03,49.8,50.01,0.66,32.9506
1786567200000,2026-08-12T20:40:00Z,50.01,50.01,50.01,50.01,0,0
1786567500000,2026-08-12T20:45:00Z,50.01,50.01,50.01,50.01,0,0
1786567800000,2026-08-12T20:50:00Z,50.01,50.01,50.01,50.01,0,0
1786568100000,2026-08-12T20:55:00Z,50.01,50.01,50.01,50.01,0,0
1786568400000,2026-08-12T21:00:00Z,50.01,50.01,50.01,50.01,0,0
1786568700000,2026-08-12T21:05:00Z,50.01,50.01,50.01,50.01,0,0
1786569000000,2026-08-12T21:10:00Z,50.01,50.01,50.01,50.01,0,0
1786569300000,2026-08-12T21:15:00Z,50.01,50.01,49.85,49.85,0.25,12.4625
1786569600000,2026-08-12T21:20:00Z,49.85,49.85,49.85,49.85,0,0
1786569900000,2026-08-12T21:25:00Z,49.85,49.85,49.85,49.85,0,0
1786570200000,2026-08-12T21:30:00Z,49.85,49.85,49.85,49.85,0,0
1786570500000,2026-08-12T21:35:00Z,49.85,49.85,49.85,49.85,0,0
1786570800000,2026-08-12T21:40:00Z,49.85,49.85,49.85,49.85,0,0
1786571100000,2026-08-12T21:45:00Z,49.85,49.85,49.85,49.85,0,0
1786571400000,2026-08-12T21:50:00Z,49.85,49.97,49.85,49.97,0.6,29.982
1786571700000,2026-08-12T21:55:00Z,49.97,49.97,49.97,49.97,0,0
1786572000000,2026-08-12T22:00:00Z,49.97,49.97,49.97,49.97,0,0
1786572300000,2026-08-12T22:05:00Z,49.97,49.97,49.97,49.97,0,0
1786572600000,2026-08-12T22:10:00Z,49.97,49.97,49.97,49.97,0,0
1786572900000,2026-08-12T22:15:00Z,49.97,49.97,49.97,49.97,0,0
1786573200000,2026-08-12T22:20:00Z,49.97,49.97,49.97,49.97,0,0
1786573500000,2026-08-12T22:25:00Z,49.97,49.97,49.97,49.97,0,0
1786573800000,2026-08-12T22:30:00Z,49.97,49.97,49.97,49.97,0,0
1786574100000,2026-08-12T22:35:00Z,49.97,49.97,49.97,49.97,0,0
1786574400000,2026-08-12T22:40:00Z,49.97,49.97,49.97,49.97,0,0
1786574700000,2026-08-12T22:45:00Z,49.97,49.97,49.97,49.97,0,0
1786575000000,2026-08-12T22:50:00Z,49.97,49.97,49.97,49.97,0,0
1786575300000,2026-08-12T22:55:00Z,49.97,49.97,49.97,49.97,0,0
1786575600000,2026-08-12T23:00:00Z,49.97,49.97,49.97,49.97,0,0
1786575900000,2026-08-12T23:05:00Z,49.97,49.97,49.97,49.97,0,0
1786576200000,2026-08-12T23:10:00Z,49.97,49.97,49.97,49.97,0,0
1786576500000,2026-08-12T23:15:00Z,49.97,49.97,49.97,49.97,0,0
1786576800000,2026-08-12T23:20:00Z,49.97,49.97,49.97,49.97,0,0
1786577100000,2026-08-12T23:25:00Z,49.97,49.97,49.97,49.97,0,0
1786577400000,2026-08-12T23:30:00Z,49.97,49.97,49.97,49.97,0,0
1786577700000,2026-08-12T23:35:00Z,49.97,49.97,49.97,49.97,0,0
1786578000000,2026-08-12T23:40:00Z,49.97,49.97,49.97,49.97,0,0
1786578300000,2026-08-12T23:45:00Z,49.97,49.97,49.97,49.97,0,0
1786578600000,2026-08-12T23:50:00Z,49.97,49.97,49.97,49.97,0,0
1786578900000,2026-08-12T23:55:00Z,49.97,49.97,49.97,49.97,0,0
1786579200000,2026-08-13T00:00:00Z,49.97,49.97,49.97,49.97,0,0
1786579500000,2026-08-13T00:05:00Z,49.97,49.97,49.93,49.93,0.36,17.9748
1786579800000,2026-08-13T00:10:00Z,49.93,49.93,49.9,49.9,0.77,38.423
1786580100000,2026-08-13T00:15:00Z,49.9,49.91,49.9,49.91,0.01,0.4991
1786580400000,2026-08-13T00:20:00Z,49.91,49.91,49.91,49.91,0,0
1786580700000,2026-08-13T00:25:00Z,49.91,49.91,49.91,49.91,0,0
1786581000000,2026-08-13T00:30:00Z,49.91,49.91,49.91,49.91,0,0
1786581300000,2026-08-13T00:35:00Z,49.91,49.91,49.91,49.91,0,0
1786581600000,2026-08-13T00:40:00Z,49.91,49.91,49.91,49.91,0,0
1786581900000,2026-08-13T00:45:00Z,49.91,49.91,49.91,49.91,0,0
1786582200000,2026-08-13T00:50:00Z,49.91,49.91,49.91,49.91,0.75,37.4325
1786582500000,2026-08-13T00:55:00Z,49.91,49.91,49.91,49.91,0,0
1786582800000,2026-08-13T01:00:00Z,49.91,49.91,49.91,49.91,0,0
1786583100000,2026-08-13T01:05:00Z,49.91,49.91,49.91,49.91,0,0
1786583400000,2026-08-13T01:10:00Z,49.91,49.91,49.91,49.91,0,0
1786583700000,2026-08-13T01:15:00Z,49.91,49.91,49.91,49.91,0,0
1786584000000,2026-08-13T01:20:00Z,49.91,49.91,49.91,49.91,0,0
1786584300000,2026-08-13T01:25:00Z,49.91,49.91,49.86,49.86,0.62,30.9132
1786584600000,2026-08-13T01:30:00Z,49.86,49.86,49.86,49.86,0,0
