ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786548900000,2026-08-12T15:35:00Z,1225.88,1225.88,1223.07,1225.63,0.93,1137.5384
1786549200000,2026-08-12T15:40:00Z,1225.63,1225.63,1225.63,1225.63,0,0
1786549500000,2026-08-12T15:45:00Z,1225.63,1226.46,1225.15,1225.15,0.07,85.818
1786549800000,2026-08-12T15:50:00Z,1225.15,1225.15,1225.15,1225.15,0,0
1786550100000,2026-08-12T15:55:00Z,1225.15,1225.44,1225.15,1225.44,0.02,24.5088
1786550400000,2026-08-12T16:00:00Z,1225.44,1226.91,1225.44,1226.86,0.12,147.225
1786550700000,2026-08-12T16:05:00Z,1226.86,1227.12,1226.86,1227.12,0.09,110.4348
1786551000000,2026-08-12T16:10:00Z,1227.12,1227.12,1226.22,1226.22,0.01,12.2622
1786551300000,2026-08-12T16:15:00Z,1226.22,1227.47,1226.1,1227.47,0.23,282.2062
1786551600000,2026-08-12T16:20:00Z,1227.47,1227.47,1223.69,1224.52,0.53,649.4475
1786551900000,2026-08-12T16:25:00Z,1224.52,1226.12,1223.94,1224.74,0.79,967.8028
1786552200000,2026-08-12T16:30:00Z,1224.74,1224.74,1223.17,1223.17,0.57,697.3603
1786552500000,2026-08-12T16:35:00Z,1223.17,1224.14,1222.03,1222.24,10.18,12442.873
1786552800000,2026-08-12T16:40:00Z,1222.24,1222.24,1222,1222,0.04,48.88
1786553100000,2026-08-12T16:45:00Z,1222,1222,1220.32,1220.32,0.23,280.8034
1786553400000,2026-08-12T16:50:00Z,1220.32,1220.32,1218.69,1218.69,0.38,463.2469
1786553700000,2026-08-12T16:55:00Z,1218.69,1218.69,1218,1218,0.01,12.18
1786554000000,2026-08-12T17:00:00Z,1218,1218,1218,1218,0,0
1786554300000,2026-08-12T17:05:00Z,1218,1218,1217.98,1217.98,0.02,24.3596
1786554600000,2026-08-12T17:10:00Z,1217.98,1217.98,1216.48,1216.48,0.03,36.4944
1786554900000,2026-08-12T17:15:00Z,1216.48,1216.48,1215.93,1215.93,0.06,72.9631
1786555200000,2026-08-12T17:20:00Z,1215.93,1215.93,1215.93,1215.93,0,0
1786555500000,2026-08-12T17:25:00Z,1215.93,1215.93,1215.93,1215.93,0,0
1786555800000,2026-08-12T17:30:00Z,1215.93,1215.93,1215.93,1215.93,0,0
1786556100000,2026-08-12T17:35:00Z,1215.93,1218.34,1215.9,1218.34,0.06,73.0272
1786556400000,2026-08-12T17:40:00Z,1218.34,1218.55,1218.18,1218.55,0.2,243.6643
1786556700000,2026-08-12T17:45:00Z,1218.55,1218.95,1218.41,1218.88,1.13,1377.1838
1786557000000,2026-08-12T17:50:00Z,1218.88,1220,1218.88,1220,1.27,1548.2872
1786557300000,2026-08-12T17:55:00Z,1220,1221.52,1220,1221.52,0.21,256.3596
1786557600000,2026-08-12T18:00:00Z,1221.52,1221.52,1220.62,1221.4,0.3,366.3166
1786557900000,2026-08-12T18:05:00Z,1221.4,1221.4,1220.51,1220.51,0.06,73.2381
1786558200000,2026-08-12T18:10:00Z,1220.51,1222.11,1220.51,1222.11,0.04,48.8833
1786558500000,2026-08-12T18:15:00Z,1222.11,1222.11,1222.11,1222.11,0,0
1786558800000,2026-08-12T18:20:00Z,1222.11,1223.24,1222.11,1223.24,0.05,61.1611
1786559100000,2026-08-12T18:25:00Z,1223.24,1223.24,1223.24,1223.24,0,0
1786559400000,2026-08-12T18:30:00Z,1223.24,1223.24,1223.24,1223.24,0,0
1786559700000,2026-08-12T18:35:00Z,1223.24,1223.24,1223.24,1223.24,0,0
1786560000000,2026-08-12T18:40:00Z,1223.24,1223.92,1223.24,1223.92,0.03,36.7176
1786560300000,2026-08-12T18:45:00Z,1223.92,1223.92,1223.49,1223.49,0.03,36.7047
1786560600000,2026-08-12T18:50:00Z,1223.49,1223.49,1223.49,1223.49,0,0
1786560900000,2026-08-12T18:55:00Z,1223.49,1223.49,1221.29,1221.29,0.02,24.4258
1786561200000,2026-08-12T19:00:00Z,1221.29,1221.67,1221.29,1221.67,0.02,24.4334
1786561500000,2026-08-12T19:05:00Z,1221.67,1221.67,1221.3,1221.3,0.07,85.4966
1786561800000,2026-08-12T19:10:00Z,1221.3,1221.3,1220.8,1220.8,0.03,36.624
1786562100000,2026-08-12T19:15:00Z,1220.8,1221.22,1220.8,1221.22,0.03,36.6366
1786562400000,2026-08-12T19:20:00Z,1221.22,1221.22,1221.22,1221.22,0,0
1786562700000,2026-08-12T19:25:00Z,1221.22,1221.22,1221.22,1221.22,0,0
1786563000000,2026-08-12T19:30:00Z,1221.22,1221.22,1221.22,1221.22,0,0
1786563300000,2026-08-12T19:35:00Z,1221.22,1224,1221.22,1224,0.05,61.1855
1786563600000,2026-08-12T19:40:00Z,1224,1225.07,1224,1225.07,0.03,36.7517
1786563900000,2026-08-12T19:45:00Z,1225.07,1225.07,1225.07,1225.07,0,0
1786564200000,2026-08-12T19:50:00Z,1225.07,1225.07,1220.7,1220.7,1.12,1367.6438
1786564500000,2026-08-12T19:55:00Z,1220.7,1224.27,1220.19,1221.7,4.32,5283.7615
1786564800000,2026-08-12T20:00:00Z,1221.7,1224.47,1221.7,1222.71,0.48,587.2834
1786565100000,2026-08-12T20:05:00Z,1222.71,1225.71,1222.71,1225.35,1.63,1997.3405
1786565400000,2026-08-12T20:10:00Z,1225.35,1225.35,1225.35,1225.35,0,0
1786565700000,2026-08-12T20:15:00Z,1225.35,1225.35,1222.88,1223.84,0.03,36.7056
1786566000000,2026-08-12T20:20:00Z,1223.84,1223.84,1223.84,1223.84,0,0
1786566300000,2026-08-12T20:25:00Z,1223.84,1223.84,1223.84,1223.84,0,0
1786566600000,2026-08-12T20:30:00Z,1223.84,1223.84,1223.84,1223.84,0,0
1786566900000,2026-08-12T20:35:00Z,1223.84,1223.84,1223.84,1223.84,0,0
1786567200000,2026-08-12T20:40:00Z,1223.84,1223.84,1222.39,1222.39,0.02,24.4478
1786567500000,2026-08-12T20:45:00Z,1222.39,1222.39,1221.96,1221.96,0.37,452.1607
1786567800000,2026-08-12T20:50:00Z,1221.96,1222.05,1221.96,1222.05,0.03,36.6615
1786568100000,2026-08-12T20:55:00Z,1222.05,1222.05,1222.05,1222.05,0,0
1786568400000,2026-08-12T21:00:00Z,1222.05,1222.05,1222.05,1222.05,0,0
1786568700000,2026-08-12T21:05:00Z,1222.05,1223.39,1222.05,1223.39,0.15,183.5044
1786569000000,2026-08-12T21:10:00Z,1223.39,1223.39,1222.23,1222.23,0.01,12.2223
1786569300000,2026-08-12T21:15:00Z,1222.23,1222.23,1222.23,1222.23,0,0
1786569600000,2026-08-12T21:20:00Z,1222.23,1223.5,1222.23,1223.5,0.07,85.645
1786569900000,2026-08-12T21:25:00Z,1223.5,1223.5,1221.68,1221.68,0.01,12.2168
