ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786548900000,2026-08-12T15:35:00Z,1888.3,1888.3,1885.6,1886.2,0.997,1881.0505
1786549200000,2026-08-12T15:40:00Z,1886.2,1886.2,1886.2,1886.2,0,0
1786549500000,2026-08-12T15:45:00Z,1886.2,1887.4,1885.7,1885.7,0.069,130.2229
1786549800000,2026-08-12T15:50:00Z,1885.7,1885.7,1881.6,1881.8,0.881,1657.7502
1786550100000,2026-08-12T15:55:00Z,1881.8,1884.3,1880.1,1881.2,0.664,1249.1402
1786550400000,2026-08-12T16:00:00Z,1881.2,1881.2,1879.3,1879.3,0.056,105.2408
1786550700000,2026-08-12T16:05:00Z,1879.3,1879.3,1879.3,1879.3,0,0
1786551000000,2026-08-12T16:10:00Z,1879.3,1881.8,1879.3,1881.4,0.17,319.9016
1786551300000,2026-08-12T16:15:00Z,1881.4,1883.3,1881.4,1883.3,1.015,1911.1374
1786551600000,2026-08-12T16:20:00Z,1883.3,1883.3,1883.3,1883.3,0,0
1786551900000,2026-08-12T16:25:00Z,1883.3,1884.9,1883.3,1884.9,0.01,18.849
1786552200000,2026-08-12T16:30:00Z,1884.9,1884.9,1880.9,1880.9,0.015,28.2135
1786552500000,2026-08-12T16:35:00Z,1880.9,1884.9,1880.9,1884.9,0.011,20.7339
1786552800000,2026-08-12T16:40:00Z,1884.9,1884.9,1883.6,1883.6,0.02,37.672
1786553100000,2026-08-12T16:45:00Z,1883.6,1884.9,1883.6,1884.9,0.008,15.0792
1786553400000,2026-08-12T16:50:00Z,1884.9,1884.9,1884.9,1884.9,0,0
1786553700000,2026-08-12T16:55:00Z,1884.9,1887.5,1884.9,1887.1,0.614,1158.9206
1786554000000,2026-08-12T17:00:00Z,1887.1,1888.1,1886,1887,2.416,4559.5957
1786554300000,2026-08-12T17:05:00Z,1887,1887,1887,1887,0,0
1786554600000,2026-08-12T17:10:00Z,1887,1887,1883.3,1883.5,1.4,2636.6394
1786554900000,2026-08-12T17:15:00Z,1883.5,1883.5,1883.5,1883.5,0,0
1786555200000,2026-08-12T17:20:00Z,1883.5,1883.5,1880.4,1880.4,0.025,47.0196
1786555500000,2026-08-12T17:25:00Z,1880.4,1880.4,1880.4,1880.4,0,0
1786555800000,2026-08-12T17:30:00Z,1880.4,1880.4,1878.5,1878.5,0.868,1630.8047
1786556100000,2026-08-12T17:35:00Z,1878.5,1878.5,1878.5,1878.5,0,0
1786556400000,2026-08-12T17:40:00Z,1878.5,1878.5,1878.5,1878.5,0,0
1786556700000,2026-08-12T17:45:00Z,1878.5,1878.5,1878.5,1878.5,0,0
1786557000000,2026-08-12T17:50:00Z,1878.5,1878.5,1876,1876,0.139,260.7832
1786557300000,2026-08-12T17:55:00Z,1876,1876,1876,1876,0,0
1786557600000,2026-08-12T18:00:00Z,1876,1876,1866.3,1867.4,1.558,2909.0852
1786557900000,2026-08-12T18:05:00Z,1867.4,1867.4,1867.4,1867.4,0,0
1786558200000,2026-08-12T18:10:00Z,1867.4,1867.4,1865.1,1865.1,2.799,5222.8778
1786558500000,2026-08-12T18:15:00Z,1865.1,1865.1,1862.9,1862.9,0.57,1062.5562
1786558800000,2026-08-12T18:20:00Z,1862.9,1862.9,1856.4,1856.4,0.128,237.8072
1786559100000,2026-08-12T18:25:00Z,1856.4,1856.4,1856.4,1856.4,0,0
1786559400000,2026-08-12T18:30:00Z,1856.4,1856.4,1849.3,1851.8,1.163,2151.8034
1786559700000,2026-08-12T18:35:00Z,1851.8,1851.8,1843.3,1845.6,0.856,1581.6111
1786560000000,2026-08-12T18:40:00Z,1845.6,1845.6,1845.6,1845.6,0,0
1786560300000,2026-08-12T18:45:00Z,1845.6,1845.6,1845.6,1845.6,0,0
1786560600000,2026-08-12T18:50:00Z,1845.6,1849.2,1845.6,1847.2,0.881,1627.7838
1786560900000,2026-08-12T18:55:00Z,1847.2,1847.2,1847.2,1847.2,0,0
1786561200000,2026-08-12T19:00:00Z,1847.2,1857.5,1847.2,1857.5,0.517,960.3275
1786561500000,2026-08-12T19:05:00Z,1857.5,1857.5,1857.5,1857.5,0,0
1786561800000,2026-08-12T19:10:00Z,1857.5,1857.5,1851.8,1851.8,0.011,20.3698
1786562100000,2026-08-12T19:15:00Z,1851.8,1853.5,1851.8,1853.5,0.011,20.3885
1786562400000,2026-08-12T19:20:00Z,1853.5,1853.5,1852.4,1852.4,0.007,12.9668
1786562700000,2026-08-12T19:25:00Z,1852.4,1852.4,1845,1845.9,1.922,3549.1601
1786563000000,2026-08-12T19:30:00Z,1845.9,1845.9,1841.8,1841.8,0.633,1165.8594
1786563300000,2026-08-12T19:35:00Z,1841.8,1845.2,1841.8,1843,0.118,217.6246
1786563600000,2026-08-12T19:40:00Z,1843,1850.5,1843,1850.5,0.836,1546.708
1786563900000,2026-08-12T19:45:00Z,1850.5,1850.6,1848.8,1848.8,0.839,1551.9865
1786564200000,2026-08-12T19:50:00Z,1848.8,1848.8,1848.8,1848.8,0,0
1786564500000,2026-08-12T19:55:00Z,1848.8,1848.8,1848.8,1848.8,0,0
1786564800000,2026-08-12T20:00:00Z,1848.8,1848.8,1848.8,1848.8,0,0
1786565100000,2026-08-12T20:05:00Z,1848.8,1848.8,1839.4,1839.8,0.071,130.6284
1786565400000,2026-08-12T20:10:00Z,1839.8,1839.8,1839.8,1839.8,0,0
1786565700000,2026-08-12T20:15:00Z,1839.8,1839.8,1838.1,1838.1,0.017,31.2477
1786566000000,2026-08-12T20:20:00Z,1838.1,1838.1,1838.1,1838.1,0,0
1786566300000,2026-08-12T20:25:00Z,1838.1,1843.3,1836.3,1836.3,0.031,57.0309
