ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786966200000,2026-08-17T11:30:00Z,315.01,315.01,313.85,313.85,0.18,56.583
1786966500000,2026-08-17T11:35:00Z,313.85,314.39,313.85,314.39,0.03,9.4317
1786966800000,2026-08-17T11:40:00Z,314.39,314.75,313.87,313.87,0.07,21.9885
1786967100000,2026-08-17T11:45:00Z,313.87,313.87,313.87,313.87,0,0
1786967400000,2026-08-17T11:50:00Z,313.87,315.15,313.83,313.83,0.34,106.775
1786967700000,2026-08-17T11:55:00Z,313.83,313.83,313.83,313.83,0,0
1786968000000,2026-08-17T12:00:00Z,313.83,313.83,312.64,312.64,0.19,59.4534
1786968300000,2026-08-17T12:05:00Z,312.64,312.64,312.64,312.64,0,0
1786968600000,2026-08-17T12:10:00Z,312.64,312.64,312.64,312.64,0,0
1786968900000,2026-08-17T12:15:00Z,312.64,312.64,312.64,312.64,0,0
1786969200000,2026-08-17T12:20:00Z,312.64,312.64,312.64,312.64,0,0
1786969500000,2026-08-17T12:25:00Z,312.64,312.64,311.63,311.63,0.09,28.0467
1786969800000,2026-08-17T12:30:00Z,311.63,311.84,311.63,311.68,0.14,43.6464
1786970100000,2026-08-17T12:35:00Z,311.68,311.68,311.68,311.68,0,0
1786970400000,2026-08-17T12:40:00Z,311.68,311.68,311.68,311.68,0,0
1786970700000,2026-08-17T12:45:00Z,311.68,311.68,311.04,311.04,0.07,21.7728
1786971000000,2026-08-17T12:50:00Z,311.04,311.04,310.92,310.92,0.03,9.3276
1786971300000,2026-08-17T12:55:00Z,310.92,311.24,310.92,311.24,0.07,21.7868
1786971600000,2026-08-17T13:00:00Z,311.24,311.76,311.24,311.76,0.04,12.4704
1786971900000,2026-08-17T13:05:00Z,311.76,311.76,310.81,310.81,0.04,12.4324
1786972200000,2026-08-17T13:10:00Z,310.81,310.81,310.81,310.81,0,0
1786972500000,2026-08-17T13:15:00Z,310.81,310.81,310.77,310.77,0.03,9.3231
1786972800000,2026-08-17T13:20:00Z,310.77,310.77,310.45,310.45,1.71,530.8695
1786973100000,2026-08-17T13:25:00Z,310.45,312.13,310.05,310.05,0.15,46.6158
1786973400000,2026-08-17T13:30:00Z,310.05,325.54,308.32,312.42,3.54,1112.556
1786973700000,2026-08-17T13:35:00Z,312.42,312.42,309,309,0.04,12.36
1786974000000,2026-08-17T13:40:00Z,309,310.23,306.25,306.25,0.19,58.6101
1786974300000,2026-08-17T13:45:00Z,306.25,306.25,306.25,306.25,0,0
1786974600000,2026-08-17T13:50:00Z,306.25,307.9,304.96,307.9,0.53,162.2003
1786974900000,2026-08-17T13:55:00Z,307.9,311.18,306.81,311.18,0.23,71.2655
1786975200000,2026-08-17T14:00:00Z,311.18,311.18,309.4,309.41,0.45,139.3728
1786975500000,2026-08-17T14:05:00Z,309.41,309.41,308.5,308.5,0.25,77.1365
1786975800000,2026-08-17T14:10:00Z,308.5,308.5,306.73,306.73,0.26,79.8773
1786976100000,2026-08-17T14:15:00Z,306.73,307,306.39,306.76,0.32,98.1296
1786976400000,2026-08-17T14:20:00Z,306.76,312.47,305.1,306.42,0.97,297.2308
1786976700000,2026-08-17T14:25:00Z,306.42,307.44,306.42,306.84,0.7,214.8828
1786977000000,2026-08-17T14:30:00Z,306.84,306.84,306.84,306.84,0,0
1786977300000,2026-08-17T14:35:00Z,306.84,306.84,306.67,306.67,1.23,377.2041
1786977600000,2026-08-17T14:40:00Z,306.67,307.03,306.67,307.03,1.22,374.413
1786977900000,2026-08-17T14:45:00Z,307.03,307.03,305.98,306.11,0.29,88.7615
1786978200000,2026-08-17T14:50:00Z,306.11,306.11,304.8,304.8,0.03,9.144
1786978500000,2026-08-17T14:55:00Z,304.8,304.8,304.8,304.8,0,0
1786978800000,2026-08-17T15:00:00Z,304.8,304.8,304.8,304.8,0,0
1786979100000,2026-08-17T15:05:00Z,304.8,304.96,304.8,304.96,0.06,18.2976
1786979400000,2026-08-17T15:10:00Z,304.96,305.35,304.96,305.35,0.35,106.8725
1786979700000,2026-08-17T15:15:00Z,305.35,305.35,305.35,305.35,0,0
1786980000000,2026-08-17T15:20:00Z,305.35,305.35,305.35,305.35,0,0
1786980300000,2026-08-17T15:25:00Z,305.35,305.35,305.35,305.35,0,0
1786980600000,2026-08-17T15:30:00Z,305.35,306.74,305.35,306.74,0.11,33.7414
1786980900000,2026-08-17T15:35:00Z,306.74,306.74,306.24,306.24,0.08,24.4992
1786981200000,2026-08-17T15:40:00Z,306.24,307.4,306.24,307.4,0.05,15.37
1786981500000,2026-08-17T15:45:00Z,307.4,307.4,307.4,307.4,0,0
1786981800000,2026-08-17T15:50:00Z,307.4,307.61,307.4,307.61,0.04,12.3044
1786982100000,2026-08-17T15:55:00Z,307.61,307.61,307.61,307.61,0.09,27.6849
1786982400000,2026-08-17T16:00:00Z,307.61,307.61,307.61,307.61,0,0
1786982700000,2026-08-17T16:05:00Z,307.61,307.61,307.61,307.61,0,0
1786983000000,2026-08-17T16:10:00Z,307.61,307.61,306.32,306.32,0.05,15.316
1786983300000,2026-08-17T16:15:00Z,306.32,306.33,306.32,306.33,0.06,18.3798
1786983600000,2026-08-17T16:20:00Z,306.33,306.33,306.33,306.33,0,0
1786983900000,2026-08-17T16:25:00Z,306.33,306.8,306.33,306.54,0.18,55.1928
1786984200000,2026-08-17T16:30:00Z,306.54,307.42,306.52,307.42,0.45,137.9955
1786984500000,2026-08-17T16:35:00Z,307.42,307.76,306.85,307.76,0.16,49.2052
1786984800000,2026-08-17T16:40:00Z,307.76,307.76,306.48,306.48,0.12,36.7776
1786985100000,2026-08-17T16:45:00Z,306.48,306.48,306.48,306.48,0,0
1786985400000,2026-08-17T16:50:00Z,306.48,306.76,306.48,306.76,0.09,27.6084
1786985700000,2026-08-17T16:55:00Z,306.76,307.19,306.76,307.19,0.12,36.8628
1786986000000,2026-08-17T17:00:00Z,307.19,307.51,307.19,307.51,0.05,15.3755
1786986300000,2026-08-17T17:05:00Z,307.51,307.51,307.51,307.51,0,0
1786986600000,2026-08-17T17:10:00Z,307.51,308.26,307.51,308.26,0.05,15.413
1786986900000,2026-08-17T17:15:00Z,308.26,308.26,308.26,308.26,0,0
1786987200000,2026-08-17T17:20:00Z,308.26,308.3,308.26,308.3,0.82,252.7943
1786987500000,2026-08-17T17:25:00Z,308.3,308.3,308.3,308.3,0,0
1786987800000,2026-08-17T17:30:00Z,308.3,309.25,308.3,308.9,1.15,355.347
1786988100000,2026-08-17T17:35:00Z,308.9,308.9,308.37,308.46,0.4,123.3552
1786988400000,2026-08-17T17:40:00Z,308.46,308.46,308.46,308.46,0,0
1786988700000,2026-08-17T17:45:00Z,308.46,308.46,308.21,308.21,0.04,12.3284
1786989000000,2026-08-17T17:50:00Z,308.21,308.21,308.21,308.21,0,0
1786989300000,2026-08-17T17:55:00Z,308.21,308.21,308.08,308.08,0.09,27.7272
1786989600000,2026-08-17T18:00:00Z,308.08,308.5,308.08,308.5,0.07,21.595
1786989900000,2026-08-17T18:05:00Z,308.5,308.5,308.5,308.5,0,0
1786990200000,2026-08-17T18:10:00Z,308.5,308.5,307.71,307.71,0.12,36.9252
1786990500000,2026-08-17T18:15:00Z,307.71,307.71,306.73,306.79,0.12,36.8112
1786990800000,2026-08-17T18:20:00Z,306.79,306.96,306.79,306.8,0.47,144.2584
1786991100000,2026-08-17T18:25:00Z,306.8,307.11,306.09,306.09,1.02,312.2934
1786991400000,2026-08-17T18:30:00Z,306.09,306.58,306.09,306.58,0.68,208.3603
1786991700000,2026-08-17T18:35:00Z,306.58,306.58,306.04,306.04,0.04,12.2416
1786992000000,2026-08-17T18:40:00Z,306.04,306.04,305.95,305.95,0.08,24.476
1786992300000,2026-08-17T18:45:00Z,305.95,305.95,305.39,305.61,0.16,48.88
1786992600000,2026-08-17T18:50:00Z,305.61,305.61,305.61,305.61,0,0
1786992900000,2026-08-17T18:55:00Z,305.61,305.61,305.61,305.61,0,0
1786993200000,2026-08-17T19:00:00Z,305.61,306.53,305.61,306.53,0.04,12.2612
1786993500000,2026-08-17T19:05:00Z,306.53,306.53,306.53,306.53,0,0
