ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,4.578,4.582,4.577,4.582,21.08,96.51604
1786549500000,2026-08-12T15:45:00Z,4.582,4.582,4.582,4.582,0,0
1786549800000,2026-08-12T15:50:00Z,4.582,4.582,4.582,4.582,0,0
1786550100000,2026-08-12T15:55:00Z,4.582,4.588,4.582,4.588,106.17,487.04724
1786550400000,2026-08-12T16:00:00Z,4.588,4.588,4.588,4.588,0,0
1786550700000,2026-08-12T16:05:00Z,4.588,4.588,4.588,4.588,0,0
1786551000000,2026-08-12T16:10:00Z,4.588,4.588,4.588,4.588,0,0
1786551300000,2026-08-12T16:15:00Z,4.588,4.588,4.579,4.579,49.32,225.83628
1786551600000,2026-08-12T16:20:00Z,4.579,4.579,4.579,4.579,0,0
1786551900000,2026-08-12T16:25:00Z,4.579,4.581,4.579,4.581,3.45,15.80445
1786552200000,2026-08-12T16:30:00Z,4.581,4.581,4.581,4.581,0,0
1786552500000,2026-08-12T16:35:00Z,4.581,4.581,4.581,4.581,0,0
1786552800000,2026-08-12T16:40:00Z,4.581,4.581,4.58,4.58,6.06,27.7548
1786553100000,2026-08-12T16:45:00Z,4.58,4.582,4.58,4.582,5.89,26.98798
1786553400000,2026-08-12T16:50:00Z,4.582,4.582,4.582,4.582,0,0
1786553700000,2026-08-12T16:55:00Z,4.582,4.583,4.582,4.583,8.37,38.35971
1786554000000,2026-08-12T17:00:00Z,4.583,4.586,4.576,4.576,31.57,144.58084
1786554300000,2026-08-12T17:05:00Z,4.576,4.576,4.571,4.571,965.43,4412.98053
1786554600000,2026-08-12T17:10:00Z,4.571,4.571,4.564,4.564,87.83,401.44811
1786554900000,2026-08-12T17:15:00Z,4.564,4.564,4.564,4.564,433.62,1979.04168
1786555200000,2026-08-12T17:20:00Z,4.564,4.565,4.564,4.565,482.56,2202.45743
1786555500000,2026-08-12T17:25:00Z,4.565,4.565,4.555,4.555,940,4281.7
1786555800000,2026-08-12T17:30:00Z,4.555,4.555,4.555,4.555,0,0
1786556100000,2026-08-12T17:35:00Z,4.555,4.559,4.555,4.559,6.23,28.40257
1786556400000,2026-08-12T17:40:00Z,4.559,4.566,4.559,4.562,36.96,168.75824
1786556700000,2026-08-12T17:45:00Z,4.562,4.562,4.562,4.562,0,0
1786557000000,2026-08-12T17:50:00Z,4.562,4.562,4.542,4.554,18.33,83.43869
