ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786548600000,2026-08-12T15:30:00Z,123.39,123.52,123.31,123.31,1.38,170.3358
1786548900000,2026-08-12T15:35:00Z,123.31,123.31,123.31,123.31,0,0
1786549200000,2026-08-12T15:40:00Z,123.31,123.31,123.31,123.31,0,0
1786549500000,2026-08-12T15:45:00Z,123.31,123.94,123.31,123.83,2.1,259.9934
1786549800000,2026-08-12T15:50:00Z,123.83,123.83,123.83,123.83,0,0
1786550100000,2026-08-12T15:55:00Z,123.83,123.94,123.83,123.94,0.07,8.6758
1786550400000,2026-08-12T16:00:00Z,123.94,123.94,123.78,123.78,21.64,2678.6154
1786550700000,2026-08-12T16:05:00Z,123.78,124.08,123.78,124.08,0.04,4.9632
1786551000000,2026-08-12T16:10:00Z,124.08,124.53,124.08,124.46,49.59,6167.6357
1786551300000,2026-08-12T16:15:00Z,124.46,124.9,124.46,124.8,11.98,1494.4046
1786551600000,2026-08-12T16:20:00Z,124.8,124.8,124.77,124.77,0.05,6.2385
1786551900000,2026-08-12T16:25:00Z,124.77,124.77,124.77,124.77,0,0
1786552200000,2026-08-12T16:30:00Z,124.77,124.77,124.31,124.31,1.35,168.1061
1786552500000,2026-08-12T16:35:00Z,124.31,124.31,124.31,124.31,0,0
1786552800000,2026-08-12T16:40:00Z,124.31,124.31,124.31,124.31,0,0
1786553100000,2026-08-12T16:45:00Z,124.31,124.48,124.31,124.48,5,622.4
1786553400000,2026-08-12T16:50:00Z,124.48,124.65,124.48,124.65,0.09,11.2185
1786553700000,2026-08-12T16:55:00Z,124.65,124.65,124.65,124.65,0,0
1786554000000,2026-08-12T17:00:00Z,124.65,124.65,124.25,124.25,0.57,70.8225
1786554300000,2026-08-12T17:05:00Z,124.25,124.25,124.18,124.18,1.07,132.8783
1786554600000,2026-08-12T17:10:00Z,124.18,124.26,124.18,124.26,0.57,70.8282
1786554900000,2026-08-12T17:15:00Z,124.26,124.26,124.26,124.26,0,0
1786555200000,2026-08-12T17:20:00Z,124.26,124.26,124.26,124.26,0,0
1786555500000,2026-08-12T17:25:00Z,124.26,124.46,124.26,124.46,0.57,70.9422
1786555800000,2026-08-12T17:30:00Z,124.46,124.46,124.46,124.46,0,0
