ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,383.86,383.86,383.61,383.61,0.04,15.3444
1786549500000,2026-08-12T15:45:00Z,383.61,383.69,383.61,383.69,0.06,23.0214
1786549800000,2026-08-12T15:50:00Z,383.69,384.33,383.69,384.33,0.05,19.2165
1786550100000,2026-08-12T15:55:00Z,384.33,384.33,383.64,383.64,0.03,11.5092
1786550400000,2026-08-12T16:00:00Z,383.64,384.26,383.64,384.26,0.66,253.5566
1786550700000,2026-08-12T16:05:00Z,384.26,384.26,384.26,384.26,0,0
1786551000000,2026-08-12T16:10:00Z,384.26,384.95,384.26,384.95,0.11,42.3445
1786551300000,2026-08-12T16:15:00Z,384.95,385.24,384.9,385.24,0.37,142.4978
1786551600000,2026-08-12T16:20:00Z,385.24,385.87,385.24,385.87,0.48,185.1158
1786551900000,2026-08-12T16:25:00Z,385.87,385.87,385.26,385.26,0.59,227.3265
1786552200000,2026-08-12T16:30:00Z,385.26,385.26,385.26,385.26,0,0
1786552500000,2026-08-12T16:35:00Z,385.26,385.26,384.08,384.08,0.05,19.204
1786552800000,2026-08-12T16:40:00Z,384.08,384.08,383.81,383.81,0.14,53.7478
1786553100000,2026-08-12T16:45:00Z,383.81,383.81,383.81,383.81,0,0
1786553400000,2026-08-12T16:50:00Z,383.81,383.81,381.79,381.79,0.26,99.3981
1786553700000,2026-08-12T16:55:00Z,381.79,381.79,380.65,380.65,0.05,19.0325
1786554000000,2026-08-12T17:00:00Z,380.65,380.65,380.65,380.65,0,0
1786554300000,2026-08-12T17:05:00Z,380.65,380.65,380.31,380.31,0.37,140.7693
1786554600000,2026-08-12T17:10:00Z,380.31,380.31,379.8,379.8,0.26,98.795
1786554900000,2026-08-12T17:15:00Z,379.8,379.8,379.51,379.51,0.16,60.7238
1786555200000,2026-08-12T17:20:00Z,379.51,379.51,378.97,378.97,0.08,30.3176
1786555500000,2026-08-12T17:25:00Z,378.97,380.21,378.97,380.21,0.22,83.6112
1786555800000,2026-08-12T17:30:00Z,380.21,380.65,380.21,380.65,0.29,110.3705
1786556100000,2026-08-12T17:35:00Z,380.65,381.7,380.65,381.7,0.24,91.5588
1786556400000,2026-08-12T17:40:00Z,381.7,382.2,381.7,382.2,0.54,206.3286
1786556700000,2026-08-12T17:45:00Z,382.2,382.94,382.2,382.94,0.39,149.312
1786557000000,2026-08-12T17:50:00Z,382.94,382.94,382.7,382.7,0.1,38.27
1786557300000,2026-08-12T17:55:00Z,382.7,383.37,382.7,383.37,0.12,46.0044
1786557600000,2026-08-12T18:00:00Z,383.37,384.1,383.37,384.1,0.54,207.3076
1786557900000,2026-08-12T18:05:00Z,384.1,384.1,384.1,384.1,0,0
1786558200000,2026-08-12T18:10:00Z,384.1,384.1,384.1,384.1,0,0
1786558500000,2026-08-12T18:15:00Z,384.1,384.1,384.1,384.1,0,0
1786558800000,2026-08-12T18:20:00Z,384.1,385.24,384.1,385.24,0.28,107.8109
1786559100000,2026-08-12T18:25:00Z,385.24,385.24,385.24,385.24,0,0
1786559400000,2026-08-12T18:30:00Z,385.24,385.24,385.24,385.24,0,0
1786559700000,2026-08-12T18:35:00Z,385.24,385.65,384.42,385.65,0.37,142.5666
1786560000000,2026-08-12T18:40:00Z,385.65,385.84,385.65,385.84,0.12,46.3008
1786560300000,2026-08-12T18:45:00Z,385.84,385.99,385.81,385.99,0.38,146.6546
1786560600000,2026-08-12T18:50:00Z,385.99,385.99,385.99,385.99,0,0
1786560900000,2026-08-12T18:55:00Z,385.99,385.99,384.46,384.67,1.85,712.5774
1786561200000,2026-08-12T19:00:00Z,384.67,384.67,384.67,384.67,0,0
1786561500000,2026-08-12T19:05:00Z,384.67,387.89,384.67,387.55,0.41,158.8562
1786561800000,2026-08-12T19:10:00Z,387.55,387.55,387.55,387.55,0,0
1786562100000,2026-08-12T19:15:00Z,387.55,387.55,386.88,387.04,9.07,3510.4352
1786562400000,2026-08-12T19:20:00Z,387.04,387.04,386.58,386.58,0.24,92.808
1786562700000,2026-08-12T19:25:00Z,386.58,387.04,386.58,387.04,0.16,61.9264
1786563000000,2026-08-12T19:30:00Z,387.04,387.04,386.39,386.39,0.24,92.748
1786563300000,2026-08-12T19:35:00Z,386.39,386.39,386.39,386.39,0,0
1786563600000,2026-08-12T19:40:00Z,386.39,387.55,386.39,387.55,0.39,151.0395
1786563900000,2026-08-12T19:45:00Z,387.55,387.55,387.55,387.55,0,0
1786564200000,2026-08-12T19:50:00Z,387.55,389.97,387.55,388.61,6.1,2368.7513
1786564500000,2026-08-12T19:55:00Z,388.61,389.8,387.26,387.26,1.34,519.7488
1786564800000,2026-08-12T20:00:00Z,387.26,387.26,387.26,387.26,0,0
1786565100000,2026-08-12T20:05:00Z,387.26,388.04,387.26,388.04,0.12,46.5648
1786565400000,2026-08-12T20:10:00Z,388.04,388.04,387.95,387.95,0.12,46.554
1786565700000,2026-08-12T20:15:00Z,387.95,388.62,387.48,388.62,0.4,155.1864
1786566000000,2026-08-12T20:20:00Z,388.62,388.62,387.77,387.77,0.03,11.6331
1786566300000,2026-08-12T20:25:00Z,387.77,387.77,387.77,387.77,0,0
1786566600000,2026-08-12T20:30:00Z,387.77,387.77,387.67,387.67,0.08,31.0136
1786566900000,2026-08-12T20:35:00Z,387.67,387.67,387.59,387.59,0.06,23.2554
1786567200000,2026-08-12T20:40:00Z,387.59,387.59,387.51,387.51,0.12,46.5012
1786567500000,2026-08-12T20:45:00Z,387.51,387.51,387.51,387.51,0,0
1786567800000,2026-08-12T20:50:00Z,387.51,387.51,387.51,387.51,0,0
1786568100000,2026-08-12T20:55:00Z,387.51,387.51,386.75,387.45,0.06,23.226
1786568400000,2026-08-12T21:00:00Z,387.45,387.45,387.45,387.45,0,0
1786568700000,2026-08-12T21:05:00Z,387.45,387.45,387.45,387.45,0,0
1786569000000,2026-08-12T21:10:00Z,387.45,387.45,387.45,387.45,0,0
1786569300000,2026-08-12T21:15:00Z,387.45,387.45,387.4,387.4,0.09,34.866
1786569600000,2026-08-12T21:20:00Z,387.4,387.54,387.4,387.54,0.05,19.377
1786569900000,2026-08-12T21:25:00Z,387.54,387.54,387.54,387.54,0,0
1786570200000,2026-08-12T21:30:00Z,387.54,387.54,387.06,387.06,0.04,15.4824
1786570500000,2026-08-12T21:35:00Z,387.06,387.42,387.06,387.42,0.06,23.2452
1786570800000,2026-08-12T21:40:00Z,387.42,388.62,387.42,388.62,1.35,524.637
1786571100000,2026-08-12T21:45:00Z,388.62,388.62,387.79,387.79,0.05,19.3895
1786571400000,2026-08-12T21:50:00Z,387.79,387.79,387.79,387.79,0,0
1786571700000,2026-08-12T21:55:00Z,387.79,387.79,387.5,387.5,0.04,15.5
1786572000000,2026-08-12T22:00:00Z,387.5,387.5,387.5,387.5,0,0
1786572300000,2026-08-12T22:05:00Z,387.5,387.5,387.5,387.5,0,0
1786572600000,2026-08-12T22:10:00Z,387.5,388.68,387.18,388.68,0.08,31.0344
1786572900000,2026-08-12T22:15:00Z,388.68,388.68,387.84,387.84,0.07,27.1488
1786573200000,2026-08-12T22:20:00Z,387.84,387.84,387.84,387.84,0,0
1786573500000,2026-08-12T22:25:00Z,387.84,389.1,387.84,389.1,0.44,171.0396
1786573800000,2026-08-12T22:30:00Z,389.1,389.1,389.1,389.1,0,0
1786574100000,2026-08-12T22:35:00Z,389.1,389.1,389.1,389.1,0,0
1786574400000,2026-08-12T22:40:00Z,389.1,389.1,389.1,389.1,0,0
1786574700000,2026-08-12T22:45:00Z,389.1,389.1,387.77,387.77,0.02,7.7554
1786575000000,2026-08-12T22:50:00Z,387.77,387.84,387.77,387.84,0.04,15.5136
1786575300000,2026-08-12T22:55:00Z,387.84,388.02,387.84,388.02,0.03,11.6406
1786575600000,2026-08-12T23:00:00Z,388.02,388.21,388.02,388.21,0.03,11.6463
1786575900000,2026-08-12T23:05:00Z,388.21,388.21,388.21,388.21,0,0
1786576200000,2026-08-12T23:10:00Z,388.21,388.21,388.21,388.21,0,0
1786576500000,2026-08-12T23:15:00Z,388.21,388.21,388.21,388.21,0,0
1786576800000,2026-08-12T23:20:00Z,388.21,388.41,388.21,388.41,0.09,34.9569
1786577100000,2026-08-12T23:25:00Z,388.41,388.41,388.41,388.41,0,0
1786577400000,2026-08-12T23:30:00Z,388.41,388.41,388.41,388.41,0,0
1786577700000,2026-08-12T23:35:00Z,388.41,388.41,388.31,388.31,0.09,34.9479
1786578000000,2026-08-12T23:40:00Z,388.31,388.31,388.31,388.31,0,0
1786578300000,2026-08-12T23:45:00Z,388.31,388.31,388.31,388.31,0,0
1786578600000,2026-08-12T23:50:00Z,388.31,388.31,388.31,388.31,0,0
1786578900000,2026-08-12T23:55:00Z,388.31,388.31,388.03,388.03,0.07,27.1621
1786579200000,2026-08-13T00:00:00Z,388.03,388.06,388.03,388.06,0.02,7.7612
1786579500000,2026-08-13T00:05:00Z,388.06,388.06,388.06,388.06,0,0
1786579800000,2026-08-13T00:10:00Z,388.06,388.06,388.06,388.06,0,0
1786580100000,2026-08-13T00:15:00Z,388.06,388.84,388.06,388.84,0.06,23.3304
1786580400000,2026-08-13T00:20:00Z,388.84,388.84,388.84,388.84,0,0
1786580700000,2026-08-13T00:25:00Z,388.84,388.89,388.84,388.89,0.03,11.6667
1786581000000,2026-08-13T00:30:00Z,388.89,388.94,387.84,388.94,0.18,69.9102
1786581300000,2026-08-13T00:35:00Z,388.94,388.94,388.3,388.3,0.09,34.947
1786581600000,2026-08-13T00:40:00Z,388.3,388.3,388.3,388.3,0,0
1786581900000,2026-08-13T00:45:00Z,388.3,388.3,388.25,388.25,0.02,7.765
1786582200000,2026-08-13T00:50:00Z,388.25,388.44,388.25,388.44,0.04,15.5376
