ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786548900000,2026-08-12T15:35:00Z,88.75,88.75,88.53,88.68,0.3,26.5815
1786549200000,2026-08-12T15:40:00Z,88.68,88.68,88.68,88.68,0,0
1786549500000,2026-08-12T15:45:00Z,88.68,88.68,88.67,88.67,8.49,752.8083
1786549800000,2026-08-12T15:50:00Z,88.67,88.67,88.67,88.67,0,0
1786550100000,2026-08-12T15:55:00Z,88.67,88.67,88.67,88.67,0,0
1786550400000,2026-08-12T16:00:00Z,88.67,88.67,88.25,88.36,66.9,5916.6059
1786550700000,2026-08-12T16:05:00Z,88.36,88.5,88.36,88.5,6.16,545.16
1786551000000,2026-08-12T16:10:00Z,88.5,88.56,88.5,88.56,5.92,524.2752
1786551300000,2026-08-12T16:15:00Z,88.56,88.75,88.56,88.75,0.11,9.7625
1786551600000,2026-08-12T16:20:00Z,88.75,88.8,88.75,88.8,8,710.055
1786551900000,2026-08-12T16:25:00Z,88.8,88.8,88.8,88.8,0,0
1786552200000,2026-08-12T16:30:00Z,88.8,88.8,88.57,88.57,8.1,717.417
1786552500000,2026-08-12T16:35:00Z,88.57,88.57,88.5,88.5,0.11,9.735
1786552800000,2026-08-12T16:40:00Z,88.5,88.62,88.5,88.62,6.56,581.3472
1786553100000,2026-08-12T16:45:00Z,88.62,88.62,88.62,88.62,0,0
1786553400000,2026-08-12T16:50:00Z,88.62,88.7,88.62,88.7,0.07,6.209
1786553700000,2026-08-12T16:55:00Z,88.7,88.7,88.7,88.7,0,0
1786554000000,2026-08-12T17:00:00Z,88.7,88.7,88.7,88.7,0,0
1786554300000,2026-08-12T17:05:00Z,88.7,88.7,88.54,88.54,1.41,124.8414
1786554600000,2026-08-12T17:10:00Z,88.54,88.67,88.54,88.67,6.76,599.3845
1786554900000,2026-08-12T17:15:00Z,88.67,88.71,88.67,88.69,12.84,1139.0344
1786555200000,2026-08-12T17:20:00Z,88.69,88.69,88.69,88.69,0,0
1786555500000,2026-08-12T17:25:00Z,88.69,88.8,88.56,88.8,0.64,56.7497
1786555800000,2026-08-12T17:30:00Z,88.8,88.8,88.68,88.68,0.25,22.17
1786556100000,2026-08-12T17:35:00Z,88.68,88.68,88.66,88.66,0.19,16.8454
1786556400000,2026-08-12T17:40:00Z,88.66,88.73,88.66,88.73,1.39,123.3347
1786556700000,2026-08-12T17:45:00Z,88.73,88.73,88.73,88.73,0,0
1786557000000,2026-08-12T17:50:00Z,88.73,88.73,88.73,88.73,0,0
1786557300000,2026-08-12T17:55:00Z,88.73,88.73,88.47,88.47,0.62,54.9146
1786557600000,2026-08-12T18:00:00Z,88.47,88.68,88.47,88.68,1.26,111.7368
1786557900000,2026-08-12T18:05:00Z,88.68,88.68,88.68,88.68,0,0
1786558200000,2026-08-12T18:10:00Z,88.68,88.68,88.59,88.59,0.31,27.4629
1786558500000,2026-08-12T18:15:00Z,88.59,88.75,88.59,88.75,0.11,9.7625
1786558800000,2026-08-12T18:20:00Z,88.75,88.75,88.75,88.75,0,0
1786559100000,2026-08-12T18:25:00Z,88.75,88.75,88.75,88.75,0,0
1786559400000,2026-08-12T18:30:00Z,88.75,88.75,88.75,88.75,0,0
1786559700000,2026-08-12T18:35:00Z,88.75,88.75,88.73,88.73,0.07,6.2111
1786560000000,2026-08-12T18:40:00Z,88.73,88.73,88.73,88.73,0,0
1786560300000,2026-08-12T18:45:00Z,88.73,88.73,88.58,88.7,25.35,2248.3134
1786560600000,2026-08-12T18:50:00Z,88.7,88.7,88.7,88.7,0,0
1786560900000,2026-08-12T18:55:00Z,88.7,88.72,88.7,88.72,4.27,378.8344
1786561200000,2026-08-12T19:00:00Z,88.72,88.72,88.72,88.72,0,0
1786561500000,2026-08-12T19:05:00Z,88.72,88.72,88.72,88.72,0,0
1786561800000,2026-08-12T19:10:00Z,88.72,89,88.67,89,0.34,30.2039
1786562100000,2026-08-12T19:15:00Z,89,89,88.94,88.94,0.42,37.3548
1786562400000,2026-08-12T19:20:00Z,88.94,89.12,88.86,89.12,0.64,56.9525
1786562700000,2026-08-12T19:25:00Z,89.12,89.12,88.92,88.92,0.91,80.9172
1786563000000,2026-08-12T19:30:00Z,88.92,89.18,88.92,89.18,8.39,747.8237
1786563300000,2026-08-12T19:35:00Z,89.18,89.18,89.18,89.18,0,0
