ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,8.808,8.84,8.808,8.84,6.43,56.8412
1786549500000,2026-08-12T15:45:00Z,8.84,8.84,8.822,8.822,8.09,71.38294
1786549800000,2026-08-12T15:50:00Z,8.822,8.822,8.822,8.822,0,0
1786550100000,2026-08-12T15:55:00Z,8.822,8.822,8.822,8.822,0,0
1786550400000,2026-08-12T16:00:00Z,8.822,8.822,8.822,8.822,0,0
1786550700000,2026-08-12T16:05:00Z,8.822,8.924,8.822,8.924,43.85,391.17263
1786551000000,2026-08-12T16:10:00Z,8.924,8.924,8.907,8.907,6.36,56.64852
1786551300000,2026-08-12T16:15:00Z,8.907,8.907,8.879,8.879,19.65,174.49185
1786551600000,2026-08-12T16:20:00Z,8.879,8.936,8.879,8.936,6.45,57.6372
1786551900000,2026-08-12T16:25:00Z,8.936,8.936,8.936,8.936,0,0
1786552200000,2026-08-12T16:30:00Z,8.936,8.936,8.936,8.936,0,0
1786552500000,2026-08-12T16:35:00Z,8.936,8.962,8.936,8.962,0.56,5.01872
1786552800000,2026-08-12T16:40:00Z,8.962,8.962,8.904,8.904,272.54,2434.57311
1786553100000,2026-08-12T16:45:00Z,8.904,8.952,8.904,8.952,7.55,67.58106
1786553400000,2026-08-12T16:50:00Z,8.952,8.967,8.929,8.967,4.36,39.01328
1786553700000,2026-08-12T16:55:00Z,8.967,8.967,8.967,8.967,0,0
1786554000000,2026-08-12T17:00:00Z,8.967,8.967,8.937,8.937,2.92,26.09604
1786554300000,2026-08-12T17:05:00Z,8.937,8.953,8.937,8.953,2.02,18.08506
1786554600000,2026-08-12T17:10:00Z,8.953,8.953,8.946,8.946,2.6,23.2596
1786554900000,2026-08-12T17:15:00Z,8.946,8.946,8.946,8.946,0,0
1786555200000,2026-08-12T17:20:00Z,8.946,8.946,8.946,8.946,0,0
1786555500000,2026-08-12T17:25:00Z,8.946,8.946,8.946,8.946,0,0
1786555800000,2026-08-12T17:30:00Z,8.946,8.946,8.931,8.931,2.55,22.77405
1786556100000,2026-08-12T17:35:00Z,8.931,8.931,8.922,8.922,2.02,18.02244
1786556400000,2026-08-12T17:40:00Z,8.922,8.922,8.922,8.922,0,0
1786556700000,2026-08-12T17:45:00Z,8.922,8.922,8.922,8.922,0,0
1786557000000,2026-08-12T17:50:00Z,8.922,8.922,8.922,8.922,0,0
1786557300000,2026-08-12T17:55:00Z,8.922,8.94,8.922,8.94,4.02,35.9388
1786557600000,2026-08-12T18:00:00Z,8.94,8.94,8.94,8.94,0,0
1786557900000,2026-08-12T18:05:00Z,8.94,8.959,8.94,8.959,6.31,56.53129
1786558200000,2026-08-12T18:10:00Z,8.959,8.959,8.959,8.959,0,0
1786558500000,2026-08-12T18:15:00Z,8.959,8.959,8.959,8.959,0,0
1786558800000,2026-08-12T18:20:00Z,8.959,8.959,8.944,8.944,2.14,19.14016
1786559100000,2026-08-12T18:25:00Z,8.944,8.944,8.943,8.943,2.78,24.86154
1786559400000,2026-08-12T18:30:00Z,8.943,8.943,8.943,8.943,0,0
1786559700000,2026-08-12T18:35:00Z,8.943,8.965,8.943,8.965,3.77,33.79805
1786560000000,2026-08-12T18:40:00Z,8.965,8.965,8.965,8.965,0,0
1786560300000,2026-08-12T18:45:00Z,8.965,8.965,8.965,8.965,0,0
1786560600000,2026-08-12T18:50:00Z,8.965,8.965,8.937,8.937,1.57,14.03109
1786560900000,2026-08-12T18:55:00Z,8.937,8.937,8.937,8.937,1.76,15.72912
1786561200000,2026-08-12T19:00:00Z,8.937,8.946,8.937,8.946,3.03,27.10638
1786561500000,2026-08-12T19:05:00Z,8.946,8.967,8.946,8.967,248.66,2229.7082
1786561800000,2026-08-12T19:10:00Z,8.967,8.967,8.967,8.967,0,0
1786562100000,2026-08-12T19:15:00Z,8.967,9.01,8.967,9.01,56.37,507.82709
1786562400000,2026-08-12T19:20:00Z,9.01,9.01,8.969,8.969,3.98,35.69662
1786562700000,2026-08-12T19:25:00Z,8.969,8.982,8.969,8.982,2.66,23.89212
1786563000000,2026-08-12T19:30:00Z,8.982,8.982,8.943,8.943,3.75,33.53625
1786563300000,2026-08-12T19:35:00Z,8.943,8.943,8.943,8.943,0,0
1786563600000,2026-08-12T19:40:00Z,8.943,8.943,8.943,8.943,0,0
1786563900000,2026-08-12T19:45:00Z,8.943,8.943,8.919,8.919,2.86,25.50834
1786564200000,2026-08-12T19:50:00Z,8.919,8.926,8.919,8.926,6.59,58.82234
1786564500000,2026-08-12T19:55:00Z,8.926,8.926,8.926,8.926,0,0
1786564800000,2026-08-12T20:00:00Z,8.926,8.955,8.926,8.953,90.75,812.59622
1786565100000,2026-08-12T20:05:00Z,8.953,8.953,8.953,8.953,0,0
1786565400000,2026-08-12T20:10:00Z,8.953,8.953,8.925,8.925,106.99,955.44139
1786565700000,2026-08-12T20:15:00Z,8.925,8.925,8.925,8.925,0,0
1786566000000,2026-08-12T20:20:00Z,8.925,8.925,8.925,8.925,0,0
1786566300000,2026-08-12T20:25:00Z,8.925,8.925,8.925,8.925,0,0
1786566600000,2026-08-12T20:30:00Z,8.925,8.925,8.914,8.914,1.5,13.371
1786566900000,2026-08-12T20:35:00Z,8.914,8.914,8.914,8.914,0,0
1786567200000,2026-08-12T20:40:00Z,8.914,8.914,8.904,8.904,2.7,24.0408
1786567500000,2026-08-12T20:45:00Z,8.904,8.904,8.904,8.904,0,0
1786567800000,2026-08-12T20:50:00Z,8.904,8.904,8.904,8.904,0,0
1786568100000,2026-08-12T20:55:00Z,8.904,8.922,8.889,8.922,6.98,62.16039
1786568400000,2026-08-12T21:00:00Z,8.922,8.922,8.922,8.922,0,0
1786568700000,2026-08-12T21:05:00Z,8.922,8.922,8.894,8.894,1.42,12.62948
1786569000000,2026-08-12T21:10:00Z,8.894,8.894,8.894,8.894,0,0
1786569300000,2026-08-12T21:15:00Z,8.894,8.894,8.894,8.894,0,0
1786569600000,2026-08-12T21:20:00Z,8.894,8.894,8.894,8.894,0,0
1786569900000,2026-08-12T21:25:00Z,8.894,8.909,8.894,8.909,4.37,38.93233
1786570200000,2026-08-12T21:30:00Z,8.909,8.909,8.909,8.909,0,0
1786570500000,2026-08-12T21:35:00Z,8.909,8.909,8.909,8.909,0,0
1786570800000,2026-08-12T21:40:00Z,8.909,8.909,8.909,8.909,2.84,25.30156
1786571100000,2026-08-12T21:45:00Z,8.909,8.909,8.909,8.909,0,0
1786571400000,2026-08-12T21:50:00Z,8.909,8.909,8.909,8.909,0,0
1786571700000,2026-08-12T21:55:00Z,8.909,8.909,8.909,8.909,0,0
1786572000000,2026-08-12T22:00:00Z,8.909,8.909,8.89,8.89,3.58,31.8262
1786572300000,2026-08-12T22:05:00Z,8.89,8.89,8.89,8.89,0,0
1786572600000,2026-08-12T22:10:00Z,8.89,8.89,8.885,8.885,1.28,11.3728
1786572900000,2026-08-12T22:15:00Z,8.885,8.885,8.885,8.885,0,0
1786573200000,2026-08-12T22:20:00Z,8.885,8.885,8.885,8.885,0,0
1786573500000,2026-08-12T22:25:00Z,8.885,8.885,8.885,8.885,0,0
1786573800000,2026-08-12T22:30:00Z,8.885,8.9,8.861,8.861,3.86,34.27873
1786574100000,2026-08-12T22:35:00Z,8.861,8.861,8.861,8.861,0,0
1786574400000,2026-08-12T22:40:00Z,8.861,8.889,8.861,8.889,3.91,34.75599
1786574700000,2026-08-12T22:45:00Z,8.889,8.894,8.889,8.894,1.73,15.38662
1786575000000,2026-08-12T22:50:00Z,8.894,8.906,8.894,8.906,2.66,23.68996
1786575300000,2026-08-12T22:55:00Z,8.906,8.906,8.906,8.906,0,0
1786575600000,2026-08-12T23:00:00Z,8.906,8.906,8.899,8.899,4.28,38.08772
1786575900000,2026-08-12T23:05:00Z,8.899,8.899,8.898,8.898,2.1,18.6858
1786576200000,2026-08-12T23:10:00Z,8.898,8.898,8.898,8.898,0,0
1786576500000,2026-08-12T23:15:00Z,8.898,8.918,8.898,8.918,2.62,23.36516
1786576800000,2026-08-12T23:20:00Z,8.918,8.918,8.918,8.918,0,0
1786577100000,2026-08-12T23:25:00Z,8.918,8.918,8.901,8.902,13.76,122.48589
1786577400000,2026-08-12T23:30:00Z,8.902,8.913,8.902,8.913,3.68,32.79984
1786577700000,2026-08-12T23:35:00Z,8.913,8.913,8.903,8.903,3.92,34.89976
1786578000000,2026-08-12T23:40:00Z,8.903,8.903,8.903,8.903,0,0
1786578300000,2026-08-12T23:45:00Z,8.903,8.903,8.903,8.903,0,0
1786578600000,2026-08-12T23:50:00Z,8.903,8.903,8.897,8.897,1.84,16.37048
1786578900000,2026-08-12T23:55:00Z,8.897,8.897,8.897,8.897,0,0
1786579200000,2026-08-13T00:00:00Z,8.897,8.897,8.897,8.897,0,0
1786579500000,2026-08-13T00:05:00Z,8.897,8.897,8.878,8.878,2.63,23.34914
1786579800000,2026-08-13T00:10:00Z,8.878,8.905,8.878,8.905,2.49,22.17345
1786580100000,2026-08-13T00:15:00Z,8.905,8.905,8.905,8.905,0,0
1786580400000,2026-08-13T00:20:00Z,8.905,8.905,8.895,8.895,4.26,37.8927
1786580700000,2026-08-13T00:25:00Z,8.895,8.895,8.895,8.895,0,0
1786581000000,2026-08-13T00:30:00Z,8.895,8.937,8.895,8.937,3.1,27.6613
