ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,70.555,70.75,70.486,70.54,30381.352607999997,2146193.43466381
1784043600000,2026-07-14T15:40:00Z,70.51,70.575,70.281,70.56,46394.406821,3267822.52052191
1784043900000,2026-07-14T15:45:00Z,70.54,70.723,70.427,70.56,46882.875295000005,3309410.59591123
1784044200000,2026-07-14T15:50:00Z,70.62,70.655,70.191,70.22,41523.905236,2927377.18567067
1784044500000,2026-07-14T15:55:00Z,70.25,70.5,70.194,70.5,30197.859644,2124301.65430279
1784044800000,2026-07-14T16:00:00Z,70.615,70.615,70.29,70.42,32960.247864000004,2320253.12851021
1784045100000,2026-07-14T16:05:00Z,70.43,70.51,70.227,70.33,24237.724833,1706330.98069823
1784045400000,2026-07-14T16:10:00Z,70.35,70.422,70.112,70.175,22272.807296,1565749.39825932
1784045700000,2026-07-14T16:15:00Z,70.06,70.21,69.9,70.21,36917.743252,2585183.43009293
1784046000000,2026-07-14T16:20:00Z,70.225,70.364,70.163,70.25,24510.187391,1721838.21319901
1784046300000,2026-07-14T16:25:00Z,70.28,70.518,70.265,70.45,27421.442312,1930872.63396679
1784046600000,2026-07-14T16:30:00Z,70.4,70.502,70.165,70.2,35968.104321,2531338.06823031
1784046900000,2026-07-14T16:35:00Z,70.28,70.285,70.085,70.23,26066.614738999997,1829597.44190009
1784047200000,2026-07-14T16:40:00Z,70.135,70.29,70.081,70.29,4316.14121,302915.42240022
1784047500000,2026-07-14T16:45:00Z,70.25,70.31,70.115,70.19,4805.66315,337506.52868765
1784047800000,2026-07-14T16:50:00Z,70.25,70.29,70.146,70.245,6124.063,430130.3012743
1784048100000,2026-07-14T16:55:00Z,70.215,70.34,70.191,70.31,41825.547885,2938780.10593418
1784048400000,2026-07-14T17:00:00Z,70.46,70.46,70.045,70.16,78151.72061799999,5488259.28660348
1784048700000,2026-07-14T17:05:00Z,70.14,70.29,70.068,70.24,59276.565613,4159270.63468049
1784049000000,2026-07-14T17:10:00Z,70.17,70.234,70.065,70.14,20167.236696,1414326.29276681
1784049300000,2026-07-14T17:15:00Z,70.09,70.13,70.002,70.11,29067.822445,2037128.22580825
1784049600000,2026-07-14T17:20:00Z,70.15,70.355,70.1,70.355,63012.378802,4423090.91762759
1784049900000,2026-07-14T17:25:00Z,70.29,70.334,69.908,69.97,25619.646657999998,1797338.62539799
1784050200000,2026-07-14T17:30:00Z,70.09,70.16,70.007,70.07,28972.09595,2031387.19916304
1784050500000,2026-07-14T17:35:00Z,70.05,70.19,69.97,70.18,17751.948406,1244688.51365573
1784050800000,2026-07-14T17:40:00Z,70.2,70.235,70.151,70.19,62339.08913,4376222.75865274
1784051100000,2026-07-14T17:45:00Z,70.12,70.331,70.086,70.29,38712.276619,2717148.88501736
1784051400000,2026-07-14T17:50:00Z,70.315,70.46,70.239,70.44,61061.409097,4294314.566692
1784051700000,2026-07-14T17:55:00Z,70.44,70.47,70.21,70.275,63022.699616,4434529.23578022
1784052000000,2026-07-14T18:00:00Z,70.25,70.374,70.183,70.33,60802.566196,4273100.98789235
1784052300000,2026-07-14T18:05:00Z,70.42,70.509,70.319,70.5,76765.12921,5403674.00488908
1784052600000,2026-07-14T18:10:00Z,70.52,70.533,70.44,70.44,24710.962179000002,1741804.06220739
1784052900000,2026-07-14T18:15:00Z,70.45,70.463,70.37,70.43,19722.487200000003,1388934.46632408
1784053200000,2026-07-14T18:20:00Z,70.3,70.424,70.019,70.02,25391.362825,1782747.89703351
1784053500000,2026-07-14T18:25:00Z,70.03,70.048,69.96,70.03,12066.081581,844778.94990608
1784053800000,2026-07-14T18:30:00Z,69.99,70.02,69.91,69.945,23340.200202,1633172.15863445
1784054100000,2026-07-14T18:35:00Z,69.93,69.974,69.82,69.87,22670.793076,1584754.18131232
1784054400000,2026-07-14T18:40:00Z,69.79,69.867,69.47,69.47,33223.168988,2314651.53876016
1784054700000,2026-07-14T18:45:00Z,69.55,69.635,69.503,69.51,18860.2756,1312480.92092132
1784055000000,2026-07-14T18:50:00Z,69.6,69.695,69.486,69.695,22076.346439,1536624.0938866
1784055300000,2026-07-14T18:55:00Z,69.6,69.689,69.566,69.63,24905.20803,1734234.3128362
1784055600000,2026-07-14T19:00:00Z,69.62,69.675,69.428,69.44,32863.96138,2286230.76934177
1784055900000,2026-07-14T19:05:00Z,69.37,69.47,69.33,69.4,33624.825492,2333579.70155755
1784056200000,2026-07-14T19:10:00Z,69.34,69.604,69.29,69.58,26435.821495,1836546.74731849
1784056500000,2026-07-14T19:15:00Z,69.6,69.64,69.533,69.64,32754.50098,2279320.21419624
1784056800000,2026-07-14T19:20:00Z,69.66,69.665,69.567,69.6,22161.01437,1542843.17213509
1784057100000,2026-07-14T19:25:00Z,69.59,69.604,69.23,69.24,35699.293016,2479076.71469799
1784057400000,2026-07-14T19:30:00Z,69.2,69.37,69.082,69.36,42902.438072000004,2970749.29258899
1784057700000,2026-07-14T19:35:00Z,69.4,69.5,69.297,69.37,40602.088489,2818052.91492063
1784058000000,2026-07-14T19:40:00Z,69.295,69.511,69.24,69.44,170550.413047,11819945.21109842
1784058300000,2026-07-14T19:45:00Z,69.535,69.578,69.403,69.415,65347.026363000004,4540357.13461969
1784058600000,2026-07-14T19:50:00Z,69.37,69.8,69.23,69.76,95597.440862,6645647.29640365
1784058900000,2026-07-14T19:55:00Z,69.72,70.575,69.67,70.22,529458.131782,37227948.4574273
1784059200000,2026-07-14T20:00:00Z,70.185,70.185,70.18,70.18,767402.31012,53858826.551845
1784059500000,2026-07-14T20:05:00Z,70.18,70.244,69.945,70.244,2404,168359.5724
1784059800000,2026-07-14T20:10:00Z,70.245,70.395,69.946,69.959,1468.76474,102936.02677932
1784060100000,2026-07-14T20:15:00Z,69.959,70.544,69.959,70.376,1233.327405,86309.85512753
1784060400000,2026-07-14T20:20:00Z,70.384,70.45,70.384,70.45,636,44802.8928
1784060700000,2026-07-14T20:25:00Z,70.45,70.45,70.45,70.45,178,12540.1
1784061000000,2026-07-14T20:30:00Z,70.45,70.45,70.45,70.45,755,53189.75
1784061300000,2026-07-14T20:35:00Z,70.45,70.725,70.45,70.725,6080,428380.992
1784061600000,2026-07-14T20:40:00Z,70.725,70.725,70.626,70.626,243863.484985,17223151.26324761
1784061900000,2026-07-14T20:45:00Z,70.625,70.625,70.625,70.625,267,18856.875
1784062200000,2026-07-14T20:50:00Z,70.625,70.625,70.625,70.625,156,11017.5
1784062500000,2026-07-14T20:55:00Z,70.625,70.625,70.625,70.625,1733,122393.125
1784062800000,2026-07-14T21:00:00Z,70.625,70.625,70.625,70.625,222,15678.75
1784063100000,2026-07-14T21:05:00Z,70.625,70.625,70.625,70.625,73,5155.625
1784063400000,2026-07-14T21:10:00Z,70.625,70.625,70.625,70.625,336.254674,23747.98635125
1784063700000,2026-07-14T21:15:00Z,70.625,70.625,70.625,70.625,176.840924,12489.3902575
1784064000000,2026-07-14T21:20:00Z,70.625,70.625,70.625,70.625,44,3107.5
1784064300000,2026-07-14T21:25:00Z,70.625,70.625,70.6,70.6,583,41170.6438
1784064600000,2026-07-14T21:30:00Z,70.6,70.623,70.6,70.623,847,59799.3011
1784064900000,2026-07-14T21:35:00Z,70.624,70.625,70.624,70.625,1216,85879.7568
1784065200000,2026-07-14T21:40:00Z,70.625,70.625,70.625,70.625,143,10099.375
1784065500000,2026-07-14T21:45:00Z,70.625,70.625,70.625,70.625,30,2118.75
1784065800000,2026-07-14T21:50:00Z,70.625,70.625,70.625,70.625,352,24860
1784066100000,2026-07-14T21:55:00Z,70.625,70.723,70.625,70.723,476,33617.5
1784066400000,2026-07-14T22:00:00Z,70.724,70.823,70.724,70.823,283,20015.1467
1784066700000,2026-07-14T22:05:00Z,70.808,70.808,70.7,70.7,245,17326.7185
1784067000000,2026-07-14T22:10:00Z,70.688,70.688,70.626,70.626,4,282.628
1784067300000,2026-07-14T22:15:00Z,70.626,70.626,70.625,70.625,10,706.26
1784067600000,2026-07-14T22:20:00Z,70.625,70.625,70.625,70.625,116,8192.5
1784067900000,2026-07-14T22:25:00Z,70.647,70.75,70.647,70.701,614,43408.3878
1784068200000,2026-07-14T22:30:00Z,70.7,70.7,70.602,70.602,3056,216056.4496
1784068500000,2026-07-14T22:35:00Z,70.601,70.601,70.6,70.6,131,9248.6
1784068800000,2026-07-14T22:40:00Z,70.6,70.6,70.6,70.6,230,16238
1784069100000,2026-07-14T22:45:00Z,70.6,70.6,70.6,70.6,10,706
1784069400000,2026-07-14T22:50:00Z,70.6,70.6,70.6,70.6,121,8542.6
1784069700000,2026-07-14T22:55:00Z,70.6,70.6,70.6,70.6,208,14684.8
1784070000000,2026-07-14T23:00:00Z,70.6,70.6,70.6,70.6,727,51326.2
1784070300000,2026-07-14T23:05:00Z,70.6,70.6,70.6,70.6,136,9601.6
1784070600000,2026-07-14T23:10:00Z,70.6,70.6,70.6,70.6,153,10801.8
1784070900000,2026-07-14T23:15:00Z,70.6,70.6,70.596,70.596,39,2753.2752
1784071200000,2026-07-14T23:20:00Z,70.596,70.596,70.595,70.595,91,6424.1632
1784071500000,2026-07-14T23:25:00Z,70.595,70.595,70.595,70.595,111,7836.045
1784072100000,2026-07-14T23:35:00Z,70.595,70.595,70.595,70.595,383,27037.885
1784072400000,2026-07-14T23:40:00Z,70.595,70.795,70.595,70.795,77,5445.5786
1784072700000,2026-07-14T23:45:00Z,70.795,70.795,70.795,70.795,1880,133094.6
1784073000000,2026-07-14T23:50:00Z,71.01,71.01,70.795,71.01,830,58780.932
1784073300000,2026-07-14T23:55:00Z,70.999,71.15,70.999,71.15,83,5902.4288
1784073600000,2026-07-15T00:00:00Z,71.06,71.22,70.75,71.02,414,29380.31
1784073900000,2026-07-15T00:05:00Z,71.03,71.03,70.99,70.99,119,8452.25
1784074200000,2026-07-15T00:10:00Z,70.79,70.79,70.74,70.74,500,35381.78
1784074500000,2026-07-15T00:15:00Z,70.72,70.74,70.72,70.74,100,7073
1784074800000,2026-07-15T00:20:00Z,70.92,70.92,70.92,70.92,2,141.84
1784075100000,2026-07-15T00:25:00Z,70.69,71.15,70.69,71.15,131,9307.31
1784075400000,2026-07-15T00:30:00Z,71,71,71,71,15,1065
1784075700000,2026-07-15T00:35:00Z,71.01,71.01,71.01,71.01,10,710.1
1784076000000,2026-07-15T00:40:00Z,71.04,71.04,71.04,71.04,1,71.04
1784076300000,2026-07-15T00:45:00Z,71.03,71.14,71,71,86,6114.05
1784076600000,2026-07-15T00:50:00Z,71.03,71.03,71.03,71.03,11,781.33
1784077200000,2026-07-15T01:00:00Z,71.09,71.4,70.98,71.4,804,57214.76
1784077500000,2026-07-15T01:05:00Z,70.81,71,70.81,71,73,5178.72
1784077800000,2026-07-15T01:10:00Z,71.08,71.08,71.04,71.04,23,1634.52
1784078100000,2026-07-15T01:15:00Z,71.2,71.2,71.2,71.2,1,71.2
1784078700000,2026-07-15T01:25:00Z,71.17,71.19,71.17,71.19,165,11744.11
1784079000000,2026-07-15T01:30:00Z,71.14,71.17,71.14,71.17,227,16154.84
1784079300000,2026-07-15T01:35:00Z,71.14,71.14,71.14,71.14,22,1565.08
1784079600000,2026-07-15T01:40:00Z,71.28,71.28,71.28,71.28,4,285.12
1784079900000,2026-07-15T01:45:00Z,71.27,71.27,71.25,71.25,6,427.52
1784080200000,2026-07-15T01:50:00Z,71.08,71.28,71.08,71.27,222,15823.24
1784080500000,2026-07-15T01:55:00Z,71.31,71.37,71.31,71.37,94,6705.47
