ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,12.078,12.078,12.003,12.003,597.57,7193.81069
1786549500000,2026-08-12T15:45:00Z,12.003,12.053,12.003,12.053,15.76,189.76837
1786549800000,2026-08-12T15:50:00Z,12.053,12.095,12.053,12.084,2.92,35.27654
1786550100000,2026-08-12T15:55:00Z,12.084,12.091,12.05,12.051,15.26,184.05939
1786550400000,2026-08-12T16:00:00Z,12.051,12.088,12.051,12.088,32.97,398.54136
1786550700000,2026-08-12T16:05:00Z,12.088,12.13,12.088,12.13,1.14,13.81774
1786551000000,2026-08-12T16:10:00Z,12.13,12.13,12.13,12.13,0,0
1786551300000,2026-08-12T16:15:00Z,12.13,12.13,12.091,12.091,76.44,924.24204
1786551600000,2026-08-12T16:20:00Z,12.091,12.091,12.091,12.091,0,0
1786551900000,2026-08-12T16:25:00Z,12.091,12.091,12.051,12.051,1.49,17.95885
1786552200000,2026-08-12T16:30:00Z,12.051,12.051,11.983,12.019,57.32,687.42152
1786552500000,2026-08-12T16:35:00Z,12.019,12.019,11.98,12.011,16.24,194.75415
1786552800000,2026-08-12T16:40:00Z,12.011,12.011,12.011,12.011,0,0
1786553100000,2026-08-12T16:45:00Z,12.011,12.052,12.011,12.052,9.47,114.12797
1786553400000,2026-08-12T16:50:00Z,12.052,12.098,12.052,12.098,25.88,312.39671
1786553700000,2026-08-12T16:55:00Z,12.098,12.098,12.098,12.098,0,0
1786554000000,2026-08-12T17:00:00Z,12.098,12.118,12.079,12.118,5.98,72.39182
1786554300000,2026-08-12T17:05:00Z,12.118,12.141,12.111,12.141,10.74,130.28025
1786554600000,2026-08-12T17:10:00Z,12.141,12.141,12.136,12.136,1.59,19.29624
1786554900000,2026-08-12T17:15:00Z,12.136,12.136,12.136,12.136,0,0
1786555200000,2026-08-12T17:20:00Z,12.136,12.136,12.136,12.136,0,0
1786555500000,2026-08-12T17:25:00Z,12.136,12.136,12.136,12.136,0,0
1786555800000,2026-08-12T17:30:00Z,12.136,12.152,12.136,12.152,2.59,31.47368
1786556100000,2026-08-12T17:35:00Z,12.152,12.173,12.152,12.173,1.76,21.40754
1786556400000,2026-08-12T17:40:00Z,12.173,12.222,12.173,12.2,5.5,67.14961
1786556700000,2026-08-12T17:45:00Z,12.2,12.2,12.2,12.2,0,0
1786557000000,2026-08-12T17:50:00Z,12.2,12.277,12.2,12.259,71.52,876.62876
1786557300000,2026-08-12T17:55:00Z,12.259,12.259,12.259,12.259,0,0
1786557600000,2026-08-12T18:00:00Z,12.259,12.259,12.259,12.259,0,0
1786557900000,2026-08-12T18:05:00Z,12.259,12.259,12.172,12.172,18.62,226.78511
1786558200000,2026-08-12T18:10:00Z,12.172,12.217,12.172,12.217,0.49,5.98633
1786558500000,2026-08-12T18:15:00Z,12.217,12.217,12.174,12.174,0.98,11.93052
1786558800000,2026-08-12T18:20:00Z,12.174,12.174,12.174,12.174,0,0
1786559100000,2026-08-12T18:25:00Z,12.174,12.193,12.172,12.193,65.42,796.31406
1786559400000,2026-08-12T18:30:00Z,12.193,12.193,12.118,12.118,25.8,312.65808
1786559700000,2026-08-12T18:35:00Z,12.118,12.173,12.118,12.159,4.49,54.58314
1786560000000,2026-08-12T18:40:00Z,12.159,12.159,12.159,12.159,0,0
1786560300000,2026-08-12T18:45:00Z,12.159,12.159,12.159,12.159,0,0
1786560600000,2026-08-12T18:50:00Z,12.159,12.159,12.159,12.159,0,0
1786560900000,2026-08-12T18:55:00Z,12.159,12.159,12.1,12.1,4.88,59.10676
1786561200000,2026-08-12T19:00:00Z,12.1,12.1,12.1,12.1,0,0
1786561500000,2026-08-12T19:05:00Z,12.1,12.1,12.1,12.1,0,0
1786561800000,2026-08-12T19:10:00Z,12.1,12.1,12.1,12.1,0,0
1786562100000,2026-08-12T19:15:00Z,12.1,12.1,12.1,12.1,0,0
1786562400000,2026-08-12T19:20:00Z,12.1,12.102,12.1,12.102,1.14,13.79628
1786562700000,2026-08-12T19:25:00Z,12.102,12.102,12.019,12.081,1.8,21.7092
1786563000000,2026-08-12T19:30:00Z,12.081,12.081,12.081,12.081,0,0
1786563300000,2026-08-12T19:35:00Z,12.081,12.081,12.081,12.081,0,0
1786563600000,2026-08-12T19:40:00Z,12.081,12.081,12.066,12.066,1.34,16.16844
1786563900000,2026-08-12T19:45:00Z,12.066,12.118,12.066,12.118,0.22,2.66596
1786564200000,2026-08-12T19:50:00Z,12.118,12.118,12.073,12.073,6.23,75.21479
1786564500000,2026-08-12T19:55:00Z,12.073,12.088,12.046,12.046,286.31,3456.63662
1786564800000,2026-08-12T20:00:00Z,12.046,12.127,12.046,12.082,2506.44,30265.26628
1786565100000,2026-08-12T20:05:00Z,12.082,12.14,12.073,12.13,1502.43,18168.13287
1786565400000,2026-08-12T20:10:00Z,12.13,12.13,12.125,12.125,15.04,182.41265
1786565700000,2026-08-12T20:15:00Z,12.125,12.172,12.12,12.12,413.52,5017.18278
1786566000000,2026-08-12T20:20:00Z,12.12,12.12,12.094,12.094,10.3,124.6215
1786566300000,2026-08-12T20:25:00Z,12.094,12.094,12.065,12.065,11.38,137.40036
1786566600000,2026-08-12T20:30:00Z,12.065,12.068,12.057,12.068,14.67,176.9917
1786566900000,2026-08-12T20:35:00Z,12.068,12.075,12.066,12.066,18.02,217.51606
1786567200000,2026-08-12T20:40:00Z,12.066,12.098,12.059,12.083,102.39,1236.74925
1786567500000,2026-08-12T20:45:00Z,12.083,12.083,12.066,12.066,15.76,190.32611
1786567800000,2026-08-12T20:50:00Z,12.066,12.066,12.066,12.066,5.62,67.81092
1786568100000,2026-08-12T20:55:00Z,12.066,12.066,12.056,12.056,47.34,570.76107
1786568400000,2026-08-12T21:00:00Z,12.056,12.067,12.045,12.047,165.37,1993.00135
1786568700000,2026-08-12T21:05:00Z,12.047,12.081,12.047,12.081,191.25,2304.78001
1786569000000,2026-08-12T21:10:00Z,12.081,12.09,12.077,12.089,20.36,246.04045
1786569300000,2026-08-12T21:15:00Z,12.089,12.091,12.089,12.091,1.93,23.33563
1786569600000,2026-08-12T21:20:00Z,12.091,12.118,12.091,12.118,22.07,267.16379
1786569900000,2026-08-12T21:25:00Z,12.118,12.119,12.118,12.119,18.72,226.86768
1786570200000,2026-08-12T21:30:00Z,12.119,12.127,12.099,12.104,22.17,268.64722
1786570500000,2026-08-12T21:35:00Z,12.104,12.151,12.104,12.151,7.21,87.60871
1786570800000,2026-08-12T21:40:00Z,12.151,12.151,12.151,12.151,0,0
1786571100000,2026-08-12T21:45:00Z,12.151,12.151,12.15,12.151,4.23,51.39782
1786571400000,2026-08-12T21:50:00Z,12.151,12.151,12.132,12.133,8.86,107.50019
1786571700000,2026-08-12T21:55:00Z,12.133,12.172,12.133,12.168,15.54,189.06836
1786572000000,2026-08-12T22:00:00Z,12.168,12.168,12.116,12.121,111.04,1346.97857
1786572300000,2026-08-12T22:05:00Z,12.121,12.132,12.116,12.117,19.77,239.65284
1786572600000,2026-08-12T22:10:00Z,12.117,12.226,12.11,12.135,923.5,11251.48226
1786572900000,2026-08-12T22:15:00Z,12.135,12.135,12.121,12.121,10.99,133.26263
