ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,245.88,245.902,245.34,245.74,197481.18102999998,48492254.43040441
1784043600000,2026-07-14T15:40:00Z,245.83,245.83,245.44,245.555,191377.40412199998,47005333.35308873
1784043900000,2026-07-14T15:45:00Z,245.55,245.89,245.53,245.715,174150.42054700002,42794418.21706568
1784044200000,2026-07-14T15:50:00Z,245.75,245.75,245.49,245.515,142913.234072,35101805.48247517
1784044500000,2026-07-14T15:55:00Z,245.52,245.655,245.39,245.46,231108.157076,56741143.17653825
1784044800000,2026-07-14T16:00:00Z,245.5,245.5,244.66,244.66,298046.930728,73049425.02576921
1784045100000,2026-07-14T16:05:00Z,244.69,244.875,244.61,244.805,154888.941979,37904654.21451385
1784045400000,2026-07-14T16:10:00Z,244.84,245.26,244.71,245.19,157425.87048,38557310.93109533
1784045700000,2026-07-14T16:15:00Z,245.21,245.295,244.98,245.17,165023.378174,40459870.78121553
1784046000000,2026-07-14T16:20:00Z,245.17,245.191,244.71,244.855,184698.193324,45234877.80264482
1784046300000,2026-07-14T16:25:00Z,244.86,245.36,244.78,245.28,240001.748794,58825484.63710409
1784046600000,2026-07-14T16:30:00Z,245.31,245.61,245.29,245.57,160968.24458600002,39511587.25256874
1784046900000,2026-07-14T16:35:00Z,245.54,245.78,245.54,245.69,108561.89660899999,26669022.40384609
1784047200000,2026-07-14T16:40:00Z,245.625,245.91,245.61,245.73,54777.14679400001,13461691.97778332
1784047500000,2026-07-14T16:45:00Z,245.75,245.95,245.63,245.83,12672.385615,3113474.62003367
1784047800000,2026-07-14T16:50:00Z,245.835,245.98,245.71,245.8,31886.956535,7838483.54239024
1784048100000,2026-07-14T16:55:00Z,245.8,246.13,245.8,246.12,130701.53821500001,32143128.67967706
1784048400000,2026-07-14T17:00:00Z,246.18,246.48,246.01,246.08,242924.61462900002,59824801.92006921
1784048700000,2026-07-14T17:05:00Z,246.11,246.17,245.91,246.12,169451.122687,41692025.34770578
1784049000000,2026-07-14T17:10:00Z,246.12,246.14,245.75,245.77,151989.768936,37398587.34541527
1784049300000,2026-07-14T17:15:00Z,245.765,246.115,245.61,246.115,145311.517321,35734310.84429718
1784049600000,2026-07-14T17:20:00Z,246.11,246.22,245.95,246.18,618922.159081,152288582.39159591
1784049900000,2026-07-14T17:25:00Z,246.19,246.6,246.179,246.46,163487.58741600002,40287477.77526403
1784050200000,2026-07-14T17:30:00Z,246.49,246.82,246.467,246.63,187809.242736,46322097.98907508
1784050500000,2026-07-14T17:35:00Z,246.54,246.675,246.43,246.47,146488.99797599998,36114489.32921558
1784050800000,2026-07-14T17:40:00Z,246.52,246.66,246.37,246.62,186620.43478200003,46003934.01241517
1784051100000,2026-07-14T17:45:00Z,246.58,246.64,246.41,246.48,176678.686706,43558063.06672984
1784051400000,2026-07-14T17:50:00Z,246.47,246.6,246.19,246.33,197095.103982,48572629.87259443
1784051700000,2026-07-14T17:55:00Z,246.345,246.64,246.24,246.61,132609.20429499997,32683461.23196502
1784052000000,2026-07-14T18:00:00Z,246.63,246.861,246.485,246.81,194282.643432,47925487.05569101
1784052300000,2026-07-14T18:05:00Z,246.79,246.79,246.45,246.54,178928.01007000002,44115631.30841087
1784052600000,2026-07-14T18:10:00Z,246.54,246.69,246.425,246.645,141382.929442,34859869.92347257
1784052900000,2026-07-14T18:15:00Z,246.655,246.9,246.644,246.79,217680.56389199998,53720036.74341054
1784053200000,2026-07-14T18:20:00Z,246.74,247.57,246.74,247.39,395411.485545,97750938.65833319
1784053500000,2026-07-14T18:25:00Z,247.29,247.515,247.16,247.4,282147.86214700004,69788596.54719131
1784053800000,2026-07-14T18:30:00Z,247.19,247.379,247.035,247.26,164964.554104,40777373.67504742
1784054100000,2026-07-14T18:35:00Z,247.25,247.267,246.76,246.775,202758.129871,50100986.44417345
