ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,14.25,14.25,14.225,14.235,9678,137768.2656
1784043600000,2026-07-14T15:40:00Z,14.25,14.265,14.23,14.25,9422,134256.9046
1784043900000,2026-07-14T15:45:00Z,14.27,14.28,14.245,14.265,22803,325307.598
1784044200000,2026-07-14T15:50:00Z,14.245,14.255,14.198,14.205,59278,844533.666
1784044500000,2026-07-14T15:55:00Z,14.21,14.235,14.195,14.235,13435,190987.9295
1784044800000,2026-07-14T16:00:00Z,14.235,14.26,14.235,14.245,24940.841959999998,355387.04525643
1784045100000,2026-07-14T16:05:00Z,14.26,14.284,14.245,14.26,8173,116493.8555
1784045400000,2026-07-14T16:10:00Z,14.285,14.32,14.27,14.275,28315,404907.3315
1784045700000,2026-07-14T16:15:00Z,14.285,14.33,14.285,14.325,12723.103366,182010.35520231
1784046000000,2026-07-14T16:20:00Z,14.3,14.315,14.285,14.3,11028,157703.7084
1784046300000,2026-07-14T16:25:00Z,14.29,14.305,14.29,14.305,6758,96670.4868
1784046600000,2026-07-14T16:30:00Z,14.32,14.32,14.305,14.305,9999,143074.6911
1784046900000,2026-07-14T16:35:00Z,14.295,14.305,14.265,14.295,12824,183195.9696
1784047200000,2026-07-14T16:40:00Z,14.295,14.3,14.286,14.3,1194,17066.2002
1784047500000,2026-07-14T16:45:00Z,14.26,14.285,14.26,14.27,142,2027.2204
1784047800000,2026-07-14T16:50:00Z,14.27,14.275,14.27,14.27,1711,24424.525
1784048100000,2026-07-14T16:55:00Z,14.275,14.285,14.275,14.28,8107.8515,115751.74193975
1784048400000,2026-07-14T17:00:00Z,14.29,14.3,14.26,14.26,13302,190016.4096
1784048700000,2026-07-14T17:05:00Z,14.25,14.275,14.245,14.26,13119,186982.4832
1784049000000,2026-07-14T17:10:00Z,14.26,14.26,14.24,14.245,18734,266959.5
1784049300000,2026-07-14T17:15:00Z,14.24,14.255,14.235,14.24,12739,181502.7242
1784049600000,2026-07-14T17:20:00Z,14.25,14.255,14.245,14.25,8172.04291,116450.79426321
1784049900000,2026-07-14T17:25:00Z,14.255,14.26,14.235,14.26,16330,232578.392
1784050200000,2026-07-14T17:30:00Z,14.26,14.265,14.255,14.265,4130.140203,58902.82053313
1784050500000,2026-07-14T17:35:00Z,14.25,14.265,14.25,14.25,6253,89192.1667
1784050800000,2026-07-14T17:40:00Z,14.245,14.275,14.245,14.26,9039.070129,128921.54552889
1784051100000,2026-07-14T17:45:00Z,14.273,14.273,14.255,14.265,14834,211483.8878
1784051400000,2026-07-14T17:50:00Z,14.26,14.265,14.24,14.25,7773,110826.6567
1784051700000,2026-07-14T17:55:00Z,14.25,14.25,14.21,14.21,25184,358605.0496
1784052000000,2026-07-14T18:00:00Z,14.225,14.245,14.215,14.24,5353,76143.7485
1784052300000,2026-07-14T18:05:00Z,14.24,14.251,14.24,14.24,6678.66907,95157.67690936
